,time,r10i1p1f1,r10i1p2f1,r11i1p1f1,r11i1p2f1,r12i1p1f1,r12i1p2f1,r13i1p1f1,r13i1p2f1,r14i1p1f1,r14i1p2f1,r15i1p1f1,r15i1p2f1,r16i1p1f1,r16i1p2f1,r17i1p1f1,r17i1p2f1,r18i1p1f1,r18i1p2f1,r19i1p1f1,r19i1p2f1,r1i1p1f1,r1i1p2f1,r20i1p1f1,r20i1p2f1,r21i1p1f1,r21i1p2f1,r22i1p1f1,r22i1p2f1,r23i1p1f1,r23i1p2f1,r24i1p1f1,r24i1p2f1,r25i1p1f1,r25i1p2f1,r2i1p1f1,r2i1p2f1,r3i1p1f1,r3i1p2f1,r4i1p1f1,r4i1p2f1,r5i1p1f1,r5i1p2f1,r6i1p1f1,r6i1p2f1,r7i1p1f1,r7i1p2f1,r8i1p1f1,r8i1p2f1,r9i1p1f1,r9i1p2f1
0,1850-01-16,284.3186143389392,284.8095732014842,284.6249693689813,284.3172081358322,284.342334438813,284.52266376082224,284.416605898149,284.4945167247039,284.4702327308907,284.81762519562153,284.5720545331548,284.32298273787296,284.42065214595914,284.39519391995276,284.4189925513289,284.46407953477365,284.44349428251985,284.5327044629589,284.5794377183719,284.44483082279106,284.9614113679076,284.49830465794815,284.71814668263886,284.4320813091453,284.30854991421864,284.2565629077403,284.59048800413143,284.806058023268,284.37127042770544,284.61020715307495,284.36412413674253,284.3399492203546,284.44107407160857,284.46988507139946,284.57970463249643,284.08493861638846,284.30741553683214,284.41225001001146,284.6769487193018,284.46977428945496,284.46345533340667,284.7675557217833,284.2729449828298,284.9832800629553,284.7435273791516,284.54207587901107,284.7510324928931,284.6569837533756,284.80291646042724,284.5692447538901
1,1850-02-15,284.6417123763362,284.7056444982271,284.8291498559688,284.3322802838931,284.41992862073363,284.47599592077506,284.4317435464689,284.49181603166886,284.6691202145166,284.95907440729195,284.87029371644167,284.40348017265507,284.4416302990807,284.43433408031575,284.56499899495594,284.90288962207705,284.7673523010044,284.5650904542781,284.7534661699046,284.46735360914374,284.9382147807418,284.790433447728,284.84156039848614,284.5686590554864,284.5494949104777,284.57447041689124,284.58046578943885,284.6228428465808,284.3186642219163,284.3482754876466,284.66245355730973,284.44423595049744,284.7647979828885,284.41916951246776,284.821009374679,284.29395018520154,284.4404254949954,284.75059916060064,284.84823009830313,284.73759476799506,284.774094834909,284.8241966302776,284.551473814697,284.9666358263872,284.98719345333075,284.6026294006823,284.8828730693956,284.7871510353618,284.93673621471015,284.9640794182642
2,1850-03-16,285.1322549125996,285.5586948606743,285.63473968514785,285.1872226563812,285.15600326878047,285.15613808293904,285.1494384564306,285.1390254854523,285.2652146202969,285.5690256805209,285.4499520658532,285.1491840343201,285.00738670295607,285.23269023061545,285.3013677586131,285.47678224708585,285.48262353180246,285.2974626522156,285.3743948544793,285.1826570914437,285.616598959152,285.5180514083091,285.4555577176714,284.99846142214506,285.12478834174925,285.05342490021263,285.23812915486525,285.124321169422,285.18041998159435,285.17978227840143,285.1304032303736,285.33164333798123,285.34410261939456,285.081124660717,285.3694475205715,285.1425384688136,285.333689972318,285.21277034805826,285.28997647434,285.32591356675414,285.5540440421371,285.49636018081054,285.40055811230627,285.70386080849295,285.78740389668656,285.3573136396057,285.5197466700515,285.2569005934048,285.55519062916704,285.7192247053194
3,1850-04-16,286.2814424638369,286.5514526132866,286.6890182631322,286.1358507151288,286.44807342525587,286.34021328839185,286.3295667859182,286.3229373991936,286.26487929426384,286.5338844286828,286.5059105488966,286.1008059052287,286.2773393203544,286.25681783030274,286.3280923402309,286.38579786856144,286.5098306404719,286.29071102467765,286.4734145038035,286.3255648098858,286.6832134216554,286.5905420860009,286.273896558331,286.28616782094514,286.2387471479914,286.18702230762676,286.39784846497395,286.4733567217656,286.06082665723375,286.1242114599188,286.13157056708695,286.41925044466143,286.4161456171792,286.13024336686226,286.49347102014553,285.9819498463725,286.4663265309922,286.46026499891826,286.44065309393443,286.3074219260814,286.6532933941992,286.6391669713786,286.5142283004124,286.7067933436083,286.66153060349825,286.4041950915515,286.48294329774836,286.3627885205917,286.38417090116315,286.6435004194684
4,1850-05-16,287.44719244459355,287.60892317947776,287.6223163892416,287.29914933813825,287.3117514925327,287.45423349846794,287.4257683277108,287.4494957753125,287.35812648253506,287.55973626692634,287.55456699650836,287.2807765988169,287.2726805785586,287.30514632694974,287.4019903153749,287.31446804316636,287.40676712840326,287.3296093275742,287.4801026894329,287.35930121854443,287.657127269943,287.5849545545042,287.43996142977767,287.27315865636444,287.03088905202986,287.3534846009455,287.3112901425959,287.4788616624248,287.2196956399873,287.12606297548564,287.3631825082996,287.43348964260605,287.35926706748825,287.2427088083643,287.6286274794609,287.30239774543327,287.5210975481132,287.27185292594066,287.3769061323365,287.33658621628507,287.6246498580652,287.47737875437906,287.2961147663849,287.6979719046043,287.69027169478323,287.5705125697,287.4759684472416,287.4251004052178,287.5488012692241,287.63439402395767
5,1850-06-16,288.1176588529675,288.3047046373719,288.25359317892077,288.04640998287596,288.3053402035672,288.1365643333827,288.2225394686872,288.0148922528087,288.14657204521,288.3556020067968,288.149736644346,287.99773641854574,287.86962962246406,288.0544209944863,288.08202341337824,287.9582402112247,288.0796248107663,288.0695404779804,288.15765885039616,288.0083025602404,288.3804893419996,288.3416072724513,288.06860437626375,288.0939952430251,287.9430116931178,288.0672530607998,287.90876233093667,288.2360148157747,288.0632042740204,288.01462682374654,288.13380282421633,288.1231296098983,288.2910669625712,287.8979221176166,288.2289843316684,288.1123123211725,288.24774097572504,288.0433057203664,288.3021815683922,288.0690158202069,288.29582257546156,288.3287824583672,288.27154032313064,288.4674590879968,288.4341052780736,288.2522329405261,288.237142372973,288.21158768528176,288.4926365678247,288.02514351479164
6,1850-07-16,288.4249453232553,288.48051070310555,288.59691262694633,288.30199618446204,288.6416142179112,288.36403397120927,288.4774362265346,288.3863085725409,288.4470741202168,288.5759675684657,288.6104020841612,288.4913191981922,288.33344694080546,288.52151843055367,288.71705993281086,288.2864766855252,288.4916342788806,288.3556400858243,288.35499266735644,288.35756292734783,288.837271890911,288.53191706451037,288.41259475164856,288.30373465219265,288.4006797098239,288.39262839992335,288.35970160084815,288.639453320609,288.24069618855685,288.2980050130379,288.49120363092214,288.3764831269603,288.589610787997,288.2522109008224,288.54520122384037,288.23248750099066,288.4950670506147,288.44922944499245,288.58997953900615,288.45184846849514,288.57818102965,288.6370189821477,288.54918498732354,288.73847322267403,288.92398851821906,288.54981594414716,288.6767006525967,288.6775614649667,288.7364422203579,288.29984624361697
7,1850-08-16,288.29078525486244,288.24802966203606,288.58335746400724,288.00475231622363,288.4675267565046,288.1788690636454,288.28437231917724,288.0960076943786,288.18496613641656,288.4328111597089,288.2889065192616,288.5184409000957,288.03205618489807,288.16697744572167,288.2974122223123,288.2056395436055,288.3540186788289,288.20672442823457,288.3512171141581,288.3550541904425,288.6029277861989,288.3123640196777,288.26248416237274,288.30011365103695,288.3129356401586,288.18213119248674,288.23558271902453,288.2823270400584,288.2348968290577,288.08971088999266,288.2833089118634,288.31406716988334,288.3283737548741,287.9769921815488,288.4668990587638,288.08129312076653,288.30359545975807,288.217379055756,288.29631986675565,288.28548376130937,288.37683213696937,288.30519300399453,288.3466000633727,288.6424871171464,288.6421875777938,288.2526077519046,288.508762981441,288.2928969115774,288.50710313708396,288.2904782352385
8,1850-09-16,287.492400570915,287.4861356826998,287.68733999939786,287.18510555339304,287.76126720953266,287.46503875585915,287.57619295551564,287.2384205477016,287.5814147790589,287.67337651889096,287.5936922302518,287.6991763874753,287.4130119742585,287.30686554277935,287.5969428934141,287.5049205796771,287.5598138653215,287.37677661998276,287.58909681382835,287.74342951478866,287.9614420402225,287.69916386787133,287.37862981831233,287.32781601796927,287.4895618214872,287.5075815387478,287.4763626704904,287.50256604474146,287.33914499811993,287.51047757226524,287.57727225759135,287.5167804464175,287.56719888108864,287.3655960070456,287.5677267263127,287.52494767210203,287.5786288399768,287.48110265239893,287.70909671039783,287.533140542359,287.77664507230594,287.75833702090944,287.5500179926756,287.8625503164395,287.87785112002337,287.57618331018494,287.7282537210753,287.57596411872873,287.77493368570225,287.5823215251909
9,1850-10-16,286.59070565261874,286.60241015574866,286.8924177638558,286.18349345581356,286.73305146934325,286.48807799612206,286.5274959610965,286.298672327821,286.66039107146196,286.66143550048133,286.5694783375239,286.52665568530773,286.5617452007025,286.46027979377175,286.5663347882302,286.62038389795345,286.58119682026705,286.27315190715524,286.59249748338357,286.6766411117878,286.9124253133651,286.6958591261062,286.35780466979946,286.1829227055019,286.29514009145316,286.4256102219992,286.60314093953184,286.5989349016664,286.3126797825291,286.559574783549,286.47757147477574,286.5885340731857,286.76423871397213,286.3341744059737,286.5688839361494,286.50544999244624,286.5523527585793,286.37876118041845,286.6659454928632,286.3662029739146,286.84137696941866,286.65189207614014,286.5049200920783,286.7858909375522,286.98493619578284,286.5218518249843,286.76779922471917,286.679128674366,286.6886991579986,286.5146382474574
