,time,r10i1p1f2,r11i1p1f2,r12i1p1f2,r13i1p1f2,r14i1p1f2,r15i1p1f2,r16i1p1f2,r17i1p1f2,r18i1p1f2,r19i1p1f2,r1i1p1f2,r20i1p1f2,r21i1p1f2,r22i1p1f2,r23i1p1f2,r24i1p1f2,r25i1p1f2,r26i1p1f2,r27i1p1f2,r28i1p1f2,r2i1p1f2,r30i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r6i1p1f2,r7i1p1f2,r8i1p1f2,r9i1p1f2
0,1850-01-16,284.0739672436311,284.2140504210564,284.0170448129008,284.1819606785472,283.95270085663805,284.29353746623826,283.65524302904663,283.6875832924239,284.2303778881362,284.09523488122073,284.2886178265466,284.1566049668648,283.848261346692,283.8658145999781,284.24209994229267,283.78878980853665,284.33309666701604,284.35052962102054,284.1981003749995,284.0792687377244,284.04373389655007,283.93177252738144,283.6159466908667,284.0516316876523,283.9125221278413,283.41715050151026,283.78848089215705,284.2153549662779,284.0683753085221
1,1850-02-15,284.2266636824454,284.4506066128316,284.30178220304884,284.34797783832585,284.6246465576394,284.65530791944894,284.21329751817143,283.7816830159686,284.7106457157344,284.5288871180168,284.4236947708065,284.1217026794798,283.8599332270892,283.8468157072539,284.3771748325709,284.040402459696,284.63881529440266,284.5379098066025,284.28465308654256,284.6914780677966,284.28883758156013,284.5395867743288,284.1557303542025,284.3283961265333,284.2208163833138,283.61314652425443,284.124003991542,284.33228367755214,284.351676379639
2,1850-03-16,284.9108713510375,285.2533606360852,285.016678601285,285.239183554446,285.1909533688191,285.43805674667556,284.56226339595463,284.6594300645366,285.5955900867781,285.1290246393175,284.9749362280066,284.8524664160275,284.76919019907746,284.6878988034856,285.0923002069362,285.0929878081405,285.2934866656052,285.182383494361,284.9704836611757,285.24007131136796,284.8137041772202,284.89828631815726,284.9419704073482,285.1105060971312,285.12210152962695,284.72069544873887,284.6312413434273,285.04755866213264,285.02186741535434
3,1850-04-16,285.87776275053534,286.05897943031056,286.2109155827563,286.20204657201515,285.9983849693953,286.18227554988164,285.6869903178447,285.78262735016756,286.5376200108212,286.1736392383364,286.0874218061468,285.91263412575154,285.63715667856803,285.9403162985199,286.16957299038063,285.88778440668773,286.3911790534878,286.05325271393815,285.9843479484132,286.2257938793093,285.88645392863083,285.8724478171484,286.0589746668862,286.0487828984828,286.013579928585,285.607538766501,285.6328390225052,286.0171736372911,285.83608564791604
4,1850-05-16,286.9088316142361,286.9279619255478,287.0296641189438,287.03605396357773,286.9703119545599,287.04800752184553,286.6602923213941,286.7198131616534,287.23587738236944,287.0619216951495,286.9826400819318,286.8219614358162,286.61398883289024,286.9068458077669,287.0114609929074,286.75587566199215,287.27708768527214,286.94826275957246,286.8161007993227,287.1029179169355,286.8099394985051,286.8685344352701,286.87835185442503,286.82285621441036,286.83503053626515,286.43476222718823,286.58800359875676,286.9041109334901,286.90792884159436
5,1850-06-16,287.6790026008651,287.80835327946824,287.72853439441707,287.8857787502713,287.8750060550159,287.9402523946757,287.47598057536464,287.5507405436623,288.16104749573446,287.96491764005884,287.83680944478886,287.7463703566725,287.6441468040057,287.6609602125505,287.7561387357203,287.56222301302085,288.11650305473984,287.76461840356706,287.71801728184687,287.8424852144079,287.8126852127641,287.69559745058507,287.5926996785042,287.7153709480205,287.7719740192322,287.32477137633026,287.5210266984021,287.84339428898096,287.76587362441677
6,1850-07-16,288.0384704010807,288.13890550027776,288.2698252139377,288.3510649240944,288.1162899665314,288.452895228031,288.00960741583316,287.9762319304562,288.4999079070282,288.3792617040445,288.1946897085986,288.0563475953448,287.88850625643056,287.8243909675195,288.06097313810807,288.02801526666303,288.3806679893144,288.16851859503606,288.15392323918076,288.27483824140336,288.1983188261433,288.17531152027163,287.92987639923683,288.02996390859545,288.19854165899324,287.76105290705664,287.93931675134655,288.0084548464581,288.1731836171717
7,1850-08-16,287.9819937791045,288.0402708479076,288.0173688338796,288.2489928030526,288.1087462411133,288.1797413709104,288.04288783314576,287.68339684246877,288.38654249102365,288.3122472794323,287.8966804170104,287.98798717871625,287.7807966698311,287.73298201262213,287.931642396205,287.9963708242242,288.27414866212365,287.9766544390416,288.02495133275585,288.2552967428241,287.9415750599647,288.10606631852204,287.9160767070484,287.87487888608734,288.00152205824713,287.57237383481885,287.7005532676744,288.05967887227087,287.97402039980227
8,1850-09-16,287.2411144216261,287.28583379853086,287.13327122371913,287.3950509080711,287.17051627706047,287.5097778591189,287.183892103121,286.9436678218663,287.49983118552154,287.6433047276114,287.1939527251921,287.2649872360372,286.95393604276825,287.10742826281466,287.3733886541766,287.26533191510146,287.405741598071,287.2680066703714,287.22669592689726,287.5433983360424,287.1613306400745,287.47815346360846,287.1159663716097,287.1410490910016,287.379234050178,286.8790161803198,287.0685398747397,287.22893335421895,287.1570503087421
9,1850-10-16,286.0539780938692,286.2329332645699,286.0243574063077,286.06107105531214,286.14293270617674,286.48400733103034,285.8724487675456,285.7620240003345,286.48555546818085,286.3432795320077,286.11514041056796,286.23258651405575,285.75113015569514,285.972448212994,286.25764314012713,286.04808630565526,286.31448352173356,286.19307795257555,286.11569874418126,286.2663243085797,286.00022429444647,286.17817738594766,285.85169004214816,286.09554829794143,286.1868274328513,285.7196718772183,285.8377053006713,286.25307546644694,285.98889495253593
