,time,r10i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,1850-01-16,284.3276085805324,284.23463695684296,284.4305824433694,284.20153098120005,284.20153098120005,284.2932633098593,284.3056984678013,284.1534551476219,284.22213426884804,284.4158635178326
1,1850-02-15,284.4141252189305,284.5542797551138,284.61335692434756,284.65165040395516,284.65165040395516,284.6376032852526,284.45763436651555,284.5326260181383,284.6160305491445,284.3348810026247
2,1850-03-16,285.1148169072092,285.1961996629712,285.3880783541941,285.40794295291806,285.40794295291806,285.23448395039134,285.0886192729817,285.07655835546785,285.11466411727815,285.28694248895016
3,1850-04-16,286.40028600955395,286.47114728664957,286.37207674263,286.51825275989245,286.51825275989245,286.38074671011543,286.2230646614368,286.23441808631316,286.38324630801293,286.2504077786386
4,1850-05-16,287.2946172664256,287.33574824064806,287.4961376745047,287.3887463855893,287.3887463855893,287.43528629993784,287.17322762395037,287.40751490668794,287.44969183312355,287.26406513902106
5,1850-06-16,287.9164198404366,288.07734336495696,288.0959248051397,288.0910555760325,288.0910555760325,288.05823485768923,287.851170162321,288.06745406478433,288.01405921448776,287.86104286171627
6,1850-07-16,288.06943682564133,288.5485189733143,288.41924440556124,288.3955102287324,288.3955102287324,288.35492778828024,288.03920835961145,288.4204418839003,288.3441305065463,288.19038110889306
7,1850-08-16,287.86888573374875,288.2304571084897,288.22573795548783,288.0519510748533,288.0519510748533,288.03262103230725,287.79388848031806,287.91981877317437,288.0454534555363,287.79174538070873
8,1850-09-16,287.0641590339023,287.3066484361935,287.37485925860085,287.2415655350378,287.2415655350378,287.24782469869166,286.9876641778373,287.1544832904262,287.37757051244273,287.19030071733545
9,1850-10-16,286.05940980144544,286.37165191955955,286.3733899768362,286.18840270899886,286.18840270899886,286.2655916931738,285.9873571436724,286.1159863196868,286.19839790249574,286.0431512729937
10,1850-11-16,285.16878735400815,285.3714669179665,285.3346418295921,285.3378203123155,285.3378203123155,285.3415323330772,284.85764964248517,285.1642569144366,285.07632277914524,285.1589151208371
11,1850-12-16,284.39523032868584,284.76495228885557,284.63327536186614,284.56882499643166,284.56882499643166,284.599335861928,284.3619045147345,284.28288485437514,284.51048191074267,284.5347664124849
12,1851-01-16,284.02420638988696,284.2632560148575,284.6281280544577,284.22400589056,284.22400589056,284.2426916113299,284.317741681067,284.3624051732522,284.38217010886785,284.25529487593064
13,1851-02-15,284.419841193485,284.5133502636313,284.660994048735,284.43569653851216,284.43569653851216,284.49376339445894,284.3907061060732,284.26650482216155,284.50082946816184,284.51296019969686
14,1851-03-16,285.1624909921288,285.21306975955116,285.3192360342172,285.2577534160991,285.2577534160991,285.20675212902233,285.12622374425865,285.098212329965,285.25291502052954,285.1357258198192
15,1851-04-16,286.35306851472734,286.3252100010327,286.5146648440081,286.4194790183211,286.4194790183211,286.2190589528325,286.4352436386257,286.3747903393448,286.32185962276145,286.34934265947703
16,1851-05-16,287.2717174059662,287.4319505720276,287.47124247122207,287.4946000803752,287.4946000803752,287.24809003452344,287.2964467591163,287.3211051210443,287.4196799035943,287.36301977656314
17,1851-06-16,288.0311177550636,288.07599880293407,288.16141847258814,288.1665425227499,288.1665425227499,287.9558895836178,287.94942071095574,287.978210562643,287.96857958885533,288.03085252626613
18,1851-07-16,288.30678720666737,288.48234167138895,288.39710463403327,288.3556996977479,288.3556996977479,288.2351654505351,288.215066663983,288.1196123985133,288.14456627469605,288.368030072389
19,1851-08-16,288.0790358814672,288.14828934010893,288.1136494903771,288.1279898721321,288.1279898721321,288.0387211416227,287.98203231359446,287.9389463317116,288.0445005410309,287.9091449239459
20,1851-09-16,287.20414039654315,287.2979233741344,287.3242232500509,287.4234621537123,287.4234621537123,287.30640561016287,287.10729760974095,287.102175094413,287.160220391038,287.248728036356
21,1851-10-16,286.1853089929981,286.3093056317336,286.32158183547324,286.3000732656127,286.3000732656127,286.22508151401433,286.15759901876214,286.1152185998439,286.1132301403809,285.95807681652997
22,1851-11-16,285.2289443621997,285.3652234817523,285.2738112932031,285.2604145229915,285.2604145229915,285.28951947511183,285.20191746235673,285.0048198231764,285.23853615268473,285.1317691432994
23,1851-12-16,284.57253493043936,284.6992860908072,284.6030029843848,284.8601958029881,284.8601958029881,284.6377593941147,284.50686584832624,284.3996556212129,284.68342588390914,284.40164715185176
24,1852-01-16,284.3325676064078,284.37500620490164,284.50573544992767,284.35478327070695,284.35478327070695,284.35165497247993,283.99568730017097,283.92236817930325,284.2876673767358,284.41493190413775
25,1852-02-15,284.44950317622965,284.578763080554,284.7754786190484,284.56907370173604,284.56907370173604,284.52063301462215,284.34742355667277,284.32617667215135,284.55200633235233,284.6203833331563
26,1852-03-16,285.2602295987883,285.2134332319181,285.33275418639386,285.2594294690329,285.2594294690329,285.1986137978778,285.00660332082714,284.956835013515,285.1848067556613,285.14647838728877
27,1852-04-16,286.3336039852179,286.4060068777403,286.35831789529374,286.491101878882,286.491101878882,286.2526804464228,286.1946634309074,286.1382533791049,286.3318748664978,286.1356587076269
28,1852-05-16,287.2496743897901,287.4118933396951,287.3701897740064,287.4612726414272,287.4612726414272,287.30105204405805,287.1878690830832,287.30605240717085,287.30157770928116,287.21195272491616
29,1852-06-16,287.97764913089844,288.1460839544192,288.1199107549845,288.0866361847046,288.0866361847046,288.02514796816877,288.0284896063492,287.91700765458467,287.9904134792581,287.9550224548324
30,1852-07-16,288.18197595137707,288.39586047691176,288.43141167961215,288.2836477063571,288.2836477063571,288.3133338942793,288.1319309091724,288.2201786181476,288.3805049692352,288.29304925044886
31,1852-08-16,287.9869445572743,287.98511073923964,288.1297505134131,288.06391264210833,288.06391264210833,288.0975518510515,287.82014456929136,287.87954000237363,288.10425128458945,287.88345476613193
32,1852-09-16,287.0226225714855,287.2298651006898,287.336229844481,287.2240281345431,287.2240281345431,287.2781536274496,287.056751363923,287.1361205792572,287.33748356036193,287.17240586273596
33,1852-10-16,286.08984071341126,286.1915382257934,286.2134331859078,286.30887133073554,286.30887133073554,286.27052218903816,286.00628450313957,286.02390776114225,286.25657673368414,286.0783992351283
