,time,r10i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,1850-01-16,285.9695805038627,286.0738017970981,286.2442601075824,286.0668346862926,286.19960380537424,286.10613595741813,286.19050577349986,285.8180853537215,286.12616390343754,285.98365311036576
1,1850-02-15,286.3488645907613,286.1956453266261,286.4419442525781,286.0098408820897,286.6241407740731,286.1685490323048,286.35743971665397,286.02969968018374,286.59390753157004,286.3914870487528
2,1850-03-16,286.90525751848537,286.9598279012415,287.07714688275996,286.73774593255337,287.1241855893471,286.8634448691376,287.01879338007393,286.65195610515866,286.83364670027777,286.97528897217944
3,1850-04-16,288.07713011576465,288.06317574540003,288.148762237225,287.9875071236904,288.3370765039709,287.904411094071,288.23983157157227,287.7682228724289,288.0228125568198,287.90664316589994
4,1850-05-16,289.44218185426763,289.2410320864794,289.35011843309707,289.24083523884906,289.42099134550676,289.32357074715696,289.505005217292,289.19249191930106,289.33713603000166,289.27982362953657
5,1850-06-16,290.33257569980634,290.4407865363408,290.54342644358763,290.2925926478084,290.6318173835945,290.381870807295,290.3107841843333,290.24035157689474,290.35530604617713,290.3654337139696
6,1850-07-16,290.7958213873141,290.72858156760344,290.9560459379053,290.8010026905354,291.0468167874799,290.80400603215355,290.6972295945005,290.60986899604774,290.7930785030109,290.7866330839664
7,1850-08-16,290.4858469198421,290.55852400051566,290.7990406959388,290.62171838657855,290.9489479019412,290.6401160043752,290.45996208843815,290.3985943782322,290.59658245084927,290.5253692660199
8,1850-09-16,289.8147453558069,289.7643705861185,289.86715180660497,289.72625468960393,290.0839325968467,289.8804822826656,289.4842634819344,289.53480443744076,289.8601062373961,289.7635817184132
9,1850-10-16,288.4206341009459,288.40998918808,288.4843374008518,288.25116071329353,288.7612726555761,288.3538124731633,288.2877723079558,288.15911668571334,288.3943542137063,288.41341044329266
10,1850-11-16,287.103981304689,287.14248698653336,287.17970878603876,287.08688746158094,287.51490051745094,287.09854870964404,286.9880999519072,286.8232557226374,287.14438588540577,287.0964480857808
11,1850-12-16,286.5210162833275,286.16623642056675,286.3353103703251,286.1731370260962,286.79301833741727,286.2043196307742,286.1913191940134,285.86197991495106,286.28877025505597,286.1355554984225
12,1851-01-16,286.3682818056008,286.1053814247544,286.2232597122961,286.08471200461685,286.73806167031194,286.05064632028524,286.0909791897853,285.933309285929,285.95778866548,285.8776586048836
13,1851-02-15,286.49381075451805,286.2000570533926,286.26802919768414,286.18003187019394,286.8040553062746,286.29409759993314,286.24107178168924,286.1388756561859,286.3337165369561,286.26195316121846
14,1851-03-16,287.03956925837593,286.6539867226862,286.77805732315625,286.81369639648716,287.41800281659437,286.9651455763573,286.83036281731546,286.67108779556435,286.86169391414376,286.9067397349551
15,1851-04-16,288.11143235807384,287.8477768924665,287.8319754644665,287.9878993998626,288.472076391578,288.0215932049169,288.0306362499788,287.76953213591617,288.0425408633922,287.9286586239567
16,1851-05-16,289.39947526260335,289.0943746624076,289.3555065757981,289.2692375659111,289.8271179008143,289.29352017661427,289.2419873742935,289.0482874044107,289.2680019239734,289.16239673107367
17,1851-06-16,290.447464334724,290.2979927443527,290.515715456758,290.3271326870922,290.8695191643171,290.3347164785121,290.27611090579967,290.2957886101496,290.4103129240875,290.3587243071699
18,1851-07-16,290.94253060030553,290.714311124837,290.8047742599131,290.80319741690926,291.18915107059945,290.68519032762765,290.76738965427023,290.57825920697184,290.8850283074246,290.8794217660295
19,1851-08-16,290.76686786578955,290.5825305943979,290.7219451425544,290.5827921955379,290.82422008329644,290.4398695790387,290.60303057891264,290.5181382640449,290.5946295119384,290.57674511705625
20,1851-09-16,289.9803490309471,289.8107156203574,289.9209469140615,289.69016014043916,289.93291563700274,289.62556704088587,289.81481326219347,289.71764503246015,289.7378217155914,289.9010027365323
21,1851-10-16,288.6613415038435,288.4834020920147,288.5424326113843,288.3364232899332,288.59379602955096,288.29745692503064,288.3515980243059,288.27566316766143,288.29578980807497,288.4809128171062
22,1851-11-16,287.5648366408598,287.1547441687894,287.27884288567935,287.08026143287697,287.37452798315854,287.0164201036017,287.1831509284663,287.02817875764293,287.00422497490445,286.990563870419
23,1851-12-16,286.8025416495442,286.3397226292202,286.43056375052487,286.2514718654059,286.4050204298684,286.4413111851265,286.3473534084769,286.22105863154366,286.2721482579813,286.123833887149
24,1852-01-16,286.65511072471867,286.00847491901146,286.1174008934216,285.99699650039946,286.1035278032834,285.9474726303681,286.0042568001082,285.9731638118506,286.0805837117189,285.72270441807717
25,1852-02-15,286.8427483542543,286.2163077016062,286.5697885750709,286.36641866261374,286.5169060744535,285.9883862868333,286.30052111233454,286.3439600263597,286.1916983094417,286.18514447799487
26,1852-03-16,287.48996157897545,286.84092078834595,287.15858621217194,286.8351522890727,287.1110300628064,286.8905726303067,286.7707812379105,286.94361663358245,286.839725181685,286.9070832026124
27,1852-04-16,288.4493167139233,287.9785703029548,288.195514681433,287.98410849522986,288.17279871782006,288.00224060842265,287.86301559742463,287.9473172932065,287.865794411691,287.8386084944022
28,1852-05-16,289.6604592890365,289.342248389426,289.31500632564365,289.2277177841551,289.2951226858846,289.3517254693668,289.25718811344865,289.2990977500355,289.1998435817806,289.2660707651293
29,1852-06-16,290.8039918495084,290.43357021067004,290.4817133144942,290.35729656942834,290.4065307839293,290.3522047166398,290.31702384429536,290.3837088860205,290.48608286614046,290.44746521284975
30,1852-07-16,291.0652638212102,290.810019158848,290.8229124276986,290.80981999474244,290.79755823371625,290.75459855891063,290.76458932323976,290.7927304432377,290.8125670524116,290.76553780717154
31,1852-08-16,290.8539098964757,290.62947405546487,290.67014461905546,290.5492319483065,290.58867946697944,290.62037180061554,290.59890416257053,290.55882596920804,290.56537593169116,290.6162386183819
32,1852-09-16,290.0149370191276,289.74438660648866,289.9056442213681,289.8082894908436,289.82926723758226,289.8368614441574,289.8315086052306,289.8246139994974,289.73230249967156,289.81692056750995
33,1852-10-16,288.6320146613739,288.3409563383064,288.4208750138742,288.5261984993125,288.3048960699578,288.39013168646284,288.43441023891836,288.58714508067135,288.41651642339843,288.41949963175983
34,1852-11-16,287.1693289928959,287.02508640965164,287.1892485995093,287.2159367112032,287.0148650785018,287.0528066941468,287.0568647223393,287.22210085114665,287.0801879455723,287.2035401144911
35,1852-12-16,286.52280571369187,286.1925551325096,286.2301315873938,286.53008001078973,286.3740786809882,286.38875170561766,286.4338763965348,286.33705316254014,286.12929758609465,286.3711327205276
36,1853-01-16,286.04823476261305,286.2120357732103,285.991657965003,286.16866559223934,286.0346446383193,286.0787202173595,286.15882526556123,286.1239923858218,285.7281444956912,286.0870539722193
37,1853-02-15,286.3546357896085,286.303991305647,286.55404010475024,286.22179411646044,286.19086024534425,286.3920906557802,286.44717802318957,286.10302138488873,286.042373180197,286.1304034452278
38,1853-03-16,286.967412219214,286.92995878722365,287.0632219419256,287.00125593986417,286.6537913438193,286.89669825279316,287.07397571108316,286.755089821292,286.9665486097667,286.8338924447022
39,1853-04-16,288.0562186606874,288.0220436087793,287.94715696348845,288.1855845679639,287.9543522186391,287.93625006895047,288.1193645054703,287.9910090266786,287.9021681245014,287.96455363954743
40,1853-05-16,289.2491940110667,289.2717518353977,289.3043171139498,289.472998104498,289.1803250272072,289.2566383868641,289.304612980132,289.24249973852875,289.23094622452356,289.2863495280172
41,1853-06-16,290.42382785054104,290.4194978507808,290.4080122127877,290.4460382775408,290.24926022191863,290.42833645450753,290.4252590839348,290.4604958058299,290.312725677025,290.4195888023705
42,1853-07-16,290.72508259388434,290.78669605873273,290.89726735444293,290.8783179373361,290.66510585299346,290.77118240053056,290.90618403583966,290.78770200023763,290.56566339756625,290.9473335414862
43,1853-08-16,290.4696380036811,290.57267357289544,290.7193513316935,290.7118951178263,290.470820761222,290.51782273380957,290.52149925527,290.545074854938,290.5736390175709,290.6570309430802
44,1853-09-16,289.81831350847324,289.7509616838668,289.7395887200047,289.8697068410146,289.66626234436853,289.81090959456856,289.7895737446327,289.76047807827064,289.67351939634887,289.8233698905422
45,1853-10-16,288.4993642221381,288.28586315847144,288.4240304555554,288.3449877586666,288.3763251192292,288.3804308343397,288.54749950206116,288.22472345054564,288.152064621046,288.4297606340157
46,1853-11-16,287.0316870823017,287.1991827018188,287.23519422202094,287.1866445325336,286.9789441331156,287.01705394163247,287.26284562545516,286.96211961274764,286.84882551879775,287.009221693663
47,1853-12-16,286.3014579211432,286.43841162695725,286.44399808973685,286.3224284898247,286.25562316104237,286.28042702082337,286.3415327024701,286.24522759218246,286.17530052600154,286.32914895161406
48,1854-01-16,285.86774407700767,286.28688079468543,286.267092205622,286.25346387670464,285.9606445011569,286.2026873584432,286.2243711710397,285.91505399570934,285.99373131877775,286.331873842459
49,1854-02-15,285.9956355813837,286.5861178963156,286.50945929648867,286.3437314374866,286.30932003831515,286.28553420464067,286.4755303358171,286.0622312427486,286.09926741611014,286.49417504540986
50,1854-03-16,286.919868465341,287.1322711000305,286.8848802868511,286.8471651175036,286.8273479604656,286.7862197409857,287.0775057111898,286.80402169859974,286.6551733979121,287.0363895701033
51,1854-04-16,288.0019399281121,288.1661046330191,287.994758150233,287.9205671013334,287.93833848851307,287.8907398914465,288.07590541988776,287.9633467891677,287.7972616043322,288.0445831172076
52,1854-05-16,289.3269072915815,289.3927840649766,289.2949197869776,289.29604507977234,289.1774349665441,289.3696051430852,289.27472464270147,289.1353805156466,289.17189898953296,289.5235788745419
53,1854-06-16,290.34558250054965,290.5910719000305,290.4242201135451,290.49196246367654,290.38285900184286,290.4261684199634,290.4180898014742,290.40313958663756,290.30175470781217,290.5694226307028
54,1854-07-16,290.80232258724266,291.07543617795983,290.8732422533507,290.8069218843725,290.63709963213887,290.78796547112785,290.82952927313477,290.7739906878618,290.7274993313486,290.952630793365
55,1854-08-16,290.5829607531276,290.8436980935163,290.66704067898354,290.60329725614184,290.46509483285405,290.5848752210343,290.5525044042446,290.591270067055,290.4832798755091,290.8692210744485
56,1854-09-16,289.78309016872936,290.129901780426,289.9681887031329,289.6871087595158,289.7845791556164,289.8563113595805,289.7653550623606,289.7856630008618,289.809887199771,290.0253244308487
57,1854-10-16,288.37162096188814,288.6707640366705,288.57120346914047,288.20666190215354,288.4018771149726,288.414218969697,288.46896818524385,288.35327229502894,288.3036228184204,288.72950906471885
58,1854-11-16,287.1319067243821,287.5867365883039,287.20873297813796,286.93000042143586,286.9861185463018,287.2133015958459,287.04771689212504,286.9543813117766,287.0637949439775,287.3379275374621
59,1854-12-16,286.3323665100087,286.91053671473617,286.5584161784581,286.06822151627983,286.33331002363275,286.48222616204464,286.19902465935957,286.1353892285602,286.45603881209223,286.53904539973837
60,1855-01-16,285.965178976441,286.7455250752045,286.3676658988274,285.80622910607383,285.999262433106,286.1833823800707,286.04304180043033,286.0620707647875,286.14608837599206,286.3550942971305
61,1855-02-15,286.17878641894623,287.0593729458361,286.4571085564926,286.0418949006437,286.33899544740757,286.61930610239364,286.2426639596684,286.440596168186,286.2894164544384,286.39112679218437
62,1855-03-16,286.8146204685009,287.4094899033423,286.96386485351377,286.77158424480183,287.0150278849298,287.0358885278623,286.9740870433891,286.8538137082656,287.1776520127271,287.1180091855908
63,1855-04-16,287.8439354975853,288.66389140297804,288.1424546172995,287.9025272403205,287.9377776493621,287.9155096312541,287.90941157761955,287.86543990738187,288.17986103010526,288.3796277781362
64,1855-05-16,289.35830176960417,289.88551129838004,289.50072178240697,289.1767017512198,289.2602061264369,289.3844110198073,289.2494413880747,289.37212144742966,289.2743773382566,289.471497951152
65,1855-06-16,290.38258732288455,290.86368693258873,290.5611549544246,290.3530471477788,290.4776234456677,290.46356427342636,290.4179156046906,290.494672328094,290.4441151270688,290.54510229141664
66,1855-07-16,290.7471948187075,291.22080589440543,290.7848592805915,290.7715407041387,290.8847901165074,290.7615301461419,290.7683202377292,290.89875212018046,290.7987610331362,290.8525980317375
