,time,r10i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,1850-01-16,285.12067929327134,285.07158223207375,285.16165805518557,285.1520880218766,285.22894316752775,285.02553951226264,285.3908078373017,284.9044899302147,285.0451888149442,285.1290037747665
1,1850-02-15,285.76758305948977,285.4451919774454,285.5200865610787,285.35355839119273,285.4474326038285,285.34279964332535,285.95494687510643,285.378808978319,285.0650899050365,285.546666091958
2,1850-03-16,286.5145598478845,286.1887436365461,286.29602848374856,286.0747723622709,286.12887083294345,286.00448534377773,286.33978410021433,286.11693495559985,286.06199404506117,286.2781453009263
3,1850-04-16,287.41741131863,287.2585939857778,287.4475538420042,287.0273272011937,287.20656642980873,286.9967453377861,287.42299808712045,287.1026448106601,287.10266012489006,287.18918865825714
4,1850-05-16,288.29941512861467,288.20704715212327,288.2552746568622,287.98535507520654,288.10422334253167,287.9410660715289,288.463197903915,288.10047981869565,288.1225357293725,288.2850642981696
5,1850-06-16,288.9925303668981,288.9454239446841,289.0425766048961,288.7914345934018,288.860691436238,288.84426506079876,288.97043745896457,288.783076405186,288.8375006881388,289.0983381169387
6,1850-07-16,289.2606329266364,289.0244778183295,289.1176807825924,288.967589665615,288.9989499665628,289.0100908654924,289.19238910478424,289.0115387600718,288.89561127208304,289.1691720316415
7,1850-08-16,288.92639581926585,288.65989226481184,288.88365732321955,288.6128784547254,288.7294408229088,288.5960510970233,288.8770688490085,288.73968255451354,288.73709838830604,288.9087798712194
8,1850-09-16,288.2380633218822,287.9645885548534,287.941051562875,287.89396691757355,287.97918473098514,287.9718680676898,288.18839229795503,287.86830789134024,287.9450977701521,288.1483989156617
9,1850-10-16,287.3602521606228,286.9314832234849,287.0275914040868,287.009142253985,287.06678248885606,287.07383286957446,287.2252368981561,286.9580106417884,286.95533911243655,287.2277644350235
10,1850-11-16,286.40318415251676,285.8172301200433,286.06260722597267,285.8878343371097,286.0077901281341,286.0036246216828,286.29007059018227,285.97733049651043,286.0376530889175,286.24132475851644
11,1850-12-16,285.44638309454126,285.14695343960545,285.3306548289761,284.9279614798098,285.0653430785998,285.287941591211,285.76011088581737,285.24690198218974,285.27819261963504,285.5188555918567
12,1851-01-16,285.40413507161264,285.0023843767435,284.99362306613887,284.9694902388672,285.111174795786,284.95985678758274,285.45233813172564,285.08542636982867,285.04984561671677,285.05728749380677
13,1851-02-15,285.90678388311767,285.3700960343859,285.13736217250937,285.29197393818794,285.5643949790418,285.39753180175023,285.7366341782785,285.23613217317006,285.2554435628181,285.4768235325268
14,1851-03-16,286.3947328905898,286.21306168321655,286.1790807441694,286.08028794610317,286.2099317997584,286.0568723845939,286.3134102420511,286.01841538314574,285.908330702199,286.32259738621485
15,1851-04-16,287.21787273718803,287.00226649398496,287.2918416245416,286.9545899209306,287.08059988322907,287.1567380876324,287.3131309349118,286.9970645162887,287.03480275831134,287.2192230041202
16,1851-05-16,288.39807432099116,288.1135886591095,288.1642954097393,288.0127895907756,288.25729227315827,288.24925406871955,288.23032996467253,288.1205379830974,288.0677152081904,288.1147898935256
17,1851-06-16,288.97385603674985,288.907999178961,288.9539697663494,288.8343393141877,289.08672853963503,289.0256716210665,288.96857775339015,288.7871346900269,288.7254464705781,288.8966167569825
18,1851-07-16,289.1646924734004,289.0325714439511,289.0881007064992,288.86421203399937,289.0066832458919,289.0552671276953,289.2226418895953,288.9389829401733,289.0470471858449,289.05378639680566
19,1851-08-16,288.8871640495113,288.76035328159395,288.7496108511239,288.7461265097643,288.73689929398654,288.7866020833489,288.8890600316385,288.61722038859494,288.7242756671303,288.6849238483769
20,1851-09-16,288.09397288210545,288.0379503312095,288.11608054787837,288.0657191728207,287.9979983248985,288.1777580550765,288.23229670876657,287.9536833278734,287.90852943239327,287.99167503015354
21,1851-10-16,286.9726965955381,287.11434455898353,287.1742503345974,286.9979281513642,287.07049407103807,287.202250741618,287.3884429132906,286.9377450331694,287.139155582735,287.17300967173253
22,1851-11-16,285.99840007507015,286.07158471313005,286.13009924744006,286.0569274157577,286.05505577536155,286.1496606750266,286.1940361989265,285.9847207498895,286.01931056256325,286.04188690136755
23,1851-12-16,285.36542764972467,285.31633335100526,285.360255700433,285.12703370341166,285.29459168996016,285.294162090662,285.40197907524276,285.1996269545822,285.42084938358784,285.1260783074469
24,1852-01-16,284.9332956028118,285.2352432713889,285.0781347162658,284.8024513503089,285.0519381340228,285.09696515672846,285.0835478929507,285.08028581784043,285.3295848427447,284.98394370505025
25,1852-02-15,285.54755627847027,285.3523758729233,285.32996467976693,285.3855467479599,285.5160352839215,285.3582497814877,285.5576032707197,285.4856061544019,285.39988010109624,285.62626574590007
26,1852-03-16,286.2429234797597,286.2428100285674,286.22075148745535,285.95752849711727,285.97404523268773,286.0650498174447,286.3381852002971,286.17225228959006,286.1718810558839,285.94839642565023
27,1852-04-16,287.22590808049335,287.2990381038575,287.1699447806901,287.04564202439155,287.2088588328518,287.16771449163343,287.3456386894882,286.97503161475106,287.12459577269857,287.13153581905226
28,1852-05-16,288.1214744548207,288.31253336558495,288.2010465321309,287.9572833840937,288.1794288052803,288.11074194281196,288.37348690014943,287.96697879845163,288.18891134018213,288.1770581601425
29,1852-06-16,288.8500081745521,289.1202793684305,288.87685957089354,288.6922886919076,288.9641600190929,288.89512398081933,289.01564326599123,288.66045830810657,288.86871031368196,288.8929636088102
30,1852-07-16,289.0370918078267,289.25973789846915,289.14444589288325,288.8364278115327,289.0213027821393,289.018409848504,289.0274874484129,288.8618662123139,288.9342562854369,289.1357762671298
31,1852-08-16,288.7639490976529,289.04748594511346,288.78456005531416,288.4996738700235,288.7072380063903,288.735687214826,288.7327231622962,288.65222638362474,288.64089856984435,288.6570180273378
32,1852-09-16,288.10651050456295,288.2556984739879,287.95108080143376,287.73574146836745,287.7808908988173,287.98621011660106,288.04519268126353,287.893144421911,287.88908145725713,287.9190281906224
33,1852-10-16,287.0414067633174,287.27981309292096,287.0323184706505,286.7580119703821,287.07752583198527,286.9071885006218,286.99163774170205,286.8964378438909,286.99105630895906,286.9521747567266
34,1852-11-16,286.1051865697913,286.2226104678086,286.0025202723022,285.6810188211429,286.0424934848542,286.015040049707,285.98311374653315,285.97720483642814,286.0314092519506,285.86298071675077
35,1852-12-16,285.5541301624864,285.63438863809534,285.25078833039663,285.0853878942412,285.4172300618273,285.07074272000426,285.2617694851186,284.9658348449654,285.2984277823043,285.31020383803116
36,1853-01-16,285.3600115275768,285.37747430269854,285.0307873036264,284.94516049923726,284.9568511093275,284.84070209836744,285.00849629741117,285.21782983534945,285.0167567241876,285.0599245953938
37,1853-02-15,285.74030601972754,285.5981709043755,285.4295074429234,285.2897847247506,285.27246777038624,285.46645637444567,285.25852179329,285.4818606645781,285.3143188806958,285.2285109259579
38,1853-03-16,286.5397880650226,286.33676075248866,286.2764912702115,286.0226979006827,286.0482485143086,286.21666290595914,286.12949233441157,286.181860106906,286.05432285975184,286.07938682688604
39,1853-04-16,287.4715755349555,287.4470477581853,287.174304168454,286.8924292420509,287.02339077840884,286.99618306564435,287.1276751117259,287.25047449659377,286.9853167660397,287.13082629237294
40,1853-05-16,288.32780788571375,288.3931317159086,288.2059858182638,287.93973454332445,288.07880924364,287.9773614242331,288.27813786506306,288.06420269018497,288.0167408300623,288.1651626056962
41,1853-06-16,289.0546931387238,289.181791639965,288.978781245829,288.6746596855612,288.8944215269203,288.69686880897154,288.8514711236188,288.913718195497,288.76381317358357,288.9577042810686
42,1853-07-16,289.2715998922801,289.3976845681707,289.1223357729048,288.89726295772994,289.0873176437029,288.84136078867726,288.9218162927545,288.96540781052937,288.8452066330783,289.01319965741965
43,1853-08-16,288.9168747046188,289.08829708522387,288.9199922200355,288.6042011317605,288.70931521266635,288.6013996941077,288.73404366799343,288.65287303034165,288.58352661026584,288.7165982890766
44,1853-09-16,288.1253056195797,288.34207261053484,288.11956872795975,287.78070636738033,287.9638422905259,287.8660693303124,288.07413333216357,288.0941885384868,287.9296609174662,287.92675324487027
45,1853-10-16,287.22850408131404,287.350138301871,286.90973888768417,286.89788320574274,287.0071068260978,286.84673411701164,287.11718497962624,287.0761905733044,286.93493377573753,286.9742829668553
46,1853-11-16,286.2598951391321,286.33484855131735,285.88708597471265,285.8618477932764,285.9403276734,285.8366656297137,286.025061827744,286.0599595458866,285.9782823788728,286.0532851819279
47,1853-12-16,285.65984546154044,285.69565352042684,285.2986069347152,285.1695936537976,285.27135714113786,285.28173531369424,285.29613602708326,285.3283594217083,285.24338682436814,285.36682262084724
48,1854-01-16,285.2592431424294,285.2159131157972,285.17027788,284.9230481623774,284.98248015780143,284.80456553880373,285.11708211204564,285.0591797916958,285.06252836923863,285.2430258742925
49,1854-02-15,285.72288758043914,285.498335065888,285.5679592147003,285.495353742103,285.00657112570093,285.3058657922254,285.4451589151449,285.3617574756263,285.4387005806654,285.1771125001646
50,1854-03-16,286.3219195507578,286.22643754268876,286.27764697909873,286.10875820998683,285.9128617278101,285.9945154452833,286.2395502112172,286.05262481994686,286.20383192103753,285.9437240441003
51,1854-04-16,287.3348419422313,287.32538415444316,287.264591459647,287.08789950341765,286.87663689357765,287.0043276905318,287.2038821243207,287.156475209569,287.28727548091535,287.03569144048436
52,1854-05-16,288.16302365572284,288.1840773659766,288.23946143399354,288.1139945822662,287.87763135541957,287.8886850368641,288.1982895519296,288.1035030671221,288.197186024726,287.89476675395025
53,1854-06-16,288.9327572606914,288.86807451804776,289.12378234267044,288.9061218102525,288.7041359213042,288.6742597928439,288.82645813372187,288.9367115034156,288.85062047275005,288.5681128649635
54,1854-07-16,289.0529369784153,288.9170935442053,289.214022977917,289.029418503159,288.9835199117877,288.7903841831294,289.01824137743483,289.1651447123222,288.8594114575318,288.77947620895054
55,1854-08-16,288.8376858314082,288.6926042564057,288.92420325662636,288.7179210599764,288.6912341503443,288.5025818525957,288.82546221353056,288.96039847031244,288.663556612225,288.50142833906995
56,1854-09-16,288.0716967670822,287.9410329152294,288.21702305246475,287.84274388230887,287.93957988457834,287.8607833589997,288.01804762343176,288.0859895123797,287.8512832754742,287.8008516106788
57,1854-10-16,287.15947612285805,287.0775190069669,287.13851789873667,286.9637587369102,286.8915895939002,286.7868634674065,286.95479947849475,286.97551960460913,287.06961530546386,286.8976833048593
58,1854-11-16,286.28429704126097,286.02879930863213,286.07058988194774,285.900704451787,285.91644271975775,285.7253726978964,285.81146997085426,286.00866824482495,286.16247676270063,285.67022588540743
59,1854-12-16,285.44287787586705,285.02682071811876,285.3786457953618,285.3120592846348,285.18408127239314,285.209227337311,285.1698054423092,285.3387543788677,285.21701137737136,285.05262146666047
60,1855-01-16,285.1651919011509,285.0868377705782,285.26739588390257,284.978940412579,284.8399059396718,285.0161659071659,284.92702632523384,285.21602124292895,285.1410269414229,284.8024957287629
61,1855-02-15,285.4042593093078,285.3786918572533,285.6223491201956,285.3931987566108,285.3333200253019,285.24118028807146,285.268481138432,285.5748875695656,285.2949726444852,285.32080732125837
62,1855-03-16,286.1659548277112,285.9872525340147,286.39514329145925,286.08101190189626,286.15662885666285,286.0180376545918,285.88396105912625,286.0999267899427,286.31440141738835,286.085134220085
63,1855-04-16,287.1290852581098,286.84678038311466,287.33490573305386,287.0321627005011,287.1945641554094,286.9685068208857,287.1400190634907,287.2434009300336,287.18748699848527,287.1078858890273
64,1855-05-16,288.13509810600306,288.0644257271915,288.22680628434756,288.0652430174719,288.16185290163196,287.95654191610646,288.13046822842466,288.0339984193784,288.19485406945324,287.92098012160153
65,1855-06-16,288.79189385791045,288.8720734988394,288.9498550860022,288.7665554043022,288.8677763545095,288.8237706451947,288.8260578985995,288.8486774910324,288.9312912039701,288.7219829079011
66,1855-07-16,288.9190701533106,289.15386586250247,289.19681268154426,288.92165215308603,289.0860280276377,288.99221595480304,289.0191528429119,289.00730573084775,289.1221201973158,288.7966276097699
67,1855-08-16,288.685860142761,288.6857312899822,289.0217048611526,288.63911176618484,288.70894223787315,288.5887340743056,288.7598961067585,288.610658522373,288.84984874878194,288.53839792153525
68,1855-09-16,288.0500377316517,288.04813702319956,288.2882749710618,287.9380765298282,288.03749638135935,288.0617602826472,287.9139808699345,287.88975077381303,288.11238141481726,287.7768592634827
69,1855-10-16,287.2083642724056,287.15878248244456,287.2688917498442,286.8623191162952,287.02323744966856,286.93839774435395,286.8900062240738,286.8947962330071,287.1863395231003,286.78610303824235
70,1855-11-16,286.25736700814485,286.0139233663633,286.3547168747322,285.8309119036939,286.1464510682189,285.84822209255145,285.99929456682685,285.94262194575975,286.3057613499886,285.88506992142317
71,1855-12-16,285.44967415978704,285.3745912019398,285.38207002437053,285.11036453600934,285.29105862238237,285.15796073608857,285.35461105128417,285.1698152469362,285.38257634599046,284.90590034909303
72,1856-01-16,285.3713766670012,285.28732199638284,285.2754918948731,284.96081228669766,285.0689522856822,285.01775876278555,284.9978920780168,285.07292320235456,285.2678803351496,284.6532667307486
73,1856-02-15,285.59650029352684,285.4835849463402,285.5432253000256,285.3698622367715,285.4366504454512,285.2162346180154,285.78039719305684,285.5388546392703,285.3355301045602,285.235862194351
