,time,r10i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,1850-01-16,284.7105173682371,284.62253533043514,284.7962329985899,284.66072311380543,284.37387247682096,284.41502969448396,284.78193121285386,284.61165176241445,284.6636354391332,284.74154019227103
1,1850-02-15,284.98338746896275,284.92618334511087,284.97846168309354,285.0132204591464,284.944057316791,284.8640835876073,285.3256501290396,285.05730759586595,285.0688620700064,285.1395746043282
2,1850-03-16,285.78436312238887,285.66966540307266,285.7812517450908,285.7093517521615,285.7247501233167,285.5980014004789,285.9594876076787,285.5768454058085,285.92390971374783,285.83483992590675
3,1850-04-16,286.74341263794133,286.8018552712987,286.63523367862564,286.75049327206494,286.6603742797138,286.4582910909324,286.84815207489686,286.75300286518626,286.8828499393839,286.85675041363214
4,1850-05-16,287.54607341305365,287.5871696277753,287.5620253080489,287.8030409593079,287.55357729906393,287.6530875120156,287.85903212142847,287.5855685913628,287.6749203031801,287.85080040401493
5,1850-06-16,288.37025380762674,288.3795946206279,288.26316308856184,288.6368460450032,288.33724223018925,288.2692699401635,288.5182999037567,288.3607915074723,288.3793545925874,288.5100442755063
6,1850-07-16,288.44269897979467,288.56120670926174,288.44330146368344,288.8331580445941,288.6687237487529,288.5848507543202,288.68168043585797,288.5594097134441,288.5399443243664,288.79766082674496
7,1850-08-16,288.1543021313988,288.358420594108,288.23690160216114,288.62231206056276,288.2960449580942,288.25026802619465,288.3430882532215,288.27961503584356,288.32879082309273,288.49690520720463
8,1850-09-16,287.55342922374706,287.64606775568524,287.4310580083795,287.7622687310431,287.4703363887563,287.56727458628507,287.74484681130104,287.6833993988674,287.3983377888844,287.7166742887708
9,1850-10-16,286.5710847286925,286.57316332394794,286.3681105689865,286.67781934925904,286.56470110435083,286.363313795162,286.649585675834,286.52202465713185,286.30522162197803,286.7588005596924
10,1850-11-16,285.7141881634808,285.5719078034852,285.2653177068092,285.63827853439585,285.55094689590146,285.3863482299805,285.63962012357666,285.37950375982535,285.4353469389752,285.73548783262396
11,1850-12-16,284.7838860850021,284.63483446208846,284.50624783892863,285.032360150955,285.0713755607768,284.55611682610345,284.8327831640631,284.6318856364178,284.7350050053568,284.79026253104763
12,1851-01-16,284.6181516653327,284.35990199232907,284.43539736057295,284.95023153321944,284.9169320616616,284.5180830576649,284.54563346785227,284.73302120523414,284.53313329922565,284.83625816162794
13,1851-02-15,285.1403841423638,284.9446396335816,285.0311635403631,285.0976769488351,285.1750684025688,284.78099675890513,284.99102086703505,284.95242322107686,284.69283070956493,285.0927253173024
14,1851-03-16,285.9181998449956,285.69157083344277,285.5057017148945,285.8314262355668,286.0021747286402,285.5379792715433,285.7668722021311,285.48142847856656,285.4639118288865,285.9476045366939
15,1851-04-16,286.87009286016576,286.6677095841295,286.5780945807685,286.7758733957407,286.9594664682375,286.6075848895749,286.73628820026846,286.6157388448694,286.5571065945216,286.8430915068821
16,1851-05-16,287.7567419570315,287.6114126813116,287.6013610095783,287.70785510720964,287.89799192032615,287.6514464016747,287.51010190897284,287.687227778807,287.47975630539594,287.77749240186125
17,1851-06-16,288.42844563121184,288.3276559827625,288.3367774247574,288.44580855198313,288.5847471133056,288.2677480504275,288.24284019128913,288.3765988237009,288.2507748073151,288.52444105931636
18,1851-07-16,288.60994792609233,288.6048245375533,288.4707138702452,288.5402121667937,288.6810245289197,288.5579308491699,288.49880345360697,288.6454401410838,288.5733618094017,288.6704345180565
19,1851-08-16,288.38171818473586,288.38065353747817,288.3117256094533,288.31317763156864,288.4627416414401,288.14865535360036,288.25314174917213,288.4304259334577,288.247517442533,288.27179151993926
20,1851-09-16,287.6180388389985,287.6316617841488,287.5467674723902,287.61946548083415,287.86088884537963,287.55009347734756,287.4713268775393,287.649471665393,287.55040496067414,287.4761180411952
21,1851-10-16,286.7270934439127,286.4969933213088,286.50459436904293,286.6786958537234,286.70032535328875,286.5046498482329,286.52604779155115,286.57764327523887,286.71364124274277,286.55257596871235
22,1851-11-16,285.5503414945133,285.51515781271405,285.4593908980142,285.6394705877316,285.6765413255038,285.1997595301606,285.50800214372987,285.55745174896066,285.55170847400507,285.45793826443435
23,1851-12-16,284.74124793890957,284.88813527543573,284.7383181834086,284.81179438670216,285.02604151925715,284.67174364844885,284.5536000775584,284.76944406135084,284.66776416724736,284.8782162409787
24,1852-01-16,284.61607576698003,284.56825284108373,284.2034564791905,284.5905581230156,285.0696694491042,284.6458346396538,284.567460597909,284.4675410935614,284.56834927404844,284.6311521917849
25,1852-02-15,284.80510788901427,285.05731586530237,284.874163305438,284.8275166626392,285.2785104629774,284.88674382547663,284.92262243830305,285.1350452419576,284.9565164429534,285.17983143943513
26,1852-03-16,285.7000951269769,285.68758132504604,285.6919263684048,285.64187643357474,285.8680569426809,285.50680363383105,285.60467980114055,285.87224033759264,285.53666876956095,285.85301166288394
27,1852-04-16,286.68140373726226,286.6516138140021,286.63511151535556,286.71061657397894,286.73178459834014,286.6462493902106,286.68697786342767,286.71683141508385,286.6437787297623,286.64997882820717
