,time,r10i1p1f1,r1i1p1f1,r1i1p1f2,r1i1p3f1,r1i1p5f1,r2i1p1f1,r2i1p1f2,r2i1p3f1,r2i1p5f1,r3i1p1f1,r3i1p1f2,r3i1p3f1,r3i1p5f1,r4i1p1f1,r4i1p1f2,r4i1p3f1,r5i1p1f1,r5i1p1f2,r5i1p3f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,1850-01-16,285.6606491435813,285.41827447650894,285.56543180505435,285.84551219547114,285.76047436149395,285.1919778709989,285.3776307917528,285.7380048829702,285.9388906683127,285.61422412612825,285.033049173283,285.4877035101674,285.77034300709744,285.6212598308815,285.20447373838056,285.6578756151935,285.66865044365073,285.2941076719282,285.86101780844206,285.6846529361409,285.25137413140135,285.71909901863745,285.63871054184233
1,1850-02-15,285.9328278041113,285.86944788125044,285.6925759873743,286.1769196880335,286.1715332084815,285.98723381778393,285.5189391522065,286.01039664500337,285.9932928888781,285.93927399145696,285.43983515855734,285.78423433407704,286.1480695170298,285.90060085120484,285.80260455933933,285.9503198281101,285.836628067901,285.5143705660572,286.2884039808701,285.89792074499485,285.28595381391403,285.9456461622222,286.21654825089485
2,1850-03-16,286.54360302246226,286.5736788044488,286.3769741588128,286.76830951554166,287.10596565090736,286.51336068850725,286.2628751813414,286.6992389581815,286.7048246859004,286.5586217568355,285.92646547749575,286.61027955200103,286.5234906246453,286.4677226034676,286.14260328569424,286.72293530053383,286.4018181966932,286.2587495406602,286.9282339055645,286.7014689863262,286.3122490966753,286.6479940237813,286.6522157843068
3,1850-04-16,287.4209496741617,287.324710472602,287.2428603467535,287.7637411044652,287.9131737650219,287.36173605265543,287.0424275329919,287.5731650268456,287.72298181497,287.28204962501434,286.7430402677162,287.4381156789119,287.369367807595,287.28563691538386,287.0253238011444,287.45026091100175,287.12694049583666,287.2562239075691,287.7679617671821,287.3650189748048,287.20540654250215,287.33676976871885,287.4623873434061
4,1850-05-16,288.1564668083839,288.05092724907354,287.9538960246775,288.54300802065916,288.62774042574347,288.0263966660637,287.88060025762627,288.3467146743769,288.36621488608927,288.08517685978387,287.6211366543313,288.04922601229225,288.2131835174873,288.08139010663496,287.70099537741584,288.19147765589173,288.2193429407477,287.734140391743,288.32454369850245,287.9733482997964,288.0149435834895,288.08918936215736,288.22802117398186
5,1850-06-16,288.8308527231554,288.69343671348645,288.5240099018147,289.1579205765624,289.4682334157214,288.8339528077582,288.5527719432967,289.01115998603257,289.0445414101741,288.8764681709134,288.3319004385408,288.90601979990316,289.0187385402012,288.6238162807109,288.4345862695888,288.92978692566896,288.8110011984434,288.58964732193016,289.07206777301786,288.7527665489685,288.6483044158787,288.76470549876103,288.8634135637938
6,1850-07-16,289.23858336992,289.1101262755446,288.8429057069152,289.4921529236673,289.7188025902485,289.367105009212,288.90370862203224,289.48261002452585,289.3328773839349,289.2684722917463,288.7702493757943,289.28958336709536,289.4438001511346,289.0125798371898,288.9632694067528,289.30779835409925,289.26506258905533,288.9063692573606,289.39694596202474,289.21103142811796,289.0437345176305,289.27994979925165,289.30943593772184
7,1850-08-16,289.02104384509596,288.904179889984,288.66684427524353,289.2267833438211,289.425151305089,289.1113926591801,288.6242713050072,289.1620778429551,289.1194935451031,289.0400030028507,288.5244779207255,288.97479027970917,289.0497786086907,288.88857639092157,288.6412707809443,289.07156328288784,288.9528701950566,288.7188827265694,289.26777110524296,289.04737160447934,288.78363005203926,288.9693071503367,288.956211352008
8,1850-09-16,288.13760110769294,287.99877843152365,287.8068120555068,288.47889414524997,288.6326093917604,288.2835611999733,287.9032435214898,288.48640643138583,288.478609842151,288.2312242337249,287.7562826382007,288.2036058129114,288.31040460627327,288.11787405979226,287.75343385405756,288.2741585132407,288.0931669597328,287.92211827673606,288.4502776760381,288.3415572995808,288.07542992300455,288.16419782884446,288.2803529511232
9,1850-10-16,287.2056462540527,287.14912783042905,286.736519454846,287.39767050673635,287.7707759488876,287.10303539255483,286.799304720979,287.45595999780346,287.3661367881594,287.0924201672263,286.729913319948,287.1950463501259,287.28287717316914,286.8719202198866,286.6928342417305,287.31519982940324,287.02605511180406,286.84555677359464,287.53362069963805,287.1133417901391,286.9594960792482,287.06972189885545,287.1649751653031
