,time,r10i1p1f1,r11i1p1f1,r12i1p1f1,r13i1p1f1,r14i1p1f1,r15i1p1f1,r16i1p1f1,r17i1p1f1,r18i1p1f1,r19i1p1f1,r1i1p1f1,r20i1p1f1,r21i1p1f1,r22i1p1f1,r23i1p1f1,r24i1p1f1,r25i1p1f1,r26i1p1f1,r27i1p1f1,r28i1p1f1,r29i1p1f1,r2i1p1f1,r30i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,1850-01-16,283.90876007259726,283.88423335880185,283.9466031113906,283.85833655033537,283.88382012364696,283.9057853793304,283.8570325776844,283.88476935727505,283.877404984249,283.8812419294098,283.8971045950964,283.888977685973,283.86372942086155,283.8332238279563,283.8379720158345,283.91184424004524,283.9763513324662,283.91365397939705,283.92691517737194,283.8979697116092,283.88119327752673,283.9004977374896,283.86246514569035,283.8922674551978,283.9147404725095,283.84236529217293,283.9035643880391,283.8683277383731,283.8739097471077,283.83693931838803
1,1850-02-15,283.9687675200862,284.0825009602341,283.9834871313653,284.1231393055509,284.0496618935256,284.0999423132889,283.8419152886346,284.2955623374388,284.22340550003065,284.03760499116606,283.96568558010506,284.11777269945014,283.8925765889338,284.0744573004007,284.0169019068025,284.155110943295,284.33332164898,283.99413772403324,284.07969650291847,283.9449594800685,284.1863543443647,284.0141188070091,284.20322017331796,284.20285626796675,284.33726853780814,284.00220293201346,284.0305510145053,284.005006598557,283.97955332693465,284.1873980134491
2,1850-03-16,284.77857146418916,284.65706437390867,284.6210362494335,284.6812134543598,284.8900552849727,284.84458769463686,284.749714676839,284.89691323451257,284.77061151281094,284.81500548604,284.57005180791555,284.54842847552163,284.72140001284316,284.75908687941086,284.8533796344714,284.801656570479,284.8162163560252,284.79475716291074,284.7328095319209,284.6220968140399,284.81670025702806,284.7008993355493,284.74001231685054,284.7382099008289,284.97631011951313,284.74587478877174,284.81564414556334,284.8104265276766,284.87468173179275,284.7475220792446
3,1850-04-16,285.65048547761035,285.62482158611334,285.5341502540737,285.747275087446,285.6121439639962,285.8006553079132,285.6151443400097,285.75236474493,285.65024293255846,285.6374828280556,285.57365486607074,285.63038623918726,285.83087319082387,285.7509025376268,285.74824527669597,285.5756121797138,285.7471678520404,285.56178497828387,285.86627414346617,285.5554750096851,285.47387627967237,285.80987815231526,285.7321430827796,285.7820532553223,285.68660921252035,285.5122968136115,285.7130401651121,285.6619445231906,285.83670456822995,285.6181963644193
4,1850-05-16,286.5842552196392,286.5586160272669,286.545286313151,286.67846718906833,286.5888290967807,286.61406979217355,286.56440690448153,286.52438664923784,286.6059092759429,286.5070353862741,286.46752940703436,286.5370035467292,286.5286637986859,286.5569272588651,286.48968039230505,286.48981473044046,286.45661315536665,286.45995963308485,286.67385108754104,286.5451786556178,286.54368967333903,286.6095675075314,286.55954916673187,286.44045073080383,286.64073370375917,286.52160783449625,286.7107411361317,286.5845408529083,286.67727497138657,286.4420920542108
5,1850-06-16,287.25809655707036,287.0601760311912,287.2728283548843,287.14791897460964,287.0564405549374,287.2219674127854,287.13119469862255,287.07507409895743,287.20495025094175,287.05377656098295,287.1175288590577,287.1112223085888,287.1547755333624,287.27417458197647,287.16016614784684,287.11141010302936,287.1490181669925,287.15284812206136,287.324054092077,287.1552248037585,287.1662182689836,287.16179200156,287.2322345037722,287.18885604695464,287.14073003330014,287.11858843867054,287.2745887391649,287.1695977526327,287.1918020910248,287.0246311752199
6,1850-07-16,287.4957374422784,287.3989217990675,287.4866316003941,287.5224776362905,287.4206910709274,287.34196054384165,287.42111923346283,287.4741014359966,287.3526329389853,287.41210030236596,287.55982237139256,287.45711580675226,287.4257620771333,287.68850661526886,287.5255259755921,287.46918448411697,287.45853767851446,287.52722634443046,287.5596183595701,287.4250299904657,287.38319625799295,287.543869799045,287.4925693846163,287.5612290278801,287.62046656688074,287.5418185612263,287.50400412148537,287.42432965295325,287.6783455240665,287.4861481315126
7,1850-08-16,287.2867330383019,287.2375940704713,287.29395871167515,287.49506260707483,287.40683903675665,287.5150938902151,287.30965112807894,287.3144167605759,287.30231624080267,287.3884034185411,287.39254125149324,287.4597710319785,287.43616383107593,287.44861396501943,287.39568270107094,287.361962279253,287.5538806778662,287.30288195441716,287.4403097679849,287.5679551616131,287.4598468065358,287.3411480935257,287.3819968680809,287.43948492216043,287.3261953107912,287.20991548691575,287.3950379957812,287.3694549618155,287.4773229919224,287.47707395742043
8,1850-09-16,286.67134936250955,286.69689924802,286.7500451836816,286.785158235772,286.57556243156887,286.59839452446323,286.69759908982934,286.7489510999364,286.67223062857556,286.8035110273019,286.6168362718521,286.7193127875399,286.7094290425651,286.68900908968874,286.7070462779902,286.65712267220215,286.742493676521,286.65534791534196,286.7592151110574,286.7451390683244,286.6694277882366,286.75082922401435,286.6965654341269,286.7807567230888,286.8104639294989,286.6323248055766,286.7429015887307,286.5998083140648,286.6086611454334,286.64429310051685
9,1850-10-16,285.5053311093412,285.6397635823303,285.7580276067381,285.5375644069004,285.6100061665193,285.5538081950249,285.64807080002396,285.6473459411598,285.7636208557254,285.7575055997577,285.65838168865866,285.5028771989611,285.6589628674298,285.5699051303837,285.5389465471939,285.60464184696565,285.5528075600579,285.7414378581453,285.7260328159138,285.67985980424424,285.60891595597764,285.80546463660437,285.5007154165622,285.54909495823216,285.61189464269296,285.57046773607266,285.80214076432054,285.52033728190844,285.5423909865844,285.4625615883514
