,time,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1
0,2015-01-16,286.08021238600963,286.2746843381222,285.9626934618259,286.2385318384675,286.04321351849995
1,2015-02-15,286.39072354690643,286.3529582300825,286.19353935027647,286.696945781981,286.4086877821067
2,2015-03-16,287.09655538343145,287.0854974716465,287.07924375175804,287.15456310729644,287.0084994740015
3,2015-04-16,288.0339342607173,288.2285471053013,288.0344932254455,288.08561218499875,288.16359015528997
4,2015-05-16,289.12370849485234,289.13241993072614,288.97442059140445,289.16030014680314,289.08850895567986
5,2015-06-16,289.65441277845514,289.6767755530992,289.5087600781977,289.8987845589598,289.72362364975567
6,2015-07-16,289.9148910285321,289.94626859622844,289.89338238711076,290.11782635517403,289.9858430301623
7,2015-08-16,289.6666612968703,289.8769897485828,289.7667026996108,290.0043288569507,289.8217151150802
8,2015-09-16,289.07510383017166,289.1368016861602,289.14945884557983,289.3686055252845,289.2629936487343
9,2015-10-16,288.1276787887771,288.2750665858752,288.22614934503633,288.39499716361786,288.41619026391055
10,2015-11-16,287.1240283817919,287.3136551488522,287.23036361902905,287.30136885756605,287.4223207723863
11,2015-12-16,286.3196409641394,286.44019460822165,286.5372706559564,286.5597150752434,286.79435378748485
12,2016-01-16,286.28522735512473,286.06791776305954,286.21417016067016,286.3899840851172,286.3885486352437
13,2016-02-15,286.494133316106,286.3487778615562,286.2488197320201,286.4040956843577,286.640639443735
14,2016-03-16,287.2222324672477,287.0762510191872,287.07187466896823,287.15324902787887,287.41511017911114
15,2016-04-16,288.2037873806484,288.0640267034995,288.15562797716655,288.37789056738654,288.4272932222964
16,2016-05-16,289.1423231755317,289.1249793701682,289.1139379588919,289.1632009023027,289.2112952929283
17,2016-06-16,289.98827335969725,289.9139019373777,289.78885159615277,289.8497074071964,289.8278583039929
18,2016-07-16,290.2918901188984,290.01648666669695,290.04582567781,290.08074731088107,290.0155003712701
19,2016-08-16,290.0422784445523,289.75629978642513,289.9841486292221,289.9337871752647,289.93528768987346
20,2016-09-16,289.446920985078,289.2296970285954,289.2608394786796,289.14685326647003,289.36129322011533
21,2016-10-16,288.531634125107,288.29587887820617,288.383637809663,288.21301861572067,288.4363958360408
22,2016-11-16,287.4455392887508,287.32045233203667,287.4857616462412,287.4302813808309,287.46303027318993
23,2016-12-16,286.75626439994767,286.5605184289293,286.77181681959416,286.54533757947996,286.5181906806311
24,2017-01-16,286.2333174802972,286.3069647883323,286.50692372139696,286.22515831303906,286.2651400191743
25,2017-02-15,286.36912983865506,286.5534780976437,286.6829342725809,286.74879401756357,286.5715046320916
26,2017-03-16,287.2009009619638,287.16327554401045,287.4352238744093,287.29184433717563,287.3073486814951
27,2017-04-16,288.15216301549424,288.17491814255095,288.2787190834189,288.22643277390455,288.255979978448
28,2017-05-16,289.09206899351466,289.3530235047406,289.34115229918916,289.0078197772034,289.11737100303657
29,2017-06-16,289.6525392930557,289.9891895088996,290.08290897365566,289.7284706879443,289.71618784185034
30,2017-07-16,290.0006154571509,290.27595430258384,290.32220344086625,289.85985265525744,290.170766049077
31,2017-08-16,289.9037047458128,289.95482505941766,290.2188889165998,289.7371215620286,289.9615113725626
32,2017-09-16,289.1470579428184,289.38705412656833,289.5035235902913,289.2359033194939,289.28022848960074
33,2017-10-16,288.1246212829463,288.29654830726327,288.5194391074589,288.22815516124155,288.4155110444644
34,2017-11-16,287.16040047612336,287.30748239586313,287.64909124847384,287.2774742503374,287.4800485709151
35,2017-12-16,286.3012947783992,286.58948128879223,286.66822855114935,286.3359468974954,286.65947674428776
36,2018-01-16,286.11939211371254,286.1229498070545,286.6155594871557,286.216097009544,286.4197945798528
37,2018-02-15,286.3298520020192,286.58915595272646,286.9752901996247,286.4644938573023,286.72492526047495
38,2018-03-16,287.0744440820179,287.23207018808506,287.7314882641597,287.1182799217036,287.3782235492579
39,2018-04-16,288.2728069630799,288.19685531552574,288.690560178988,288.06352135109324,288.33568000665844
40,2018-05-16,289.21197234624907,289.2083616988958,289.47372566391334,288.9232359785443,289.1573868554975
41,2018-06-16,289.91926200521044,289.88285607797394,290.1217853358138,289.7850638640515,289.9146480703903
42,2018-07-16,290.2974689053215,290.0044051496854,290.3452731461976,290.1229873689762,290.16688553653904
43,2018-08-16,290.1509083302625,290.2507156526051,290.2242158201784,289.90035972476625,290.17907804248665
44,2018-09-16,289.42463555843096,289.5085400893777,289.6223727955597,289.3462540863092,289.6550167694172
45,2018-10-16,288.3339245158699,288.35035459960994,288.6835590068248,288.35231898296473,288.80912186006674
46,2018-11-16,287.4144562016844,287.35180018451507,287.7805213803561,287.4538952475801,287.7389399533468
47,2018-12-16,286.4158896935541,286.6238205006863,287.1594816549902,286.6768466088817,286.99999225597173
48,2019-01-16,286.35505452836236,286.10200143058574,286.6287514695723,286.41181504277085,286.60113671967173
49,2019-02-15,286.3635147987796,286.2421069791971,286.9458353076919,286.651533166233,286.8803515526053
50,2019-03-16,287.2524700942959,287.1641455192669,287.5092807058113,287.215830593975,287.7396958522234
51,2019-04-16,288.2280030896531,288.04860054210036,288.7706195011063,288.2903420683243,288.60190636826707
52,2019-05-16,289.23057607806345,289.0004597192135,289.5744717462059,289.38905293252026,289.5143169500122
53,2019-06-16,289.7114588016482,289.7570788074982,290.27790071210933,290.0880597280189,290.1119081064664
54,2019-07-16,290.0519563473939,289.98154121145507,290.5415366395492,290.2721225179246,290.4119080581493
55,2019-08-16,290.06991991867636,289.8830295950397,290.2629109626304,290.1194326286486,290.1724113479999
56,2019-09-16,289.2540872983946,289.2137365678776,289.64958617729576,289.44040785785785,289.5250883798245
57,2019-10-16,288.32847114262,288.1995324674351,288.60573064434794,288.51381550202177,288.5701998103044
58,2019-11-16,287.554271223414,287.4774365863114,287.4775838007114,287.41464916596345,287.55511011331953
59,2019-12-16,286.7137041464565,286.43574764555285,286.72538441095134,286.70602423734374,286.7333060835505
