,time,r10i1p1f1,r10i1p2f1,r11i1p1f1,r11i1p2f1,r12i1p1f1,r12i1p2f1,r13i1p1f1,r13i1p2f1,r14i1p1f1,r14i1p2f1,r15i1p1f1,r15i1p2f1,r16i1p1f1,r16i1p2f1,r17i1p1f1,r17i1p2f1,r18i1p1f1,r18i1p2f1,r19i1p1f1,r19i1p2f1,r1i1p1f1,r1i1p2f1,r20i1p1f1,r20i1p2f1,r21i1p1f1,r21i1p2f1,r22i1p1f1,r22i1p2f1,r23i1p1f1,r23i1p2f1,r24i1p1f1,r24i1p2f1,r25i1p1f1,r25i1p2f1,r2i1p1f1,r2i1p2f1,r3i1p1f1,r3i1p2f1,r4i1p1f1,r4i1p2f1,r5i1p1f1,r5i1p2f1,r6i1p1f1,r6i1p2f1,r7i1p1f1,r7i1p2f1,r8i1p1f1,r8i1p2f1,r9i1p1f1,r9i1p2f1
0,2015-01-16,286.7537170849926,286.5137395895733,286.50164524025337,286.6197418707372,286.5278609899379,286.4083773170297,286.5661745633921,286.33389326417597,286.4756785594064,286.5089724678734,286.64166681475086,286.27775794896377,286.1583429691827,286.1608193702175,286.5223330260485,286.27535762017976,286.369020558984,286.15293535200584,286.5485719773256,286.36448672228886,286.46080769861555,286.4659763894288,286.30485604081565,286.2564383968998,286.4063518898941,286.1281784084521,286.45728303537953,286.29524427462025,286.6569469670298,286.1308164077333,286.6215775104753,286.2271603306215,286.44070713086836,286.2100365009486,286.43960918256545,286.381056991644,286.44605316283895,286.3141701455804,286.7934460180832,286.19853184291406,286.44101295899924,286.62601784650275,286.60172610125016,286.4637033850435,286.33540957019784,286.3486446267862,286.66641102753294,286.50086952718016,286.500578351816,285.9321002455337
1,2015-02-15,286.7366948500555,286.7527611687551,286.38132771109895,286.7002978260329,286.40344139872326,286.51697821532105,286.5165583395042,286.6119139531734,286.42493939903966,286.525752589092,286.70763021121013,286.35467507809796,286.2594680402503,286.3582632367656,286.5920120085712,286.71465426814376,286.8506266635156,286.3236658334767,286.59246421287105,286.272886680317,286.55493372636346,286.2727154211725,286.52129585643246,286.51555489584854,286.4366172469242,286.39699550244865,286.5373727512289,286.59574046974785,286.48447620005805,286.30828848654374,286.63457374541844,286.5734542260162,286.4061652862519,286.30444198861915,286.7114486237171,286.2219672646525,286.6707993433575,286.39157089589486,286.7704004862245,286.3147960900632,286.5722718275145,286.73134235897317,286.80228647178365,286.6696256277301,286.51396895909903,286.79554239529483,286.64510198313536,286.3999409827409,286.5453055982651,286.5038940137571
2,2015-03-16,287.5458350589451,287.2943650323205,286.9634717251299,287.3209719851227,287.1967542198574,287.2271688113995,287.29350607306395,287.2000240394638,287.2382807068909,287.06339247559805,287.10992084402307,286.79565702021415,286.95850143914953,286.9920489165481,287.0888085251303,287.00253718087833,287.3170974493439,286.91146989064475,287.0692782301116,287.0072215582175,287.1417888591536,287.0950945243601,287.24195738670807,286.99815993719903,287.17697287066795,287.05542236491203,287.25067313866293,287.1666072939038,287.08986201987136,286.97587455107316,287.1381419089065,287.14865483874877,287.03716735267034,287.1354699774344,287.12486458634766,287.0973621493156,287.29746392482554,286.780948630164,287.5237613052011,287.0980024416741,287.22351209161445,287.5571032350249,287.31441233728725,287.252343173087,287.2239589590561,287.37828718348976,287.38794430033886,287.08312854936906,287.19533658742046,287.03445703010783
3,2015-04-16,288.2556403381055,288.3300088917072,288.1276191294053,288.3501161263027,288.02804347991366,288.35266444455215,288.1508510538624,288.105301857143,288.254934459596,288.17114444156033,288.2674274510087,287.92612373952,287.91677970808007,288.06980545582957,288.1534888344393,288.17651410563485,288.17362931581175,287.9028268068636,288.2634895999558,288.2195207279799,288.22913987354355,288.09892610074735,288.42007275461697,288.0818609286607,288.1816315103163,287.99204936363054,288.0571483786705,288.1074007820716,288.19648461834447,288.0708642261126,288.16283043874944,288.0971478075341,288.09206604247106,287.9457984650879,288.2767412947667,288.0505786852497,288.2734420196439,288.09745536627116,288.25886225918555,288.1108705563849,288.2741944814226,288.58738230297473,288.33456095543875,288.2445265728433,288.0853323044674,288.358089864727,288.34300863433486,288.05714063232955,287.9800831660143,288.13710814840255
4,2015-05-16,289.207693669336,289.1864964162692,289.10558490880715,289.23604637676095,289.13636370885746,289.22170139909997,289.2222950768632,289.00658883842027,289.16790493038576,289.0744465910123,289.15521747975373,289.00859170880335,288.9863485231718,289.1368381672769,289.2315768388694,289.0937586342084,289.25439477615157,289.02378434285146,289.2681433082692,289.17687012555126,289.1467622834376,289.04763652230054,289.15636945958744,289.0208730905731,289.28595762325193,288.99741869534586,289.1020645400644,289.1310391085834,289.29283989858396,288.9856274213396,289.0910130762487,289.0272098547521,289.027858758176,289.07064326701845,289.1900331244971,289.12897361737413,289.2402026779741,289.15737865080985,289.3917391410043,289.0647458977027,289.2953195180768,289.44359412620554,289.21790866512174,289.1663470210638,288.94890941988587,289.3086564882037,289.4445107047813,289.1019051627175,289.2921779899794,289.13312200363237
5,2015-06-16,290.11518345527037,289.8055763831071,289.7885954882616,289.9632653035371,289.82132947160636,290.06705444443395,290.0721663938717,289.8150095069387,289.8560385932785,289.69942016201134,289.93823073876075,289.7631732805904,289.71652941800915,289.82483597102237,289.97798803444505,289.8501633826557,289.84328415805834,289.53866779017085,289.9286014972869,289.9105569249688,289.8812107704197,289.91318202587655,289.7670994701811,289.7341219899553,289.9180221424416,289.67610931190535,289.9099926671905,289.8971084893424,290.0912219420707,289.7461201015806,289.89680005442233,289.7924966945794,289.75213063233167,289.8278937223093,289.87637622490644,289.7523182896271,289.80786587886337,289.692696349698,290.13510595199693,289.8575144795785,289.8658100040816,290.2133443289767,290.0513655492481,289.78514099721366,289.71265844808283,289.958021642944,290.05995667806883,289.78185192213823,289.9116879991702,289.64799234307776
6,2015-07-16,290.4023172050427,290.1634923484655,290.16609282348566,290.3531840359945,290.2385604992255,290.3270782745211,290.41567688022906,290.22911309297746,290.2233025724582,290.11234917591804,290.1987484577847,290.00855395075564,290.01232085842963,290.3641756962544,290.432110385897,290.0869209578171,290.2328156216302,289.9128760022587,290.4725534804849,290.2065310397811,290.22409248872174,290.1885947472457,290.17634557132664,290.1184042783356,290.18019959345986,290.22732001270515,290.2576177877248,290.2286570954253,290.4282177673539,290.05442199850154,290.20755940085405,290.1409217656296,290.08832329064984,290.0352698293006,290.34147592848586,290.1379744461928,290.2512655092339,290.17904031689113,290.53381554126565,290.1354807371641,290.23467892233015,290.3948770332049,290.43707428873347,290.0530564860668,290.11979992429036,290.32227603966055,290.4058418466317,290.24352313833197,290.2381123087936,289.9655759828994
7,2015-08-16,290.286112120666,290.06190976174173,290.1045328389907,290.1923867544829,290.05577441242303,290.1883903350819,290.30790560491727,290.119194719992,290.07558136352765,289.90005561194596,290.0750241656172,289.8233525146287,289.9353217377895,290.0999762709056,290.1957712428599,289.88711416578695,290.13376158977485,289.8291141910131,290.2231196452855,290.1029966355451,289.99918456919073,290.15865124554364,289.9475553064655,289.9280044817499,290.09619621943347,290.0346847161294,290.11921655280815,290.1291913784693,290.1975023986026,289.90959146761327,290.09243543117407,290.05675078758907,289.95914536557393,290.06924630000367,290.2073095179369,289.88953581049884,290.081747772998,290.276563453732,290.43751384857717,290.02739632049355,290.06683693386225,290.3043585918333,290.3597436197373,289.9563286391566,289.9421569116039,289.9983767031283,290.3352548919361,290.0659247781412,290.1713882574349,289.98279266261045
8,2015-09-16,289.5718139359103,289.2011579607408,289.49314401313273,289.37478761245626,289.41245638383367,289.731100871191,289.6380408989486,289.4657826991875,289.6301540903044,289.3374949274015,289.3415427263609,289.17606182720897,289.3229230946598,289.53237977485406,289.49994028753986,289.2760414981854,289.29834844468513,289.1530405378179,289.54730617924287,289.4645990962338,289.3097324142021,289.46703168331004,289.2367266570349,289.27838724814,289.4916169631693,289.3555964303411,289.4184953947155,289.3161097412795,289.57899701297816,289.3293136396113,289.4287744431964,289.34855401148576,289.5056418442936,289.2686356631474,289.39981417530834,289.2431869303422,289.3339810245493,289.4767899859534,289.88412169306747,289.47904297611575,289.31893718689145,289.6105828225581,289.6544304429185,289.18803418759904,289.2563769253226,289.29777019708996,289.79096322000294,289.337788705532,289.16787409995567,289.271380141173
9,2015-10-16,288.6783142826787,288.55276671405244,288.44452155972874,288.35503195671276,288.46461891250726,288.7800437239459,288.49254795878153,288.42751531500636,288.62479305964524,288.4579973808616,288.38134783385755,288.28906226802815,288.27189553638215,288.5991805787003,288.6432119133861,288.2954258494796,288.5051684093308,288.1657533737236,288.64980661772216,288.6239671172073,288.43266970442244,288.4999610196654,288.2913794824262,288.18679848408374,288.426859445453,288.4473282608657,288.63042415787294,288.22760409039523,288.62233814166825,288.4341546155039,288.41658007331154,288.3865693354413,288.5017192928762,288.4119327100596,288.53486848082633,288.2785735585674,288.641449114442,288.5814206512232,288.936383980975,288.29446736527365,288.4526485438537,288.5241950025838,288.6524796739758,288.4641951536715,288.33245374448035,288.4358864741386,288.6909072546053,288.32395651244065,287.9453684444029,288.3193481115093
