,time,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r6i1p1f2
0,2015-01-16,285.0280432380667,284.6380793361789,285.0171458607921,284.84277487965034,285.0493078525198,285.17660338641
1,2015-02-15,285.20961998222396,285.0845556229294,285.40795399904016,285.10327142101767,285.3275635046719,285.1470973291734
2,2015-03-16,285.87971294373153,286.0083636049264,286.03936660737685,285.81630998765394,285.9474268917708,285.950893410937
3,2015-04-16,286.9182799374493,286.85918008062856,287.0020038286261,286.7262540203737,286.81266063540096,287.1265576644736
4,2015-05-16,287.63756986716834,287.78736110119,287.83426222397225,287.4597680552435,287.7801606829287,288.056628359561
5,2015-06-16,288.7011078534826,288.73051492026605,288.69763093506896,288.29709453549555,288.62652275887734,288.8519130059709
6,2015-07-16,288.99786504933195,289.1594936813123,289.27120285899196,288.79584516539904,288.9934180950589,289.33830971592926
7,2015-08-16,289.00504311371003,289.0269852390267,289.0468864793185,288.7313552001244,288.926294694983,289.0939089178317
8,2015-09-16,288.1039624517619,288.3366448951882,288.2218789686499,288.114184289545,288.27646618163044,288.4017915130861
9,2015-10-16,287.12405643892566,287.294754734718,287.17463664175034,287.2938976069319,287.02763796802134,287.3352091241992
10,2015-11-16,285.92615813955166,286.02293240849906,286.0085635215642,286.1239194534582,285.9646009449713,286.3154976871734
11,2015-12-16,285.1531436386573,285.2386204548439,285.3042848364876,285.06547481487814,285.36761594375565,285.59074366413313
12,2016-01-16,284.9508987877711,284.9260569278649,285.27405075040866,284.82277918807654,285.12614801267745,285.2623215711812
13,2016-02-15,285.357629464975,285.1756369213682,285.5191470928354,285.24466788834536,285.4304081504159,285.49668771015405
14,2016-03-16,285.978606635878,285.768400860472,286.23181795402013,286.1235980152239,286.2772020226265,286.14495312136006
15,2016-04-16,286.94038479547146,286.70001950769574,286.85491966259565,287.0041202270491,286.9561821107808,287.0490380569413
16,2016-05-16,287.85077428118393,287.67424877531175,287.6384946931044,287.945487649379,287.90984528130474,287.8257353003744
17,2016-06-16,288.5762162256164,288.64314373588564,288.63129664673346,288.824068613066,288.8153320944291,288.6110266107904
18,2016-07-16,289.0200015770908,289.14093336000934,288.9521402834731,289.13440654363797,289.18958406877476,289.0770839821835
19,2016-08-16,288.85598687374556,288.9757130392985,288.7593384547294,288.86013368599396,288.91869853040356,289.0928558917134
20,2016-09-16,288.18657374498537,288.2470149496908,288.13562601107054,288.06567208149244,288.19451706662636,288.4466149454483
21,2016-10-16,287.11060137368173,287.14579019447285,287.1763294012955,287.10880249302767,287.13436344988463,287.22999452037544
22,2016-11-16,286.01207410271473,286.0540124802745,285.95824619241586,286.0972618440789,285.9109433030049,286.1637979944052
23,2016-12-16,285.4436790386613,285.2096964287428,285.34154631351674,285.29820546735834,285.0847957829908,285.4187538030407
24,2017-01-16,285.25495784589276,285.2377197517558,284.8358387580113,284.98973120062914,284.98913474119587,285.16448548248997
25,2017-02-15,285.28502351517545,285.56377288760933,284.9163503016177,285.4360237150893,285.23273355189525,285.4139553824352
26,2017-03-16,286.1107412640972,285.97682760120256,285.5424066485423,285.9635317444575,285.94484931373967,285.99012132121965
27,2017-04-16,287.0599360823539,286.9108974787179,286.6172447526825,286.97349028739046,286.75347290389317,286.94903857546433
28,2017-05-16,287.7505645986413,287.8126344020173,287.78179816662885,287.9493990154326,287.76878131430715,287.93887845721537
29,2017-06-16,288.54565275898045,288.7095039636232,288.56017182350496,288.7760206304245,288.7008332775763,288.7965814152104
30,2017-07-16,289.0797110569143,289.2103803316918,288.95958475170534,289.2044683805722,289.0986359006591,289.1203979012892
31,2017-08-16,289.03662239422107,289.0391295511561,288.96565843311333,289.0929058677551,289.0203697074365,289.0350954815605
32,2017-09-16,288.03926281288483,288.2973061030148,288.1827107190681,288.2314922270003,288.2717026417439,288.2710219622016
33,2017-10-16,287.06382659570795,287.10582918730483,287.25368949394175,287.09704887445884,287.2948523545363,287.23421070951093
34,2017-11-16,286.20362166132946,286.08492161526766,286.0273714752083,286.0146792115419,286.26147097342596,285.89977180111913
35,2017-12-16,285.28605392944326,285.14138405803544,285.0783990192983,285.2479757585103,285.41693092200876,285.4718890868663
36,2018-01-16,285.0358939247981,285.0562852945287,285.2429033907629,285.319131832361,285.3062910227285,285.3150306437501
37,2018-02-15,285.0991863865945,285.47954722653265,285.397775021101,285.45585705616753,285.5840131736919,285.52127596129327
38,2018-03-16,285.86515647109485,286.09473479990555,286.12525485789695,285.9670416513756,286.1835024339307,285.9642127949259
39,2018-04-16,286.8674889854991,287.1235929069487,287.0717538704468,286.9018556054724,287.2263511614002,287.10199949264717
40,2018-05-16,287.89822737017556,287.9953424774368,288.05649824430384,287.798581601076,288.0235642887069,287.9532655054107
41,2018-06-16,288.71840915078826,288.69720372492793,288.8616667757289,288.75401881719546,288.9165575957832,288.899959706633
42,2018-07-16,289.11898765929607,289.14569504433285,289.3072101026902,289.06910637891286,289.3725792432331,289.36312742431437
43,2018-08-16,288.9440455426626,289.0882418069125,289.2971196800804,289.04707720977297,289.2367151944022,289.16330780309954
44,2018-09-16,288.23631652014564,288.3097358664482,288.41021105443656,288.3815857830314,288.38205787530256,288.41670674488705
45,2018-10-16,287.05362203410493,287.29422703599926,287.22555908332276,287.1587018056894,287.22913787904605,287.2982790924887
46,2018-11-16,285.96972213558126,285.95288584742116,286.1689584908258,286.0747940109535,286.06142340798607,286.2312596791409
47,2018-12-16,285.29084022025813,285.2200408686811,285.52019172488536,285.1808350005291,285.32705343635104,285.68730053763267
48,2019-01-16,285.1455914291598,285.06525006154857,285.1727574219038,285.1019391064125,285.34390842117256,285.37578658732366
49,2019-02-15,285.32890131032804,285.16510068044323,285.4926913244462,285.44217698766255,285.3885821971829,285.8755820926556
50,2019-03-16,286.1632887456981,285.7581713556839,286.0606636094371,285.9147383389323,286.09000485235595,286.33055387952396
51,2019-04-16,286.9907633900715,286.76542116900634,286.9926107822664,286.81977736371186,287.0740115308326,287.11619373409565
52,2019-05-16,287.8614569188929,287.68337588567425,287.76251347396885,287.77186453593845,287.8907094215483,287.97160054089534
53,2019-06-16,288.72288927338064,288.60495559361794,288.6746304251898,288.72690433618016,288.7284158359884,288.9607305708021
54,2019-07-16,289.3248465164958,289.01014722804604,289.1357773193721,289.1014275730231,289.060232666727,289.25636128554254
55,2019-08-16,289.0437992578889,289.01330775947696,288.93536389590497,288.9786402554187,289.05430552541003,289.1303212695628
56,2019-09-16,288.36466297012896,288.27159823535237,288.24854162950635,288.2152555713757,288.20738408905765,288.477280433119
57,2019-10-16,287.31603959628706,287.0413592077251,287.11254866080156,287.13294478653313,287.3724218346975,287.35770722636494
58,2019-11-16,286.3151225144504,286.0599767809036,286.01326241382776,285.9440232076593,286.067672153336,286.22894199891374
59,2019-12-16,285.70654527996084,284.98476418741694,285.26260632435645,285.33110371691174,285.3272892138187,285.33000322256817
60,2020-01-16,285.42105932320004,284.76894973603277,284.902645316152,285.2254080061613,285.1833465201784,285.3704767392518
61,2020-02-15,285.28282279440447,285.2442239503202,285.3243107258777,285.41651314780074,285.24769545542745,285.4284546788809
62,2020-03-16,286.1597959686396,285.9607184252763,285.9245957661623,286.10502341193785,286.26891624012904,286.0194736520979
63,2020-04-16,287.20841925435076,286.9799370292821,287.0473172503609,286.9202411021591,286.9139826624668,287.0615363026677
64,2020-05-16,288.01411666287294,287.8540354461371,287.9374068719513,287.80690457311226,287.88497909676033,287.89509946448305
65,2020-06-16,288.8465509650038,288.7535749256827,288.69216524602643,288.7760054513017,288.7924909047559,288.88724726566596
66,2020-07-16,289.2987412936469,289.16012728019103,289.2197033281997,289.2610215025408,289.08560396739387,289.33886107621737
67,2020-08-16,289.115244374415,289.09262320043274,289.01875206976274,289.1353169620033,288.9600006626177,289.1315673190582
68,2020-09-16,288.3968307567765,288.17580954584014,288.2865210903236,288.2598780551595,288.3248801360815,288.4105943315265
69,2020-10-16,287.2623567293077,287.01417773262784,287.1995739014014,287.2905908395494,287.26616038991006,287.37016669562036
70,2020-11-16,286.1399986531272,285.7720576233541,286.0726334318305,286.16657471959655,286.04349903855535,286.29320667072136
71,2020-12-16,285.2919895148102,285.04308739545854,285.35079717784504,285.18455174912344,285.5692455808952,285.44703734049966
72,2021-01-16,285.0354645975878,285.0101320592914,285.19033298673554,285.00092879903474,285.404200600414,285.2288660427365
73,2021-02-15,285.4713010529542,285.18916353699194,285.35699099480365,285.23023878223387,285.8477847663083,285.6681634860164
74,2021-03-16,286.4150670279994,285.87981077369426,285.8265515345109,285.92390181385304,286.4464208827546,286.1857189505448
75,2021-04-16,287.2796968731132,286.8374409223825,286.848541378244,286.7896651787482,287.2012474587359,287.2515867109385
76,2021-05-16,287.9601478637429,287.7287399117456,287.7846698027063,287.65332688295916,288.1073618229727,288.13647753748955
77,2021-06-16,288.85695780136524,288.4292507160343,288.63370704423363,288.63619205838353,288.9644507310118,289.01089075638146
78,2021-07-16,289.3209769980511,289.03367307650007,289.13340208890725,289.2263083989675,289.2601807730821,289.40820117324273
79,2021-08-16,289.0496572463686,288.9330610279502,289.00070251102466,289.1301163883702,289.1912217457022,289.30806988575625
80,2021-09-16,288.3628782914964,288.1057040024604,288.31256219550187,288.24678461293155,288.3744915892524,288.5552119668763
81,2021-10-16,287.1953265710579,286.9935944770707,287.3300562145712,287.20360364891843,287.36326805334727,287.30922234750807
82,2021-11-16,286.28032966672265,285.9752363388722,286.0840634603546,285.9035379492222,286.20626719496346,286.3289277414418
83,2021-12-16,285.47119972405426,285.35651560644754,285.2422233578123,285.2128552564914,285.64237898546037,285.42084164554376
84,2022-01-16,285.23202209375273,284.9059531084082,285.26026192827084,285.0632890323528,285.6039282484092,285.24874561392176
85,2022-02-15,285.4151961072754,285.1039504649313,285.5953550203355,285.28684811219165,285.6232351331704,285.3357044995845
86,2022-03-16,285.99344716375924,285.67491779278737,285.9386988344153,285.95907962071027,286.2545356013341,286.16839495790924
87,2022-04-16,287.03370432231014,286.8658461100527,286.98727269047026,286.8213089502558,287.2216522861407,287.149637071681
