,time,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1
0,2015-01-16,285.3773686083154,285.27241179447293,285.2148724911223,285.20611893203557,285.21915059080516
1,2015-02-15,285.62041821061655,285.5098277139469,285.53014773027235,285.5139388764913,285.5836651672151
2,2015-03-16,286.34058811304897,286.50281154103357,286.1106618757662,286.10800840717366,286.36013533884136
3,2015-04-16,287.51697406307704,287.3712351948234,287.2846501668344,287.27590301626134,287.35533142823857
4,2015-05-16,288.40549697781574,288.3296977523724,288.3310023474178,288.12835683429256,288.4044283603527
5,2015-06-16,289.06169090786744,289.02786277350435,288.93168535623545,288.8673249833784,289.08748626039386
6,2015-07-16,289.37432512309914,289.3282149421634,289.3300524124567,289.23290480048684,289.36935196335116
7,2015-08-16,289.1486009971748,288.9450552422095,288.9928841882015,289.0815087835062,289.06394902379816
8,2015-09-16,288.1979421491269,288.24030234223517,288.16103037715794,288.12313061385674,288.2430495061648
9,2015-10-16,287.2840098561779,287.38600895994097,287.16246991437663,287.02766411827656,287.271075557037
10,2015-11-16,286.198634399349,286.26127379243843,285.9987941862466,286.224286730591,286.24350482184747
11,2015-12-16,285.46574681273444,285.76079486354485,285.52013462877466,285.3942579115842,285.6528385197522
12,2016-01-16,285.20344043340066,285.4738198138516,285.44074290828115,285.07920069702317,285.4078526922164
13,2016-02-15,285.62718721763304,285.57814808041337,285.5222061112719,285.43187982014723,285.6233085345171
14,2016-03-16,286.32767092635027,286.3974514266259,286.38112905055607,286.18137979414684,286.3580429572628
15,2016-04-16,287.3836727483249,287.3508021960324,287.31124019297215,287.4101148020401,287.31081398476243
16,2016-05-16,288.16563058701007,288.27890186386367,288.3884478469047,288.3174577350002,288.41615557639335
17,2016-06-16,289.0569699849652,289.0544184998714,288.9872159154769,289.02451080002487,289.1832143815822
18,2016-07-16,289.3614996730929,289.3403724231856,289.3004979036774,289.27947765205516,289.4086980832322
19,2016-08-16,288.9807338521728,289.22397351792847,289.08418437110623,289.00130946539554,289.1314098281874
20,2016-09-16,288.10277987135316,288.2979834334441,288.43391871542184,288.1909519427376,288.43612756818084
21,2016-10-16,287.06405997239267,287.2983083819736,287.31613415844186,287.248400121348,287.3006765964365
22,2016-11-16,286.1787217360121,286.3776738619123,286.4751694224379,286.1600208923912,286.2977648723216
23,2016-12-16,285.5450702152842,285.8380316350819,285.9092022805449,285.33682022317186,285.5776850588679
24,2017-01-16,285.3125961425544,285.60825503162823,285.69385451261184,285.30256799441344,285.3502795917288
25,2017-02-15,285.5305809162793,285.6992668912016,285.75726111996664,285.32613247466946,285.73666886763334
26,2017-03-16,286.25882759497694,286.3472955494336,286.43772941280076,286.1841829080779,286.486157495106
27,2017-04-16,287.418215907905,287.53063056205474,287.4597217701716,287.3459938583685,287.527303863935
28,2017-05-16,288.39209385136314,288.5040948775478,288.4170075573132,288.4297016611439,288.41978378611816
29,2017-06-16,288.9494366548197,289.1755667639867,289.1747565767283,289.1044963389895,289.0959800458516
30,2017-07-16,289.3666721629972,289.3519412960732,289.5837205815934,289.24393157486634,289.4100303783424
31,2017-08-16,289.12612160762853,289.15935542107826,289.1782340031952,289.0463341501194,289.19593464150205
