,time,r10i1p1f1,r14i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,2015-01-16,285.5084796988767,285.16138391818373,285.059887413268,285.1544040583131,285.42828065316814,285.51219058690856,285.41973971312177,285.2669471470207,285.5476075707154,285.1984686656466,285.4968030623085
1,2015-02-15,285.5995143553432,285.15682793172533,285.34501235774223,285.49204381091414,285.83912965274385,285.86617564167983,285.56341213387674,285.61277281554595,285.89026747847817,285.5691549514026,285.965075613213
2,2015-03-16,286.43961037895264,285.96450696158547,286.13878212591106,286.16126359164247,286.30804846151636,286.2387618871188,286.1225792895207,286.26746928662686,286.5617331887429,286.4682751957506,286.6041513482439
3,2015-04-16,287.2452098861352,287.0680405062321,286.9861896865928,287.19482191383565,287.2587080165175,287.1740062601449,287.29317253687407,287.27369414588475,287.5323378862831,287.317510117063,287.61534060818593
4,2015-05-16,287.98021680517013,288.1173606267616,287.93070808970555,288.02323993620456,287.9803855482656,288.1270446084397,287.9322603341369,287.9605297892225,288.38422714044356,288.24839956719063,288.39868800363996
5,2015-06-16,288.8844872996639,288.8983080419198,288.8196671895031,288.8434020939397,288.8282772168476,288.8240474194388,288.7715551020114,288.6567209486686,288.97152159746076,288.9511085997646,289.1062311921728
6,2015-07-16,289.3333989399747,289.3808662781287,289.2322185786648,289.37734038725245,289.4381813799448,289.36724437862046,289.24308894718797,289.20702869583823,289.4092553660294,289.53544145304704,289.5134388784019
7,2015-08-16,289.43600892831597,289.19402319363616,289.20357376793726,289.3128743986651,289.4250754665884,289.3293997056382,289.2785041280973,289.3103448465454,289.52420359500235,289.4281027197971,289.50437062674445
8,2015-09-16,288.60559683708306,288.7201311621858,288.54035773673985,288.72277491624016,288.86673897236614,288.71315654734695,288.58287070232035,288.6577378767017,288.98396863450785,288.8728528851656,288.7781883179875
9,2015-10-16,287.50420081921374,287.5570693272547,287.4284036151177,287.7715074299568,287.8398224273993,287.576418539902,287.4884983742595,287.69569189561827,287.9262126803541,287.66434497105405,287.6757565343508
10,2015-11-16,286.45658940567085,286.44139232887653,286.3500523663916,286.63262727968157,286.6539291549473,286.45390543225875,286.4974085447962,286.41607583327834,286.76685029106943,286.57916589429703,286.72106695395894
11,2015-12-16,285.5629239804546,285.6597310742627,285.63027984947684,285.697598946219,285.83867407090094,285.513429579073,285.3086667593141,285.67357532102403,285.85286234953213,285.8050695648664,285.7379103824925
12,2016-01-16,285.1422214030937,285.1528753907737,285.2792773470152,285.54928751639716,285.6179735954321,285.129875905494,284.8314397725953,285.1713799508566,285.65475490769154,285.56364518253446,285.34577707581025
13,2016-02-15,285.3551279822588,285.46091692723803,285.4775835870873,285.82431930287413,285.843127463078,285.42217162819276,285.18584379792736,285.49885935300034,285.6520655744524,285.6399098389348,285.5112702071221
14,2016-03-16,286.26929212592506,286.1621788241989,286.30968588074614,286.3364980177398,286.299371128407,286.3100718298111,286.2090740476749,286.23913205406245,286.30229170869995,286.23775569688314,286.3682091014102
15,2016-04-16,287.0417398751582,287.16424580253215,287.16867792020435,287.3272112854508,287.35752554722006,287.2149715957206,287.0253076453792,287.1827491430619,287.38762136270736,287.2486119410874,287.16567727294586
16,2016-05-16,287.9345920823822,288.1328482678925,288.0073242431871,288.2421590595327,288.09462774095346,288.04930543180916,287.91222244041626,288.0890050261447,288.0715167363423,288.0913583965988,288.02112051085106
17,2016-06-16,288.8098911009226,288.8372875065641,288.7096653246469,288.9338085426508,288.95806462008983,288.89389725843165,288.8411034030607,288.9354229541364,288.80590801903605,288.8615063536245,288.68363779455643
18,2016-07-16,289.34997602371175,289.20947297456166,289.4470529234228,289.4967993896835,289.49343377617527,289.2855646191011,289.4148788167828,289.27177275705253,289.3768413012803,289.4469461436777,289.16329471021623
19,2016-08-16,289.3910259370152,289.2566804548043,289.344581444883,289.48215244922585,289.40397266872,289.4362878263427,289.2573985706186,289.3039528812316,289.26185430384845,289.4735277068087,289.10199981628244
20,2016-09-16,288.6549245900549,288.6208417095332,288.802036389116,288.6786315159525,288.67897838715385,288.64885792563376,288.72981909870333,288.81393621146765,288.73352951536697,288.7154837803023,288.4753390727845
21,2016-10-16,287.6068568172165,287.45882520732454,287.72599474965944,287.5434758890519,287.7276809430999,287.7765712434485,287.5463142240088,287.8593805226856,287.63590273902923,287.71869017448734,287.43250939094304
22,2016-11-16,286.46653343241826,286.40819252634543,286.63899685349406,286.3814830446072,286.45216110686755,286.5755214580135,286.29195909126224,286.35834614969997,286.47840070235975,286.6012951852145,286.22872733057886
23,2016-12-16,285.64219898659724,285.31155556996436,285.7166893668474,285.4966533744384,285.3063734149141,285.66492991495494,285.23523182652565,285.63410061835185,285.51398436272814,285.77285890236845,285.3758680536015
24,2017-01-16,285.42112067457856,285.2304099157243,285.63957159948734,285.15081710040675,284.95767603924946,285.3881899457599,284.8392039505247,285.3188535247802,285.13207012021553,285.2588887493942,284.96067591376897
25,2017-02-15,285.85661607381115,285.4179995289678,286.0334628085432,285.4422917076749,285.5536186396075,285.6778683006292,285.37400535615006,285.666270243688,285.4781569319291,285.82770975168603,285.1827760895443
26,2017-03-16,286.52369033869877,286.002113119732,286.81868507772816,286.08384253325426,286.37696674275105,286.28935886754175,286.03616788714226,286.259523754501,286.21491012623505,286.5547926861234,285.938772551714
27,2017-04-16,287.4520149556032,287.1048568988783,287.6910418832583,287.14414563554567,287.04059454982337,287.3032364701313,286.89806779393376,287.3570227349416,287.12427035321366,287.3429039073507,287.06175385360257
28,2017-05-16,288.22764752682457,287.89151398511484,288.45753756061663,288.07938502735936,287.86024316165526,288.2133024767427,287.832417519786,288.1402717368363,288.05816529940233,288.2474650200849,287.933551501009
29,2017-06-16,289.0557211463625,288.6634078283868,289.2855454633869,288.8212612714851,288.7693835882636,289.01330959686527,288.5170466201144,289.0088329933655,288.8049983033701,289.0393840643182,288.7465720379066
30,2017-07-16,289.58343776447447,289.0661661488782,289.6975086810922,289.2554229687291,289.28337580920135,289.38127098762465,289.00062178844183,289.5182728244954,289.36227407096726,289.46384523456965,289.2766360085184
31,2017-08-16,289.52205917082756,289.27485166779593,289.59512602630195,289.23491824717667,289.3001710960351,289.3587325383849,289.23297031358,289.45125170232564,289.4688782553163,289.5346707033581,289.35432300984166
32,2017-09-16,288.631435864975,288.597216422393,289.05361766736894,288.73836506409657,288.7586967891873,288.763400722511,288.3561786938358,288.8182966596889,288.6356825430953,288.84918544650293,288.6462039876776
33,2017-10-16,287.6263749546755,287.5306690252432,287.8881095312049,287.7551279967622,287.656485961241,287.6524367249187,287.49150328750244,287.7166291539216,287.60612435069817,287.80586899357877,287.79479688246363
34,2017-11-16,286.5205217120828,286.299078068643,286.7356111353254,286.48169137463816,286.5797368260616,286.69628727793827,286.2150238454319,286.6654062850074,286.60690499902876,286.5629653506755,286.4540661385689
35,2017-12-16,285.66907698213805,285.4454308852087,285.8176289765744,285.43495935479353,285.745665887149,285.58119490930454,285.22051733618827,285.84293454978035,285.6924475674844,285.71411928538475,285.72755512671284
36,2018-01-16,285.1940965197749,285.03374977367423,285.5423177097078,285.0410687489813,285.4086063516349,285.33299391809817,284.8961494071531,285.52380829506126,285.04367606808836,285.5598460181548,285.54373549478197
37,2018-02-15,285.6639674611216,285.13028580108346,286.04867167584126,285.5410534762585,285.826562340163,285.73048160279177,285.0179806797483,285.7720868721771,285.25003590193097,285.70580134767476,285.76293033335
38,2018-03-16,286.344878794139,285.97545537461474,286.43528362325435,286.31542457625983,286.62345330159695,286.41217126837785,285.97789698360214,286.3988938230408,286.0590584804384,286.44644631096605,286.5506430564538
39,2018-04-16,287.2777103907553,286.99391175134497,287.17814286241935,287.1930506078245,287.40766874763233,287.361415136874,286.94442793891545,287.3175860485762,287.12609125618536,287.39173473611754,287.38669252124345
40,2018-05-16,288.0976595197392,287.98956031870176,288.2569554923183,288.3293091708204,288.32058674354823,288.1559553922681,287.89427555687,288.1239921174621,287.90749657744664,288.1253288719132,288.15923128988385
41,2018-06-16,288.75530127357433,288.88187342962425,289.07046153500613,289.0411473599632,289.1486225764809,288.9709018613087,288.8082820774959,288.932194279151,288.66353267122327,289.0243443435985,288.89171987362096
42,2018-07-16,289.33226710557153,289.3433627400005,289.60545685427337,289.430354341875,289.69699457269786,289.52042704242797,289.2378122443098,289.39128903992486,289.1766192480402,289.465221266234,289.4024829896614
43,2018-08-16,289.30414253054664,289.3101152338273,289.59769181812607,289.3923963631525,289.72422787227555,289.4546277973041,289.2395534040039,289.53150465659877,289.2088692016611,289.5632500306673,289.4659986348034
44,2018-09-16,288.7195505837117,288.6877006004263,288.7964198122299,288.7621519188837,288.94691168062144,288.7806887548577,288.6086623900052,288.76375667255877,288.6315797475793,288.8894596385988,288.76584877929133
45,2018-10-16,287.7194686800637,287.6484250139284,287.8037839839823,287.7107998953419,287.86270786146844,287.76283590008234,287.52144575160105,287.74700494907523,287.6667101091733,287.77929000082935,287.8713119661887
46,2018-11-16,286.4234265536604,286.62022260444894,286.5840108582699,286.72961095242226,286.93560400003946,286.83471516651963,286.4116296576211,286.6141015615849,286.5398459490125,286.63226502880445,286.7827554737054
47,2018-12-16,285.50246879059125,285.8465801926895,285.68436200282684,285.9180179071662,286.0081015718016,285.74745620082405,285.53793151936355,285.84279905005786,285.9274275838767,285.93453589097516,285.8627650631716
48,2019-01-16,285.18331389975793,285.5734339319897,285.1840775098243,285.58447021621174,285.70045754212646,285.6632894703942,284.9750546660358,285.41430325353133,285.4065640416676,285.7312760328995,285.58149715091895
49,2019-02-15,285.3766683754728,285.6514328531943,285.60457471303175,285.7261845841343,285.95148645769194,285.8777959174289,285.4745115167353,285.669358272142,285.7844013191556,285.84092690135213,285.9079621446927
50,2019-03-16,286.0655735210004,286.5302402003173,286.26948146958887,286.3691462857629,286.7160520655443,286.49763182033917,286.1919780397541,286.3077642339936,286.4320510035468,286.49554434593256,286.41526065282517
51,2019-04-16,287.15558671472746,287.3599190428097,287.23553788588174,287.6155908241773,287.44158082227455,287.26649675034633,287.01230972680355,287.25678974826275,287.29927854644035,287.48885110363494,287.21612982391065
52,2019-05-16,288.05124350623095,288.23045802801636,288.08442012977355,288.42841871994165,288.15023214039667,288.0611535200239,287.87500518325965,288.11431781584537,288.2667463003653,288.22931631842647,288.1869565672649
53,2019-06-16,288.95403712704297,288.9995960125946,288.9553006476151,289.15451724985945,288.96593172175307,288.77713414254697,288.76986541064616,288.79497348317545,289.0210832288075,289.13473970318637,288.9855508606211
54,2019-07-16,289.2240793699612,289.47219111715026,289.58807423941494,289.6857995264985,289.4110056242465,289.2931732175438,289.1415815290931,289.36304230106697,289.5925926735642,289.5040125446195,289.40445069574207
55,2019-08-16,289.3209269671154,289.50608871256173,289.5196016048417,289.49458995213286,289.44317425246004,289.35941840891206,289.262625737071,289.35498369880787,289.70483131019085,289.4153913322897,289.45413514065723
56,2019-09-16,288.6969490733521,288.87348954221665,288.80969191850966,288.8160736825028,288.69043673919566,288.47655076922837,288.5549532642985,288.71399972639335,289.0749932405713,288.8493345276326,288.81847377999384
57,2019-10-16,287.66987276471724,287.83078566972176,287.70383816857685,287.90944854150456,287.66623342473383,287.5432530634922,287.5814371790133,287.70563453295205,287.97816275263165,287.75616180008564,287.6975060654339
58,2019-11-16,286.356751171352,287.0006907991874,286.67340996698397,286.68177028861044,286.74111685493403,286.4896944102815,286.5182936526108,286.625306854182,286.9728327800466,286.63481857049754,286.7600837575356
59,2019-12-16,285.63737856019924,285.96712355032304,285.6484014228622,285.61110541690397,285.68377365669164,285.48224383176984,285.37903499778173,285.73115145547143,286.01946098391693,285.49633822398505,285.8057385786912
60,2020-01-16,285.3029171089775,285.68137020954754,285.17020379154405,285.6806849055067,285.39686807399966,285.16811411951966,285.38373334025783,285.4092558044792,285.839600552475,285.2146197729353,285.4244479349892
61,2020-02-15,285.6223268393163,286.013881380909,285.5228396512755,285.91449485507155,285.5691506728336,285.4578248361472,285.682976734742,285.7824415420002,286.1266274975561,285.50640244787076,286.00113166379214
62,2020-03-16,286.34271570243385,286.6708516811556,286.26681609655026,286.67077221781227,286.23372159602354,286.0728247856716,286.28445382367346,286.5356901875453,287.0446550370486,286.2833051786231,286.47638629252475
63,2020-04-16,287.3286903352804,287.20016996613646,287.24302711775306,287.57955934316897,287.0278982693516,287.06490602480653,287.1477299510388,287.4961168738379,287.6099405097514,287.1719765523963,287.4087088803566
