,time,r1i1p1f1,r2i1p1f1,r3i1p1f1
0,2015-01-16,286.7384047693059,286.8452922648948,286.7628484875387
1,2015-02-15,286.8599784125298,287.03238505111204,286.9779171749291
2,2015-03-16,287.5363338567268,287.4633445397133,287.7382332895418
3,2015-04-16,288.6423225279049,288.6541984096234,288.56204078394256
4,2015-05-16,289.7717807758203,289.85069905259377,289.82967778955896
5,2015-06-16,290.9305223659721,290.94239891430936,291.0062217653393
6,2015-07-16,291.1881029176088,291.4277673304466,291.33704018454216
7,2015-08-16,290.97724460541485,291.3044541514646,291.07652161929275
8,2015-09-16,290.16715151461966,290.52244847897674,290.38179733188116
9,2015-10-16,289.06383657275416,289.1428211857232,289.04452887004913
10,2015-11-16,287.75728386248227,287.88874961577045,287.8142882543548
11,2015-12-16,286.9174616454985,287.16171923342074,287.0152199691322
12,2016-01-16,286.5863177464932,286.80654788009696,286.69715615580407
13,2016-02-15,287.0494346789111,287.11140902082064,286.78351397598306
14,2016-03-16,287.62320960450774,287.7638890530703,287.5793034192429
15,2016-04-16,288.4514642296888,288.8254148131383,288.709140098009
16,2016-05-16,289.74266255864836,289.8727730592089,289.8024305567183
17,2016-06-16,290.84583971721145,291.0301662733024,290.9326590539227
18,2016-07-16,291.3071389044147,291.46315551435436,291.4944660542214
19,2016-08-16,291.2278817339216,291.27645103400727,291.35979480154725
20,2016-09-16,290.47383409612195,290.4654979436758,290.66251738610043
21,2016-10-16,289.134764402012,289.16231667597464,289.30021942166434
22,2016-11-16,287.85467203770827,288.0066069774769,288.12179157746846
23,2016-12-16,287.1763627931628,287.11584024292426,287.33230885433437
24,2017-01-16,287.0870618535272,286.84428430670187,287.20705327375157
25,2017-02-15,287.19961506790685,287.0236086555431,287.3775485713034
26,2017-03-16,287.71935888975696,287.6131827489467,287.80428444861286
27,2017-04-16,288.6561132239553,288.7552318033525,288.91293898457303
28,2017-05-16,290.0276344565261,290.07134857366134,290.22648529226745
29,2017-06-16,291.1063918941159,291.0612170687243,291.3144620725937
30,2017-07-16,291.5472802435741,291.46466246937916,291.7427309165877
31,2017-08-16,291.5108346472679,291.2717512603601,291.5454330432654
32,2017-09-16,290.6915573048747,290.49679358319713,290.7175329497616
33,2017-10-16,289.48221882665365,289.325707305538,289.6216861931315
34,2017-11-16,288.20417490752595,287.995431900381,288.3760821598249
35,2017-12-16,287.51991521233623,286.9989033240691,287.61805192176445
36,2018-01-16,287.2645370495689,287.1333382162214,287.33789805867127
37,2018-02-15,287.34897811028156,287.2668333217346,287.28427244670087
38,2018-03-16,288.0970998474703,287.9978320033665,287.8346113102792
39,2018-04-16,289.09311900136925,288.73660909588256,288.9400076354397
40,2018-05-16,290.22811264301026,289.9481544845342,290.24688936910894
41,2018-06-16,291.3453018821169,291.0841795421754,291.331473271565
42,2018-07-16,291.68803190573334,291.58819053460076,291.4807165731089
43,2018-08-16,291.5482666225927,291.5075133227339,291.31686521696275
44,2018-09-16,290.7427279362531,290.8520786684803,290.5549758253862
45,2018-10-16,289.4749801936502,289.6931380639166,289.29296045763164
46,2018-11-16,288.17759818662637,288.4271685192688,287.93591260921295
47,2018-12-16,287.2605095128959,287.6442525154217,287.29217858159984
48,2019-01-16,287.1249392602439,287.4749470011505,286.9159395572241
49,2019-02-15,287.1008129927705,287.84683061683194,287.1738284582502
50,2019-03-16,287.71133089984676,288.2809850447831,287.6070928079799
51,2019-04-16,288.7615308329413,289.3231629797407,288.47062675443976
52,2019-05-16,290.0286108958379,290.5691936431149,289.78500127182866
53,2019-06-16,291.11465896883175,291.66315765706145,291.1318722920483
54,2019-07-16,291.4183080542478,291.9884883485023,291.3518926435142
55,2019-08-16,291.2812282197302,291.64981632168286,291.2002353233996
56,2019-09-16,290.46528037203075,290.83977145440747,290.4571142434697
57,2019-10-16,289.220027957439,289.52645483326864,289.19805050132027
58,2019-11-16,287.95876624932737,288.18223326333157,287.9711820827253
59,2019-12-16,287.10814965949675,287.15095315435605,287.1797554614501
60,2020-01-16,286.94748991008015,286.8511516775023,286.94072333389204
61,2020-02-15,287.11711178718593,287.14410112043953,287.04532483471183
62,2020-03-16,287.75986986466995,287.72927814237863,287.4983293947272
63,2020-04-16,288.7693239727066,288.7951066597616,288.6005204734875
64,2020-05-16,290.0291235975184,290.07286005314467,289.8648892596347
65,2020-06-16,291.211246014945,291.13047154969314,291.01360541226575
66,2020-07-16,291.6954965266985,291.4720345966509,291.49247153646235
67,2020-08-16,291.4227368237467,291.20953733265236,291.31926086901206
68,2020-09-16,290.60452102228766,290.41511795985144,290.661959247543
69,2020-10-16,289.41229648948433,289.20465333344566,289.33730438456485
70,2020-11-16,288.28159531245376,287.8469670492625,288.1679224035448
71,2020-12-16,287.6030430301817,287.03686733520544,287.2768701035207
72,2021-01-16,287.3171716875919,286.65721589996184,287.0044186285783
73,2021-02-15,287.51846748212756,286.9326375237651,287.40382299382946
74,2021-03-16,287.92414895208344,287.6345073925302,287.8175586532764
75,2021-04-16,288.9874675851057,288.6249249006796,288.7912987416063
76,2021-05-16,290.37343997709837,289.8835158072291,290.00595141040765
77,2021-06-16,291.38413035464794,290.8728925654603,291.3130803577749
78,2021-07-16,291.75289076194304,291.39498525927155,291.69183033153803
79,2021-08-16,291.62917838398903,291.22880750252887,291.50398129117394
80,2021-09-16,290.90219353676696,290.4970738166486,290.6643092402852
81,2021-10-16,289.6680046231585,289.18361112408246,289.4332005249352
82,2021-11-16,288.59065739107706,287.7852921919746,288.2507246983891
83,2021-12-16,287.8530221579452,287.07826601671286,287.49166686442493
84,2022-01-16,287.6751909018102,286.85573209511165,287.17388386234194
85,2022-02-15,287.82723535854683,286.88102665021063,287.3113879796087
86,2022-03-16,288.2685887925341,287.6552429987921,287.89355547749915
87,2022-04-16,289.2661279643448,288.6047384516918,288.838742300413
88,2022-05-16,290.51429406428105,289.9081872037889,290.16821814626695
89,2022-06-16,291.4852510106968,291.0329311648712,291.36433366096765
90,2022-07-16,291.9117999814363,291.43215313166183,291.7370733035964
91,2022-08-16,291.7130816633363,291.17741129642957,291.54303224790146
92,2022-09-16,290.89967163569503,290.5247994005685,290.7666348221184
93,2022-10-16,289.55549380380234,289.28946382606546,289.5414564208314
94,2022-11-16,288.26115002629103,288.00248921123654,288.2401008899301
95,2022-12-16,287.407516162605,287.16745248913253,287.5171480450032
96,2023-01-16,286.97907922947616,286.9689834157322,287.22682824018773
97,2023-02-15,287.21819146743474,287.3005267156372,287.48010007359323
98,2023-03-16,287.7905639359027,287.6725352897198,288.0593397419894
99,2023-04-16,288.9431435745847,288.7653558488846,289.05295760172476
100,2023-05-16,290.1600936716819,290.0759566614809,290.296709772603
101,2023-06-16,291.0496901137111,291.23071950961344,291.4164109182288
102,2023-07-16,291.4524585641969,291.5870799507399,291.83802452135876
103,2023-08-16,291.2093036527793,291.375234359514,291.77805914583075
104,2023-09-16,290.4983001192872,290.6762963067883,290.90987284857704
105,2023-10-16,289.31556762066396,289.28896824094846,289.8543721599991
106,2023-11-16,288.0067449679569,288.1858336267333,288.5968270149735
107,2023-12-16,287.33230433600124,287.57902478237605,287.9185146500418
108,2024-01-16,286.90031591055555,287.47027467866593,287.6189346981518
109,2024-02-15,287.004762586517,287.6252498986701,288.0618347620648
110,2024-03-16,287.56247394861884,288.196553792657,288.46931832264374
111,2024-04-16,288.6416041579401,289.27689010165267,289.5390330558862
112,2024-05-16,289.94761779604823,290.36315071553605,290.6318761795514
113,2024-06-16,291.04362806579746,291.51756440463623,291.6481670241584
114,2024-07-16,291.4602294375076,291.97574857812606,292.02753182949033
115,2024-08-16,291.3941122750911,291.89263815326143,291.6753604982889
116,2024-09-16,290.6178988424016,291.00692669354265,290.9316836929719
117,2024-10-16,289.2662672930907,289.7135897926547,289.66293804123643
118,2024-11-16,287.9749423521598,288.58168279718814,288.23646538375596
119,2024-12-16,287.1343526626373,287.95324835819446,287.4633474897018
120,2025-01-16,287.1194037519946,287.62926989033946,287.0315192148497
121,2025-02-15,287.55249422831827,288.00558476846936,287.4127898386355
122,2025-03-16,287.9677560142046,288.5935739063504,288.037642356402
123,2025-04-16,288.8487808325713,289.6291815738577,289.1152583255503
124,2025-05-16,289.9752172097248,290.6130007198278,290.19985575859437
125,2025-06-16,291.2173273185226,291.7263777765541,291.1266879574354
126,2025-07-16,291.6818468017806,292.05316643737274,291.48853248019924
127,2025-08-16,291.4447689688566,291.70272426189337,291.361499607642
128,2025-09-16,290.7949758226783,290.9886337420677,290.5565805122024
129,2025-10-16,289.6454985516389,289.5879925265197,289.32790571741276
130,2025-11-16,288.4501510945669,288.3635682116814,287.93782444592074
131,2025-12-16,287.733718892437,287.5183101882496,287.0087862499297
132,2026-01-16,287.5483136532507,287.0735275286425,287.03764015135437
133,2026-02-15,287.5275330056847,287.2554513080935,287.218871200767
134,2026-03-16,288.2273967422701,287.8141583516537,287.80924113108284
135,2026-04-16,289.2253600601111,288.95897111231307,288.82041342692423
136,2026-05-16,290.41931576708583,290.22827897380256,290.10158624692565
137,2026-06-16,291.47576550319343,291.33934181293006,291.24698197735654
138,2026-07-16,291.9152014131152,291.6496221754892,291.51793039051205
139,2026-08-16,291.70631097962485,291.4832233803086,291.43704919439847
140,2026-09-16,290.98498633971946,290.5671442993691,290.70083136152505
141,2026-10-16,289.8209714581543,289.23744658382174,289.35897550094194
142,2026-11-16,288.65767594179704,288.0410760433987,288.22991657226015
143,2026-12-16,288.04821247232286,287.319160796095,287.23099628171366
144,2027-01-16,287.6363782652457,287.03412052042086,287.17449529130926
145,2027-02-15,287.96003730185487,287.25981296944616,287.2268667247266
146,2027-03-16,288.376910441348,287.6929803560478,287.79546817232296
147,2027-04-16,289.46618048194955,288.8845420958646,288.84443104201773
148,2027-05-16,290.5395279094403,290.05529967477423,290.2354963444179
149,2027-06-16,291.6264046677162,291.141715598465,291.2660962772362
150,2027-07-16,292.0794946101035,291.5495844410895,291.77410895637354
151,2027-08-16,291.680555144341,291.40424862634933,291.5648990496807
152,2027-09-16,290.9393755076861,290.5010199138876,290.672046885391
153,2027-10-16,289.6563337157733,289.32513156595394,289.59194776488414
154,2027-11-16,288.4395298320437,288.09868008281927,288.1811267534869
155,2027-12-16,287.5508577736842,287.29345186356966,287.5351020303063
156,2028-01-16,287.3714033752946,286.934351468651,287.18040769610525
157,2028-02-15,287.4405843687215,287.2423592345746,287.5135689286384
158,2028-03-16,288.01192885592263,287.7589226652605,287.9383027366429
159,2028-04-16,288.96100891839643,288.89062930844335,288.850865883203
160,2028-05-16,290.2259317874293,290.17535958450907,290.1218295114537
161,2028-06-16,291.33960017547435,291.2666543565118,291.3265053340238
162,2028-07-16,291.79504015283464,291.77734587552186,291.81178106837274
163,2028-08-16,291.57018608896954,291.5759959271195,291.5811010611896
164,2028-09-16,290.7617033309153,290.88599638597327,290.91567226075693
165,2028-10-16,289.5389738709735,289.55352829982434,289.6229385672635
166,2028-11-16,288.34843942839717,288.36660890006124,288.29117816088905
167,2028-12-16,287.5195469712984,287.55873235697914,287.7050687386836
168,2029-01-16,286.9737550649358,287.2154647486491,287.3851183134012
169,2029-02-15,287.18903800495156,287.64868794394,287.58780599169825
170,2029-03-16,287.87428040105726,288.0672872395719,288.0691057162111
171,2029-04-16,288.93186813559845,289.0528348036098,289.00447551545017
172,2029-05-16,290.09494820234937,290.3145131773403,290.28138255036816
173,2029-06-16,291.281112191538,291.4761589637124,291.447976856877
174,2029-07-16,291.5891776689238,291.95264379467704,291.99265969409487
175,2029-08-16,291.50401971835674,291.70610140197306,291.7499149270667
176,2029-09-16,290.6761424530694,291.0545163391223,290.9118720982758
177,2029-10-16,289.38240910412674,289.8506732605518,289.6322908206298
178,2029-11-16,288.17084674010255,288.5481349565348,288.53937576134234
179,2029-12-16,287.28089512118964,287.9861590235417,287.6563544479798
180,2030-01-16,287.17654789352673,287.63134546215156,287.5616000854795
181,2030-02-15,287.2522547613542,287.73391678599177,287.81198311961145
182,2030-03-16,287.92654979445655,288.4084077926666,288.16266004441934
183,2030-04-16,288.9601680980338,289.54062635038485,289.1908285168095
184,2030-05-16,290.16717870201484,290.6557424578238,290.3676890321594
185,2030-06-16,291.3154286419024,291.7145924140878,291.5289723145446
186,2030-07-16,291.77863149621555,292.0622243587832,291.87575731569103
187,2030-08-16,291.5812014405754,291.9312364022676,291.677621323182
188,2030-09-16,290.9738435437233,291.0742651216056,291.036598944174
189,2030-10-16,289.59725388550663,289.9786863505525,289.776749052278
190,2030-11-16,288.425138224223,288.5900152773752,288.4514901005439
191,2030-12-16,287.6459933607053,287.60587949574244,287.8368495957869
192,2031-01-16,287.448867516519,287.500102805586,287.22648069278716
193,2031-02-15,287.5523727509588,287.718369122878,287.4955802119997
194,2031-03-16,288.07929576204714,288.17598143762325,288.09322228285464
195,2031-04-16,289.14394647303766,289.20185966184056,289.11384584182804
196,2031-05-16,290.48135729024773,290.4116620707085,290.4449208910782
197,2031-06-16,291.5878016026666,291.4319827580122,291.44444413350345
198,2031-07-16,291.83178798928003,291.7672807216608,291.79255847940186
199,2031-08-16,291.7209031832154,291.5568331130434,291.5927816315223
200,2031-09-16,290.84663025106704,290.79761949766913,290.8896437518582
201,2031-10-16,289.68412097561645,289.6648721130111,289.6446819034532
202,2031-11-16,288.47594875958504,288.224663023961,288.4622947502973
203,2031-12-16,287.44326410262954,287.38489270893086,287.74654189857296
204,2032-01-16,287.33822715735334,287.1433478022312,287.485886934117
205,2032-02-15,287.5817462972192,287.36843742276335,287.7433601615065
206,2032-03-16,288.07183841293744,287.9547972818215,288.2389675746609
207,2032-04-16,289.11188004760436,289.04186365456576,289.2238443471845
208,2032-05-16,290.2126127487844,290.239944753687,290.5382223662332
209,2032-06-16,291.40662893394506,291.3529232931956,291.6510037668916
210,2032-07-16,291.74529723744746,291.72711962714413,292.03238519313055
211,2032-08-16,291.6525124600888,291.56842886964074,291.79104398067136
212,2032-09-16,290.9811198731036,290.8522453313701,291.0650562099839
213,2032-10-16,289.6545636281396,289.6908348502779,289.96961167055747
214,2032-11-16,288.5645332025061,288.3995360630277,288.8996875060728
215,2032-12-16,287.54006242112405,287.59847791169835,288.00796242069816
216,2033-01-16,287.59206191091897,287.41869636918983,287.84957190300327
217,2033-02-15,287.592148943859,287.67977270242176,287.98348915147784
218,2033-03-16,288.3860581663204,288.1546977591415,288.4171278720538
219,2033-04-16,289.1908289256717,289.20442301663013,289.5731286139117
220,2033-05-16,290.52731314089766,290.39663513741255,290.7381940552173
221,2033-06-16,291.51200686565176,291.51134076244324,291.64662107462505
222,2033-07-16,291.89427758005814,291.9976561962369,291.94224973261885
223,2033-08-16,291.72923518194995,291.7798752472407,291.89180922151706
224,2033-09-16,291.1335644767161,290.91115001252706,291.04194865965934
225,2033-10-16,289.7151656076622,289.606418663903,289.82507937635694
226,2033-11-16,288.61218210661315,288.41259940957974,288.4577654945153
227,2033-12-16,287.8894429237915,287.72549440627137,287.5781882606777
228,2034-01-16,287.52291788738074,287.52086934242595,287.243776129494
229,2034-02-15,287.60673254149566,287.7584136871238,287.46634406461226
230,2034-03-16,288.3831968924912,288.08107594943607,287.9633623172034
231,2034-04-16,289.3737584061955,289.1488183692872,289.08484917474345
