,time,r10i1p1f2,r11i1p1f2,r12i1p1f2,r16i1p1f2,r17i1p1f2,r18i1p1f2,r19i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r6i1p1f2,r7i1p1f2,r8i1p1f2,r9i1p1f2
0,2015-01-16,285.4241403640079,285.2577632574499,284.992202842709,285.40452720639263,285.4472583311983,285.6832803981045,285.384707244202,285.5016680485657,285.36893757761413,285.5691103326011,285.36771085405655,285.4910476308326,285.2595191804351,285.5187765167194,285.43419628444514,285.55023373208945
1,2015-02-16,285.59688375275124,285.4496959444891,285.33344258453735,285.3453961057771,285.7710017021167,285.80440874186326,285.2916939029221,285.7872401908086,285.6236433633145,285.8063999520207,285.4910453476473,285.50591592355346,285.45678529478795,285.7155985094492,285.5160580698083,285.7174437675472
2,2015-03-16,286.5806276544712,286.19112050077376,286.3098527169471,286.1725880063389,286.6855148491926,286.4122535803178,286.15345652253114,286.39632346356115,286.3383733237227,286.39465980522374,286.40439635264306,286.32391229395705,286.2374170654612,286.50435766336795,286.5047274994417,286.3689370222287
3,2015-04-16,287.5469432403806,287.1377648005747,287.0116419830842,287.37190395926666,287.7287740750024,287.5280298832009,287.35260262466403,287.4849254668065,287.3177926530632,287.51750131841624,287.4780059381648,287.4733744202804,287.3425883420909,287.4980252681085,287.60753071044564,287.5596472741592
4,2015-05-16,288.6674265421982,288.2188924824911,288.1632353595544,288.34136731421233,288.59618817481373,288.53587290652183,288.2849818687774,288.476597985487,288.391759282912,288.40117807029924,288.36332659315764,288.43224069922644,288.2671206324096,288.4282215600539,288.5701955793193,288.497066234917
5,2015-06-16,289.2825307020068,288.9791450145513,288.9139997282343,289.0609612520636,289.30116287858334,289.23350202737055,289.0726317970311,289.0958940634484,289.12696392710944,289.22171651973525,289.24866030870686,289.2277365942644,289.0717717380459,289.20248998057167,289.161282826795,289.27094204373384
6,2015-07-16,289.83474251214847,289.53680572222817,289.61089247349673,289.6631193243962,289.69849206668846,289.70841979671553,289.5797205162966,289.67076100636507,289.43079536495554,289.7010345319344,289.6591776109967,289.55836666939575,289.5671910037054,289.6798125316757,289.7183145883044,289.8014787707965
7,2015-08-16,289.72559185703614,289.4964042441609,289.43754407547016,289.6901306334414,289.66054349675005,289.7515802722458,289.485046582649,289.4305226219655,289.4422062254112,289.71240707877377,289.51828472407243,289.54426475358264,289.6280313570491,289.53982274439517,289.6984048674093,289.72492355236136
8,2015-09-16,289.0191410225333,288.7902289030698,288.779459713054,289.0645437862329,288.9736514492499,289.2258375500736,288.900900958172,288.9665132333132,288.77823489118214,289.0003208631819,288.81009248483656,288.83489237230515,288.8773702976566,288.89210980150807,289.087480619498,289.09728723182303
9,2015-10-16,288.02217498685843,287.8161859278615,287.7402389458285,288.0000329057305,287.99184505884,288.1216067446593,287.9677145717513,287.93108805027924,287.8453832947439,288.2108492178714,287.70448284436907,287.77402805095426,288.08663944585356,287.8411327796028,287.99419921092436,288.1068454669799
10,2015-11-16,286.929760567617,286.60008999306996,286.81709793867896,286.8402895455559,286.65838212501393,286.7420907974262,286.9647585092405,286.885344360325,286.60396316730794,287.0247709084257,286.60270383493827,286.70251953444364,287.04614963086095,286.5139378234828,286.8988543871591,286.7716514156747
11,2015-12-16,286.06639300681013,285.67998610225504,285.86288126992645,285.7712550745309,285.9395264784844,286.04185313928133,285.79409099285357,285.8214045241822,285.9570917525245,286.12764243488226,285.58910609577185,285.725427248739,285.91944348696853,285.79265389653364,285.93845940131166,285.8979562589635
12,2016-01-16,285.6054959994179,285.5583306873528,285.3887170651177,285.2770625523544,285.4381369599129,285.4135467019354,285.3626429619329,285.1845045468979,285.40349253546304,285.65675615814934,285.27544932896376,285.43608777851415,285.4168625622593,285.0768476649103,285.75662853040245,285.6353840929774
13,2016-02-16,285.5755274281522,285.67175811372516,285.5987079157452,285.5632126336905,285.40753704222016,285.74066317356915,285.408745023186,285.7294223748227,285.4887615271666,285.8777207742435,285.5203902416559,285.66961434180325,285.6071404204379,285.35043576050106,285.9636765564818,285.755098790776
14,2016-03-16,286.36620746772525,286.3525732298416,286.16158932201057,286.3361592942081,286.4056448840289,286.6285625377255,286.22673394683187,286.37483998091307,286.2702571936266,286.7904904671318,286.44916521090994,286.36571309344265,286.27465011285733,286.0990251378182,286.67916943105536,286.647543208529
15,2016-04-16,287.3847906769141,287.1901111777645,287.3927467161747,287.4887082404346,287.43366120454334,287.5742363752277,287.3065520381528,287.4407705439147,287.2990359856398,287.6255400998758,287.4472397668481,287.50053673912817,287.3553997845083,287.4002240696681,287.7937957532519,287.38427757403906
16,2016-05-16,288.47324813633537,288.35936580238206,288.25357995682367,288.53732284768483,288.4712435281658,288.752190296334,288.37373302229156,288.3021826727338,288.2664642105465,288.5136499353717,288.4719333565256,288.47085542261044,288.4204965355969,288.2637788046833,288.7528081216545,288.5813327028813
