,time,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1
0,2015-01-16,286.312822769099,286.09926088531097,286.2478295037059,285.9498614540348,286.2758114664598
1,2015-02-15,286.2172569356635,286.3231825104625,286.13686852071777,286.6645064396127,286.5342937463009
2,2015-03-16,286.9150316984168,286.9129199377161,286.73935699898647,287.04236704453075,287.08129133291044
3,2015-04-16,287.9181395528664,287.78270887333827,287.61226808700513,287.8511383701487,287.94443424570846
4,2015-05-16,288.5809218776376,288.53607758178464,288.4265766658937,288.6203421392099,288.6479760680486
5,2015-06-16,289.2571099678368,289.1164565152661,289.1042022400761,289.29718874546967,289.1968143682282
6,2015-07-16,289.6252804252431,289.6479960643927,289.53467239108096,289.646138149854,289.77050262774355
7,2015-08-16,289.41720813814015,289.38151990450496,289.39618930871194,289.4989791051182,289.39246816817683
8,2015-09-16,288.79707414897536,288.7371261365605,288.7361883028155,288.834335098109,289.0220933309889
9,2015-10-16,287.83686778148837,287.81610152912066,287.94412625463355,288.116402458583,288.0268122922929
10,2015-11-16,287.11996493026714,286.78476495215637,287.2080370806879,287.1968581836489,287.2282291058361
11,2015-12-16,286.5016711724435,286.30816305163165,286.55971630666807,286.4258062779485,286.6543854144141
12,2016-01-16,286.3184626161702,286.3637280005811,286.190465952697,286.3590088176105,286.1706516518679
13,2016-02-15,286.46656776157016,286.45358658484406,286.3973980491628,286.50191548380553,286.8918613527903
14,2016-03-16,287.0210099146666,287.09195061173557,287.12620754309916,287.1096840976416,287.3259241763816
15,2016-04-16,287.8319737427705,287.8497972137286,287.9321066700377,287.83085277799836,287.8621144726752
16,2016-05-16,288.567104566738,288.481686690769,288.68563624341465,288.6707115905959,288.68631120904587
17,2016-06-16,289.41536014066935,289.15416996991695,289.4908019454325,289.31098580356354,289.4088049172636
18,2016-07-16,289.68606493672416,289.5762459814601,289.8594730022544,289.75961483336005,289.8635678704444
19,2016-08-16,289.4572154393247,289.4107669787042,289.3439678917082,289.54487837830095,289.5758476948744
20,2016-09-16,288.91400501375057,288.8077211846091,288.76287693045043,288.8779386156515,288.96576151839804
21,2016-10-16,288.0359823311449,287.7965404883899,287.85588532116935,287.9495431694779,288.1274504920381
22,2016-11-16,287.1836799347455,287.0618498757332,286.95343454190225,287.11516993140646,287.11813464289656
23,2016-12-16,286.5267851093446,286.5193179001996,286.2808242263434,286.0924015610042,286.6449984518561
24,2017-01-16,286.4796592663048,286.51589071890766,286.2282723402471,286.12538441318327,286.2522224096902
25,2017-02-15,286.88612083172524,286.4744754816688,286.51746456271525,286.49918146669285,286.5125720853129
26,2017-03-16,287.2650750911864,287.1869952686011,287.22144700510785,286.89394265816827,287.063561830649
27,2017-04-16,288.0763900416403,287.9758321261286,287.78642367929905,287.5900577956081,288.1053581733687
28,2017-05-16,288.7522140206145,288.73955396662535,288.59298363160156,288.5774829878221,288.87270554629583
29,2017-06-16,289.482966372183,289.5782251187015,289.2467827576433,289.3259036279842,289.3838581832867
30,2017-07-16,289.8337721988315,289.68830955950574,289.83590125501087,289.7423892407628,289.86372736381327
31,2017-08-16,289.60162212989957,289.65390714699936,289.40118804717804,289.5795367303052,289.56743087856455
32,2017-09-16,289.0033119197386,288.85013629612774,288.79655284696145,288.77429224876306,288.89771201957245
33,2017-10-16,288.09615327770183,288.0122154766239,287.98709781307576,287.81601548715906,287.97930231399687
34,2017-11-16,287.4248206522647,287.17515128622824,287.0441126363605,287.03745691643957,287.275071939367
35,2017-12-16,286.72680708808366,286.41645738515797,286.3718887997933,286.20732606073693,286.4547901050808
36,2018-01-16,286.3056686581388,286.3055736741634,286.1733151076914,286.2393042996679,286.30863709499585
37,2018-02-15,286.8130498923591,286.16917355726173,286.58238011551475,286.1411497670552,286.4527976313947
38,2018-03-16,287.2741687634849,286.8260325394693,287.1132728097777,286.95377230867456,286.9243105837523
39,2018-04-16,288.07006708517974,287.6692849097578,287.78900613190143,287.7456148157822,287.68074821215134
40,2018-05-16,288.92289678953597,288.51081014042063,288.54749846348994,288.6783778336039,288.5495565798468
41,2018-06-16,289.33608359232323,289.39948939644097,289.30701070118545,289.33878228841314,289.32514456614217
42,2018-07-16,289.8299055861163,289.7310795506766,289.79891879168554,289.78237096521576,289.5702002341278
43,2018-08-16,289.802733777816,289.46629301265756,289.7515697422074,289.68245473057635,289.5422038215592
44,2018-09-16,289.0293571136956,288.9057377330257,289.041110495318,289.16125237508595,288.941467196953
45,2018-10-16,288.2893692123224,287.92469015044156,287.88483022433286,287.9476432421326,288.10695249675786
46,2018-11-16,287.2824052527608,287.2106288986255,287.2664229127147,287.17945689829236,287.1025268613526
47,2018-12-16,286.6484767793196,286.64752518663585,286.5637706106455,286.2441819517009,286.58688398908515
48,2019-01-16,286.4469681804625,286.44700706515397,286.3160314446719,286.2573859414372,286.1438163762942
49,2019-02-15,286.5923134001841,286.6573285822065,286.54022580641885,286.267244301899,286.29916700720077
50,2019-03-16,287.1910628631795,287.2404455226679,287.2214545480719,286.9479101012553,286.7285400097082
51,2019-04-16,287.93024542033055,287.9957023576631,288.06058756470014,287.8040026706301,287.9218678155578
52,2019-05-16,288.7975184521927,288.66347463174975,288.76060220725105,288.6436213104161,288.6990750099785
53,2019-06-16,289.5279008343159,289.2691944214793,289.3899124743664,289.43597586292907,289.5166948137647
54,2019-07-16,289.88652642595935,289.7796850506017,289.9246261275172,289.8277398087167,289.81990376892765
55,2019-08-16,289.8719967114213,289.7154913793103,289.76777351808096,289.7732206678172,289.53691238024516
56,2019-09-16,289.26390840655085,289.0203611036147,288.9697124231323,289.1268218963872,289.1070219387614
57,2019-10-16,288.15550378188215,288.1026308406093,288.1808621827424,288.071987703544,287.99872606453823
58,2019-11-16,287.20775344009627,287.29699370947986,287.39829244967143,287.1313633816443,287.3049382555608
59,2019-12-16,286.54053332213965,286.9342083033526,286.641938396521,286.68032677393,286.50493482393364
60,2020-01-16,286.30692058894294,286.74304345783435,286.010994016344,286.4194825482757,286.3531597545443
61,2020-02-15,286.652741704213,286.72135414516026,286.62390609249206,286.6061548721531,286.48526887826387
62,2020-03-16,286.9595712313329,287.3767849494845,287.03638891824284,287.16631698538185,287.1627762552867
63,2020-04-16,287.8836356340674,288.032495231068,288.01003641975194,287.8642191468908,288.10630078308276
64,2020-05-16,288.68760551023786,288.7137000818631,288.91968725112395,288.7211899419355,288.82092729841565
65,2020-06-16,289.2881999167984,289.506011948676,289.3480939494919,289.4020766082945,289.56663280712587
66,2020-07-16,289.765502081818,289.9500868945946,289.73871229421684,289.6790792980797,290.0315867759108
67,2020-08-16,289.66704431811286,289.71650602533555,289.6103726381059,289.52776685643926,289.867703483236
68,2020-09-16,288.7738684688911,288.9846234017979,289.0905187422529,288.7642859809547,289.0667423094293
69,2020-10-16,287.98588988379385,288.0350789770756,288.1157217518789,287.75761558777805,288.0665541672558
