,time,r1i1p1f1
0,2015-01-15,286.6217069910459
1,2015-02-14,286.52661500058946
2,2015-03-15,287.06913218930566
3,2015-04-15,287.95798372728797
4,2015-05-15,288.9991224180179
5,2015-06-15,289.6896151550579
6,2015-07-15,289.968568268836
7,2015-08-15,289.8407673406898
8,2015-09-15,289.21228032717426
9,2015-10-15,288.5195823832541
10,2015-11-15,287.7606149423186
11,2015-12-15,287.00149557999055
12,2016-01-15,286.57993618670525
13,2016-02-14,286.83899373430114
14,2016-03-15,287.4968549615303
15,2016-04-15,288.36141776818965
16,2016-05-15,289.26003442160186
17,2016-06-15,289.8045954841155
18,2016-07-15,289.9949674341939
19,2016-08-15,289.89386725453926
20,2016-09-15,289.271220241361
21,2016-10-15,288.3921043919509
22,2016-11-15,287.53652886598064
23,2016-12-15,286.83891767561545
24,2017-01-15,286.598566072681
25,2017-02-14,286.6451392745879
26,2017-03-15,287.31438313348207
27,2017-04-15,288.1925034851455
28,2017-05-15,289.20501101278813
29,2017-06-15,289.7381723037452
30,2017-07-15,289.9508867705044
31,2017-08-15,289.84004407901296
32,2017-09-15,289.1925395871129
33,2017-10-15,288.3602983779678
34,2017-11-15,287.4970151623106
35,2017-12-15,286.9462272105313
36,2018-01-15,286.469539568416
37,2018-02-14,286.5902396311809
38,2018-03-15,287.0999935157887
39,2018-04-15,288.1242580039756
40,2018-05-15,289.1755884644196
41,2018-06-15,289.7526043072512
42,2018-07-15,289.9798635739062
43,2018-08-15,290.0034088190587
44,2018-09-15,289.38666883087205
45,2018-10-15,288.4896547833468
46,2018-11-15,287.6661950879399
47,2018-12-15,286.84723247980924
48,2019-01-15,286.7750059749848
49,2019-02-14,286.8289161767166
50,2019-03-15,287.29390025170426
51,2019-04-15,288.1542646957162
52,2019-05-15,288.8983192596465
53,2019-06-15,289.5974921844526
54,2019-07-15,289.97186727813914
55,2019-08-15,289.69727952046367
56,2019-09-15,289.1482524660204
57,2019-10-15,288.2001149503505
58,2019-11-15,287.358071090103
59,2019-12-15,286.7315026121687
60,2020-01-15,286.198540100789
61,2020-02-14,286.3970978295274
62,2020-03-15,286.947317089587
63,2020-04-15,287.9612834067295
64,2020-05-15,288.92432056424786
65,2020-06-15,289.43467677543777
66,2020-07-15,289.82727820062996
67,2020-08-15,289.6926769809822
68,2020-09-15,289.15618259801977
69,2020-10-15,288.2460650549963
70,2020-11-15,287.5684208235808
71,2020-12-15,286.60323555324527
72,2021-01-15,286.57027303681525
73,2021-02-14,286.38733995572426
74,2021-03-15,287.17668394090447
75,2021-04-15,287.99933651013146
76,2021-05-15,288.9401226231433
77,2021-06-15,289.6268581641326
78,2021-07-15,289.8459405227901
79,2021-08-15,289.80267071272476
80,2021-09-15,289.35749926459107
81,2021-10-15,288.43906541612785
82,2021-11-15,287.64189050177373
83,2021-12-15,286.8183493344531
84,2022-01-15,286.4463410276999
85,2022-02-14,286.4786193268179
86,2022-03-15,287.29486460778963
87,2022-04-15,288.30024387812057
88,2022-05-15,289.11844989892177
89,2022-06-15,289.70874501284504
90,2022-07-15,289.89962151801205
91,2022-08-15,289.84168064440416
92,2022-09-15,289.44662509210434
93,2022-10-15,288.40525787371257
94,2022-11-15,287.4863633658754
95,2022-12-15,286.75132996577025
96,2023-01-15,286.3835459698675
97,2023-02-14,286.53724423221286
98,2023-03-15,287.51264917761495
99,2023-04-15,288.14247817306483
100,2023-05-15,289.11117197125253
101,2023-06-15,289.77196400467136
102,2023-07-15,290.0215998042395
103,2023-08-15,289.89462346276554
104,2023-09-15,289.3199580702333
105,2023-10-15,288.62438091189216
106,2023-11-15,287.81370124763333
107,2023-12-15,287.08623397965073
108,2024-01-15,287.0414173770763
109,2024-02-14,287.0793640551077
110,2024-03-15,287.4794734502262
111,2024-04-15,288.27519932807326
112,2024-05-15,289.3211194773305
113,2024-06-15,290.03435652037933
114,2024-07-15,290.1685641202103
115,2024-08-15,290.01932328037856
116,2024-09-15,289.56181593249994
117,2024-10-15,288.64849789345743
118,2024-11-15,287.8193483366313
119,2024-12-15,286.97870493021
120,2025-01-15,286.6611094149756
121,2025-02-14,286.8317334253532
122,2025-03-15,287.3526505117684
123,2025-04-15,288.24897772887147
124,2025-05-15,289.20002256413335
125,2025-06-15,289.6181918426664
126,2025-07-15,290.00541163867143
127,2025-08-15,290.02599361554877
128,2025-09-15,289.2978616777685
129,2025-10-15,288.56465213956943
130,2025-11-15,287.71413258961644
131,2025-12-15,286.8678250112269
132,2026-01-15,286.5061892827687
133,2026-02-14,286.630022466961
134,2026-03-15,287.35828431525
135,2026-04-15,288.39013422429844
136,2026-05-15,289.2643387752871
137,2026-06-15,289.9169510104561
138,2026-07-15,290.1362884366324
139,2026-08-15,289.95393587794956
140,2026-09-15,289.44347648990953
141,2026-10-15,288.52882623209774
142,2026-11-15,287.73692435407526
143,2026-12-15,287.0405159542587
144,2027-01-15,286.65390281789877
145,2027-02-14,286.8837775073902
146,2027-03-15,287.3813533191043
147,2027-04-15,288.36800771282816
148,2027-05-15,289.280178439302
149,2027-06-15,289.76086522057284
150,2027-07-15,289.999419399472
151,2027-08-15,289.9662953866394
152,2027-09-15,289.4036758952318
153,2027-10-15,288.68982130052234
154,2027-11-15,287.98662524813415
155,2027-12-15,287.2317257429618
156,2028-01-15,286.81155615467094
157,2028-02-14,287.192032583605
158,2028-03-15,287.78594545169045
159,2028-04-15,288.5828756971337
160,2028-05-15,289.4427535833172
161,2028-06-15,290.1547068555778
162,2028-07-15,290.3183294324795
163,2028-08-15,290.15053585191436
164,2028-09-15,289.4239893830862
165,2028-10-15,288.72252452164787
166,2028-11-15,287.97397697433087
167,2028-12-15,287.16970548896387
168,2029-01-15,286.828021068993
169,2029-02-14,287.1045504314427
170,2029-03-15,287.70228342009557
171,2029-04-15,288.4994788480616
