,time,r1i1p1f1,r2i1p1f1,r3i1p1f1
0,2015-01-16,286.0290114877958,286.2009033426022,286.2628788920954
1,2015-02-16,286.53834136208144,286.7448209983781,286.6294537006678
2,2015-03-16,287.1885680701786,287.28417697444195,287.4138349598354
3,2015-04-16,288.15365239731426,288.1584073236096,288.3253838297891
4,2015-05-16,288.98034923844847,289.16334938574494,289.2884585406974
5,2015-06-16,289.8028533907218,290.05315250241523,290.05037940864776
6,2015-07-16,290.457763928489,290.63881426540996,290.4902357196699
7,2015-08-16,290.1531893673447,290.42886727653337,290.2169763566105
8,2015-09-16,289.3403959256766,289.72228464197417,289.4094713602137
9,2015-10-16,288.3469824311967,288.6567357820455,288.3485681208897
10,2015-11-16,287.20687611005997,287.3951840885739,287.46758563020813
11,2015-12-16,286.42877076636444,286.64408474620166,286.6981058141646
12,2016-01-16,286.1153504067614,286.58985986461175,286.38823864641125
13,2016-02-16,286.36291769005936,286.6253316532409,286.6813313124512
14,2016-03-16,287.1083599047717,287.54672138400167,287.3388321485662
15,2016-04-16,288.1023374358146,288.3228832272861,288.2860139474086
16,2016-05-16,288.87924743798715,289.25220451862714,289.12503130355907
17,2016-06-16,289.70938731865704,290.0633934424741,290.0078576195792
18,2016-07-16,290.27310298237023,290.6340557352931,290.5443503484737
19,2016-08-16,290.1138066697434,290.4222631820529,290.22311112149913
20,2016-09-16,289.29943136921185,289.5307746942279,289.5763302705813
21,2016-10-16,288.32835005883663,288.58799902955775,288.54389677985574
22,2016-11-16,287.1952294016445,287.3998964622109,287.29586630723
23,2016-12-16,286.3094522449183,286.7566026981704,286.62646262129493
24,2017-01-16,286.0286295817627,286.6074768511882,286.12864149038853
25,2017-02-16,286.34486892130366,286.6940760521323,286.47089391425465
26,2017-03-16,287.1183558277346,287.4539366547095,287.4242500002077
27,2017-04-16,288.0869364277721,288.33702876705036,288.35616704790453
28,2017-05-16,289.12124245363134,289.3147203166355,289.2150231700061
29,2017-06-16,290.1075302987896,290.28058429440614,290.09602335187026
30,2017-07-16,290.4474010637567,290.73433128694,290.4884929525455
31,2017-08-16,290.28986441406977,290.49477713994935,290.34636400847023
32,2017-09-16,289.39208112067985,289.60991732086535,289.64322166633633
33,2017-10-16,288.46801516822734,288.7117919875793,288.5277256811302
34,2017-11-16,287.261886778448,287.6308144400758,287.50475585179777
35,2017-12-16,286.5251424294731,286.98124063197776,286.75314779252153
36,2018-01-16,286.43161976291873,286.6641337890546,286.5716513810719
37,2018-02-16,286.5739677501954,286.8596357349638,286.7093083560668
38,2018-03-16,287.3094612595473,287.3856505275878,287.4406254644247
39,2018-04-16,288.12883998818353,288.42535538040585,288.2729811041396
40,2018-05-16,289.102861398498,289.2777251333411,289.22737521339695
41,2018-06-16,290.10973260276637,290.1984821550726,290.0300981397864
42,2018-07-16,290.6003940571413,290.5781488962454,290.5684218974061
43,2018-08-16,290.37116140303465,290.375207231573,290.5426041196561
44,2018-09-16,289.57504003062525,289.5956997241579,289.7387647696538
45,2018-10-16,288.47728344810315,288.75557060257324,288.67998136165
46,2018-11-16,287.433028806795,287.7033969347661,287.5754682196743
47,2018-12-16,286.51915578599204,286.78734452844964,286.7920254579089
48,2019-01-16,286.3399921781854,286.5124714084127,286.85581554760506
49,2019-02-16,286.57109578069714,286.80944591591003,287.10503039138007
50,2019-03-16,287.480321092859,287.49268902617706,287.6618750958261
51,2019-04-16,288.147624301221,288.39677076209824,288.623158400164
52,2019-05-16,289.08887492562076,289.2636004426974,289.5068685248548
53,2019-06-16,290.00286609816743,290.12854209650425,290.23427815987924
54,2019-07-16,290.4194488576441,290.62069562172434,290.73848306192565
55,2019-08-16,290.32243023876407,290.428734834733,290.48173604596457
56,2019-09-16,289.56247513167347,289.6224298690755,289.5868350135478
57,2019-10-16,288.44654331228276,288.65583661317066,288.71217532099604
58,2019-11-16,287.34448534574994,287.6150521179314,287.5706212860189
59,2019-12-16,286.48470930011916,286.6901936400579,286.8715637223925
60,2020-01-16,286.554831050865,286.58943088953464,286.7792756298591
61,2020-02-16,286.6398282983707,286.7928143019837,286.9184521487539
62,2020-03-16,287.50357300587,287.5426034924884,287.4881734115632
63,2020-04-16,288.27568422417875,288.44294900638823,288.4473173177718
64,2020-05-16,289.21808373657075,289.4624637062722,289.49083870456997
65,2020-06-16,290.1043273687188,290.42733459640834,290.3619924504094
66,2020-07-16,290.6671155272653,290.90902410000274,290.8143108425951
67,2020-08-16,290.58153745885085,290.677758206202,290.5331769913104
68,2020-09-16,289.54287123772997,289.83261979177695,289.7240064504924
69,2020-10-16,288.58372079415443,288.81105737540247,288.8966287436337
70,2020-11-16,287.4929145725561,287.8049490851787,287.6874811740642
71,2020-12-16,286.7578887628785,287.0712386206123,287.0269129131373
72,2021-01-16,286.3738756998598,286.87383379194625,286.8034231297673
73,2021-02-16,286.66405608374765,287.1655546557555,287.1561605746227
74,2021-03-16,287.4048682205274,287.7321220426544,287.9788136707832
75,2021-04-16,288.2220173525615,288.56292769727213,288.6182054509443
76,2021-05-16,289.2184410363915,289.48070774320615,289.48080980207334
77,2021-06-16,290.1121711938304,290.3813090901617,290.2824300388901
78,2021-07-16,290.5511325964575,290.7068008466841,290.7383333602973
79,2021-08-16,290.4608991082263,290.59854023636586,290.5000637392895
80,2021-09-16,289.5159937746149,289.6560081799828,289.7186935197814
81,2021-10-16,288.6814453869341,288.7789273650338,288.7022744238401
82,2021-11-16,287.313944396196,287.6140845075475,287.8945391968888
83,2021-12-16,286.7444157619085,286.73355341992027,286.8853210507718
84,2022-01-16,286.57652802679263,286.91376605909,286.49561869545516
85,2022-02-16,287.1498212021561,286.95370943256444,287.0789873501062
86,2022-03-16,287.6328668691594,287.56143411281516,287.72944097982327
87,2022-04-16,288.4902499282547,288.47609452840493,288.56215384238817
88,2022-05-16,289.3979880486526,289.438724625373,289.5225227894224
89,2022-06-16,290.23912435136435,290.3797297031193,290.3043709187808
90,2022-07-16,290.9424450494389,290.81401185343884,290.77719061237264
91,2022-08-16,290.56495902429396,290.671962880114,290.66330339692576
92,2022-09-16,289.82197733072354,289.9016473291611,289.9112099889518
