,time,r10i1p1f1,r11i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,1850-01-15,284.99172708271647,285.33546626934356,285.22900005084307,285.2751526722066,284.7923639892123,285.162423211321,285.41815657473717,285.4663864517166,285.68453097312033,285.55794917006443,285.6333856668108
1,1850-02-14,285.22432064004494,285.506428067583,285.4856701791984,285.42610000153064,284.94303491662737,285.2311344560863,285.45113040860235,285.69200050298247,285.5129859646712,285.6725152804864,285.5661446578308
2,1850-03-15,285.8455769217945,286.21895313964774,286.0935790060365,285.97394146246614,285.7354437120979,285.834621527771,286.1094016482601,286.293978847373,286.09163502564644,285.97597644976014,286.33082782813733
3,1850-04-15,286.93237948697913,287.1692857166853,287.1268916917105,286.92858105976836,286.5505353331691,286.9248361254286,286.98093107667216,287.27520772886936,287.13550766042454,287.04716715606077,287.1522849416545
4,1850-05-15,287.86026700149404,288.1489463234278,288.1363109055966,288.23513598557815,287.6469997189986,287.7652107728947,287.9467193512528,288.17256076436837,288.10097120021356,288.01751892657927,288.06417279122434
5,1850-06-15,288.4237120351254,288.7567246054708,288.6768445185435,288.74103036218247,288.2807202145778,288.49799043776386,288.5601585171117,288.6922773200539,288.6410249129355,288.7042992084035,288.69856036920197
6,1850-07-15,288.5356356047759,288.86800124339027,288.9640337767964,288.8579373650389,288.6306273847287,288.7008708285823,288.87781546213523,288.8819700307118,288.8452675625194,288.8482864055245,289.0400224914695
7,1850-08-15,288.4487224789287,288.64199409852796,288.6755539720036,288.6783470939583,288.4672347795827,288.65157622788723,288.68009725507676,288.8587373309407,288.6094718137801,288.7344784544591,288.7952814541943
8,1850-09-15,287.9932976592789,288.1022344825317,288.12917074381556,288.15079015188024,288.0626222061184,288.0104005306175,287.88190769854396,288.27950795537726,287.89654674753564,288.12757753283216,288.2068512775489
9,1850-10-15,287.20830875124875,287.2496556211325,287.4482638318669,287.30473670344026,287.05916396470866,287.08751521536175,287.0288363957181,287.46405743620477,287.27868680183246,287.2978151993159,287.5701370013619
10,1850-11-15,286.10091929066334,286.4198788612768,286.6387483374078,286.49569643376805,286.2712118115196,286.1877055071749,286.34590590108877,286.5364058958987,286.39159505636667,286.46177362012946,286.6567918991501
11,1850-12-15,285.2898337878779,285.51702717090245,285.7588089900643,285.6503589047088,285.57468673585214,285.4483113585462,285.6502388353034,286.0008437265723,285.62469920051996,285.71517196607977,285.85475044817053
12,1851-01-15,284.95584852107953,285.2897142071004,285.63793428462805,285.4144045248357,285.0350575040813,285.2971257923618,285.2594842154911,285.4445777554138,285.20102025214425,285.3980360802517,285.43967326075494
13,1851-02-14,285.2830480739338,285.26606613336054,285.7366519889808,285.5000675085296,285.2452303825191,285.4534738380042,285.3526058886701,285.4868793985928,285.1708716713655,285.5021568253495,285.50334423902916
14,1851-03-15,286.0308525947547,286.0206699464836,286.2422979466902,286.28698308146386,285.8005127840367,285.79280096545654,286.0243539234951,286.36119240805095,285.9687400411504,286.10996386804294,286.31697975664594
15,1851-04-15,286.8107841978524,287.1762011685192,287.2731021706768,287.1448415190321,286.80528693736903,286.99213062328624,287.00211464801447,287.48000138696347,286.9126293039936,287.21227884962957,287.2747779091618
16,1851-05-15,287.88687785139433,288.0981009604702,288.25253687645187,288.251458908512,287.9931633265127,287.9050301509907,287.85209136374,288.17491990443256,287.97979013917313,288.2095849108491,288.2505873613219
17,1851-06-15,288.5495715096729,288.8281943444417,288.9055229201724,288.8047602090355,288.66200382255283,288.4178839325949,288.5234215280787,288.7538458902743,288.52209437947806,288.89575676027823,288.94047493699264
18,1851-07-15,288.59543429181633,288.9517519570879,289.02872587470245,289.00797176721494,288.9734958313088,288.73639995453584,288.6791469246453,288.9249495465344,288.8016011737266,289.0867265468885,289.045240374181
19,1851-08-15,288.41401895377686,288.86010118124653,288.8124706338347,288.904835454757,288.6298836080333,288.4872348976561,288.61182270647373,288.8532476063622,288.5364878388108,288.9498772343702,288.88232391144766
20,1851-09-15,287.973304172211,288.28411429964234,288.20468866702674,288.2886607470904,288.2433832144978,287.9088218634585,288.0425050635846,288.2467290215375,287.8867403159845,288.4660847037865,288.33950446200623
21,1851-10-15,287.0474850239434,287.40175686865535,287.33798381274,287.4317453665485,287.1389831844409,287.2719658178526,287.1707522704937,287.2767876715089,286.9621033882655,287.4304984829505,287.39452815476983
22,1851-11-15,286.1903391936782,286.41442445526144,286.34374173505614,286.5375645024571,286.25294300684646,286.4568310564574,286.2699581667767,286.3003383603731,286.0261779898203,286.58369773736837,286.55921020869783
23,1851-12-15,285.6456991921405,285.80081910232,285.6837454867671,285.91603813208775,285.4070189640713,285.60426801734695,285.5882226884596,285.66482895981454,285.246779995656,285.80784152350316,285.73355968045735
24,1852-01-15,285.279969170283,285.4101495423629,285.3353920711472,285.37536785022877,285.250447085677,285.36685393498044,285.04977701170264,285.20153985134084,285.0159829258522,285.431483115735,285.5611064141476
25,1852-02-14,285.04781290738725,285.74367244323605,285.25522766301356,285.7519677092114,285.2071425103808,285.33404790686006,285.322988397847,285.2737672783839,285.36465859253616,285.5705609355261,285.5578951696906
26,1852-03-15,285.7295751040049,286.1893217355987,285.91509238810136,286.16025352069676,285.8133789490447,285.88095314337227,286.1173548142304,285.90648350507894,286.12603165403823,286.1888245804781,286.17838715554126
27,1852-04-15,286.74366147265107,287.26215650381323,287.0667794538025,287.3271724526728,286.9089945491857,287.0521593187482,286.9109949791503,286.9333543571355,287.0475619900977,287.13598608360184,287.1718257784788
28,1852-05-15,287.8891933777049,288.3596077369162,287.90526132891995,288.25913568869885,287.76229263134394,288.0288535816046,287.92031647747075,287.9297541601439,287.828010306572,288.0386399750351,288.1654457585133
29,1852-06-15,288.74105342235003,288.90291417363073,288.6316050793045,288.74021587014613,288.53323609378117,288.5969492779289,288.55056049829176,288.6204964716431,288.47230178062415,288.6584575825919,288.72824861593756
30,1852-07-15,288.91852068675985,289.16735830684536,288.805739742409,289.1624013185712,288.73181063720114,288.9552442054523,288.86117049943175,288.75945657515473,288.83077129367405,288.98571042472383,288.96585816145523
31,1852-08-15,288.7117902586848,289.0036625033154,288.81017167449227,288.74275553909337,288.6549834295383,288.6911361529582,288.68467298831166,288.8215686075806,288.5901945266484,288.772344534698,288.76384773849367
32,1852-09-15,288.0486913416101,288.349973947899,288.11471401908244,288.2249943060178,287.9201080887375,288.09346271744505,288.1714333069957,288.0519927653241,288.1874352975245,288.25969337063566,288.19578428562664
33,1852-10-15,287.3577314698028,287.47804231733284,287.32896326896264,287.455746779792,286.9864243160308,287.1563289896067,287.3649607038449,287.21811991602846,287.46383860473543,287.45715634536595,287.4847221102282
34,1852-11-15,286.32901007526897,286.40349177951776,286.5451171899633,286.56943337165114,286.153541517312,286.2759537333188,286.5949805699768,286.28068547721705,286.551925881476,286.6613251017121,286.59283528779326
35,1852-12-15,285.5529909782093,285.7416896112027,285.7973254556718,285.89693643029904,285.41482592825554,285.39282458535007,285.74682274725734,285.6373123571891,285.72837584047494,285.9569562320264,285.8569881067086
36,1853-01-15,285.37156081526484,285.3832695626531,285.1947353298231,285.4673332314518,284.8717255727716,285.0795128158213,285.3314482808891,285.43181867007144,285.31256562106597,285.425849066881,285.70331865407013
37,1853-02-14,285.31826889532374,285.6384909098585,285.58429334551926,285.4187663093495,285.06009928758766,285.4316931164235,285.7037740483679,285.5854563243287,285.41349414698766,285.7081180873049,285.68185340035035
38,1853-03-15,286.1220843388407,286.11862829509545,286.05506596301336,286.16494560206155,285.96984454946335,285.9480949641815,286.2049364191325,286.0701165867524,286.0836701301838,286.2511747339002,286.34270657423605
39,1853-04-15,287.034752699895,287.05180704205964,287.113433334569,286.956096581974,286.8450363927933,286.9074431558248,287.2066382695296,286.9811841865188,287.1816916043947,287.13388436063667,286.98905095370833
40,1853-05-15,287.98727394743787,288.10043869202343,287.93708977196525,288.1326591984375,287.9290897684099,287.8195422710749,288.08067294623265,288.05025299683825,288.1077801845358,288.2680258228258,288.12559309935153
41,1853-06-15,288.63230077804735,288.759209162659,288.71346747130065,288.7245431430926,288.5164913664036,288.48903234479127,288.7645275861692,288.5701550163884,288.82894414047365,288.9157153178081,288.72978791486946
42,1853-07-15,288.7668339305697,288.94745448638434,288.84550607481975,288.745160683577,288.6114751361875,288.58282861849756,288.8437240857909,288.62222421208725,288.9393512240608,288.95925938720364,288.85809477839575
43,1853-08-15,288.5425047138602,288.7293750247901,288.6082964352157,288.6310539234023,288.37685121922624,288.5633568128835,288.77888528040694,288.60484416009916,288.7381666067411,288.7754483436724,288.6733898326086
44,1853-09-15,287.8726920568829,288.1128579406775,288.0895764273692,288.0580193798022,287.91599589132824,287.90633551310094,288.1872521591966,288.08236592978056,288.16265312650586,288.0974535254567,288.206796306545
45,1853-10-15,286.91254388658416,287.2422058600477,287.35858579349565,287.0401683983858,286.9047883205572,287.0184017947238,287.23872047315217,287.2361601976164,287.46218601388415,287.36744699456347,287.31038289260437
46,1853-11-15,286.03503985178264,286.50780107630754,286.3646696036804,286.2013154385392,286.034318175013,286.1034789594507,286.4608837549136,286.4025981608842,286.6146328668383,286.40120663683376,286.47663397434604
47,1853-12-15,285.4981285827255,285.58335697650045,285.6811354739501,285.5053869534463,285.3172962815405,285.61908854107156,285.6380668194583,285.7113364829325,285.87503748669786,285.2974984950812,285.78556444341126
48,1854-01-15,285.230590700029,285.29491730798077,285.407841992176,285.1182613850396,285.02704281423854,285.3321191030276,285.26031715720154,285.0564470367224,285.57110028831926,285.415097028449,285.44514347091246
49,1854-02-14,285.2770640270411,285.5552642246846,285.38445646780366,285.1720332557144,285.0851072991057,285.333079412096,285.4252583173449,285.25973409405134,285.62266274587836,285.48766725705184,285.5357084831655
50,1854-03-15,285.7425860258758,286.1895121967214,286.0547457849986,285.9284567036996,285.82717110970094,285.88843769426217,286.0238606784196,285.9678810322376,286.2846348981691,286.1120912164469,286.048632492896
51,1854-04-15,286.8222983261352,287.1298582255657,287.0283606710042,287.03255580144634,286.96118806478086,286.9555752166227,287.0418622694595,286.8458263406667,287.2987579760933,287.09150413373703,287.1694034615773
52,1854-05-15,287.8632586930974,288.2204650037549,288.1783412795142,287.9250952553158,287.8190966707343,287.811948467364,288.10174680060726,288.04351119187896,288.27275981523485,288.07610822347004,288.08792937809767
53,1854-06-15,288.4376070852915,288.80936819782386,288.5706202365227,288.6073781639936,288.42293685130613,288.66211592306956,288.71672704225773,288.6595056222264,288.8306169621636,288.8201597785577,288.60319725344453
54,1854-07-15,288.61011320120406,288.9367665631818,288.8451971786018,288.7164763116292,288.72468828743797,288.59621417881516,288.91292995501476,288.70414149638395,288.9955894872588,289.15440231560757,288.66631626470166
55,1854-08-15,288.4619971673856,288.7944298842417,288.50683291361986,288.61158944531604,288.485834963613,288.4470495296673,288.67969219464646,288.6551568623494,288.85319514710494,288.7838384974655,288.6835984484264
56,1854-09-15,287.7771285807431,288.2455179732867,287.93153269237587,287.9493014632262,288.03511896995155,287.86702462204914,288.06975049375063,288.0073764747601,288.19731115220145,288.2793379836532,288.0592363180802
57,1854-10-15,287.0116777129379,287.5083497655983,287.2165888032648,287.0634854713739,287.1421362069404,287.0935496742551,287.22717815493957,287.08184917511755,287.4723022133618,287.5300817651492,287.24566226563417
58,1854-11-15,286.2064140303394,286.63622359274007,286.3798541455404,286.1771260821675,286.2039609822062,286.2510321448938,286.2492646192908,286.0351713883691,286.6068601767457,286.5073830806055,286.3904463581617
59,1854-12-15,285.534192653395,286.0090389307123,285.5887721722809,285.52041901273736,285.43804017465493,285.438216030573,285.5654076873512,285.5471747352015,285.91563359815717,285.7925069525342,285.55133111656784
