,time,r1i1p1f1,r2i1p1f1,r32i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,1850-01-16,283.56745651459147,283.41155440717785,283.5817590637029,283.77363771736157,283.7521486422815,283.71834341859466,283.9587444477308,283.8957080443821,284.0122155697596,283.71159715156347
1,1850-02-15,284.0240536132692,284.0446322120355,284.06272428747576,284.04235342839337,284.0136451379372,284.155046338224,284.3404699514886,284.23903430331274,284.23499944343627,283.78001308781637
2,1850-03-16,284.7319318667246,284.87870826460585,284.6804280243785,284.76278673571795,284.83658657275515,284.73523393294374,284.9000488317238,285.2234078190419,284.9500007936338,284.6259930524625
3,1850-04-16,285.6405583407978,285.858130470473,285.7769579985437,285.5743899609433,285.6777141172675,285.6763959299615,285.8899421623235,286.1312658310432,285.6592119281712,285.5487784091279
4,1850-05-16,286.6061700484424,286.7767472208896,286.6432801110563,286.5544427675142,286.55281285490844,286.534676791521,286.61312517808386,286.81604300693493,286.59785881971266,286.32236385745404
5,1850-06-16,287.32367337164476,287.5943250064172,287.44636073824586,287.36664403000646,287.2387357998217,287.37989760886387,287.447294592245,287.5950051424284,287.51639390867274,287.2800652294449
6,1850-07-16,287.75884954033324,288.20853011523633,288.0042836125979,287.8987765427246,287.8070098818902,287.8584485543367,287.8913501388116,288.18934072781656,287.7860526707634,287.8217520537172
7,1850-08-16,287.93018867700187,288.08641258378094,288.02218908805787,287.8411928198849,287.7056295157416,287.73381581831467,287.7138923660263,288.082119401648,288.0271444664443,287.80859456070857
8,1850-09-16,287.1747396928138,287.4299315650774,287.1452519660412,287.1066338764524,287.15933893723974,287.09003259406313,287.25710976258193,287.39912040709106,287.2941197456994,287.11051795104805
9,1850-10-16,286.00314757530765,286.0882320358009,286.1621285967683,285.72636342120296,285.8990299618193,285.77407229242755,286.08776880511897,286.31981808748856,286.09528263101834,285.77528926791956
10,1850-11-16,284.80455461678736,285.1188665643505,284.97314063691647,284.667055155236,284.54254419846416,284.5947325091095,285.0123104304131,285.1082206461638,284.8265150551141,284.5586302773508
11,1850-12-16,283.9303909631448,284.3306490205236,284.0201996837361,283.708450718932,283.6635594335335,283.72339822686877,284.1213023656296,284.0752705079262,284.0334260617132,283.4990541482212
12,1851-01-16,283.83752667617637,284.1008422569687,283.8713300153278,283.49828239081,283.37808745128405,283.5981999151693,283.85592509985355,283.9181693577398,283.73962593414564,283.4871024681622
13,1851-02-15,284.23336470225644,284.5222817239643,284.2825297363139,283.8759134768209,283.94470552966186,283.6795935704898,284.42109503642587,284.3669563979704,284.0976380896786,283.87623855185035
