,time,r10i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r6i1p1f2,r7i1p1f2,r8i1p1f2,r9i1p1f2
0,1850-01-16,285.8446977086813,285.87776135618776,285.6823325701267,286.23090813974335,286.0850051258411,285.8940760366248,286.5066778818616,286.23080726356113,285.9337260788771,286.1961726232289
1,1850-02-15,286.11151131273,286.2131968452504,286.2896646832954,286.2617118930529,286.28424198335296,286.2509960604249,286.7914612382619,286.43456901803114,286.19281549672314,286.3335350367622
2,1850-03-16,286.73332720744617,286.8014009638391,286.9387795603002,286.8797369204322,286.96261728573694,287.04031704005683,287.3488248832966,287.0308621380492,286.76171943462276,286.8273970538992
3,1850-04-16,288.08884677082125,287.8734470977368,287.84609791883344,288.1100937638593,288.14182897830983,287.8774143557039,288.1951609718031,288.2247084795598,287.92301882098127,287.9334424908587
4,1850-05-16,289.16242740428646,288.9546629620819,289.07821971401427,289.2230931204814,289.350627117006,289.0491147120044,289.4636708189785,289.29498583502243,289.00271468017604,289.1818731541247
5,1850-06-16,290.0304219663502,289.9694201198612,289.9902978202108,290.15984681719345,290.2705293625743,290.0081211267461,290.3774006710013,290.20304837784573,289.7896006614482,290.171558415892
6,1850-07-16,290.2723396542721,290.3248580770769,290.32432174070783,290.35315253007417,290.5428929203085,290.2896080061838,290.5805528165034,290.47073393719404,290.1583512825254,290.4682436903923
7,1850-08-16,290.00854406966596,290.1042105877904,290.1077300476745,290.1886838721324,290.228876041772,290.10870876364226,290.2387325160892,290.3072771394506,289.9932118742215,290.2596103821393
8,1850-09-16,289.17131753559386,289.3910349255024,289.2033912929503,289.3462996354136,289.43834453442236,289.3541574056618,289.3635454109241,289.3647237695001,289.2766741940642,289.40797594055823
9,1850-10-16,288.0277042736845,288.210788162695,288.00500415929906,288.294702006283,288.173208981518,288.1888410815245,288.2844232843293,287.9994189978871,288.1196182144808,288.1450649158974
10,1850-11-16,286.6945636597082,287.18829820664985,286.90084605711496,286.9265461745224,287.09893666597037,287.03408295611484,286.94034083742343,286.8994617891034,286.836007993625,287.1931286313719
11,1850-12-16,286.0574720796757,286.26369301410415,286.21731464172524,286.18983259377137,286.4788095387063,286.31393334226,286.08336473551367,286.14203845327245,286.0024051249325,286.2750167401339
12,1851-01-16,285.815251928324,286.09003755222807,285.821920599259,285.83465504502243,286.19698431093906,286.0991061869498,286.00853191975125,285.82981081514424,285.90872339727116,285.967816366582
13,1851-02-15,285.9774033767486,286.35206619551207,286.13181391836304,286.2540390533283,286.2801643876671,286.29590696944217,286.2489177511275,286.15610834451616,286.31057677458375,286.16333260842094
14,1851-03-16,286.7000259485951,287.0632684951263,286.84107971612633,286.9212480880834,286.92437966995357,287.11393307541454,287.0116051264543,286.78041391774997,286.8159135621643,286.8463194421278
15,1851-04-16,287.84261211041854,288.21456404617214,287.76903139525984,288.0238248086155,288.04023806832896,288.1716735630514,287.922426122791,287.931371565987,287.94052812886844,288.0442130351725
16,1851-05-16,289.0022829208735,289.34106434893243,288.9310711519102,289.1328208196747,289.24892593895447,289.2205014296993,289.10842269043735,289.1863616055845,289.05625858875385,289.2389526070824
17,1851-06-16,289.9121985952712,290.25130543139545,289.9162236177783,290.11120298403637,290.27941938214184,290.23545603691724,290.0115646721635,290.0129786904516,290.0504401277992,290.1086617724519
18,1851-07-16,290.2104809835219,290.5506459807235,290.22682307941886,290.3804426917341,290.53376683231374,290.65644341566565,290.23100313207857,290.34989749660286,290.37714055891195,290.41280852904345
19,1851-08-16,289.9772628522137,290.2301752400821,290.02502445975904,290.1742564034703,290.3375075432685,290.32919236211876,289.99554298956843,290.12409821477746,290.13840817386773,290.20156885828527
20,1851-09-16,289.2445638618254,289.4345187506571,289.24860761683897,289.35746496613507,289.4523105422989,289.62115683980284,289.1792346841174,289.33661810529924,289.29589194065363,289.36996936083597
21,1851-10-16,288.0756207639936,288.17261184308643,288.1471019973731,288.0770733902385,288.19031022835435,288.3785126779254,288.01281823018587,288.14672079295815,288.1031883880844,288.2747765296305
22,1851-11-16,286.87395087867117,287.02952325090587,286.9477803453086,287.07270688379293,287.0692223564668,287.290136654166,286.942663835424,286.93991068130157,287.0128881876656,287.0584308904948
23,1851-12-16,286.13886010430406,286.36237797295183,286.04978974474915,286.15559270008197,286.34935823686436,286.5954593205701,286.1055579181147,286.2791883257167,286.3279107856389,286.1635670769581
24,1852-01-16,285.866281659971,286.0677623664645,285.9048590377247,285.97265482841647,285.97667140511055,286.30575858322067,285.782617507619,285.96411238235765,286.0070073679556,285.9804249760012
25,1852-02-15,286.21966428273447,286.34429309934575,286.18581802394834,286.28285107778333,286.1923438030931,286.52083778403437,286.1679373808671,286.0160235773619,286.3928021543625,286.26991011333814
26,1852-03-16,286.8985327370291,287.07896589919886,286.8245798186226,286.9301499839977,286.9468188372251,287.295295182272,286.8948509309496,286.7240742489384,287.0658890548004,286.8574891656351
27,1852-04-16,288.12202594560193,288.21131014459553,288.05760557796214,288.03261268175197,287.91787953948926,288.3687633836242,287.9274830858163,287.89926175225287,288.04885904241814,287.7442461051418
28,1852-05-16,289.1340158821165,289.335344810504,289.07546789650615,289.17649609512506,289.05223478418304,289.30982634742816,289.0583081272573,288.9280115009269,289.2638818204649,289.14072025192723
29,1852-06-16,290.2775074601135,290.05740586505607,290.0052533099895,290.11147747013257,289.9836971528202,290.32929581931137,289.892154725741,289.8940156645011,290.210412937513,290.0406082869447
