,time,r10i1p1f2,r11i1p1f2,r12i1p1f2,r16i1p1f2,r17i1p1f2,r18i1p1f2,r19i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f3,r6i1p1f3,r7i1p1f3,r8i1p1f2,r9i1p1f2
0,1850-01-16,284.4648455302437,283.9795797742062,284.52698684744746,284.24213149344985,284.63881863870176,284.16623925546384,284.7879192631153,284.1059641954441,284.07787377009714,283.79762142158376,284.83863690998294,284.1398394328974,284.0904612742652,284.63111771998985,284.069584307121,284.23019446759486
1,1850-02-16,284.58726540229367,284.14890591535243,284.64004305761256,284.4508236298689,284.9376388637317,284.5423750373047,284.9994255152875,284.3562456759266,284.36480305359584,284.0307472330503,285.0589728866452,284.4996751459828,284.3161496727722,284.8642106458299,284.34444567515703,284.40142984536686
2,1850-03-16,285.5646617917644,284.9299586371467,285.17516256606655,285.18146973535266,285.35915982891305,285.0425355418486,285.7466666123356,285.2965434002191,285.14043521697727,285.0781084402676,285.80195832065095,285.20861254281664,285.1666357197016,285.505999511603,285.22428750554036,285.3706608997244
3,1850-04-16,286.6456020671828,286.05569979405306,286.2221119486535,286.1434295585015,286.46920979915706,286.13817963364323,286.735449067083,286.36153999130516,286.14703406559096,286.2217209528325,286.9228682163713,286.12859120328915,286.33628036319055,286.4275720514856,286.06490379385957,286.3725175518592
4,1850-05-16,287.42514433656316,287.07270666693506,287.08641832625887,287.22175878152444,287.45629575601635,287.1615293078096,287.7815588942249,287.3344839657274,287.16130996770244,287.1541449451613,287.68508356756115,287.35270661496173,287.2215769037284,287.53480603673137,287.222340962359,287.2622766398586
5,1850-06-16,288.23715554790533,287.9371097798734,287.94680910594,288.08051866468094,288.2466941473098,288.0760453970132,288.7093929873095,288.1320017411894,288.064530673588,287.91235272006304,288.5466425844801,287.96503686256585,288.06117711442494,288.2165462606835,287.96058179350956,288.1055039765205
6,1850-07-16,288.70800445431627,288.34216640080115,288.5048384776325,288.5949889471679,288.8436556859598,288.52591205275957,288.9495410559137,288.5835078283391,288.5142828543219,288.28636145524325,288.9839948478121,288.6057671405086,288.51298329943603,288.5462422359919,288.47662311077636,288.6058908639261
7,1850-08-16,288.61886895597723,288.2855903147332,288.4606527759382,288.5109061231948,288.682158701896,288.38953414582755,289.00016797682423,288.5553067362455,288.4073695446936,288.293379909744,289.0448491835863,288.502898325045,288.4329514724798,288.6247192656874,288.4862667356542,288.52636143057225
8,1850-09-16,287.9307331140923,287.65680781034314,287.72543827585525,287.8621656222576,288.0440706166825,287.9626374829649,288.3377998108274,287.9333220656249,287.79421543096305,287.67580432281153,288.33114981815896,287.7539893195688,287.68386514494836,287.9233103379295,287.74095867747326,287.7872140240411
9,1850-10-16,286.93647216762287,286.6333281031806,286.8808006536589,286.98552027997795,287.0992824156157,286.78295186945627,287.3536305341969,286.85365551440196,286.8920355756815,286.5780645436713,287.26684370302047,286.7850900448882,286.8210909597259,286.84280345923804,286.7458215354605,286.8298529382725
10,1850-11-16,285.7128489703077,285.42427763057896,285.48761827256146,285.734362540817,285.8555420217655,285.55585020554,286.20752444844607,285.57998153862854,285.4062543924551,285.47240256219703,285.93678380767255,285.62386059815464,285.3569592186179,285.72553379436243,285.52192009022707,285.6055106731902
11,1850-12-16,284.6973407038297,284.57556746549875,284.675990151242,284.83916423247206,284.8936032836684,284.6590327748231,285.5659104083474,284.54935060510405,284.529737504415,284.4375394574299,285.03398802180556,284.76129980869837,284.4012983532826,284.83781851570996,284.547101024545,284.8002463578753
12,1851-01-16,284.1433739726696,284.2429065444552,284.2820662088546,284.2055415155293,284.70024269912517,284.34530520672917,284.79169135537836,284.23978831102363,283.8830902909528,284.19240663591233,284.6793140212102,284.40301934584073,284.1088786773571,284.4427869097064,284.0477774061739,284.4719489816648
13,1851-02-16,284.32963512817287,284.2793276561591,284.5464934746381,284.37616096575584,284.7808009757356,284.42877775038465,285.2528311045939,284.55301952025457,284.1709684868578,284.30435922311005,284.9134997148135,284.60309011866804,284.3836762784757,284.86567792238856,284.0749487875649,284.6624441990399
14,1851-03-16,285.2343039139988,285.03636647057147,285.16466318796137,285.5103171179722,285.5900199304743,285.2530694835295,285.8969140945417,285.210056112519,285.180891936907,285.3688372219279,285.54561786091523,285.4123791136498,285.1433515789724,285.48655046062544,285.0639815535345,285.323131161215
15,1851-04-16,286.24269532630444,286.144471009342,286.4458181989363,286.371545258359,286.6135373465473,286.3432085620589,286.72275822184486,286.30306537600654,286.13409934259,286.37816200267326,286.7680547413253,286.25977788019225,286.3147385384069,286.50844330783826,286.1693882313757,286.38142953500426
