,time,r101i1p1f1,r102i1p1f1,r10i1p1f1,r10i1p1f2,r10i1p3f1,r1i1p1f1,r1i1p1f2,r1i1p1f3,r1i1p3f1,r1i1p5f1,r2i1p1f1,r2i1p1f2,r2i1p1f3,r2i1p3f1,r2i1p5f1,r3i1p1f1,r3i1p1f2,r3i1p1f3,r3i1p3f1,r3i1p5f1,r4i1p1f1,r4i1p1f2,r4i1p1f3,r4i1p3f1,r4i1p5f1,r5i1p1f1,r5i1p1f2,r5i1p1f3,r5i1p3f1,r6i1p1f1,r6i1p1f2,r6i1p3f1,r7i1p1f1,r7i1p1f2,r8i1p1f1,r8i1p1f2,r8i1p3f1,r9i1p1f1,r9i1p1f2,r9i1p3f1
0,1850-01-16,284.9863249643106,285.08596079149066,285.21820280049235,284.9610780190024,285.56894285208097,285.18694159696054,285.11815664471044,285.0642898323217,285.6764059427586,285.6309348160878,285.48239162043683,284.82608622096365,284.9292443255916,285.65343230726563,285.1920833751626,285.2961388644783,284.8683641104569,285.02370756574,285.9673583366433,285.5724823319397,284.7832300779816,284.9719083326858,285.06671575545977,285.3663587611141,285.53573651426865,284.90046209924037,284.7966692586709,284.91886923239423,285.9684051298334,285.1241057082626,284.72292827518066,285.34656345647795,284.97992918297194,284.9520960888912,284.9802648095851,284.94297344038887,285.5487586122106,284.84646782203026,285.15297354859985,285.8539841685529
1,1850-02-15,285.52744901936984,285.3868208294973,285.523549330817,285.1486089064555,286.0054599514432,285.1483190697841,285.49429357350675,285.316383302115,286.03322800534744,285.61728687219716,285.83857639616434,285.25665549652496,285.29730626013264,285.6856542698715,285.44957082978374,285.65024477926255,285.31370756890715,285.44274571892106,286.1435421316846,286.0778645815968,285.2215360048467,285.1894068588569,285.24134333023966,285.70717687506067,285.7707009698637,285.16944488525127,285.1042528240412,285.3786217384687,286.1061723855376,285.42351637637285,285.0353215243842,285.74247320553843,285.38903933818256,285.3423554615248,285.51773468043956,285.3447957426702,285.8856207283079,285.2528410581774,285.2585252515343,285.92335296436494
2,1850-03-16,286.10199816804936,286.31639056296245,285.9080324294304,286.07974451654144,286.66769117391414,286.03620445571045,286.06879950203023,286.2057600126952,286.9463432692346,286.45214971308656,286.3067098399561,286.1433927823585,285.8524657017867,286.46691246527007,286.1817046690079,285.993957649507,285.8582217319611,285.9725438324338,286.7454217354297,286.3022047900505,285.8360660546371,285.81021472856077,285.80728884252915,286.41084072730666,286.51453330839473,286.05426537309154,285.91130705163573,285.933431638962,287.00186504623383,286.0925852232073,285.72576098902925,286.66233544475824,285.97651081014317,285.9771913527082,285.87848129695016,285.9230925373855,286.36347405136485,285.8642115909491,286.292427150986,286.71367396104006
3,1850-04-16,287.1319877714042,287.19771361511624,286.9994506139053,287.0266822272874,287.38729438131026,286.8559234118962,287.08654409435394,286.99231432176333,287.8668775405577,287.25883746275815,287.2078547791425,287.07787118118307,286.9263899319684,287.18780734822815,287.22398029907447,287.16736008479097,286.7892054097326,286.7644885558659,287.49616504007275,287.29263733899563,286.6942136691162,286.65379168433293,286.6850668322861,287.33006071819676,287.3269885002705,286.8352578535067,286.7595914616598,286.9192139800387,287.86541308359216,287.01643107355926,286.8784676097145,287.51171429396214,286.78600664882646,286.97987891815865,286.85665854163534,286.95627907228385,287.4860219791777,287.0476495061091,287.14967473876897,287.44088952700196
4,1850-05-16,287.8456685645455,287.9998845186811,287.6483406427054,287.97569182701403,288.3019953051197,287.8496087064452,287.62850883053835,287.941036396088,288.6234966446174,288.1047983151071,288.16876295027873,287.83666890332637,287.96685776627277,287.97834938138743,287.8257716202383,288.2441221360274,287.79074850492634,287.4362490657431,288.1469276135601,288.09921108536247,287.3803864188394,287.59080482144714,287.65214974978977,288.184709823949,288.14589776403363,287.7544631536141,287.81140579571615,287.84212679167763,288.5577854487071,287.88085312541233,287.5852927730422,288.43769073828224,287.7893896516168,287.78248642445067,287.42683268263175,287.6976610271743,288.25734976527366,287.728011245976,287.9925099892958,288.62510122882446
5,1850-06-16,288.60170887768305,288.67065277951843,288.43121306831625,288.54740111653115,288.94111690033725,288.49775641749716,288.47342768804754,288.43507234138474,289.35304351277927,288.81498956677825,288.99291669272964,288.4905001207693,288.6608748697319,288.56061946056207,288.80980756662836,288.7742180023025,288.39101702797774,288.4124988332578,288.7669221291911,288.8450842867759,287.97401234808876,288.2441182046864,288.23102388241205,288.86259333652674,288.7636948976048,288.4108492600149,288.483974899784,288.29263577054815,289.26415158321856,288.6238524378888,288.32081680565153,289.09933739448905,288.38101893603783,288.4442696161573,288.201112850408,288.3265459027101,289.0633313905804,288.30598445896237,288.52320029433497,289.1450782105682
6,1850-07-16,288.814444224579,288.9425300447204,288.64914619972126,288.76534599930324,289.3161842044762,288.71079559963886,288.97203446664946,288.76942652264177,289.6146306283367,289.2355660253417,289.2065500816648,288.93641331877274,288.9506795916982,288.8084005877053,289.0886554580445,289.07529538018815,288.6122813787857,288.68150201910277,289.1158520591842,289.2505281718045,288.45004467555447,288.54953168201996,288.5464799328558,289.1576880903878,289.2276642822941,288.7690295077847,288.68269952344,288.6601473725447,289.68047220548243,288.9630871518299,288.67704492230445,289.52364252350253,288.55448372139637,288.73606231620937,288.47986883965086,288.6017705425204,289.339273739929,288.78758054984314,288.8660380170762,289.4481158312778
7,1850-08-16,288.51221553711093,288.6794680378673,288.3588563549085,288.6260701061211,289.135197365124,288.53317610472504,288.6772508913208,288.59339725665535,289.27323492580496,288.92349458585613,289.0247009086188,288.69395339025004,288.7920170889275,288.7191565617176,289.0791942432065,288.9274130015152,288.50313283678764,288.4519735513171,288.75074680702596,288.990293827324,288.24896583965347,288.40161428751156,288.4158223073238,289.0943104067586,289.0104285752358,288.5195128014815,288.529656178543,288.56003137688845,289.440035255449,288.84339434587685,288.4291311555859,289.22008328956116,288.4819225069236,288.52323852191006,288.4143824628096,288.4081370221355,289.00085452972036,288.64395498702436,288.50543595242,289.19805814388405
8,1850-09-16,287.79185709617786,287.87477022037194,287.6276587353155,287.71607939310144,288.1897332609035,287.704677176944,287.87605910982734,287.8107574033872,288.6561657182815,288.21695109335326,288.21988390871735,287.83381822252613,287.962053460272,288.0131354348339,288.15533127970974,288.14852291021606,287.6234252546923,287.6862287003049,287.9833096999635,288.14903133430585,287.4388226092284,287.8275811276831,287.7227506302249,288.3020682920916,288.3026269040575,287.68884239329304,287.66587691426633,287.64701854816497,288.5627794988115,288.19895911054476,287.6204865077171,288.560454040841,287.548729114598,287.66874373389606,287.6725864113882,287.6744592598224,288.297458028348,287.7266675377041,287.7234620567178,288.5744986974029
9,1850-10-16,286.60387588507047,286.831054105364,286.6552335450538,286.75588146784384,287.0807610548723,286.7795968636083,286.6222466866292,286.7282509914126,287.496341939435,287.14844116342005,287.1424098893834,286.7906719304433,286.90292205226547,286.99529956180356,287.11275054574133,287.0680887555795,286.47858763994924,286.60139395804816,287.15873105225063,287.30682643809627,286.54232687438844,286.5729107362217,286.66648151932964,287.30680284557525,287.2914920890302,286.6866239318419,286.52737483714975,286.60591169229525,287.6339092116545,286.9023425448957,286.4427617800135,287.3767725430636,286.63110162489824,286.67066552163527,286.5328075115558,286.7652196926809,287.1911081098921,286.60464034943925,286.6377374528925,287.3970382415734
