,time,r1i1p2f1,r2i1p2f1,r3i1p2f1
0,2015-01-16,286.4659763894288,286.381056991644,286.3141701455804
1,2015-02-15,286.2727154211725,286.2219672646525,286.39157089589486
2,2015-03-16,287.0950945243601,287.0973621493156,286.780948630164
3,2015-04-16,288.09892610074735,288.0505786852497,288.09745536627116
4,2015-05-16,289.04763652230054,289.12897361737413,289.15737865080985
5,2015-06-16,289.91318202587655,289.7523182896271,289.692696349698
6,2015-07-16,290.1885947472457,290.1379744461928,290.17904031689113
7,2015-08-16,290.15865124554364,289.88953581049884,290.276563453732
8,2015-09-16,289.46703168331004,289.2431869303422,289.4767899859534
9,2015-10-16,288.4999610196654,288.2785735585674,288.5814206512232
10,2015-11-16,287.5312375182146,287.12872475647526,287.7235340718845
11,2015-12-16,286.9569150873687,286.7244551739985,287.1487405620835
12,2016-01-16,286.5854118698123,286.1647826316382,286.80847526060484
13,2016-02-15,286.6136199086892,286.32812646071227,286.8290610634221
14,2016-03-16,287.0971616468367,286.93319942877724,287.3654832752915
15,2016-04-16,288.3242652538639,287.9034636714634,288.39322200997725
16,2016-05-16,289.27960538400976,288.9075505269613,289.4198686191035
17,2016-06-16,290.0543503517671,289.72185256681155,290.0868777345741
18,2016-07-16,290.41921265885566,290.1150647774936,290.42550787066176
19,2016-08-16,290.17343021157063,289.82990418522945,290.3284593557525
20,2016-09-16,289.6173433583606,289.2903890260421,289.4309001667019
21,2016-10-16,288.6396829698425,288.27143459602735,288.5365282084442
22,2016-11-16,287.7296252919732,287.44971595990825,287.7028291110458
23,2016-12-16,286.9745458633874,286.9010761103572,287.02355642577226
24,2017-01-16,286.6511324627794,286.5556178125903,286.69610344651915
25,2017-02-15,286.75107302748347,286.6200678798349,286.58904148277475
26,2017-03-16,287.29545610183726,287.13982852248114,287.452736475708
27,2017-04-16,288.3435022322924,288.2570250101933,288.3664952711044
28,2017-05-16,289.3180744233939,289.1135578215925,289.2831392367772
29,2017-06-16,289.96284655788384,289.8157008786606,289.85031165252514
30,2017-07-16,290.26061076402215,290.0265499440234,290.2096342859142
31,2017-08-16,290.08247055992615,289.9956373801142,290.0548666056255
32,2017-09-16,289.3536561818594,289.2183266148008,289.2796922475235
33,2017-10-16,288.4154195754337,288.282142381401,288.3024539632422
34,2017-11-16,287.42185625227233,287.38623410363937,287.4419337651514
35,2017-12-16,286.7237670323668,286.7760422466293,286.75420350673966
36,2018-01-16,286.3501527276866,286.5600137030871,286.42555969771365
37,2018-02-15,286.48488728633185,286.4658106518301,286.4236213360065
38,2018-03-16,287.2849120928179,287.28587923497145,287.1343022533643
39,2018-04-16,288.33207440584954,288.2325600482372,288.04477799276845
40,2018-05-16,289.31383265470924,289.09399999861597,288.9902932228279
41,2018-06-16,289.9202319051785,289.96428876572446,289.926688085722
42,2018-07-16,290.4616016833833,290.34497054754684,290.2106621784405
43,2018-08-16,290.24110276090545,290.2264065557715,289.9964810131928
44,2018-09-16,289.4270825400123,289.57779565804856,289.5430408716706
45,2018-10-16,288.50191430873747,288.7516440530001,288.5767355525633
46,2018-11-16,287.50980077687353,287.7842275673956,287.67513077879283
47,2018-12-16,286.97567172503165,287.1386781648892,287.0119827874417
48,2019-01-16,286.7113718115298,286.7443508089808,286.6311245055754
49,2019-02-15,286.9595350376718,286.72012665369573,286.7983949548738
50,2019-03-16,287.25587931117326,287.42075695971903,287.32462124599283
51,2019-04-16,288.4705247537851,288.31956124930224,288.2377695241612
52,2019-05-16,289.26586350413726,289.2219954159538,289.271356209294
53,2019-06-16,290.0284363469952,290.14199816539565,289.9293823515592
54,2019-07-16,290.42105256781673,290.29526958519267,290.3081690493583
55,2019-08-16,290.2851411893807,290.03435667683596,290.0551107223578
56,2019-09-16,289.7858772323774,289.2673785015248,289.55231335827506
57,2019-10-16,288.75382276996294,288.4823421963792,288.5572261779296
58,2019-11-16,287.91078084618744,287.6237364721326,287.7382331854531
59,2019-12-16,287.2963842162353,286.78421730495256,287.03872294588314
60,2020-01-16,286.9523069646371,286.20185203425,286.68646362674156
61,2020-02-15,287.0028872573305,286.439335484393,286.831284000227
62,2020-03-16,287.70949513855015,287.1135163497484,287.5425568507767
63,2020-04-16,288.5815105113393,288.1147523400115,288.3601213382238
64,2020-05-16,289.45914456956694,289.11036388443716,289.32138641194706
65,2020-06-16,290.15081127970234,289.76807854332594,290.01946692054025
66,2020-07-16,290.5922031942901,290.1122106363791,290.4212688806018
67,2020-08-16,290.56220652669384,290.0259716603209,290.2105242325219
68,2020-09-16,289.7862416913852,289.2971869407707,289.41879501663243
69,2020-10-16,288.7920070313686,288.35122920954274,288.68709405568535
70,2020-11-16,288.0794151403741,287.39521278137124,287.87998031177074
71,2020-12-16,287.1668947999682,286.74070136004457,286.8982963943491
72,2021-01-16,286.9672314574579,286.22354351160664,286.71634533788813
73,2021-02-15,287.12933968377484,286.48756611296,286.7859739401953
74,2021-03-16,287.7855102404938,287.1104228801906,287.43310119089836
75,2021-04-16,288.70528593300156,288.1182020423083,288.4272669867491
76,2021-05-16,289.6879435681163,289.17280897827516,289.34693691400827
77,2021-06-16,290.44194291632476,289.87731506170826,290.0604878959391
78,2021-07-16,290.7569946874767,290.1395493544754,290.32375870697825
79,2021-08-16,290.7656178237822,290.1350086598997,290.07627241397427
80,2021-09-16,289.92301889558235,289.400994849638,289.4419556230666
81,2021-10-16,289.13279807519035,288.4299546229821,288.5175054138608
82,2021-11-16,288.1988761702764,287.5947744516814,287.68002965835393
83,2021-12-16,287.4876148316585,286.96351960975306,286.8656582808063
84,2022-01-16,287.375686643498,286.5801688491252,286.83606511884415
85,2022-02-15,287.19068205791,286.5189316466374,286.68577919006486
86,2022-03-16,287.64291813496686,287.3237406476801,287.2626428809978
87,2022-04-16,288.5976049317377,288.3604775167136,288.3288687491709
88,2022-05-16,289.6015858470162,289.3139924384963,289.2265886120572
89,2022-06-16,290.272764494835,290.20612539312435,289.9458115992916
90,2022-07-16,290.7280092727718,290.4770194473346,290.322547019898
