,time,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2
0,2015-01-16,285.8722713685902,285.82131928213994,285.1850391764545,285.3553221144714,285.5782823571826
1,2015-02-15,285.87004920441274,286.1556473613429,285.5091722641007,285.66636243086674,286.0426468497278
2,2015-03-16,286.51049558709923,286.86908699590214,286.18171445075444,286.2756319734198,286.4238144757213
3,2015-04-16,287.43760126361997,287.53850568610244,287.0879318386592,287.09509389961687,287.4561911704296
4,2015-05-16,288.4291238380795,288.4951139778338,287.9660200435252,288.0687451994313,288.46451893644195
5,2015-06-16,289.3312637785412,289.3801294538437,289.0153888664934,288.9983860656371,289.30468233846926
6,2015-07-16,289.6917155944277,289.88435319381745,289.5183991902752,289.4343241414537,289.7226091358793
7,2015-08-16,289.4901665448057,289.74082326046386,289.4467760499197,289.3504126396852,289.5884366724553
8,2015-09-16,288.7194596761244,289.0053314164619,288.58104599810207,288.5293940723973,288.8462612567761
9,2015-10-16,287.7078412339266,287.9550492949138,287.5475479959504,287.5746960098583,287.84647021422575
10,2015-11-16,286.5207649538998,286.78144007876415,286.43654143230975,286.3856116762558,286.86961163083623
11,2015-12-16,285.8710169813496,286.08137980539146,285.74823414615304,285.81275820267115,286.14959123459346
12,2016-01-16,285.5111376301379,285.73778378634347,285.5739918023785,285.4563718347338,285.7940564842141
13,2016-02-15,286.1015131571676,286.21891333700916,285.9764697473667,285.6966362772673,286.21094249576856
14,2016-03-16,286.6418726765567,287.0607253518118,286.4934186706742,286.15423060733536,286.7048355253448
15,2016-04-16,287.61630005649505,287.8567303279609,287.3612745430109,287.1626062361833,287.65296305645745
16,2016-05-16,288.5062080888353,288.6531686162334,288.4368415376962,288.283919564904,288.58147330575315
17,2016-06-16,289.47479382610715,289.54223506803385,289.43453495999984,289.3334945541408,289.440210772768
18,2016-07-16,289.8827473118082,289.8693854393106,289.74453321918674,289.6465620096865,289.9143561144829
19,2016-08-16,289.73203858283273,289.74847635115054,289.63594033121416,289.52837789992867,289.69840111419876
20,2016-09-16,288.96787105922687,288.99801412892396,288.836872735683,288.7584607466418,289.0296649614566
21,2016-10-16,287.824484437164,287.7286209648265,287.5938611895756,287.65429364707285,288.0142242412313
22,2016-11-16,286.70261653840726,286.8532904838656,286.3824095883694,286.43853118388375,286.8844114035476
23,2016-12-16,285.9388239813317,286.0966020953883,285.71553648921497,285.95208067897033,285.9224155723524
24,2017-01-16,285.85513818430604,285.6279814572744,285.57165861912443,285.7983619064358,285.8287438878781
25,2017-02-15,286.0517171230427,285.920775408082,285.8047774766595,285.88153223051773,286.09670590665206
26,2017-03-16,286.8133888518727,286.4199947188356,286.3505202443848,286.5449823601051,286.7257783163116
27,2017-04-16,287.58845482177577,287.3350128815118,287.27222842901216,287.5512018908182,287.29319319296246
28,2017-05-16,288.6656765410281,288.4029303085515,288.17167468803893,288.63554616654324,288.3031901176437
29,2017-06-16,289.3434252539412,289.3195594969716,289.0556144705472,289.3700797213493,289.2067992812563
30,2017-07-16,289.89603595982595,289.65699234606046,289.46382365128073,289.8353492826163,289.7959864489755
31,2017-08-16,289.69399721368643,289.66234818612867,289.4203404190565,289.55824606261666,289.6518019070728
32,2017-09-16,288.90604208494887,288.9284691745564,288.7082005803175,288.81065910009477,288.9519371250113
33,2017-10-16,287.7755594107048,287.8669611714722,287.4769981580332,287.75657351265727,287.66257473183816
34,2017-11-16,286.70392567457054,286.7739304229776,286.4985377926025,286.4315553557337,286.60082148601833
35,2017-12-16,286.142896916507,285.89859842264116,285.93368176002605,285.76478966835316,286.1470497325788
36,2018-01-16,285.6556294044883,285.96397832742923,285.5212818864348,285.49968886279567,286.2229353139273
37,2018-02-15,285.67593967289275,286.19802576797485,285.91415302252966,285.62404150332367,286.4934455710871
38,2018-03-16,286.5262168541745,286.5871476844196,286.5023660564009,286.4002178602024,286.86171498274524
39,2018-04-16,287.5058264204136,287.508940045027,287.483296494084,287.2098192357993,287.8594943127782
40,2018-05-16,288.4607669862045,288.57988097335044,288.3631131315124,288.22180907999535,288.67673172889255
41,2018-06-16,289.3363353614448,289.60273883236823,289.3680071895469,289.15610808895053,289.54285586841445
42,2018-07-16,289.8475030850275,289.9907052548153,289.7065435437459,289.6605744786281,289.98526364310106
43,2018-08-16,289.80454487076753,289.70063915372543,289.6735926276077,289.65615389087395,289.8591742710331
44,2018-09-16,289.10857751178,288.900802712162,288.911611938374,288.8040942167169,289.14613286534905
45,2018-10-16,287.9262510855394,287.75768223231296,287.8122883937764,287.8379965155042,287.97526666273507
46,2018-11-16,286.74171525584677,286.514221922511,286.65861990681645,286.70901323341707,286.9690360609342
