,time,r10i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,2015-01-16,286.35474421111394,286.04448735429764,286.3369314661466,286.127728954358,286.0973960033612,286.2439447008372,286.2913796382086,286.6741961767031,286.1920148060011,286.29171935684445
1,2015-02-15,286.70280577668694,286.2883119263872,286.8816180529535,286.5177365369057,286.3702180248628,286.7371211727804,286.59788801040804,287.0099922165511,286.5433106372113,286.52562540628395
2,2015-03-16,287.3294483235725,286.950776565,287.54754944305836,287.2050491291678,287.26306790174624,287.0867309151429,287.2631260625884,287.73994322733137,287.2548886363877,287.2717793097678
3,2015-04-16,288.1880705605055,287.94902671217125,288.4473078043315,288.16295857136186,288.18023886382684,288.09246416634505,288.35934059103636,288.46378488915195,288.1213882392627,288.22690854057646
4,2015-05-16,289.02397949339445,289.07296011819585,289.3610252912111,289.15910266849346,289.0868385890615,289.1774384920079,289.21852036094765,289.22435633980905,289.1709138204069,289.19442144005967
5,2015-06-16,289.72646563555423,289.7310051435625,290.13918533702554,289.82824789913565,289.80668043358827,290.049942753803,289.9681250336947,290.076332391561,290.0172411749907,289.9306840484256
6,2015-07-16,289.8343767196865,289.944067037755,290.30900930349964,289.8423007749522,289.97315807640024,290.1535119249603,290.06104478166316,290.1568060510258,290.1284675173005,290.11262338993123
7,2015-08-16,289.66609896969976,289.69736220181164,290.0114574252959,289.7595259421022,289.63535325113736,289.8281772665849,289.88504724567525,289.9189056746444,289.86360245814734,289.79613636414666
8,2015-09-16,289.05049085619055,289.1231862079583,289.30873266993206,288.98466830246593,288.99990377538245,289.10180059467984,289.09042340408394,289.15193904215664,289.0906839232357,289.10159358539755
9,2015-10-16,288.05447165091795,288.0778456407086,288.31227392916907,288.00422566633364,288.21456986011503,288.2477782741488,288.21420395306137,288.1725433769604,288.03107111782754,288.27141892729594
10,2015-11-16,287.0345050716801,287.06086583767035,287.47108298747185,286.976959664547,287.02264079898237,287.18171634037174,287.21830789468305,287.27785960185446,287.09949798060404,287.2669546322661
11,2015-12-16,286.34622848546644,286.2037741073798,286.86373719425274,286.1581738553924,286.538889300842,286.2191886102971,286.59998017168664,286.4783712214496,286.5003407918769,286.54935514894134
12,2016-01-16,286.1346029665725,286.20049810254756,286.35762205958986,286.0583792875542,286.3234841401412,286.09980973140284,286.2275449646122,286.19081325443057,286.5037794229256,286.4445057383751
13,2016-02-15,286.50362564572697,286.5014907128593,286.68923051351004,286.18545702921864,286.4862768735188,286.2813066099968,286.4653298365259,286.4227002747262,286.7052908926818,286.7962137801195
14,2016-03-16,287.1314476318589,287.13205494616255,287.3414093235685,287.14338820790954,287.202248934626,287.26524663036867,287.4287018648933,287.17469600869816,287.33792515324956,287.2814783709604
15,2016-04-16,288.03934044233705,288.0085810213491,288.35454918157467,288.0518551722886,288.27753155786377,288.23570892172256,288.3194550153682,288.2799221648317,288.33483129903107,288.19821243422274
16,2016-05-16,289.2102167054664,289.1286476068465,289.34315655824577,289.1233406993087,289.1774010170649,289.15055493800276,289.33463523007885,289.28975725965006,289.18353761215957,289.331193303197
17,2016-06-16,289.9347172499307,289.9903296827886,290.07925268567215,289.81975759215726,289.87891337749534,289.820933672398,290.0749615716183,289.95891568566196,289.9649140014553,290.01203509267503
18,2016-07-16,289.9176868751194,290.119876372915,290.2902308276496,289.97661033607045,290.0527266191277,289.9445438895927,290.2278322241042,290.104477459201,289.997434158657,290.2047494732349
19,2016-08-16,289.74357176216347,289.81949451292337,289.87584660598895,289.75192685312464,289.78542998212066,289.7429467190413,289.9812540666881,289.9030232081488,289.83431173901374,289.99831491161365
20,2016-09-16,289.06443290678345,289.1388925235565,289.1537303168874,289.0336418017121,289.2069157141527,289.0254311913557,289.3312429221615,289.1847702590025,289.1610032344386,289.2280574568058
21,2016-10-16,288.1503159203441,288.1565575945734,288.2790562372985,287.95240814477364,288.20656201252336,288.03867283604774,288.31077543292497,288.114753625957,288.19878126633756,288.35971073359076
22,2016-11-16,287.15282700143075,287.2963511995183,287.10059904457484,287.0529388555178,287.3473108268647,287.0892087671609,287.2621209799097,287.1732813067283,287.2173390505038,287.1641698939118
23,2016-12-16,286.25563028981304,286.4786565835012,286.43661604036646,286.34344798272014,286.3841771843035,286.1481424374228,286.43930754675836,286.4418055484758,286.47140388751086,286.46479218546915
24,2017-01-16,286.15342484072795,286.2998935334263,286.05399445151494,286.13371870902154,286.1940275696771,286.1315422229538,286.41161046990334,286.2223895877543,286.2080368676678,286.36401935534207
