,time,r10i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,2015-01-16,285.64924979073044,285.8057539003933,285.73693931692287,285.63980908061467,285.9922262593738,285.6787490140952,285.71618241697774,285.6955066871945,285.41307059570977,285.77883652366006
1,2015-02-15,285.8601877429841,285.91283525966446,286.1062461329582,286.03313715504186,286.23352421829867,285.9262841607813,286.12419092492127,286.08540161446035,285.98867326075083,285.95465285703204
2,2015-03-16,286.8173763721741,286.5387771934637,286.80350118780314,286.93613337767033,286.91006212344416,286.810701810928,286.87980630502085,286.7577963727688,286.7613965845612,286.71029982313513
3,2015-04-16,287.71610215968883,287.5748904220887,287.7974826006209,287.69674745227604,287.8094826327181,287.80133110765604,287.81676546573823,287.7882658080742,287.72563535089836,287.79092849253476
4,2015-05-16,288.6034212784036,288.5566847600205,288.665198120759,288.5919268380613,288.7213464767662,288.65775622932404,288.6876463192355,288.6983160128505,288.4264079903715,288.5863840412825
5,2015-06-16,289.2744735483749,289.3688265768965,289.4811334900033,289.29648950635504,289.4116146581651,289.369118385356,289.45340746038477,289.38420058166673,289.200140549653,289.32935941931174
6,2015-07-16,289.56321731314176,289.52558297157395,289.5022942906809,289.49528628213875,289.5807015870741,289.5675476813492,289.6753651359949,289.53788017718927,289.5481750703108,289.5258875093572
7,2015-08-16,289.32437278126486,289.24587211975245,289.25362223217513,289.30705035951945,289.37162025659785,289.38528409883395,289.46638847481984,289.2906196220452,289.3492872636708,289.2479518080133
8,2015-09-16,288.6098273986646,288.58423960295437,288.59234606445864,288.5493303524785,288.74732407142386,288.6717631027392,288.87940254165835,288.5059229875732,288.72525881882666,288.6191788761787
9,2015-10-16,287.6650813011991,287.5072828405019,287.7247755047457,287.5461426216646,287.9463855903357,287.7353928443084,287.8985845840729,287.4705563738341,287.59320134327425,287.68585092185094
10,2015-11-16,286.58268573342644,286.45711351296876,286.52509047506635,286.4698220721063,286.9441746641216,286.4978550716603,286.69740302684875,286.63723349774676,286.5800205746942,286.7525416653017
11,2015-12-16,286.024866352994,285.81131232966663,285.85376143228,285.61773172349723,285.9569346140994,285.8814882288864,285.9580212883766,285.6959625172031,285.66950778061795,286.0082305885648
12,2016-01-16,285.7055330833583,285.5689614794138,285.82357026816464,285.65781989775934,285.6671927976178,285.9075690062803,285.6841234695626,285.26646724777834,285.4962298305138,285.65111415685124
