,time,r1i1p1f1
0,2015-01-16,286.8798639026366
1,2015-02-15,286.8992089865154
2,2015-03-16,287.52159733001326
3,2015-04-16,288.4026252154772
4,2015-05-16,289.25511880992036
5,2015-06-16,289.72401488414715
6,2015-07-16,290.1019074878228
7,2015-08-16,289.87288579983357
8,2015-09-16,289.3853625189186
9,2015-10-16,288.31302675716586
10,2015-11-16,287.5104084083724
11,2015-12-16,286.7843186352385
12,2016-01-16,286.30351159144766
13,2016-02-15,286.69338924462903
14,2016-03-16,287.263649111944
15,2016-04-16,288.282936494548
16,2016-05-16,289.0851213330715
17,2016-06-16,289.8324796322011
18,2016-07-16,290.1649186677587
19,2016-08-16,290.17256904068756
20,2016-09-16,289.5787151297124
21,2016-10-16,288.7612152925784
22,2016-11-16,287.7060057312338
23,2016-12-16,287.0495499504016
24,2017-01-16,286.8328665044427
25,2017-02-15,287.128194717884
26,2017-03-16,287.3776227534408
27,2017-04-16,288.47300833438425
28,2017-05-16,289.324952765815
29,2017-06-16,289.87739039171396
30,2017-07-16,290.1957134959281
31,2017-08-16,290.209502820419
32,2017-09-16,289.4931125347132
33,2017-10-16,288.5307812600371
34,2017-11-16,287.88339183256187
35,2017-12-16,287.16317481616875
36,2018-01-16,286.9757240582507
37,2018-02-15,287.18931085689695
38,2018-03-16,287.83947233981377
39,2018-04-16,288.59237272733577
40,2018-05-16,289.4703033728853
41,2018-06-16,289.90470192525174
42,2018-07-16,290.25878174648494
43,2018-08-16,290.16454983191744
44,2018-09-16,289.6084390467909
45,2018-10-16,288.7841334393661
46,2018-11-16,287.9041490041585
47,2018-12-16,287.25472315780934
48,2019-01-16,286.9629112593594
49,2019-02-15,287.13937470310094
50,2019-03-16,287.86076889015567
51,2019-04-16,288.6120280937437
52,2019-05-16,289.24894736507406
53,2019-06-16,289.83894526847797
54,2019-07-16,290.18781896188847
55,2019-08-16,290.1697245505292
56,2019-09-16,289.4926058563189
57,2019-10-16,288.6134398414351
58,2019-11-16,287.7246259714677
59,2019-12-16,287.2626823020666
60,2020-01-16,287.0184097158634
61,2020-02-15,287.1644681304582
62,2020-03-16,287.6281335672326
63,2020-04-16,288.4274047931617
64,2020-05-16,289.3093706314523
65,2020-06-16,289.82987411057576
66,2020-07-16,290.2384622107339
67,2020-08-16,290.18532238622777
68,2020-09-16,289.5168424869151
69,2020-10-16,288.7535034464609
70,2020-11-16,287.72231733163204
71,2020-12-16,287.1268333682787
72,2021-01-16,286.88116517097797
73,2021-02-15,287.07723042454825
74,2021-03-16,287.7508801034626
75,2021-04-16,288.49876989484085
76,2021-05-16,289.329718651279
77,2021-06-16,290.0595513482765
78,2021-07-16,290.28623169146283
79,2021-08-16,290.2714269793565
80,2021-09-16,289.76712532562095
81,2021-10-16,288.8938560393675
82,2021-11-16,288.02243859518825
83,2021-12-16,287.29256197064467
84,2022-01-16,287.0142606046763
85,2022-02-15,287.087891441374
86,2022-03-16,287.7197964520526
87,2022-04-16,288.58842103403066
88,2022-05-16,289.4361477753773
89,2022-06-16,289.9594419409762
90,2022-07-16,290.1650772684122
91,2022-08-16,290.19459381562456
92,2022-09-16,289.5431817963254
93,2022-10-16,288.65722083301284
94,2022-11-16,287.630619629552
95,2022-12-16,286.86432767109244
96,2023-01-16,286.67945521861475
97,2023-02-15,286.8211596020023
98,2023-03-16,287.38457694497964
99,2023-04-16,288.2857182528478
100,2023-05-16,289.10894496435674
101,2023-06-16,289.5701305402142
102,2023-07-16,289.98960521846436
103,2023-08-16,289.92514171398903
104,2023-09-16,289.33437508965943
105,2023-10-16,288.38480253568764
106,2023-11-16,287.2522438708667
107,2023-12-16,286.58922656220784
108,2024-01-16,286.2504700118289
109,2024-02-15,286.4108797095127
110,2024-03-16,287.0681991004387
111,2024-04-16,288.0694947867019
112,2024-05-16,288.8973484885996
113,2024-06-16,289.4423110106404
114,2024-07-16,289.8826074707471
115,2024-08-16,289.9316313612694
116,2024-09-16,289.2034331251051
117,2024-10-16,288.17061024059853
118,2024-11-16,287.16915823387893
119,2024-12-16,286.49177757615706
120,2025-01-16,286.28829289005404
121,2025-02-15,286.34803677427004
122,2025-03-16,287.0706855843676
123,2025-04-16,288.03560834446426
124,2025-05-16,288.8499623104892
125,2025-06-16,289.4849158495851
126,2025-07-16,289.7777911355618
127,2025-08-16,289.9651796020935
128,2025-09-16,289.426705079623
129,2025-10-16,288.4635593237915
130,2025-11-16,287.54060980795646
131,2025-12-16,286.74760543486957
132,2026-01-16,286.61942042414245
133,2026-02-15,286.84169796003266
134,2026-03-16,287.33347019702927
135,2026-04-16,288.22980493743495
136,2026-05-16,289.1861860282216
137,2026-06-16,289.77688440908685
138,2026-07-16,290.1337575543197
139,2026-08-16,290.1659130220263
140,2026-09-16,289.5550800880942
141,2026-10-16,288.7202247584264
142,2026-11-16,287.94056475352846
143,2026-12-16,287.3923485730785
144,2027-01-16,287.0558843028644
145,2027-02-15,287.3001219516888
146,2027-03-16,287.84030985484264
147,2027-04-16,288.6968369010209
148,2027-05-16,289.54314116271763
149,2027-06-16,290.16069877836435
150,2027-07-16,290.5994479355456
151,2027-08-16,290.39697695380926
152,2027-09-16,289.8628490472358
153,2027-10-16,289.0618414045471
154,2027-11-16,288.0524259049225
155,2027-12-16,287.4360951302128
156,2028-01-16,287.0548391146925
157,2028-02-15,287.3512668912158
158,2028-03-16,287.8466228130865
159,2028-04-16,288.75878031906205
160,2028-05-16,289.64625233483423
161,2028-06-16,290.1158284573608
162,2028-07-16,290.4731115241661
163,2028-08-16,290.31497205841697
164,2028-09-16,289.70517336189306
165,2028-10-16,288.83459103272014
166,2028-11-16,287.8656992777384
167,2028-12-16,287.14944564764374
168,2029-01-16,286.7872712220057
169,2029-02-15,286.97240731405697
170,2029-03-16,287.4755103349905
171,2029-04-16,288.3506167437604
172,2029-05-16,289.1738831799361
173,2029-06-16,289.91705418947157
174,2029-07-16,290.3019845195915
175,2029-08-16,290.13522795866726
176,2029-09-16,289.4857453842223
177,2029-10-16,288.7212297615787
178,2029-11-16,287.66236448646777
179,2029-12-16,286.92926826955295
180,2030-01-16,286.6091650462725
181,2030-02-15,286.7849725323108
182,2030-03-16,287.31313778958435
183,2030-04-16,288.11335174639413
184,2030-05-16,289.16801538764537
185,2030-06-16,289.75429896284174
186,2030-07-16,290.051549529997
187,2030-08-16,290.09342279610155
188,2030-09-16,289.6005089384317
189,2030-10-16,288.4907824645337
190,2030-11-16,287.7813837788328
191,2030-12-16,287.03512093626955
192,2031-01-16,286.82305780365016
193,2031-02-15,287.1689567639719
194,2031-03-16,287.58159010249494
195,2031-04-16,288.52816877193516
196,2031-05-16,289.3274630333731
197,2031-06-16,290.0480572878132
198,2031-07-16,290.28449398101384
199,2031-08-16,290.16926645719104
200,2031-09-16,289.67940341768093
201,2031-10-16,288.68837250312987
202,2031-11-16,287.6601593975178
203,2031-12-16,287.05688450650405
204,2032-01-16,286.7244647402485
205,2032-02-15,287.0000026725577
206,2032-03-16,287.5128345776886
207,2032-04-16,288.50313918956743
208,2032-05-16,289.47646949734917
209,2032-06-16,290.08429445620476
210,2032-07-16,290.48958119156936
211,2032-08-16,290.31482843368104
212,2032-09-16,289.8205215951485
213,2032-10-16,288.7795889396452
214,2032-11-16,287.9708194780826
215,2032-12-16,287.3569962482713
216,2033-01-16,287.0751363600994
217,2033-02-15,287.3397164644814
218,2033-03-16,287.8065252023798
219,2033-04-16,288.5728964356672
220,2033-05-16,289.5441497083231
221,2033-06-16,290.0660059226904
222,2033-07-16,290.6018635064641
223,2033-08-16,290.51742192689466
224,2033-09-16,289.9442327234687
225,2033-10-16,289.12597691503646
226,2033-11-16,288.24659371916766
227,2033-12-16,287.4734095794567
228,2034-01-16,287.43516948779956
229,2034-02-15,287.5395516473983
230,2034-03-16,288.21203964618513
231,2034-04-16,289.0116534337601
232,2034-05-16,289.80270467770515
233,2034-06-16,290.53923667537254
234,2034-07-16,290.8126597856876
235,2034-08-16,290.85608969691714
236,2034-09-16,290.21642442336673
237,2034-10-16,289.35436527067145
238,2034-11-16,288.2770809554537
239,2034-12-16,287.538560626342
240,2035-01-16,287.306681795649
241,2035-02-15,287.6204804647626
242,2035-03-16,288.151157368496
243,2035-04-16,288.98928373903703
244,2035-05-16,289.8009795619078
245,2035-06-16,290.1775974175278
246,2035-07-16,290.5652766552165
247,2035-08-16,290.5872001501656
248,2035-09-16,289.89624482660906
249,2035-10-16,288.8898071724124
250,2035-11-16,287.92267321819554
251,2035-12-16,287.20516815856644
252,2036-01-16,286.9795077778003
253,2036-02-15,287.06953306999924
254,2036-03-16,287.5562030998798
255,2036-04-16,288.3907312567569
256,2036-05-16,289.34557063105626
257,2036-06-16,290.01525030599356
258,2036-07-16,290.3802218066364
259,2036-08-16,290.3032669092599
260,2036-09-16,289.84550926878563
261,2036-10-16,288.76213731488065
262,2036-11-16,287.91067423831186
263,2036-12-16,287.2466035002471
264,2037-01-16,287.0354251930946
265,2037-02-15,286.94015528108287
266,2037-03-16,287.6171897815295
267,2037-04-16,288.62978332654654
268,2037-05-16,289.3713536599305
269,2037-06-16,289.92769881739105
270,2037-07-16,290.3526726721759
271,2037-08-16,290.3996241474587
272,2037-09-16,289.8272635776433
273,2037-10-16,288.87966193930276
274,2037-11-16,288.0387427273376
275,2037-12-16,287.26623761458063
276,2038-01-16,287.0096849754498
277,2038-02-15,287.1585597242677
278,2038-03-16,287.7432316307431
279,2038-04-16,288.73318200218336
280,2038-05-16,289.58097416071706
281,2038-06-16,290.12716623551233
282,2038-07-16,290.4092606874648
283,2038-08-16,290.40054668844255
284,2038-09-16,289.7083216639788
285,2038-10-16,288.6762187689878
286,2038-11-16,287.94946461854954
287,2038-12-16,287.21541548566006
288,2039-01-16,287.03285445721434
289,2039-02-15,287.1267197906433
290,2039-03-16,287.54714247348335
291,2039-04-16,288.6484981424801
292,2039-05-16,289.47362292209715
293,2039-06-16,290.03765721830155
294,2039-07-16,290.48008402884176
295,2039-08-16,290.35597988195167
296,2039-09-16,289.7212310366643
297,2039-10-16,288.80557699486434
298,2039-11-16,287.89790243371937
299,2039-12-16,287.2810071094583
300,2040-01-16,286.95662951971815
301,2040-02-15,286.9299872502515
302,2040-03-16,287.63577315912613
303,2040-04-16,288.7217656225057
304,2040-05-16,289.5773278911722
305,2040-06-16,290.26187988417877
306,2040-07-16,290.46350285376366
307,2040-08-16,290.4221660715536
308,2040-09-16,289.83033595445204
309,2040-10-16,288.8313179860399
310,2040-11-16,287.95261711070714
311,2040-12-16,287.3792871529656
312,2041-01-16,287.16437205450075
313,2041-02-15,287.2091891220535
314,2041-03-16,287.7792929903364
315,2041-04-16,288.8143977748415
316,2041-05-16,289.73325775802476
317,2041-06-16,290.3649570079996
318,2041-07-16,290.5891517799827
319,2041-08-16,290.52554982368673
320,2041-09-16,289.8822709227961
321,2041-10-16,289.11189341468753
322,2041-11-16,288.2655402381066
323,2041-12-16,287.43848299682264
324,2042-01-16,287.23904445888394
325,2042-02-15,287.42954558829064
326,2042-03-16,288.12356292203947
327,2042-04-16,288.8939794286162
328,2042-05-16,289.68470347586526
329,2042-06-16,290.32948539852345
330,2042-07-16,290.81056020772604
331,2042-08-16,290.8425718880446
332,2042-09-16,290.2810098580598
333,2042-10-16,289.3753458787543
334,2042-11-16,288.46087468661113
335,2042-12-16,287.81587844654433
336,2043-01-16,287.2269600511025
337,2043-02-15,287.6061844638996
338,2043-03-16,288.2431668600277
339,2043-04-16,289.1678339119653
340,2043-05-16,289.9343699446913
341,2043-06-16,290.3051356067294
342,2043-07-16,290.7024012005459
