,time,r1i1p2f1,r2i1p2f1,r3i1p2f1
0,2015-01-16,278.6954,278.288,278.60315
1,2015-02-15,279.28146,278.0634,278.0913
2,2015-03-16,278.12628,278.84366,277.68372
3,2015-04-16,281.68365,280.66766,280.4592
4,2015-05-16,285.28317,284.05817,285.82156
5,2015-06-16,288.18774,287.2193,288.52728
6,2015-07-16,291.51813,291.0304,290.59085
7,2015-08-16,294.70657,290.72675,291.36337
8,2015-09-16,290.41327,288.5025,288.57288
9,2015-10-16,286.80322,287.2839,286.3864
10,2015-11-16,284.39206,283.8348,282.47833
11,2015-12-16,281.68076,281.63776,279.55136
12,2016-01-16,280.18118,280.04498,279.0757
13,2016-02-15,279.82288,279.68283,277.94174
14,2016-03-16,277.25436,279.15582,277.96082
15,2016-04-16,278.95285,281.9724,278.38126
16,2016-05-16,282.47034,284.64426,284.43237
17,2016-06-16,285.0751,287.16278,286.96985
18,2016-07-16,290.54233,291.27704,288.65878
19,2016-08-16,289.85754,292.03607,290.07233
20,2016-09-16,289.6945,289.96387,290.11365
21,2016-10-16,285.7279,286.79684,287.02438
22,2016-11-16,284.1811,283.42133,283.54166
23,2016-12-16,280.20877,281.37408,280.40567
24,2017-01-16,279.24054,279.403,278.59686
25,2017-02-15,279.03375,278.2652,279.86218
26,2017-03-16,279.56628,278.25772,281.60724
27,2017-04-16,282.55344,281.24524,283.59744
28,2017-05-16,284.53363,284.02145,284.74902
29,2017-06-16,286.94278,290.738,287.6103
30,2017-07-16,291.95364,290.65146,290.0057
31,2017-08-16,294.33707,292.23947,290.72916
32,2017-09-16,291.1001,290.91245,290.83524
33,2017-10-16,288.4663,287.3321,287.82614
34,2017-11-16,284.93906,283.1448,284.65994
35,2017-12-16,281.95615,280.6305,282.67133
36,2018-01-16,280.3123,279.6002,279.2898
37,2018-02-15,280.91058,278.37622,278.56195
38,2018-03-16,279.79733,279.22623,278.76196
39,2018-04-16,281.13086,279.61844,281.5132
40,2018-05-16,285.9536,283.49716,286.30646
41,2018-06-16,288.9593,288.37054,289.6271
42,2018-07-16,290.74066,288.9917,290.756
43,2018-08-16,290.2131,290.67102,291.9342
44,2018-09-16,290.1526,290.1942,291.33725
45,2018-10-16,286.20667,288.2349,286.95096
46,2018-11-16,284.01517,283.92114,285.91354
47,2018-12-16,280.8338,280.60706,283.38565
48,2019-01-16,279.33286,279.2995,280.3697
49,2019-02-15,277.93045,278.74515,279.59882
50,2019-03-16,277.86975,279.57144,280.1637
51,2019-04-16,280.10977,280.67453,280.7334
52,2019-05-16,283.64163,285.7513,283.95404
53,2019-06-16,286.03378,287.76236,287.92813
54,2019-07-16,290.06296,289.90054,290.2075
55,2019-08-16,292.94247,291.50055,289.3128
56,2019-09-16,288.80035,289.69937,290.54608
57,2019-10-16,285.7486,287.12314,286.57892
58,2019-11-16,282.65894,282.8513,281.69345
59,2019-12-16,280.27475,281.1851,279.8148
60,2020-01-16,278.12036,279.66058,276.1094
61,2020-02-15,278.77838,280.71622,278.5131
62,2020-03-16,278.44223,279.4488,280.5744
63,2020-04-16,281.27695,282.48932,282.07953
64,2020-05-16,284.3275,286.6678,285.2602
65,2020-06-16,289.58865,288.5243,289.02997
66,2020-07-16,290.5417,292.67453,290.84354
67,2020-08-16,289.35303,291.04202,292.4955
68,2020-09-16,289.12317,289.5105,290.85498
69,2020-10-16,286.29437,286.3153,288.6671
70,2020-11-16,284.34555,283.77505,283.92188
71,2020-12-16,280.78333,281.54962,282.02884
72,2021-01-16,277.33292,280.2196,279.99673
73,2021-02-15,279.028,278.04745,279.0327
74,2021-03-16,279.13037,279.2079,280.0938
75,2021-04-16,282.3848,279.76578,282.8381
76,2021-05-16,284.22516,283.7115,284.523
77,2021-06-16,287.40952,287.38007,288.30063
78,2021-07-16,291.2928,290.09436,290.4723
79,2021-08-16,291.06354,292.28232,292.30762
80,2021-09-16,289.71414,289.60202,289.25537
81,2021-10-16,287.53137,286.63693,285.71765
82,2021-11-16,283.41922,282.88422,282.74942
83,2021-12-16,281.39832,280.81818,281.6523
84,2022-01-16,280.12515,275.8016,280.69113
85,2022-02-15,279.79672,278.28278,280.13266
86,2022-03-16,280.88766,280.3619,278.9038
87,2022-04-16,283.792,281.03717,280.55197
88,2022-05-16,285.9246,284.10043,283.69644
89,2022-06-16,289.13257,287.3412,289.52798
90,2022-07-16,290.52283,290.66968,289.61447
91,2022-08-16,292.90414,291.60464,290.90952
92,2022-09-16,289.2778,290.08316,290.11148
93,2022-10-16,287.76556,287.85684,287.30994
94,2022-11-16,282.62048,283.1941,283.4758
95,2022-12-16,280.55655,280.4052,280.32214
96,2023-01-16,279.48016,278.7844,279.88284
97,2023-02-15,278.948,277.75278,279.72647
98,2023-03-16,278.57803,279.54858,280.62585
