,time,r10i1p1f1,r10i1p2f1,r11i1p1f1,r11i1p2f1,r12i1p1f1,r12i1p2f1,r13i1p1f1,r13i1p2f1,r14i1p1f1,r14i1p2f1,r15i1p1f1,r15i1p2f1,r16i1p1f1,r16i1p2f1,r17i1p1f1,r17i1p2f1,r18i1p1f1,r18i1p2f1,r19i1p1f1,r19i1p2f1,r1i1p1f1,r1i1p2f1,r20i1p1f1,r20i1p2f1,r21i1p1f1,r21i1p2f1,r22i1p1f1,r22i1p2f1,r23i1p1f1,r23i1p2f1,r24i1p1f1,r24i1p2f1,r25i1p1f1,r25i1p2f1,r2i1p1f1,r2i1p2f1,r3i1p1f1,r3i1p2f1,r4i1p1f1,r4i1p2f1,r5i1p1f1,r5i1p2f1,r6i1p1f1,r6i1p2f1,r7i1p1f1,r7i1p2f1,r8i1p1f1,r8i1p2f1,r9i1p1f1,r9i1p2f1
0,2015-01-16,280.20786,278.88977,279.56802,279.8672,279.13748,280.2328,277.83188,280.3476,279.83563,278.96228,281.8467,278.67307,278.86966,279.98978,279.57043,280.2952,280.07513,279.17346,280.9144,278.32315,279.64752,278.6954,279.95755,279.23685,277.98245,278.8425,278.00156,279.42114,279.61816,276.52023,277.87735,278.5367,279.53888,280.18945,279.93613,278.288,279.2939,278.60315,277.65237,280.7911,277.69345,278.48105,279.85303,278.19644,279.63486,279.42352,278.97958,280.08694,280.2148,278.8844
1,2015-02-15,277.16895,279.99673,278.84048,281.21606,277.78955,278.7834,276.23145,279.7759,277.0719,276.73047,280.7039,277.46478,279.0268,279.20694,278.1717,281.01532,278.47833,278.8543,278.3092,276.9787,280.29178,279.28146,279.04593,279.74582,279.19772,278.6166,278.70728,280.85657,278.01413,278.85233,275.36005,279.50128,277.1194,277.5717,279.0167,278.0634,279.55313,278.0913,277.92987,277.8662,277.84012,277.54285,278.27362,279.57663,278.9826,280.30585,278.27045,278.34662,280.0403,278.73413
2,2015-03-16,279.02502,280.4783,278.5267,280.04276,280.2258,277.18738,280.59665,279.9348,279.49936,278.9935,281.12405,280.1285,282.06906,281.70428,279.6525,280.20367,279.77316,279.3897,280.87436,279.31042,279.42188,278.12628,281.59387,278.6821,279.96997,278.29034,278.43463,281.26215,279.61804,279.41293,277.40927,280.18924,279.77466,279.82175,278.45117,278.84366,279.96155,277.68372,278.87302,279.81134,277.80872,278.65576,278.2932,279.38187,280.50903,280.51767,280.47858,279.45517,278.76544,280.04224
3,2015-04-16,281.29797,282.21405,282.27533,282.49582,281.5787,279.65836,281.42212,281.57663,281.90668,280.95767,282.57388,282.2016,282.32568,282.42743,281.86618,280.54675,283.33304,279.30786,281.10815,279.70947,280.28998,281.68365,281.05307,283.00958,282.7596,279.37366,282.49966,282.84393,280.90744,279.32428,280.77737,281.76202,282.59955,281.55267,280.40784,280.66766,281.54266,280.4592,280.86304,281.653,280.41928,280.61304,280.94482,281.87024,282.59085,281.63907,284.37875,280.74268,282.779,281.87817
4,2015-05-16,283.75952,285.27176,284.9083,286.11475,284.56863,284.27838,283.31488,285.27957,285.09375,283.22375,285.0564,284.94077,285.2825,286.29614,286.9371,285.62772,285.89243,283.54355,283.76898,283.98196,284.59485,285.28317,285.58844,287.64526,284.77228,282.8614,283.86136,285.5544,283.58615,284.46255,285.45126,284.86887,285.2174,284.91058,283.53326,284.05817,284.87335,285.82156,285.4585,285.02917,285.78143,285.3833,283.0925,285.45447,285.6822,284.9601,284.46262,283.937,283.76666,284.75488
5,2015-06-16,288.23553,287.9628,288.2248,287.94113,288.02597,287.26035,288.61594,290.31802,292.02997,286.99463,288.75238,287.60526,287.4738,289.21948,290.06424,289.33606,287.8665,286.88116,287.77988,286.9444,287.47797,288.18774,288.72018,289.3438,287.92932,288.20038,288.38504,288.5984,287.5661,288.26144,288.68234,288.74005,288.38638,287.4959,288.26804,287.2193,289.67664,288.52728,289.31833,288.96936,288.74512,287.8004,287.27988,287.92834,288.57718,286.33286,288.30792,288.59476,286.89648,287.86298
6,2015-07-16,289.72208,291.50787,289.81918,292.18597,290.8504,290.99023,289.92465,290.70477,291.83173,290.09354,291.16635,292.26398,289.51086,292.3144,290.4851,290.08545,290.30283,292.0068,291.82907,290.1834,289.56332,291.51813,290.19424,292.1746,292.1809,292.1873,290.63113,293.20148,290.2139,291.17947,291.42004,291.06262,289.94324,290.3048,290.8186,291.0304,291.31558,290.59085,290.58374,290.56833,292.018,291.3543,290.23624,290.58612,288.72983,290.38666,291.85068,291.42343,290.6472,289.2611
7,2015-08-16,290.29782,291.9553,291.49078,293.20035,291.449,292.19165,291.55396,291.6693,290.9748,292.11185,291.85068,290.41833,289.61414,290.8501,291.27292,290.71674,290.7983,292.78622,291.27277,290.29575,289.21674,294.70657,292.30258,292.73044,291.44882,289.63882,292.19608,291.26666,289.23914,291.95792,290.94388,292.31735,290.59915,292.07208,292.59467,290.72675,291.92825,291.36337,292.28607,292.94174,292.46884,290.55322,291.3224,289.9702,291.64865,292.8931,293.56006,293.14398,290.21768,290.40823
8,2015-09-16,290.94266,289.8116,289.40863,289.85767,288.9446,289.6964,288.89722,290.4342,289.01392,289.18918,290.40967,288.40454,289.6901,289.3575,288.97055,288.87692,287.622,288.78964,289.79697,288.3883,289.17096,290.41327,289.5174,291.4696,288.60214,287.64853,288.47836,291.406,287.75986,289.03384,290.8705,292.0676,289.0444,290.64328,290.49908,288.5025,289.048,288.57288,291.6562,290.9829,290.41553,289.94348,288.09015,289.3554,288.21033,289.1539,291.28995,289.8021,288.52887,289.20682
9,2015-10-16,287.21097,286.69864,284.99435,286.05676,286.2434,286.5617,286.14215,287.27728,286.91333,286.13678,286.76,285.64093,286.89935,285.10208,285.3232,287.3958,285.24814,286.6271,286.78134,286.92523,287.4929,286.80322,287.5481,285.18262,285.65503,286.21765,285.92133,287.5971,284.6363,286.84363,286.0304,287.71017,286.42563,286.0889,287.0993,287.2839,286.6588,286.3864,286.7488,286.2703,287.42523,287.03656,286.72925,286.80545,285.9311,287.14056,288.15778,286.1222,287.35397,285.25223
