,time,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r6i1p1f2
0,2015-01-16,279.31445,278.16763,276.25,278.2841,276.61154,279.24716
1,2015-02-15,279.11682,279.06458,274.78397,275.70267,276.84158,279.34412
2,2015-03-16,277.4406,280.95395,278.069,277.44733,280.2855,280.92474
3,2015-04-16,280.23328,281.9958,281.841,280.3836,281.14948,281.06226
4,2015-05-16,283.2289,284.30032,282.39807,284.26328,282.04245,288.11047
5,2015-06-16,289.742,290.27512,288.88464,290.27185,287.62045,291.16498
6,2015-07-16,291.78217,293.7696,295.36884,294.22836,292.73224,293.54315
7,2015-08-16,294.9163,294.286,291.39963,292.4601,291.15918,290.87122
8,2015-09-16,292.00067,292.1098,288.99347,290.03162,289.58224,289.53934
9,2015-10-16,285.35608,285.61313,286.60272,286.38516,286.64233,285.46106
10,2015-11-16,283.255,280.58853,283.31766,282.4507,282.6527,282.19394
11,2015-12-16,277.50626,278.85117,280.62314,280.9619,278.14127,280.33044
12,2016-01-16,279.58313,274.43732,281.05313,276.5727,279.32663,278.85117
13,2016-02-15,277.86716,276.58026,280.53226,277.30997,278.25162,277.37573
14,2016-03-16,278.4298,276.397,280.61862,278.66968,278.5775,278.97217
15,2016-04-16,281.45648,280.1723,280.5698,279.90823,283.47348,282.28946
16,2016-05-16,286.08014,285.76688,287.14453,284.1254,287.26965,286.22803
17,2016-06-16,287.35165,291.14246,291.29108,287.31366,289.3298,291.71445
18,2016-07-16,294.53204,292.0021,295.1375,293.45047,295.325,294.20963
19,2016-08-16,292.85492,293.84207,291.12344,293.66946,293.49152,292.13962
20,2016-09-16,289.6136,290.66754,287.7689,289.58664,291.00125,289.55167
21,2016-10-16,286.37564,285.48322,283.80276,286.5916,285.81882,284.14075
22,2016-11-16,282.3593,282.0832,282.26096,282.10458,283.47614,283.2121
23,2016-12-16,279.24872,280.17905,276.01224,276.08398,280.01218,279.07736
24,2017-01-16,276.92648,279.77505,276.19305,276.406,279.17157,279.4101
25,2017-02-15,279.34943,278.8439,277.09033,276.6827,277.9421,279.1284
26,2017-03-16,277.90372,279.04276,278.96045,277.92758,277.17627,278.47366
27,2017-04-16,280.5005,282.6055,282.22592,279.533,282.28198,281.24307
28,2017-05-16,283.57535,285.32034,283.7695,284.63196,285.9037,286.72098
29,2017-06-16,288.22958,289.81757,291.43112,289.04608,288.19733,291.45758
30,2017-07-16,295.7494,291.3139,291.88504,291.0779,292.30573,292.78625
31,2017-08-16,293.93216,292.4507,293.68655,289.90015,292.12863,292.49762
32,2017-09-16,289.11703,290.4954,288.61978,289.38513,290.17484,290.73627
33,2017-10-16,283.57907,284.9536,287.35617,284.3615,284.13586,283.96143
34,2017-11-16,281.07758,281.69534,282.3149,282.39224,283.11493,281.74405
35,2017-12-16,279.04617,279.9586,278.8628,279.757,277.6875,280.16483
36,2018-01-16,278.23257,278.83374,274.84503,276.90262,278.17355,279.38177
37,2018-02-15,278.86493,280.64478,275.5374,275.94492,274.42477,279.29166
38,2018-03-16,278.70306,279.45908,279.6829,278.11176,275.75742,280.43228
39,2018-04-16,284.00684,281.2053,281.22354,280.50027,280.25272,283.09564
40,2018-05-16,287.98737,286.27612,283.80835,284.5697,284.82376,286.61346
41,2018-06-16,289.66104,290.6562,288.0448,286.80136,289.9728,290.76007
42,2018-07-16,292.19846,293.655,292.25272,295.1534,294.31723,294.96036
43,2018-08-16,294.12277,292.38116,293.9374,294.1111,293.57,293.91464
44,2018-09-16,291.64847,287.1313,289.51205,290.46118,287.25446,290.58826
45,2018-10-16,286.00018,285.98932,286.50354,284.87036,285.1917,286.9215
46,2018-11-16,283.70923,281.73053,282.8304,281.09183,282.39035,281.9506
47,2018-12-16,279.2139,278.85214,282.28918,279.61707,280.1445,279.9813
48,2019-01-16,279.83075,277.04303,279.20966,274.6415,280.42084,278.40118
49,2019-02-15,279.10626,278.39398,278.87625,272.9503,277.86642,276.10187
50,2019-03-16,279.4694,276.15488,278.98764,276.4057,279.5428,279.3248
51,2019-04-16,283.44086,279.04706,280.06055,280.05606,282.21933,281.91818
52,2019-05-16,284.7973,284.9593,286.19794,284.12952,285.60284,286.34036
53,2019-06-16,288.7825,289.8123,288.3867,287.90475,290.79962,291.62555
54,2019-07-16,294.33643,291.7164,293.68228,291.7219,292.88446,293.55737
55,2019-08-16,291.9729,293.57196,294.8361,290.66434,292.26443,292.8987
56,2019-09-16,289.09677,290.98807,291.60852,288.0752,289.41345,288.96393
57,2019-10-16,284.95276,285.67294,285.9165,286.00723,284.55295,284.90314
58,2019-11-16,281.1573,281.11636,282.42752,282.8383,281.44394,282.8806
59,2019-12-16,278.6576,277.6752,278.6148,280.9029,279.15494,281.12872
60,2020-01-16,275.7719,275.64163,278.51456,278.56686,278.2021,280.52448
61,2020-02-15,277.20032,275.45746,276.0015,277.8467,279.6732,281.175
62,2020-03-16,279.23416,277.50293,278.9984,278.52084,279.39322,280.21964
63,2020-04-16,278.7739,280.5732,280.2481,280.1548,280.81284,281.7417
64,2020-05-16,284.08435,283.29657,284.12604,281.98123,283.6098,286.91644
65,2020-06-16,288.23224,288.085,290.47644,289.26825,291.4217,291.0178
66,2020-07-16,289.9989,293.7505,291.91177,292.42896,290.44678,291.77243
67,2020-08-16,294.7315,293.28186,292.78763,291.81625,290.73132,293.04556
68,2020-09-16,291.8678,290.51636,289.4903,288.49316,290.53394,290.40546
69,2020-10-16,287.08722,285.1883,286.19803,285.35788,285.79376,288.0551
70,2020-11-16,281.9084,280.40768,280.76782,279.19403,282.17618,283.10788
71,2020-12-16,279.06866,279.72046,279.43243,280.23236,278.9641,281.44925
72,2021-01-16,278.82333,278.17844,276.36945,277.60406,279.90155,280.64188
73,2021-02-15,277.0759,278.03308,277.9307,275.9806,278.04434,277.86484
74,2021-03-16,281.08545,278.824,278.75262,277.5287,278.8515,280.66824
75,2021-04-16,281.63324,282.17917,281.80072,281.262,284.19302,282.39062
76,2021-05-16,287.93585,285.6999,285.82333,284.49838,284.19357,287.28046
77,2021-06-16,290.18204,288.12967,290.12402,287.21826,288.28375,288.41486
78,2021-07-16,291.2116,294.5863,294.40002,292.10968,293.67316,295.7087
79,2021-08-16,292.65857,294.028,294.33154,295.67908,293.73758,293.326
80,2021-09-16,290.4313,289.6067,289.81625,289.70135,288.4668,289.3503
81,2021-10-16,286.26547,285.34955,286.1691,286.94305,285.81143,286.7358
82,2021-11-16,280.88348,281.0889,282.65262,281.44263,280.04883,281.6669
83,2021-12-16,279.53223,280.16962,279.3265,281.02594,277.63306,281.16846
84,2022-01-16,279.00342,279.55783,278.62106,279.7407,275.69016,279.74228
85,2022-02-15,278.9236,278.4416,278.148,277.05838,276.81323,278.4946
86,2022-03-16,279.18167,279.76627,278.481,279.1166,280.94702,278.4912
87,2022-04-16,280.05856,282.86554,281.5937,279.61267,280.63553,280.79245
88,2022-05-16,284.37714,286.54025,284.32037,285.2212,284.96353,286.2874
89,2022-06-16,287.40155,290.9189,290.77252,289.37683,289.84607,290.47092
90,2022-07-16,293.16135,292.40048,293.22968,291.395,294.3454,294.07556
91,2022-08-16,292.63498,293.08392,292.50497,294.1546,295.5634,291.0539
92,2022-09-16,290.06088,290.89325,289.30084,291.14703,290.32516,289.80594
93,2022-10-16,284.9276,287.2195,285.78983,285.74884,285.97577,286.28488
94,2022-11-16,280.57977,282.0885,281.3143,282.406,280.6932,283.01547
95,2022-12-16,278.48633,279.2455,278.9461,280.0386,281.08127,279.49347
96,2023-01-16,279.81552,278.19937,278.7263,278.09744,279.6777,276.4204
97,2023-02-15,278.91476,278.58502,277.27127,278.13245,280.85168,278.74554
98,2023-03-16,278.5795,278.64822,276.4249,279.7022,281.49384,280.43524
99,2023-04-16,281.4102,280.00516,279.99213,280.67526,280.70676,281.25214
100,2023-05-16,286.12927,284.4875,284.51633,285.05206,284.8408,284.88574
101,2023-06-16,289.26587,288.91257,287.10757,287.44357,289.72247,291.58847
102,2023-07-16,291.43866,294.84064,292.57504,291.64343,292.97937,292.54214
103,2023-08-16,293.17883,292.83664,291.062,294.1507,292.64526,293.60812
104,2023-09-16,288.70688,290.27484,289.9932,289.07645,288.67975,291.0719
105,2023-10-16,286.90598,284.28842,284.66138,285.3533,285.2714,286.3701
106,2023-11-16,282.43094,280.802,284.37003,281.50226,282.46042,280.91586
107,2023-12-16,281.5566,278.38733,279.32254,279.23096,280.56415,279.06558
108,2024-01-16,278.3387,277.2306,278.93466,279.9481,278.36786,278.42242
109,2024-02-15,276.9814,277.227,278.36014,279.72974,278.02975,278.21622
110,2024-03-16,280.17383,278.38657,281.99945,282.0834,278.1786,279.65485
