,time,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2
0,2015-01-16,279.03348,279.57187,278.22675,278.99982,279.60852
1,2015-02-15,281.83176,278.5635,277.74033,279.77094,278.11255
2,2015-03-16,280.23517,279.28174,279.48907,277.91998,281.7703
3,2015-04-16,282.84805,280.38297,281.24457,282.49557,283.10522
4,2015-05-16,286.98352,284.97498,282.89166,285.4915,287.10013
5,2015-06-16,292.1295,292.99493,289.33447,289.9672,289.7035
6,2015-07-16,295.62698,293.28333,293.74338,293.89108,293.53238
7,2015-08-16,295.0851,294.64175,293.72797,293.006,293.13965
8,2015-09-16,291.2379,288.78934,289.75403,289.13715,291.25037
9,2015-10-16,284.74667,286.6785,283.9432,285.9483,289.52628
10,2015-11-16,282.44516,282.78802,281.97272,281.79993,285.27072
11,2015-12-16,280.99008,279.7005,279.69232,280.77216,281.11404
12,2016-01-16,276.79294,280.78992,277.49738,277.3375,279.90372
13,2016-02-15,279.01288,278.83713,275.49442,278.5785,278.68088
14,2016-03-16,278.67133,280.21652,279.09818,279.49353,278.78348
15,2016-04-16,282.6917,281.30804,282.03867,282.58636,281.02078
16,2016-05-16,286.99847,285.9981,286.48474,287.00958,285.8031
17,2016-06-16,290.12985,293.08478,289.81885,289.1509,290.6313
18,2016-07-16,293.69745,293.27216,293.83252,293.1983,292.9647
19,2016-08-16,293.57187,293.4109,292.17175,294.92804,296.0566
20,2016-09-16,289.60013,291.44537,291.16336,289.90924,291.5626
21,2016-10-16,284.3331,286.68433,288.10904,286.98474,286.00403
22,2016-11-16,282.01523,281.30963,283.00845,283.6221,281.00485
23,2016-12-16,279.8646,278.89267,278.7741,281.67993,277.9653
24,2017-01-16,278.2948,279.1697,278.62607,278.7334,279.7733
25,2017-02-15,279.2132,279.08258,278.2103,279.42038,276.65195
26,2017-03-16,282.8306,279.76578,278.40927,281.3227,278.44214
27,2017-04-16,284.87234,281.11487,280.96713,283.0734,281.65475
28,2017-05-16,285.66766,284.73328,287.08554,286.1275,283.96326
29,2017-06-16,289.5662,292.82425,290.43542,290.1519,289.72638
30,2017-07-16,293.38635,292.1019,292.91443,294.5783,293.83582
31,2017-08-16,293.5694,293.5425,293.7405,293.12515,292.64355
32,2017-09-16,292.1591,290.71945,290.51022,291.4325,289.87292
33,2017-10-16,286.9036,287.5792,283.6127,286.90256,286.54895
34,2017-11-16,283.06027,280.4966,281.22116,282.68988,283.9329
35,2017-12-16,279.7399,276.48788,278.77203,281.6782,278.81445
36,2018-01-16,278.9691,277.526,277.04623,279.46036,279.03253
37,2018-02-15,281.1236,277.59116,276.51196,279.3284,275.66867
38,2018-03-16,282.49725,279.2554,281.61496,280.0304,280.64612
39,2018-04-16,282.09888,283.30847,282.38974,282.55573,282.54425
40,2018-05-16,286.0912,285.13684,287.24768,285.92593,285.58847
41,2018-06-16,290.1134,291.7527,289.3532,291.34543,290.1572
42,2018-07-16,294.8769,294.98434,292.01096,292.7384,295.64633
43,2018-08-16,292.77863,292.92914,293.44382,293.00372,296.10883
44,2018-09-16,290.24597,291.55322,291.683,289.05154,292.18124
45,2018-10-16,285.2005,285.77676,287.34348,286.27213,287.45618
46,2018-11-16,280.83197,281.31564,283.87286,283.5559,282.84537
47,2018-12-16,279.58624,280.2325,281.20493,280.75482,278.70502
48,2019-01-16,275.9517,276.9998,278.3299,280.281,278.6859
49,2019-02-15,279.0374,278.29825,274.95325,279.26514,278.90463
50,2019-03-16,280.52887,275.44305,278.89755,278.56613,279.07596
51,2019-04-16,283.61795,282.69702,281.34573,282.1692,280.67392
52,2019-05-16,285.50516,284.9709,285.37573,286.63184,286.92606
53,2019-06-16,291.52057,288.5643,290.70837,290.0836,289.46
54,2019-07-16,293.24942,291.81894,295.34647,291.4728,294.40045
55,2019-08-16,295.29263,294.8887,296.38864,295.0684,294.63513
56,2019-09-16,290.78217,288.77652,292.122,290.85062,290.85684
57,2019-10-16,287.74802,284.82147,286.06033,285.55276,287.02264
58,2019-11-16,282.87076,279.8051,280.55576,283.1138,279.2394
59,2019-12-16,278.71375,279.216,279.4982,281.52835,279.4406
60,2020-01-16,277.01294,280.45493,278.62918,278.8741,277.8214
61,2020-02-15,278.6618,279.04572,277.07358,277.46143,278.8504
62,2020-03-16,280.11197,279.67783,280.06247,279.94684,281.94928
63,2020-04-16,282.8866,281.8817,281.13583,280.59534,282.66217
64,2020-05-16,286.3062,286.61783,286.02466,286.0962,283.63608
65,2020-06-16,290.9081,294.66165,291.07388,290.52634,289.32855
66,2020-07-16,294.02725,294.80527,293.22852,295.21988,293.09802
67,2020-08-16,292.70596,294.35468,294.1259,295.42072,292.54745
68,2020-09-16,288.26755,289.3265,291.73282,289.23102,289.63858
69,2020-10-16,284.12,287.2009,285.68094,286.07626,288.19028
70,2020-11-16,281.23883,283.6808,283.4248,282.3087,284.14786
71,2020-12-16,280.83173,277.5732,280.05124,280.34485,280.7422
72,2021-01-16,277.5433,278.67926,277.3004,277.18582,277.4778
73,2021-02-15,279.82095,279.11554,274.75406,277.20145,277.9152
74,2021-03-16,282.2846,279.66074,278.99908,279.77533,280.61798
75,2021-04-16,281.99323,281.39862,280.7523,280.31088,282.31476
76,2021-05-16,286.34323,286.7327,284.95978,288.72763,284.53687
77,2021-06-16,290.18686,290.35925,289.29736,291.8142,290.21185
78,2021-07-16,293.50555,294.0506,294.19946,292.57135,293.24893
79,2021-08-16,292.76022,293.56302,292.9155,292.50024,294.515
80,2021-09-16,291.24945,289.7511,290.56668,292.06012,289.95862
81,2021-10-16,286.2954,287.02533,286.3401,286.17194,286.11905
82,2021-11-16,282.98785,283.7963,280.78873,282.31375,281.04504
83,2021-12-16,279.05966,278.584,280.3823,280.13293,276.71793
