,time,r10i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,2015-01-16,277.00256,278.5348,278.1684,276.4295,279.23938,279.23074,278.7283,279.34436,280.5068,277.28696
1,2015-02-15,276.15955,278.35,278.48367,273.07684,277.17358,277.05206,278.17487,278.86264,278.16953,277.39972
2,2015-03-16,278.4363,279.41147,276.6266,275.27426,278.62964,277.7513,278.40976,277.053,277.6214,279.41525
3,2015-04-16,280.1727,280.73233,280.6879,277.8639,281.21494,279.82483,279.95474,279.0905,281.4108,282.51553
4,2015-05-16,284.4282,284.90945,283.77472,282.4255,284.3425,281.91016,284.3302,284.83337,285.84784,286.2563
5,2015-06-16,288.82535,288.67944,286.8822,285.73654,287.41907,286.47498,287.9283,286.74817,287.20462,288.28073
6,2015-07-16,290.94345,290.497,289.59915,288.72778,289.53183,289.4173,289.12543,289.30353,289.53845,288.83954
7,2015-08-16,290.0758,291.8006,289.93588,289.89172,292.16397,289.44583,289.2927,291.3584,290.3478,289.42484
8,2015-09-16,289.5962,289.30524,288.60275,290.4531,290.43466,287.71902,289.1239,288.87393,289.25565,289.56186
9,2015-10-16,287.3765,285.49097,283.6175,285.7768,286.82434,284.8782,284.402,283.63226,286.71625,284.8696
10,2015-11-16,283.49698,282.11304,280.73453,280.58667,283.67838,281.1141,283.35165,281.8882,282.9029,281.94894
11,2015-12-16,281.1457,281.65897,280.3481,279.1503,279.62476,278.1435,278.7509,280.5712,278.54932,280.46002
12,2016-01-16,279.17923,279.54013,275.45016,274.34845,279.26288,275.26303,275.84854,278.32187,277.24017,280.38364
13,2016-02-15,279.939,276.805,273.96866,276.79962,277.31378,278.4679,277.08508,279.29312,276.3996,278.3405
14,2016-03-16,278.02496,277.50027,275.8467,277.53668,279.3884,279.0321,277.16168,277.00394,280.1366,279.0948
15,2016-04-16,280.14554,281.45245,279.25244,279.3792,280.60757,281.33286,280.2579,280.1238,281.3463,280.88425
16,2016-05-16,284.98575,286.25397,283.64044,284.44644,285.43137,285.0195,284.2902,284.30417,285.33514,284.79025
17,2016-06-16,288.16135,286.77118,286.29172,288.5541,287.4271,287.99506,287.49863,287.8309,289.22757,287.63577
18,2016-07-16,289.16016,290.19858,289.04266,291.39536,289.92734,291.02145,291.5669,289.3716,289.78857,289.91266
19,2016-08-16,289.73654,291.5278,290.57202,290.81628,290.1908,290.57233,290.0894,290.70755,290.53085,289.67502
20,2016-09-16,288.16214,288.6987,288.08572,292.56525,288.27454,291.84915,288.68134,290.3556,289.18066,289.7961
21,2016-10-16,284.3979,286.14694,284.34808,288.4503,285.57925,285.88947,284.56375,286.98608,286.24527,286.56497
22,2016-11-16,282.43347,281.58615,282.21738,282.38086,282.91855,281.781,281.1861,282.32318,282.93192,283.29
23,2016-12-16,276.5475,279.75095,281.22748,277.7906,279.81824,279.95844,280.283,279.5237,280.72897,279.48746
24,2017-01-16,276.50754,280.04108,276.46283,277.6376,277.51364,279.1714,278.38025,280.22296,276.23453,278.6133
25,2017-02-15,277.25644,278.86002,277.32285,276.36203,278.86853,279.24866,278.19543,278.54977,279.74103,279.5134
26,2017-03-16,277.23816,278.91977,278.2817,279.20728,277.74124,279.83813,280.25732,279.19965,278.62915,278.14075
27,2017-04-16,280.5052,282.81552,281.1364,281.4654,280.7257,280.58057,281.36694,281.77057,280.5744,281.2001
28,2017-05-16,283.1985,285.4071,283.0122,284.91562,283.42548,284.2256,284.24893,285.0603,285.14676,285.99356
29,2017-06-16,288.39603,289.39288,287.98904,288.70465,288.28177,287.93192,290.06335,287.0912,289.7118,288.12656
30,2017-07-16,289.97876,289.87836,288.7055,291.09906,288.8306,289.38885,290.87015,289.88425,291.40756,290.41296
31,2017-08-16,290.97232,290.20438,289.74976,292.34366,290.33575,290.54626,291.43222,289.46512,290.65955,291.99097
32,2017-09-16,287.74432,288.48846,289.01752,288.44113,288.31674,289.34076,286.58704,288.94812,290.1556,287.815
33,2017-10-16,284.82983,284.9825,286.22455,284.62656,285.989,284.5711,284.91177,285.70126,285.67697,285.1355
34,2017-11-16,280.91278,281.6402,282.67926,281.82022,281.56232,281.65146,281.49597,282.3914,283.18445,282.58505
35,2017-12-16,277.78497,277.8339,281.12997,280.13574,280.2644,280.41428,278.63345,281.858,280.72562,280.71088
36,2018-01-16,279.52914,273.5964,280.282,279.4337,276.71814,278.05237,278.41125,276.41452,278.58224,279.62238
37,2018-02-15,276.5987,278.05844,277.16998,276.16602,278.46426,280.23044,277.9887,279.1027,278.54068,276.35928
38,2018-03-16,278.5586,278.50375,279.5974,276.09412,278.03543,279.23047,278.45337,276.48434,277.99008,278.3032
39,2018-04-16,282.66125,281.11694,281.305,277.91528,280.1872,280.54376,282.10712,282.3717,280.64734,281.3471
40,2018-05-16,283.8634,284.95346,284.35718,281.65027,283.2334,284.47607,285.44025,284.46246,284.41983,285.37735
41,2018-06-16,287.93103,287.2235,288.48877,286.75427,288.38245,288.66125,287.23642,286.88116,288.14062,286.1963
42,2018-07-16,289.34473,289.55457,289.62338,289.3493,291.748,290.16107,290.31454,290.09506,290.68185,288.79184
43,2018-08-16,289.63458,289.2468,288.97147,290.87494,291.00476,289.21176,290.77737,291.6021,290.7265,291.5813
44,2018-09-16,288.71838,289.747,289.28287,289.20288,288.4761,287.71518,290.5081,287.88287,289.93954,288.97144
45,2018-10-16,286.40668,285.63113,285.0559,285.76837,285.98672,284.44153,284.7272,284.27197,285.09106,285.09756
46,2018-11-16,282.62643,280.89185,281.54117,280.62848,281.54333,281.26636,281.03024,279.76096,282.68637,283.3684
47,2018-12-16,278.85068,278.8054,279.97375,281.01617,277.51236,281.42215,279.07233,278.13748,280.56363,280.21756
48,2019-01-16,279.34677,276.3335,278.99512,275.79813,276.14572,276.77707,279.9136,279.0119,278.52438,278.69653
49,2019-02-15,278.0926,275.2019,278.68143,277.25906,277.08197,276.1801,279.49872,278.73508,276.82138,278.63898
50,2019-03-16,278.8097,277.27713,280.28625,278.056,278.30872,276.77686,280.4011,279.96304,277.3832,279.29166
51,2019-04-16,281.7624,281.8712,280.92102,280.31668,279.88208,282.35434,282.1485,281.80258,282.09384,279.54117
52,2019-05-16,284.32504,285.8037,284.18555,284.676,283.32718,286.73544,283.78262,283.837,285.87115,283.86603
53,2019-06-16,288.9306,287.25388,286.9017,288.60257,287.53583,287.8036,287.63974,285.32315,288.37808,287.26645
54,2019-07-16,290.13422,290.33444,288.7175,289.51642,288.71555,290.75494,289.70538,288.80994,291.98544,289.5325
55,2019-08-16,290.18817,290.10895,289.44873,288.89227,288.3501,290.2164,291.23254,289.9221,292.4081,289.7314
56,2019-09-16,289.69,289.6156,288.47467,287.9394,287.38712,287.83032,288.64398,287.9307,291.60315,288.478
57,2019-10-16,287.1261,285.95898,285.69345,285.1354,285.15686,284.01218,286.30594,286.55502,287.2574,284.33542
58,2019-11-16,281.6501,281.75134,280.28534,279.54398,281.26526,281.56934,281.7788,282.92175,283.55402,281.43417
59,2019-12-16,280.94296,280.06445,280.35843,279.18735,278.70465,281.1638,280.96445,277.6062,278.70282,280.44662
60,2020-01-16,279.41373,279.56894,277.7221,279.7454,278.53073,279.69675,278.82437,278.12842,277.6054,278.8506
61,2020-02-15,278.19345,278.50305,277.0124,278.69025,279.33047,278.14404,277.84872,277.42932,279.4312,277.53812
62,2020-03-16,278.7584,279.72397,278.72943,277.78906,278.11688,277.22702,278.37256,277.03943,280.7745,279.59033
63,2020-04-16,281.2447,281.255,282.27768,281.48257,280.82144,280.05402,280.5352,279.85553,279.73834,283.9852
64,2020-05-16,283.64603,284.63556,284.5775,284.16968,286.25894,282.83356,284.23364,283.88446,284.8436,284.75455
