,time,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1
0,2015-01-16,277.96402,277.78973,276.40063,278.11346,277.4596
1,2015-02-15,278.3429,278.4533,277.2239,278.54526,277.92447
2,2015-03-16,279.9972,280.47806,278.84268,278.53757,278.4561
3,2015-04-16,283.18542,281.7018,282.13898,282.73428,281.15283
4,2015-05-16,284.39285,284.5754,285.60938,284.95837,283.13474
5,2015-06-16,287.0307,287.61545,289.04755,287.21494,287.69354
6,2015-07-16,290.46774,291.21286,290.30374,289.90286,289.55695
7,2015-08-16,289.42212,290.94788,290.28677,290.17508,290.53238
8,2015-09-16,286.88718,287.63235,287.2136,287.5766,289.50458
9,2015-10-16,283.6194,283.9206,285.5744,284.59506,285.90494
10,2015-11-16,283.08713,280.97168,280.88116,281.5581,280.88345
11,2015-12-16,277.38507,279.1123,279.4933,278.49728,277.95953
12,2016-01-16,277.065,279.1987,280.00644,279.60968,276.82776
13,2016-02-15,276.24966,277.9848,279.04,279.00043,274.70764
14,2016-03-16,278.20374,280.30945,279.51688,281.0336,278.11438
15,2016-04-16,281.69925,281.54932,283.53848,282.0908,282.1462
16,2016-05-16,283.79797,284.6565,285.9249,286.63544,284.72354
17,2016-06-16,287.2056,286.70676,288.29407,288.3927,287.95547
18,2016-07-16,289.0624,290.2216,291.00067,291.8577,290.61578
19,2016-08-16,288.16782,289.75607,291.6667,291.32657,290.81363
20,2016-09-16,286.79364,286.79663,287.93686,286.9329,288.70786
21,2016-10-16,283.04858,284.7749,285.47223,283.2758,285.01712
22,2016-11-16,281.24808,281.04538,283.41245,279.33032,283.23285
23,2016-12-16,279.898,280.1344,279.8079,279.56473,279.3669
24,2017-01-16,276.62637,277.09164,276.81882,276.28085,279.7723
25,2017-02-15,277.8543,278.59573,278.3264,277.20972,278.86072
26,2017-03-16,279.6863,279.8295,279.726,279.58206,280.97278
27,2017-04-16,283.5459,281.4471,281.1837,282.63046,283.55615
28,2017-05-16,284.1846,285.1769,283.74747,284.46255,284.9019
29,2017-06-16,286.33197,288.31894,288.86923,289.0083,287.3863
30,2017-07-16,290.62985,290.16638,290.64706,291.35904,291.6831
31,2017-08-16,290.29837,291.1434,289.62924,291.1652,293.43295
32,2017-09-16,289.12262,288.61273,287.81055,288.8752,287.53787
33,2017-10-16,284.76303,285.0105,286.1008,284.52066,283.82263
34,2017-11-16,281.64078,281.95294,281.3564,280.52917,281.4984
