,time,r10i1p1f1,r14i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,2015-01-16,277.89874,276.49026,280.17496,278.90656,277.14575,280.08664,278.7768,274.9355,280.88974,280.02853,278.5462
1,2015-02-15,276.87006,275.37967,281.0208,275.8947,276.9923,277.59503,277.13953,278.96582,280.29138,275.17142,279.57742
2,2015-03-16,278.01202,277.37183,278.62668,277.75226,276.84357,277.97107,276.9087,279.90277,280.6627,277.24136,278.4544
3,2015-04-16,279.48495,280.20618,280.97638,280.41318,280.062,280.21298,278.96933,280.93347,282.65787,280.29477,281.70212
4,2015-05-16,282.0231,282.22916,285.97766,286.5178,282.65286,283.24857,282.88202,283.28848,284.47604,284.66895,284.73346
5,2015-06-16,286.403,288.96838,286.94482,290.57416,286.5313,286.70435,287.92026,287.65436,288.25656,290.1113,287.39624
6,2015-07-16,290.48593,291.28796,288.8494,292.92828,293.00287,290.9512,290.32565,293.04092,291.1267,293.63083,291.53882
7,2015-08-16,292.78967,294.04205,291.8169,292.56668,292.60684,293.66736,290.54788,290.60312,292.35492,294.4499,293.66
8,2015-09-16,289.6277,287.93008,288.1164,289.88248,289.77283,291.29727,289.4708,290.05835,290.69937,290.86285,288.82104
9,2015-10-16,287.06302,286.69788,286.14526,286.32092,285.98044,286.25275,286.17163,285.37296,286.0763,284.7214,287.22458
10,2015-11-16,283.7651,282.8863,282.96286,282.89432,280.16693,281.39728,282.67264,282.3142,283.80518,284.0462,283.54443
11,2015-12-16,280.62445,280.76233,280.69177,281.7267,279.01492,280.67993,281.74277,279.10886,280.59842,280.5955,280.96863
12,2016-01-16,277.9052,278.23447,280.39124,278.34738,276.05408,279.40515,279.6735,276.4723,278.28873,277.89124,277.0999
13,2016-02-15,276.15018,278.48,279.6502,277.98404,276.62506,278.88998,277.5551,274.49927,278.11176,277.38223,277.84393
14,2016-03-16,280.59195,279.51938,275.69025,277.88382,277.67963,281.05594,277.24503,274.6179,279.0071,277.98633,279.28348
15,2016-04-16,281.39,281.94626,282.23285,277.65317,280.47757,281.78568,280.67267,278.20688,281.0379,280.62402,281.48495
16,2016-05-16,285.59335,284.7169,284.16953,282.4057,284.61954,283.71436,283.92737,283.87534,285.7521,285.911,283.22742
17,2016-06-16,289.93347,286.75397,287.24393,289.0156,289.43658,288.2703,287.35968,287.04095,288.3648,288.1799,286.35638
18,2016-07-16,291.15536,291.80698,291.56104,289.1176,293.18118,295.211,292.98373,290.09793,292.93408,292.67072,291.1289
19,2016-08-16,292.75244,293.17398,292.34985,290.4317,292.1084,292.19952,294.12363,291.79782,293.80515,291.75717,293.07712
20,2016-09-16,289.91638,291.69165,290.97714,288.50656,290.20645,291.57465,289.69052,289.33582,290.00513,289.9303,288.73972
21,2016-10-16,286.7195,287.82196,287.80826,286.1839,285.18265,286.786,288.24472,287.7057,285.30997,286.45908,287.5204
22,2016-11-16,283.14484,282.41132,282.80945,283.48886,281.90527,283.84055,283.22324,283.6675,281.2652,283.03903,283.07986
23,2016-12-16,278.52603,281.08224,281.3753,281.8007,279.81122,278.87408,280.96472,280.51135,280.90115,281.58145,279.78333
24,2017-01-16,275.92316,277.37033,279.177,277.26788,278.4247,278.56644,280.23978,279.05505,280.37445,280.89984,279.59937
25,2017-02-15,276.80704,277.87408,280.10617,276.5574,277.9515,277.53873,278.90768,278.48596,279.748,278.36734,278.1145
26,2017-03-16,279.0105,278.2592,281.10495,278.7979,277.92346,277.74808,277.09534,277.47217,279.65057,278.46817,280.11206
27,2017-04-16,280.86926,279.68027,281.03873,281.49408,281.37463,279.9434,280.85446,280.5323,281.70514,282.2529,281.63382
28,2017-05-16,283.9224,284.27054,284.93723,283.7782,284.09756,283.04318,284.53842,284.75406,284.26993,284.91885,284.48697
29,2017-06-16,289.47467,289.15872,288.80862,290.09314,287.54904,286.51303,290.57452,292.5863,288.97192,289.42303,288.47043
30,2017-07-16,292.41785,291.14487,291.90817,294.53247,290.38065,292.38193,293.35095,294.53107,293.28156,292.11508,295.09808
31,2017-08-16,292.6949,292.7976,291.59637,292.62485,292.08194,291.96347,294.48193,292.9649,292.5546,292.8883,294.69064
32,2017-09-16,290.5278,290.697,290.7809,288.20203,289.1058,289.3965,290.9406,290.4713,289.19046,292.42947,289.30493
33,2017-10-16,286.114,285.80682,286.96655,286.88388,286.1277,286.28003,286.28192,286.46295,286.54327,287.3738,287.37408
