,time,r1i1p1f1,r2i1p1f1,r3i1p1f1
0,2015-01-16,279.8334,281.1426,281.27747
1,2015-02-15,282.0029,280.85474,278.81873
2,2015-03-16,283.1413,281.60657,279.48514
3,2015-04-16,284.0964,283.4782,283.0974
4,2015-05-16,286.16278,287.66995,286.8045
5,2015-06-16,289.48608,289.28964,288.42682
6,2015-07-16,292.1733,293.11072,291.8879
7,2015-08-16,294.3585,292.59677,293.18106
8,2015-09-16,290.8186,291.22806,290.86676
9,2015-10-16,287.72992,287.88867,287.69254
10,2015-11-16,283.0734,282.7709,284.2185
11,2015-12-16,280.157,282.74304,280.92795
12,2016-01-16,281.76917,280.162,279.25604
13,2016-02-15,282.29865,279.61862,278.00034
14,2016-03-16,281.45483,281.83954,280.90512
15,2016-04-16,283.253,282.74673,282.31302
16,2016-05-16,286.2377,286.328,285.18607
17,2016-06-16,290.34778,288.5643,289.7555
18,2016-07-16,293.2618,293.58237,292.19308
19,2016-08-16,294.16895,292.63696,291.26093
20,2016-09-16,291.0463,290.37292,289.67245
21,2016-10-16,286.7313,285.47064,286.93582
22,2016-11-16,283.6324,282.26996,282.94916
23,2016-12-16,279.90598,283.39206,283.0617
24,2017-01-16,279.70026,281.86493,280.77252
25,2017-02-15,279.90366,281.6576,280.87595
26,2017-03-16,281.0363,281.2202,279.84427
27,2017-04-16,281.84985,283.49838,284.64743
28,2017-05-16,285.86267,287.19464,286.45917
29,2017-06-16,289.44934,290.5046,288.30246
30,2017-07-16,293.20657,293.53958,293.49265
31,2017-08-16,291.73984,293.3021,292.97934
32,2017-09-16,288.2092,291.66867,289.6265
33,2017-10-16,285.72775,287.9692,287.86108
34,2017-11-16,281.73895,283.48972,283.4128
35,2017-12-16,281.56595,282.21896,280.97208
36,2018-01-16,280.659,283.43164,281.63257
37,2018-02-15,280.058,282.43622,280.9726
38,2018-03-16,281.6414,282.39066,281.56097
39,2018-04-16,282.94678,283.4424,284.0752
40,2018-05-16,287.561,286.2399,286.17905
41,2018-06-16,290.45364,289.50162,291.57755
42,2018-07-16,294.16116,291.5911,293.2869
43,2018-08-16,293.486,292.80197,293.16888
44,2018-09-16,290.52426,288.9188,290.40106
45,2018-10-16,286.87534,286.33847,286.63126
46,2018-11-16,283.25305,282.60342,283.20972
47,2018-12-16,280.55606,282.49762,283.18454
48,2019-01-16,278.4422,281.63828,281.439
49,2019-02-15,281.97488,283.6019,281.28397
50,2019-03-16,281.89258,282.50595,281.78235
51,2019-04-16,282.85437,282.9318,283.11435
52,2019-05-16,287.18668,284.4096,286.82208
53,2019-06-16,291.87155,288.3205,288.90283
54,2019-07-16,293.5296,294.9314,291.84482
55,2019-08-16,294.02908,293.67828,292.55957
56,2019-09-16,290.65643,291.19492,289.94205
57,2019-10-16,287.44867,286.84494,286.56754
58,2019-11-16,282.12772,283.35162,282.77643
59,2019-12-16,280.11966,280.8703,281.13916
60,2020-01-16,279.76254,279.43484,276.25357
61,2020-02-15,279.87378,281.909,278.72653
62,2020-03-16,282.11038,281.4212,281.10034
63,2020-04-16,283.60345,283.47366,283.13684
64,2020-05-16,286.4661,287.96463,286.63818
65,2020-06-16,291.42593,291.11145,288.89337
66,2020-07-16,293.31964,294.01962,291.3649
67,2020-08-16,293.97107,293.61682,293.4483
68,2020-09-16,292.05426,291.2224,290.18488
69,2020-10-16,287.91544,287.97388,287.28067
70,2020-11-16,282.82397,284.00635,283.92303
71,2020-12-16,281.4589,281.14584,281.38608
72,2021-01-16,281.53558,282.15927,279.12247
73,2021-02-15,280.52176,282.37363,280.17346
74,2021-03-16,280.8764,282.161,281.3153
75,2021-04-16,283.24432,282.9938,283.54694
76,2021-05-16,286.32742,287.1332,286.5158
77,2021-06-16,290.45694,291.27545,288.92093
78,2021-07-16,292.69,292.5601,293.12912
79,2021-08-16,293.47794,292.29938,294.02167
80,2021-09-16,289.12692,290.73615,291.95764
81,2021-10-16,285.38382,287.42523,286.7164
82,2021-11-16,282.6158,285.2231,282.63168
83,2021-12-16,279.2051,282.3332,279.82516
84,2022-01-16,281.14737,280.70566,278.90573
85,2022-02-15,279.9953,281.00418,281.1944
86,2022-03-16,282.2848,281.40897,279.12302
87,2022-04-16,282.36136,283.7829,282.67218
88,2022-05-16,286.47797,287.93216,286.12326
