,time,r10i1p1f2,r11i1p1f2,r12i1p1f2,r16i1p1f2,r17i1p1f2,r18i1p1f2,r19i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r6i1p1f2,r7i1p1f2,r8i1p1f2,r9i1p1f2
0,2015-01-16,277.36188,280.42505,278.42722,278.66156,278.9854,280.202,277.6709,281.10193,278.1199,280.32693,278.70627,281.38565,278.85422,279.63824,279.2513,280.18118
1,2015-02-16,277.84283,280.095,275.53683,277.30093,281.5981,279.7642,275.86176,277.92154,276.9903,279.99982,277.73297,279.52148,280.05664,279.86133,279.3414,277.52563
2,2015-03-16,278.8799,279.50107,279.16187,279.35504,281.88458,279.8046,277.5189,281.3106,277.424,280.46802,279.61856,278.4355,279.11328,280.92017,279.3949,278.71375
3,2015-04-16,279.68594,280.95474,279.99777,281.99643,283.1583,279.58334,278.97327,281.07794,280.84964,281.73834,281.1963,280.01675,282.5895,282.7793,282.3148,279.76538
4,2015-05-16,282.7006,283.28043,282.81494,285.14926,285.3593,283.61765,283.09976,282.71472,283.86365,285.0982,284.2267,284.41943,284.9746,284.19504,283.52216,285.10437
5,2015-06-16,288.35345,286.93,287.15634,288.33453,287.81464,287.2285,286.64532,288.45615,287.63092,288.26608,285.8136,287.19138,289.94397,287.6884,286.96982,288.19394
6,2015-07-16,289.93594,290.35965,289.74744,289.8901,290.31113,289.9646,289.50287,290.5856,289.63828,290.9554,288.39423,289.50098,289.5793,290.02026,288.52756,290.2008
7,2015-08-16,289.5823,290.6159,289.1282,289.29825,290.24493,291.56747,289.7878,290.86707,290.86444,292.16727,289.53223,291.75546,291.31662,289.99295,291.3012,291.62238
8,2015-09-16,288.89255,288.34857,288.2292,287.77252,290.1379,289.29034,289.7652,288.27542,289.03104,290.32434,288.17044,290.86118,289.83533,289.40878,288.5193,291.889
9,2015-10-16,286.68765,285.5315,284.94507,286.89185,286.00284,284.79388,286.128,286.48154,286.62158,288.041,285.16235,285.8262,286.31747,287.2013,285.13757,286.97302
10,2015-11-16,283.7943,283.0093,283.2559,281.43866,282.8078,283.4093,282.43115,282.99026,282.50555,283.7552,282.16864,284.03094,282.86887,284.1062,283.15475,283.1258
11,2015-12-16,283.0887,280.24155,278.13638,276.11786,280.67926,281.5734,279.30295,280.56808,278.36212,281.95306,280.2319,280.219,279.8259,279.75357,280.9397,280.86615
12,2016-01-16,280.32516,279.0041,279.68378,277.04175,279.00513,274.47272,278.283,277.61472,277.02213,280.82745,278.94998,278.87357,281.3132,278.10715,276.6212,278.60657
13,2016-02-16,277.10535,280.0744,278.0698,276.8478,280.01187,277.88416,277.55777,279.4183,278.25186,279.29883,278.7077,277.8186,279.18332,275.8896,277.06085,277.36542
14,2016-03-16,279.74838,279.86005,278.16418,278.3261,279.87048,280.4475,278.56757,279.0095,280.84412,279.422,279.71997,276.53888,277.35284,280.50067,278.6065,279.6416
15,2016-04-16,280.98404,280.93713,280.62442,279.69574,281.4584,282.0342,281.07196,281.21387,281.69543,280.81787,280.7234,280.84308,280.4219,281.9003,280.71832,280.72604
16,2016-05-16,284.2092,283.53418,284.3176,283.44238,284.6236,284.61865,284.26282,283.6007,283.4308,283.32388,283.52716,282.67743,283.4688,283.23862,284.2694,283.6639
17,2016-06-16,288.5019,286.57916,286.7156,288.26556,286.92285,285.91547,288.46307,286.26434,287.64743,287.18097,286.5528,286.32767,288.1623,288.1086,287.30508,288.38702
18,2016-07-16,290.64798,289.28995,289.30984,291.33575,288.28995,290.18552,291.30396,288.20416,289.9036,289.4645,288.78717,288.72385,289.90448,290.7475,288.65027,289.66187
19,2016-08-16,292.41754,291.7089,290.01715,290.8132,291.41837,291.22867,292.37436,290.36917,289.9545,291.7046,291.03424,290.1026,290.2003,291.49173,291.16064,288.8335
20,2016-09-16,288.6053,289.76596,289.04547,289.42084,290.15152,290.20786,289.7798,289.74026,290.38586,290.59665,288.57806,289.3166,288.03952,289.80698,288.28015,287.6611
21,2016-10-16,286.27936,287.25394,287.15735,286.04813,287.00693,285.19092,287.86734,286.83527,286.1192,288.17957,283.8508,286.4355,284.47745,287.3947,286.39136,285.87802
22,2016-11-16,282.58176,283.68423,282.48618,283.037,282.4302,283.83704,282.5385,283.59323,283.95474,283.07117,280.0551,283.03238,283.59335,283.43652,283.59048,284.019
