,time,r10i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,2015-01-16,277.5167,278.87656,278.30447,279.9105,279.75757,278.81995,276.90808,277.41782,278.54395,277.8909
1,2015-02-15,276.566,278.29346,275.78854,276.97504,279.60144,279.28476,279.70752,275.05518,276.5369,279.4764
2,2015-03-16,277.35507,280.1945,279.39697,277.07965,280.14456,279.79156,278.6775,279.0474,277.83136,280.5098
3,2015-04-16,279.22888,280.81238,282.16608,279.12445,282.04236,281.38962,280.94562,280.7219,280.1024,280.7745
4,2015-05-16,282.25378,284.27814,283.9095,284.45743,284.88007,284.7454,284.2227,283.17657,282.758,283.8839
5,2015-06-16,285.84216,287.98508,287.1251,286.99524,288.2201,288.99963,289.8263,288.43573,287.70172,288.5131
6,2015-07-16,287.6364,291.34213,289.50085,290.1624,289.17184,289.43887,291.63794,289.49182,287.98825,289.79886
7,2015-08-16,289.02963,290.4866,290.42007,289.3623,289.07404,291.00806,292.50238,288.52206,288.77063,289.2072
8,2015-09-16,288.0208,289.70114,288.67136,288.90546,288.04468,289.1069,288.1258,287.4541,288.6112,288.7058
9,2015-10-16,286.81168,288.67685,285.8125,287.6578,285.6478,285.52386,285.0954,286.60294,286.61038,286.66782
10,2015-11-16,280.81287,284.8229,280.0,284.79733,282.61377,282.75125,283.60675,283.18866,282.01837,284.28464
11,2015-12-16,279.7644,279.8897,280.98132,279.37897,280.41708,282.12714,281.6315,282.38147,280.15973,279.7213
12,2016-01-16,276.3762,277.8636,279.04947,275.79175,277.9282,278.27298,277.34467,280.2609,279.05542,278.21262
13,2016-02-15,278.52878,277.77118,279.55197,277.44534,278.97073,279.44034,280.23376,279.18445,276.50018,279.34515
14,2016-03-16,280.54773,280.09616,280.22665,279.21548,278.33762,281.59927,280.248,279.69293,279.96646,279.78528
15,2016-04-16,282.48712,281.5368,282.19345,279.94702,280.40778,281.58908,281.11304,280.97443,280.19858,280.4517
16,2016-05-16,284.61307,284.10236,285.1165,282.63165,284.5938,284.82434,284.38406,285.03754,284.00394,283.99075
17,2016-06-16,289.35608,288.71558,289.91345,287.41336,288.01126,286.6104,287.18256,287.45712,288.39978,287.91055
18,2016-07-16,290.9001,291.8411,290.6436,289.12946,290.02606,288.98947,291.1781,289.49118,290.841,289.44083
19,2016-08-16,289.89343,291.67657,290.1179,290.55905,291.1217,288.886,290.714,288.96536,290.19714,290.67566
20,2016-09-16,289.84143,287.6299,289.01022,288.15027,288.6278,290.55597,289.23642,288.09933,289.6629,290.6242
21,2016-10-16,285.9035,285.83218,286.2501,285.32742,286.0831,286.80438,284.79395,284.37192,285.45935,287.16266
22,2016-11-16,281.77698,282.79785,282.43887,282.4872,281.1609,283.23764,281.40475,281.7354,280.6048,283.6251
23,2016-12-16,281.62073,280.5652,275.4257,282.1999,277.2804,280.49048,280.93512,281.5636,278.92358,280.74557
24,2017-01-16,277.2876,279.61377,277.31927,276.5338,275.43393,281.0741,277.8431,278.85535,276.02502,276.80313
