,time,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1
0,2015-01-16,280.2975,279.06927,279.5088,280.17984,279.55142
1,2015-02-15,278.98483,278.66492,277.04788,280.35446,278.3411
2,2015-03-16,281.7666,279.27432,279.081,280.86865,281.00778
3,2015-04-16,283.54837,283.84412,284.39212,280.93665,283.78384
4,2015-05-16,286.18198,285.5043,286.02994,284.05325,284.93338
5,2015-06-16,289.39798,288.32867,289.32385,288.98022,289.9418
6,2015-07-16,289.9195,290.6308,290.7254,292.25992,291.46997
7,2015-08-16,291.34714,290.9427,291.60727,290.9839,290.95557
8,2015-09-16,289.54916,291.39072,288.53317,290.3067,291.61148
9,2015-10-16,284.86243,286.35168,286.6109,286.7211,286.44437
10,2015-11-16,283.06802,281.29257,282.92972,282.5833,281.67142
11,2015-12-16,281.88065,279.30844,281.80695,281.3415,282.4925
12,2016-01-16,280.77383,279.29974,280.93515,278.96188,279.80844
13,2016-02-15,278.91733,281.36765,281.16498,281.44238,280.3315
14,2016-03-16,279.0202,279.47913,282.4198,280.9163,280.06833
15,2016-04-16,281.70587,282.5091,283.68665,284.53854,282.33124
16,2016-05-16,284.50757,285.40237,285.5344,287.31244,285.18552
17,2016-06-16,288.99274,288.2437,289.03445,290.35208,289.20776
18,2016-07-16,290.63086,289.31863,291.20746,291.81406,291.63242
19,2016-08-16,291.1593,290.1756,291.53064,292.2762,292.01074
20,2016-09-16,288.8351,288.22592,290.1408,291.0725,289.31888
21,2016-10-16,286.54837,284.8029,288.9271,286.84427,283.78098
22,2016-11-16,282.55273,282.7101,283.4167,283.1184,281.75787
23,2016-12-16,282.02936,281.19763,281.13696,283.1456,277.7445
24,2017-01-16,280.3258,281.1614,281.74432,281.61688,274.79535
25,2017-02-15,280.69754,281.88055,281.00378,280.52557,280.3213
26,2017-03-16,282.2287,280.84058,279.68686,280.12323,280.98923
27,2017-04-16,281.58142,283.27847,280.35358,283.6104,281.39413
28,2017-05-16,285.1742,285.81342,284.59595,287.04532,286.78357
29,2017-06-16,290.69214,289.09073,288.39554,289.00793,289.08255
30,2017-07-16,292.0985,292.79996,291.40497,292.07828,290.32565
31,2017-08-16,292.91385,292.32315,292.57404,292.18582,290.44077
32,2017-09-16,289.14102,289.62817,291.79202,289.88504,289.12903
33,2017-10-16,287.1421,286.33737,288.72513,286.00812,287.66782
34,2017-11-16,282.7988,284.0228,283.33298,282.83987,282.79047
35,2017-12-16,280.97983,281.69894,277.19476,281.70715,281.94827
36,2018-01-16,281.78244,280.31573,279.99387,281.12103,280.96182
37,2018-02-15,279.50623,280.1689,279.5616,281.1267,281.4436
38,2018-03-16,280.7744,281.51184,279.7521,280.33008,283.0537
39,2018-04-16,284.08325,282.73785,282.31046,282.0321,284.65314
40,2018-05-16,286.26654,285.15198,285.67926,284.91556,286.09518
41,2018-06-16,288.90143,288.7749,289.32532,289.26303,288.67654
42,2018-07-16,291.13727,292.06702,294.29636,290.9553,291.3117
43,2018-08-16,292.08307,292.19208,292.11398,291.77307,291.04932
44,2018-09-16,289.81027,290.33395,288.96002,289.51874,290.76114
45,2018-10-16,286.62845,285.8372,286.59753,286.8176,285.41055
46,2018-11-16,284.20892,282.1918,284.6922,281.74255,282.9622
47,2018-12-16,278.90137,280.3844,282.54388,280.98676,279.37274
48,2019-01-16,280.03406,279.10428,280.21936,279.22882,278.5381
49,2019-02-15,281.02115,280.06628,282.18234,281.64072,276.29688
50,2019-03-16,279.7286,281.09415,283.48434,279.82242,280.84888
51,2019-04-16,284.22638,283.02707,284.76352,283.1587,282.4341
52,2019-05-16,286.31577,284.87485,285.4548,284.96066,285.20276
53,2019-06-16,288.6025,290.56433,288.32867,289.85086,287.7805
54,2019-07-16,290.87885,291.44632,292.34628,291.59302,291.79135
55,2019-08-16,291.18207,290.54047,292.9898,289.8121,290.2611
56,2019-09-16,288.6673,288.54755,291.66165,288.0101,288.34134
57,2019-10-16,285.23724,285.84836,286.53726,286.51367,286.16406
58,2019-11-16,284.1427,283.66846,281.82175,285.1217,282.62622
59,2019-12-16,281.22092,278.2984,282.46176,281.1545,280.45193
60,2020-01-16,281.27966,277.12323,279.71942,280.80536,279.49493
61,2020-02-15,280.3724,279.6828,281.1296,280.54144,276.52536
62,2020-03-16,278.38388,278.80475,281.16986,282.32916,280.63416
