,time,r1i1p1f1
0,2015-01-15,281.52957
1,2015-02-14,279.3218
2,2015-03-15,281.27365
3,2015-04-15,280.73114
4,2015-05-15,284.4343
5,2015-06-15,289.69336
6,2015-07-15,292.6591
7,2015-08-15,291.95694
8,2015-09-15,292.46252
9,2015-10-15,288.68015
10,2015-11-15,284.42154
11,2015-12-15,281.09
12,2016-01-15,279.00473
13,2016-02-14,278.70514
14,2016-03-15,279.22223
15,2016-04-15,281.50443
16,2016-05-15,285.21863
17,2016-06-15,287.67026
18,2016-07-15,290.03064
19,2016-08-15,291.1434
20,2016-09-15,288.88104
21,2016-10-15,286.84442
22,2016-11-15,283.3895
23,2016-12-15,281.62854
24,2017-01-15,281.1766
25,2017-02-14,281.01376
26,2017-03-15,281.88376
27,2017-04-15,283.11362
28,2017-05-15,285.99576
29,2017-06-15,289.97104
30,2017-07-15,291.313
31,2017-08-15,291.74216
32,2017-09-15,289.94315
33,2017-10-15,287.99136
34,2017-11-15,283.63974
35,2017-12-15,281.45517
36,2018-01-15,281.72922
37,2018-02-14,280.3952
38,2018-03-15,280.24164
39,2018-04-15,283.13434
40,2018-05-15,286.76398
41,2018-06-15,288.9168
42,2018-07-15,292.17514
43,2018-08-15,292.09924
44,2018-09-15,289.93765
45,2018-10-15,287.17346
46,2018-11-15,283.24176
47,2018-12-15,281.32303
48,2019-01-15,279.3509
49,2019-02-14,281.3406
50,2019-03-15,279.1748
51,2019-04-15,280.48157
52,2019-05-15,285.01102
53,2019-06-15,288.7262
54,2019-07-15,292.86487
55,2019-08-15,292.84854
56,2019-09-15,290.28815
57,2019-10-15,287.06256
58,2019-11-15,281.5036
59,2019-12-15,278.95758
60,2020-01-15,277.94644
61,2020-02-14,277.3381
62,2020-03-15,281.61398
63,2020-04-15,281.26035
64,2020-05-15,286.86823
65,2020-06-15,290.43497
66,2020-07-15,292.43542
67,2020-08-15,292.07047
68,2020-09-15,291.44482
69,2020-10-15,288.20532
70,2020-11-15,284.09012
71,2020-12-15,284.07376
72,2021-01-15,280.72595
73,2021-02-14,280.43097
74,2021-03-15,282.36072
75,2021-04-15,282.6559
76,2021-05-15,285.69626
77,2021-06-15,288.6122
78,2021-07-15,292.9026
79,2021-08-15,293.73825
80,2021-09-15,290.68228
81,2021-10-15,285.983
82,2021-11-15,283.8669
83,2021-12-15,281.31262
84,2022-01-15,281.48672
85,2022-02-14,278.67563
86,2022-03-15,280.7204
87,2022-04-15,282.76227
88,2022-05-15,285.10385
89,2022-06-15,289.387
90,2022-07-15,290.16345
91,2022-08-15,291.3038
92,2022-09-15,290.5399
93,2022-10-15,288.5173
94,2022-11-15,283.3509
95,2022-12-15,279.8129
96,2023-01-15,281.13757
97,2023-02-14,280.93793
98,2023-03-15,281.39825
99,2023-04-15,283.30496
100,2023-05-15,285.49484
101,2023-06-15,289.87222
102,2023-07-15,289.99542
103,2023-08-15,291.98767
104,2023-09-15,291.0141
105,2023-10-15,286.7255
106,2023-11-15,284.89343
107,2023-12-15,280.7508
108,2024-01-15,281.66843
109,2024-02-14,281.46982
110,2024-03-15,280.5205
111,2024-04-15,280.52197
112,2024-05-15,285.74353
113,2024-06-15,288.78412
114,2024-07-15,291.11142
115,2024-08-15,292.05255
116,2024-09-15,290.45044
117,2024-10-15,287.5126
118,2024-11-15,284.15448
119,2024-12-15,281.30164
120,2025-01-15,278.2452
121,2025-02-14,280.4762
122,2025-03-15,281.33374
123,2025-04-15,282.29605
124,2025-05-15,285.37744
125,2025-06-15,291.6573
126,2025-07-15,291.52774
127,2025-08-15,290.9664
128,2025-09-15,290.63425
129,2025-10-15,286.10248
130,2025-11-15,283.09592
131,2025-12-15,279.33136
132,2026-01-15,281.36615
133,2026-02-14,281.15768
134,2026-03-15,281.87485
135,2026-04-15,282.8583
136,2026-05-15,286.01483
137,2026-06-15,289.39328
138,2026-07-15,290.68237
139,2026-08-15,291.20526
140,2026-09-15,290.12933
141,2026-10-15,287.1867
142,2026-11-15,283.04822
143,2026-12-15,281.4056
144,2027-01-15,279.2305
145,2027-02-14,281.60034
146,2027-03-15,281.22983
147,2027-04-15,282.92355
148,2027-05-15,285.06854
149,2027-06-15,288.963
150,2027-07-15,291.32703
151,2027-08-15,290.72714
152,2027-09-15,291.45703
153,2027-10-15,286.96384
154,2027-11-15,285.66882
155,2027-12-15,283.48672
156,2028-01-15,281.6624
157,2028-02-14,281.89206
158,2028-03-15,282.26736
159,2028-04-15,282.85117
160,2028-05-15,286.99213
161,2028-06-15,288.1098
162,2028-07-15,291.05618
163,2028-08-15,291.6443
164,2028-09-15,291.10587
165,2028-10-15,286.40814
166,2028-11-15,283.25925
167,2028-12-15,281.39734
168,2029-01-15,281.7589
169,2029-02-14,281.53235
170,2029-03-15,281.49057
171,2029-04-15,282.83237
172,2029-05-15,285.53445
173,2029-06-15,289.09348
174,2029-07-15,290.30142
175,2029-08-15,292.5182
176,2029-09-15,290.02792
177,2029-10-15,286.46786
178,2029-11-15,285.4232
179,2029-12-15,281.7982
180,2030-01-15,278.23978
181,2030-02-14,281.10638
182,2030-03-15,282.15616
183,2030-04-15,282.69495
184,2030-05-15,287.71957
185,2030-06-15,290.17444
186,2030-07-15,292.46393
187,2030-08-15,292.4062
188,2030-09-15,290.86105
189,2030-10-15,287.12164
190,2030-11-15,284.5655
191,2030-12-15,282.2697
192,2031-01-15,281.3335
193,2031-02-14,281.25452
194,2031-03-15,278.6625
195,2031-04-15,282.65524
196,2031-05-15,285.32584
197,2031-06-15,288.96124
198,2031-07-15,291.80887
199,2031-08-15,291.3869
200,2031-09-15,291.11075
201,2031-10-15,287.889
202,2031-11-15,285.05072
203,2031-12-15,282.64648
204,2032-01-15,281.29056
205,2032-02-14,282.0258
206,2032-03-15,280.30206
207,2032-04-15,283.94345
208,2032-05-15,284.4702
209,2032-06-15,287.74274
210,2032-07-15,289.68677
211,2032-08-15,290.6163
212,2032-09-15,289.2151
213,2032-10-15,285.59637
214,2032-11-15,282.3254
215,2032-12-15,277.88058
216,2033-01-15,281.3999
217,2033-02-14,280.80396
218,2033-03-15,282.744
219,2033-04-15,282.7657
220,2033-05-15,286.30402
221,2033-06-15,289.95258
222,2033-07-15,291.67233
223,2033-08-15,291.52145
224,2033-09-15,291.46677
225,2033-10-15,287.95416
226,2033-11-15,284.1822
227,2033-12-15,281.94107
228,2034-01-15,281.43558
229,2034-02-14,280.27945
230,2034-03-15,280.33478
231,2034-04-15,282.4667
232,2034-05-15,285.70956
233,2034-06-15,289.98935
234,2034-07-15,291.21533
235,2034-08-15,292.12598
236,2034-09-15,290.28024
237,2034-10-15,286.5403
238,2034-11-15,282.70074
239,2034-12-15,278.20093
240,2035-01-15,279.58658
241,2035-02-14,279.11557
242,2035-03-15,281.48727
243,2035-04-15,282.633
244,2035-05-15,286.36505
245,2035-06-15,289.76437
246,2035-07-15,290.9964
247,2035-08-15,291.51016
248,2035-09-15,292.61343
249,2035-10-15,288.38577
250,2035-11-15,284.18854
251,2035-12-15,281.43036
252,2036-01-15,280.78577
253,2036-02-14,281.48386
254,2036-03-15,282.29596
255,2036-04-15,282.4907
256,2036-05-15,285.97125
257,2036-06-15,289.59872
258,2036-07-15,293.58997
259,2036-08-15,295.26425
260,2036-09-15,293.21017
261,2036-10-15,290.12405
262,2036-11-15,285.43372
263,2036-12-15,281.1515
264,2037-01-15,280.05386
265,2037-02-14,281.5926
266,2037-03-15,283.9497
267,2037-04-15,285.60474
268,2037-05-15,287.08148
269,2037-06-15,291.5261
270,2037-07-15,294.65143
271,2037-08-15,293.1663
272,2037-09-15,291.8944
273,2037-10-15,288.32355
274,2037-11-15,285.39166
275,2037-12-15,281.10547
276,2038-01-15,279.9303
277,2038-02-14,280.33615
278,2038-03-15,279.31894
279,2038-04-15,281.29092
280,2038-05-15,285.1369
281,2038-06-15,288.33627
282,2038-07-15,289.55832
283,2038-08-15,291.15952
284,2038-09-15,290.67004
285,2038-10-15,286.1685
286,2038-11-15,283.06055
287,2038-12-15,281.54156
288,2039-01-15,281.4527
289,2039-02-14,281.0278
290,2039-03-15,282.00583
291,2039-04-15,282.75162
292,2039-05-15,287.26456
293,2039-06-15,290.63492
294,2039-07-15,294.4769
295,2039-08-15,295.09634
296,2039-09-15,292.5095
297,2039-10-15,287.1967
298,2039-11-15,283.47763
299,2039-12-15,279.6143
300,2040-01-15,279.0352
301,2040-02-14,280.3448
302,2040-03-15,281.3206
303,2040-04-15,284.45822
304,2040-05-15,285.05914
305,2040-06-15,290.92392
306,2040-07-15,292.21912
307,2040-08-15,292.03503
308,2040-09-15,291.2288
309,2040-10-15,285.9871
310,2040-11-15,282.05106
311,2040-12-15,282.05084
312,2041-01-15,281.665
313,2041-02-14,278.35876
314,2041-03-15,281.65546
315,2041-04-15,283.8843
316,2041-05-15,284.93643
317,2041-06-15,290.16733
318,2041-07-15,290.8086
319,2041-08-15,292.2186
320,2041-09-15,290.30084
321,2041-10-15,287.16785
322,2041-11-15,283.44266
323,2041-12-15,281.13504
324,2042-01-15,280.9717
325,2042-02-14,280.9213
326,2042-03-15,282.05136
327,2042-04-15,284.03427
328,2042-05-15,284.727
329,2042-06-15,288.70538
330,2042-07-15,291.90448
331,2042-08-15,291.36945
332,2042-09-15,291.58984
333,2042-10-15,287.65503
334,2042-11-15,284.48935
335,2042-12-15,282.55936
336,2043-01-15,280.57755
337,2043-02-14,279.26862
338,2043-03-15,280.55548
339,2043-04-15,283.43033
340,2043-05-15,285.57828
341,2043-06-15,289.18604
342,2043-07-15,292.61176
343,2043-08-15,290.93893
344,2043-09-15,290.2359
345,2043-10-15,287.36575
346,2043-11-15,283.75757
347,2043-12-15,283.50662
348,2044-01-15,281.72006
349,2044-02-14,280.44705
350,2044-03-15,280.94864
351,2044-04-15,281.8934
352,2044-05-15,286.2458
353,2044-06-15,287.98175
354,2044-07-15,291.18213
355,2044-08-15,292.37103
356,2044-09-15,291.8704
357,2044-10-15,287.0038
358,2044-11-15,285.34787
359,2044-12-15,281.32877
360,2045-01-15,281.59726
361,2045-02-14,281.7444
362,2045-03-15,281.16205
363,2045-04-15,282.8571
364,2045-05-15,285.50635
365,2045-06-15,288.62268
366,2045-07-15,290.70172
367,2045-08-15,291.93277
368,2045-09-15,291.29807
369,2045-10-15,287.33572
370,2045-11-15,284.7733
371,2045-12-15,282.87143
372,2046-01-15,281.6476
373,2046-02-14,282.1539
374,2046-03-15,283.65515
375,2046-04-15,284.85837
376,2046-05-15,286.9845
377,2046-06-15,290.7756
378,2046-07-15,295.17947
379,2046-08-15,293.73416
380,2046-09-15,292.47678
381,2046-10-15,288.37628
382,2046-11-15,284.12463
383,2046-12-15,282.8003
384,2047-01-15,282.37466
385,2047-02-14,281.69354
386,2047-03-15,282.91458
387,2047-04-15,287.05695
388,2047-05-15,286.9069
389,2047-06-15,289.85532
390,2047-07-15,292.17496
391,2047-08-15,294.40076
392,2047-09-15,292.57648
393,2047-10-15,287.34586
394,2047-11-15,284.56793
395,2047-12-15,281.71594
396,2048-01-15,279.70392
397,2048-02-14,281.0546
398,2048-03-15,282.7287
399,2048-04-15,285.367
400,2048-05-15,287.6297
401,2048-06-15,289.76663
402,2048-07-15,291.89642
403,2048-08-15,293.1767
404,2048-09-15,292.9047
405,2048-10-15,287.1842
406,2048-11-15,284.72202
407,2048-12-15,284.0546
408,2049-01-15,279.23343
409,2049-02-14,278.98157
410,2049-03-15,280.23596
411,2049-04-15,282.1859
412,2049-05-15,284.6224
413,2049-06-15,287.37704
414,2049-07-15,292.68024
415,2049-08-15,291.5554
416,2049-09-15,289.18008
417,2049-10-15,288.0322
418,2049-11-15,286.70578
419,2049-12-15,282.97638
420,2050-01-15,280.58304
421,2050-02-14,281.1356
422,2050-03-15,282.55756
423,2050-04-15,282.26895
424,2050-05-15,287.7851
425,2050-06-15,290.06052
426,2050-07-15,292.13684
427,2050-08-15,292.59058
428,2050-09-15,290.96268
429,2050-10-15,288.8881
430,2050-11-15,285.14978
431,2050-12-15,282.93893
432,2051-01-15,279.75586
433,2051-02-14,280.99124
434,2051-03-15,281.47375
435,2051-04-15,283.7946
436,2051-05-15,286.3219
437,2051-06-15,287.7606
438,2051-07-15,291.14343
439,2051-08-15,291.17035
440,2051-09-15,291.00488
441,2051-10-15,287.5716
442,2051-11-15,284.13693
443,2051-12-15,282.03137
444,2052-01-15,282.14725
445,2052-02-14,279.28757
446,2052-03-15,281.2657
447,2052-04-15,284.42047
448,2052-05-15,288.2028
449,2052-06-15,291.79535
450,2052-07-15,294.45126
451,2052-08-15,293.67618
452,2052-09-15,291.95892
453,2052-10-15,289.7523
454,2052-11-15,284.51666
455,2052-12-15,283.40472
456,2053-01-15,281.18597
457,2053-02-14,280.9315
458,2053-03-15,282.52032
459,2053-04-15,283.11502
460,2053-05-15,286.29947
461,2053-06-15,289.37637
462,2053-07-15,293.3852
463,2053-08-15,294.28857
464,2053-09-15,290.7502
465,2053-10-15,288.72687
466,2053-11-15,285.59094
467,2053-12-15,282.38754
468,2054-01-15,280.62436
469,2054-02-14,281.74927
470,2054-03-15,283.36224
471,2054-04-15,284.9418
472,2054-05-15,286.86743
473,2054-06-15,289.91602
474,2054-07-15,293.22653
475,2054-08-15,293.10712
476,2054-09-15,292.06003
477,2054-10-15,287.56125
478,2054-11-15,282.6248
479,2054-12-15,280.46524
480,2055-01-15,281.4248
481,2055-02-14,281.14648
482,2055-03-15,281.85587
483,2055-04-15,284.75424
484,2055-05-15,285.1114
485,2055-06-15,289.17163
486,2055-07-15,292.07642
487,2055-08-15,293.05206
488,2055-09-15,291.9635
489,2055-10-15,287.53162
490,2055-11-15,284.65646
491,2055-12-15,282.62704
492,2056-01-15,280.81903
493,2056-02-14,282.1404
494,2056-03-15,283.2014
495,2056-04-15,284.97144
496,2056-05-15,287.19986
497,2056-06-15,292.09122
498,2056-07-15,292.10886
499,2056-08-15,294.75
500,2056-09-15,292.08777
501,2056-10-15,287.0709
502,2056-11-15,284.48874
503,2056-12-15,281.23703
504,2057-01-15,281.05798
505,2057-02-14,280.76398
