,time,r1i1p1f1
0,2015-01-16,280.4282
1,2015-02-15,279.5795
2,2015-03-16,280.5243
3,2015-04-16,281.7585
4,2015-05-16,284.79306
5,2015-06-16,287.53442
6,2015-07-16,289.9345
7,2015-08-16,290.2839
8,2015-09-16,289.19565
9,2015-10-16,286.1022
10,2015-11-16,280.01926
11,2015-12-16,281.0264
12,2016-01-16,278.38602
13,2016-02-15,279.35428
14,2016-03-16,280.33215
15,2016-04-16,283.72125
16,2016-05-16,287.0624
17,2016-06-16,290.081
18,2016-07-16,292.5042
19,2016-08-16,293.27197
20,2016-09-16,290.47324
21,2016-10-16,285.74454
22,2016-11-16,282.6078
23,2016-12-16,280.97894
24,2017-01-16,281.5054
25,2017-02-15,278.79694
26,2017-03-16,280.39868
27,2017-04-16,282.5892
28,2017-05-16,284.36206
29,2017-06-16,288.3868
30,2017-07-16,290.20358
31,2017-08-16,291.11365
32,2017-09-16,289.14374
33,2017-10-16,288.13727
34,2017-11-16,282.83286
35,2017-12-16,280.8508
36,2018-01-16,280.1878
37,2018-02-15,279.96487
38,2018-03-16,281.42334
39,2018-04-16,282.2719
40,2018-05-16,284.2658
41,2018-06-16,288.3478
42,2018-07-16,290.92816
43,2018-08-16,290.27197
44,2018-09-16,289.13922
45,2018-10-16,284.42813
46,2018-11-16,284.50302
47,2018-12-16,280.55142
48,2019-01-16,279.61063
49,2019-02-15,280.05142
50,2019-03-16,278.8766
51,2019-04-16,281.7222
52,2019-05-16,285.36734
53,2019-06-16,291.3609
54,2019-07-16,292.5313
55,2019-08-16,292.72247
56,2019-09-16,290.05115
57,2019-10-16,284.99414
58,2019-11-16,282.66537
59,2019-12-16,280.32123
60,2020-01-16,281.6161
61,2020-02-15,280.76443
62,2020-03-16,280.93124
63,2020-04-16,283.82098
64,2020-05-16,284.91797
65,2020-06-16,288.8766
66,2020-07-16,289.36377
67,2020-08-16,289.7992
68,2020-09-16,290.10757
69,2020-10-16,286.3012
70,2020-11-16,285.02924
71,2020-12-16,281.69528
72,2021-01-16,281.67477
73,2021-02-15,280.7104
74,2021-03-16,280.8948
75,2021-04-16,283.39194
76,2021-05-16,286.9072
77,2021-06-16,288.5023
78,2021-07-16,291.58087
79,2021-08-16,291.255
80,2021-09-16,290.06366
81,2021-10-16,285.66873
82,2021-11-16,282.26746
83,2021-12-16,280.69882
84,2022-01-16,278.38788
85,2022-02-15,281.21854
86,2022-03-16,281.5398
87,2022-04-16,284.97995
88,2022-05-16,285.0066
89,2022-06-16,288.93854
90,2022-07-16,291.07278
91,2022-08-16,293.3732
92,2022-09-16,292.35635
93,2022-10-16,286.82852
94,2022-11-16,284.54056
95,2022-12-16,282.0684
96,2023-01-16,277.62848
97,2023-02-15,279.17737
98,2023-03-16,280.08038
99,2023-04-16,282.47397
100,2023-05-16,283.64618
101,2023-06-16,288.949
102,2023-07-16,293.36646
103,2023-08-16,293.01334
104,2023-09-16,290.77277
105,2023-10-16,286.4681
106,2023-11-16,282.80295
107,2023-12-16,280.6016
108,2024-01-16,279.19727
109,2024-02-15,280.16348
110,2024-03-16,282.12555
111,2024-04-16,283.5573
112,2024-05-16,286.4066
113,2024-06-16,289.7195
114,2024-07-16,293.00403
115,2024-08-16,293.76736
116,2024-09-16,292.9681
117,2024-10-16,286.8156
118,2024-11-16,283.47537
119,2024-12-16,281.2978
120,2025-01-16,280.92032
121,2025-02-15,280.6279
122,2025-03-16,281.00262
123,2025-04-16,281.44107
124,2025-05-16,283.8366
125,2025-06-16,288.99585
126,2025-07-16,291.8572
127,2025-08-16,291.96902
128,2025-09-16,288.8812
129,2025-10-16,287.20413
130,2025-11-16,282.79492
131,2025-12-16,281.32565
132,2026-01-16,280.11322
133,2026-02-15,279.2613
134,2026-03-16,280.97394
135,2026-04-16,281.90732
136,2026-05-16,284.4409
137,2026-06-16,287.66824
138,2026-07-16,291.1821
139,2026-08-16,292.901
140,2026-09-16,290.17917
141,2026-10-16,285.5409
142,2026-11-16,282.68137
143,2026-12-16,279.32376
144,2027-01-16,280.7115
145,2027-02-15,281.03818
146,2027-03-16,281.96854
147,2027-04-16,284.09525
148,2027-05-16,287.55893
149,2027-06-16,288.37622
150,2027-07-16,292.59137
151,2027-08-16,291.8436
152,2027-09-16,292.66205
153,2027-10-16,285.385
154,2027-11-16,283.0864
155,2027-12-16,280.5988
156,2028-01-16,281.97354
157,2028-02-15,281.6418
158,2028-03-16,282.52707
159,2028-04-16,283.61234
160,2028-05-16,286.80722
161,2028-06-16,287.67056
162,2028-07-16,292.76965
163,2028-08-16,290.93732
164,2028-09-16,289.59317
165,2028-10-16,286.57568
166,2028-11-16,281.0256
167,2028-12-16,281.64316
168,2029-01-16,279.50476
169,2029-02-15,280.23535
170,2029-03-16,281.94516
171,2029-04-16,282.86578
172,2029-05-16,284.90146
173,2029-06-16,287.5837
174,2029-07-16,288.9656
175,2029-08-16,290.5354
176,2029-09-16,289.6976
177,2029-10-16,286.39978
178,2029-11-16,282.11523
179,2029-12-16,280.638
180,2030-01-16,279.53833
181,2030-02-15,280.20325
182,2030-03-16,282.0672
183,2030-04-16,283.01514
184,2030-05-16,285.20197
185,2030-06-16,287.34708
186,2030-07-16,291.76166
187,2030-08-16,292.3393
188,2030-09-16,290.5864
189,2030-10-16,285.4448
190,2030-11-16,281.4105
191,2030-12-16,281.41196
192,2031-01-16,279.75232
193,2031-02-15,280.823
194,2031-03-16,281.64493
195,2031-04-16,283.17816
196,2031-05-16,287.48663
