,time,r1i1p1f1,r2i1p1f1,r3i1p1f1
0,2015-01-16,277.13803,280.4721,277.1071
1,2015-02-16,278.22845,278.8886,276.52258
2,2015-03-16,279.74847,278.7873,277.01688
3,2015-04-16,280.545,281.38065,279.86707
4,2015-05-16,285.37424,286.04874,281.1297
5,2015-06-16,286.89517,288.82684,285.68054
6,2015-07-16,289.82422,290.92905,288.1988
7,2015-08-16,290.5621,292.04926,289.84357
8,2015-09-16,290.1846,290.17123,290.27414
9,2015-10-16,284.56668,283.94205,286.06158
10,2015-11-16,280.95032,280.19318,281.7221
11,2015-12-16,280.9938,280.5591,280.65063
12,2016-01-16,277.81622,280.6067,280.46902
13,2016-02-16,277.2014,280.60226,279.7941
14,2016-03-16,280.19592,281.04218,279.5765
15,2016-04-16,279.7279,280.9083,282.4096
16,2016-05-16,282.3427,285.70657,286.93112
17,2016-06-16,286.9151,286.67404,288.10794
18,2016-07-16,289.07993,291.52838,290.89215
19,2016-08-16,291.18842,293.00623,290.95956
20,2016-09-16,287.65155,289.88452,289.9036
21,2016-10-16,286.22662,286.7126,284.4822
22,2016-11-16,283.85132,281.47357,283.19925
23,2016-12-16,279.23425,282.25522,279.2368
24,2017-01-16,279.75204,277.32123,280.2687
25,2017-02-16,279.243,278.6102,279.68445
26,2017-03-16,275.92398,279.79886,279.57224
27,2017-04-16,280.1744,281.1243,278.99686
28,2017-05-16,283.2134,283.64087,282.85165
29,2017-06-16,289.1097,287.7538,288.02176
30,2017-07-16,291.03336,291.2908,289.20108
31,2017-08-16,290.43655,290.85242,290.83618
32,2017-09-16,289.42297,289.0675,291.33655
33,2017-10-16,286.1373,285.8036,286.5992
34,2017-11-16,282.16544,281.30423,283.17484
35,2017-12-16,279.25662,278.53946,283.2358
36,2018-01-16,278.67673,279.776,278.98398
37,2018-02-16,277.72202,279.70074,276.92584
38,2018-03-16,279.50314,280.80222,279.17914
39,2018-04-16,280.02774,283.56714,282.03656
40,2018-05-16,283.99338,283.94577,285.208
41,2018-06-16,287.88248,288.17087,288.18164
42,2018-07-16,291.89755,290.81635,291.32214
43,2018-08-16,290.3429,291.04135,292.48358
44,2018-09-16,288.56757,289.24066,288.6304
45,2018-10-16,287.7202,284.55917,283.47705
46,2018-11-16,282.54788,282.36566,281.54953
47,2018-12-16,279.94208,279.83627,281.04596
48,2019-01-16,277.0438,279.98154,280.5037
