,time,r10i1p1f1,r10i1p2f1,r11i1p1f1,r11i1p2f1,r12i1p1f1,r12i1p2f1,r13i1p1f1,r13i1p2f1,r14i1p1f1,r14i1p2f1,r15i1p1f1,r15i1p2f1,r16i1p1f1,r16i1p2f1,r17i1p1f1,r17i1p2f1,r18i1p1f1,r18i1p2f1,r19i1p1f1,r19i1p2f1,r1i1p1f1,r1i1p2f1,r20i1p1f1,r20i1p2f1,r21i1p1f1,r21i1p2f1,r22i1p1f1,r22i1p2f1,r23i1p1f1,r23i1p2f1,r24i1p1f1,r24i1p2f1,r25i1p1f1,r25i1p2f1,r2i1p1f1,r2i1p2f1,r3i1p1f1,r3i1p2f1,r4i1p1f1,r4i1p2f1,r5i1p1f1,r5i1p2f1,r6i1p1f1,r6i1p2f1,r7i1p1f1,r7i1p2f1,r8i1p1f1,r8i1p2f1,r9i1p1f1,r9i1p2f1
0,1850-01-16,277.34863,279.2473,277.27634,277.9038,273.72906,276.92563,277.0873,276.68994,277.0442,278.29,277.6294,278.06287,279.01303,275.16687,278.39175,276.53644,276.25446,277.4873,278.13516,275.6283,277.80255,278.32343,277.48782,277.4755,277.27454,276.49017,278.3597,277.32144,278.32297,278.01462,277.67294,278.54916,279.0264,277.3999,279.5918,277.9923,276.68497,275.28543,279.13385,276.81824,279.2464,279.43198,278.92505,277.4507,277.60565,278.76126,276.63287,276.36588,277.9684,278.05505
1,1850-02-15,276.97253,278.52353,277.84747,276.08636,276.0763,277.43124,277.2177,276.88177,274.37573,278.80746,278.1557,274.5012,276.23093,275.5342,278.08112,274.86768,278.27917,277.11688,279.3946,275.9552,276.44534,276.82693,275.85687,277.60382,276.9456,275.57883,277.56427,275.98404,278.31378,275.65607,277.7873,278.3998,278.5711,275.12698,275.40536,278.3603,276.95786,275.75165,277.51407,276.00732,278.76514,277.91425,278.1392,275.51022,276.93417,277.87042,277.5718,275.28647,275.90778,278.24667
2,1850-03-16,279.85037,277.8701,279.03128,277.1224,278.05823,277.70557,276.90063,275.4879,275.79605,278.72696,277.3837,279.00577,276.5917,277.8066,279.17645,278.5164,279.1156,277.69437,278.0141,275.69547,275.4906,278.93427,276.17596,277.8968,278.6715,277.70993,278.72406,277.17328,278.33658,277.56506,279.11533,278.4222,279.629,276.40723,277.10223,277.2229,278.00342,276.65665,277.4915,277.1771,278.13333,278.98355,278.80936,278.68237,277.7566,276.03452,278.11768,275.70255,277.5026,278.5957
3,1850-04-16,281.24036,280.0355,281.0603,278.0916,278.65253,280.11548,280.9266,280.07715,279.78375,281.51294,279.6943,280.52728,280.49835,280.58008,280.0321,278.72256,279.8544,280.18005,280.6659,277.1091,278.2885,280.8687,277.68958,279.20044,277.81894,279.8917,279.28088,280.5857,277.61575,280.66125,280.70374,281.15512,280.10443,279.34915,279.11682,280.06705,280.61035,279.3143,280.60654,279.9374,281.17264,282.14795,279.92044,279.1529,279.88147,279.11124,280.34863,278.85837,281.518,280.3985
4,1850-05-16,282.5434,283.58197,283.26407,281.02078,281.91394,283.39923,283.36664,283.1031,283.07034,283.36353,281.86725,284.49292,283.2336,283.20776,283.2858,284.13135,284.1954,282.62567,283.1056,282.3614,281.54477,285.92648,282.27832,282.85162,284.3411,281.64752,284.0948,282.9649,282.4279,283.48538,285.13675,281.53824,283.4494,281.6173,283.42545,284.25116,282.81088,281.98346,282.4522,282.10532,283.17523,285.75034,285.27695,284.46994,283.61316,283.56735,284.85684,285.2312,284.24817,284.13748
5,1850-06-16,286.81754,286.06613,291.3366,284.67465,287.04968,287.45166,285.6476,288.33185,287.36313,286.32834,285.9859,286.40683,286.33957,286.72998,287.83096,287.40814,286.79968,287.6289,287.00833,284.65234,287.3739,288.0425,285.83646,285.35577,286.49524,287.78107,287.00027,287.31268,287.49118,287.52554,285.09134,287.70844,285.9424,287.28528,286.34232,288.09372,287.8615,285.865,286.93958,286.05753,286.5051,286.03864,285.80087,288.41092,284.55765,288.01358,286.3666,288.392,287.17667,286.71234
6,1850-07-16,290.87433,288.6761,290.1225,287.98648,288.12415,289.49768,287.48325,288.73984,288.27457,288.93634,289.7673,289.10638,288.28348,287.44836,289.45233,288.80057,288.7231,287.61215,287.6241,287.55695,287.92612,289.31577,287.97433,289.20172,287.665,290.5409,287.0398,288.96048,290.80026,289.63223,289.2007,291.94882,289.15518,287.23166,289.23697,289.65964,291.43552,288.82178,288.41022,289.07745,289.47794,289.58795,288.42136,290.60986,286.8084,288.30795,289.76083,288.44406,287.90677,288.0176
7,1850-08-16,289.6636,287.59515,289.7249,288.04544,288.72958,289.46414,288.04315,289.152,289.45343,289.87347,289.7863,291.09033,287.01776,288.4378,288.7524,288.86472,289.66846,288.03015,289.10217,287.2175,288.15836,288.2968,289.08603,290.1941,288.9177,289.52267,289.15884,289.0694,289.40176,290.95703,289.11853,290.40112,288.38965,289.21973,288.06183,289.73712,289.14093,288.83746,288.8893,288.42755,289.53217,289.33673,288.38574,288.73895,288.47296,289.32538,291.04355,289.8312,288.34152,288.58133
8,1850-09-16,287.12253,286.66248,287.42712,286.07684,286.6773,288.55524,288.6353,288.98294,287.89026,287.59842,289.4484,289.3002,287.39334,286.9099,287.80612,286.58817,289.73898,287.08713,287.7355,284.6911,286.82147,287.0927,286.60413,288.0168,287.386,287.6936,287.34485,286.5552,286.46268,288.61475,286.0243,287.75323,287.18076,286.85867,287.5395,288.27042,287.19366,286.02765,287.3501,285.8786,286.9756,288.99805,286.9591,287.5381,287.09918,288.2599,287.97134,288.09787,288.87997,286.86716
9,1850-10-16,284.92993,283.51712,285.24908,283.96777,285.09375,285.84006,284.92807,284.99722,284.65665,285.19565,284.90143,286.2214,284.3257,282.95468,286.0339,283.7038,285.73575,285.58496,283.4723,282.24344,283.8413,285.4328,282.9714,284.77383,284.59824,283.92236,282.9374,285.5209,285.0963,286.37982,283.69394,286.26215,283.73087,285.06662,284.31396,283.79633,282.98346,283.51382,285.1483,284.22382,283.8331,288.05865,285.8189,283.77158,285.10916,285.70285,285.40118,283.84518,283.69095,283.88605
10,1850-11-16,279.8417,280.32874,281.67227,280.8206,282.09323,282.03168,281.39,283.61868,281.85098,282.28873,282.24484,282.80542,280.22803,281.15533,281.90228,281.37207,282.70447,279.98566,281.63663,281.80005,280.3715,281.4324,281.8252,279.8993,281.2264,282.3162,280.84662,280.4607,281.1949,281.29333,280.90512,282.96524,280.45694,281.44055,282.59067,283.1011,282.51047,281.0459,281.35748,281.98907,281.32947,281.8844,280.0859,281.12808,282.74915,281.10602,281.7896,281.66455,280.817,281.8163
11,1850-12-16,280.27863,277.84033,280.24533,279.0936,280.2944,281.11273,278.0212,281.1196,277.422,278.84375,279.22855,279.47772,277.88745,279.46512,279.9066,279.03717,280.1027,278.7573,278.49915,278.4792,279.99374,280.4598,281.38626,277.97958,278.48926,277.61615,279.86374,279.6497,279.6793,280.0865,279.48618,280.57666,278.1246,278.9432,279.44986,280.18005,279.3203,278.54617,278.44852,280.51593,278.75974,279.29395,279.36526,281.48035,279.68378,278.6289,280.15903,280.43005,278.85074,280.4872
12,1851-01-16,278.1612,277.75208,278.8137,278.3593,278.54572,277.78162,277.1514,278.70883,274.76733,276.65717,280.0301,278.54816,278.30157,278.55228,278.49625,277.82513,278.15356,277.4954,276.56754,277.19098,279.0225,277.99747,280.27872,276.86618,277.4687,277.64484,276.94022,276.78934,277.67285,277.67938,279.5371,279.13678,278.53333,276.4232,278.78,277.25604,278.7342,278.28577,278.31616,278.58475,279.5513,279.70975,277.38107,279.71454,276.9857,276.29608,279.5174,277.62488,280.7541,277.34766
