,time,r10i1p1f2,r11i1p1f2,r12i1p1f2,r13i1p1f2,r14i1p1f2,r15i1p1f2,r16i1p1f2,r17i1p1f2,r18i1p1f2,r19i1p1f2,r1i1p1f2,r20i1p1f2,r21i1p1f2,r22i1p1f2,r23i1p1f2,r24i1p1f2,r25i1p1f2,r26i1p1f2,r27i1p1f2,r28i1p1f2,r2i1p1f2,r30i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r6i1p1f2,r7i1p1f2,r8i1p1f2,r9i1p1f2
0,1850-01-16,278.87134,276.20944,278.32007,277.08594,277.7185,278.81595,278.00757,274.90714,279.69592,273.37747,279.00604,273.91013,275.03983,277.97424,278.0734,277.631,273.6699,277.79214,278.0069,276.7887,279.07565,276.1313,279.19656,276.1434,278.4617,277.41544,276.6197,276.12616,275.94412
1,1850-02-15,276.79196,275.598,277.97162,276.95142,280.9936,278.90695,276.22742,274.259,279.76685,273.83798,276.72644,276.26816,277.80798,277.23727,277.58008,276.78995,276.0276,276.79797,277.33154,275.37408,278.4076,277.10205,277.07333,275.609,274.21912,278.23145,277.71768,278.37805,277.32108
2,1850-03-16,279.8901,277.30566,279.69812,278.34836,280.7861,279.32004,277.69348,279.20712,280.2636,273.15735,276.4336,279.79895,278.83057,277.21957,278.41272,278.69424,276.77057,274.91458,279.9128,278.68463,275.22037,279.8265,279.06216,274.6926,278.1015,279.05893,277.76004,280.8054,277.72058
3,1850-04-16,280.86945,281.34366,279.76865,279.77368,281.2567,282.61282,279.72095,279.75604,281.089,276.3977,279.18835,281.87616,279.2612,278.52646,281.33163,280.967,279.81213,280.36322,279.83755,281.65677,280.68448,281.48468,282.0626,279.23798,282.23245,281.51813,281.97256,280.22607,281.18536
4,1850-05-16,285.40826,284.3511,286.21,282.80414,284.81824,282.95145,283.97455,284.1686,284.09637,283.43997,284.09302,281.76443,283.01205,282.79037,285.15182,284.12903,285.4509,284.64496,284.03326,285.21918,283.04947,284.26324,283.66428,284.47906,283.70566,282.46255,283.2461,285.17325,283.8506
5,1850-06-16,289.70306,288.80847,287.41382,287.67197,290.46213,288.1356,288.21902,285.86417,289.49896,287.80637,287.76926,287.67847,287.70892,288.28873,288.86917,289.27325,287.74136,286.94882,286.3712,289.73526,288.94687,289.20023,289.14926,291.77087,290.3153,289.0224,287.04343,288.77267,289.1827
6,1850-07-16,292.2647,292.1113,291.05975,290.531,294.44662,292.35114,294.2055,289.61285,290.1726,291.7044,291.4659,291.983,290.55246,292.0587,291.45575,291.11902,292.2375,291.22513,292.0944,296.4626,292.26428,290.87875,291.4198,294.79535,291.92227,293.0971,292.49347,290.99045,291.02722
7,1850-08-16,292.4141,291.98535,291.719,289.53256,290.6023,292.793,291.74643,289.60583,291.12997,291.0306,292.04535,291.2832,291.47144,292.39917,292.5645,291.90927,292.78418,292.26068,294.14252,291.6985,291.7356,289.31876,290.8686,293.65768,293.41193,291.4177,293.73007,291.8695,291.6718
8,1850-09-16,288.47095,289.80228,288.06918,288.12943,289.5146,290.11554,288.82193,285.94943,288.46548,290.06854,290.71857,286.52264,287.714,289.3119,289.31927,289.91855,288.91373,289.80566,289.6134,288.74463,287.94974,290.31668,287.9924,288.22998,287.53802,287.8275,288.414,289.68613,290.49414
9,1850-10-16,284.24545,286.11548,283.84692,284.8846,284.74057,284.30615,283.62125,283.3141,284.2438,287.38446,285.1162,285.5876,284.5401,284.2326,285.0722,285.89813,283.21082,286.75238,284.22986,283.54138,287.49463,284.14224,286.4866,284.49338,284.0605,282.8972,285.02267,283.287,284.14633
10,1850-11-16,282.89453,281.13696,279.6714,279.89407,283.2702,281.8164,279.8436,278.42346,281.27594,284.01334,281.3865,278.7831,281.20578,281.7921,278.76172,280.742,283.0902,281.6538,278.61517,279.0455,279.98325,279.9976,281.55905,282.87,281.08914,280.9095,282.7246,282.14413,281.15747
11,1850-12-16,278.07516,278.43094,276.84097,278.1077,278.07828,279.69983,274.2574,275.6363,278.68997,281.10495,276.583,275.8037,277.72357,280.32257,276.95166,276.10553,280.70648,276.14285,276.94977,277.74478,278.31885,278.28818,276.5246,277.23282,278.49182,277.9581,278.82422,277.52045,277.85648
12,1851-01-16,276.86743,275.5804,275.5837,276.60974,276.8397,278.61865,273.707,274.0996,278.35425,278.27374,276.29184,277.20743,276.49286,279.40335,277.7284,277.0049,276.52686,275.59918,276.3591,275.2481,278.0906,278.994,275.87775,278.02045,277.80887,274.2592,278.2603,279.01205,276.7156
13,1851-02-15,275.513,276.91336,273.4924,275.61267,276.766,281.3288,276.29752,273.50778,276.85904,279.11566,280.004,276.72195,277.72763,278.50677,278.3358,278.92834,278.44464,277.06314,275.72433,275.23972,280.00748,277.57922,274.6772,276.67514,277.04987,277.01498,274.45642,277.8979,277.72717
14,1851-03-16,280.11862,279.37225,279.1721,278.83997,278.3458,280.79095,278.23438,277.86166,279.5845,281.0056,279.51447,278.1413,279.87543,277.823,278.56937,277.97253,278.11716,280.0733,276.18582,276.90836,277.7658,277.29974,277.77444,278.46695,278.47015,277.81903,275.86182,281.02908,277.75745
15,1851-04-16,279.51755,283.23956,281.44122,283.2443,281.9424,281.72955,281.3749,279.28976,279.4442,281.47183,283.1643,281.1544,279.01865,279.89276,278.81348,281.9007,282.04297,279.87982,280.99496,280.07794,280.51538,280.51334,279.17807,279.81195,281.66174,279.1894,278.68192,283.10455,279.27536
