,time,r10i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,1850-01-16,278.58493,276.77567,275.79047,276.7056,276.7056,277.84558,276.99402,275.29617,275.92163,276.3608
1,1850-02-15,277.66064,276.12375,277.9646,277.7818,277.7818,276.3981,276.48853,274.64105,278.2007,274.4295
2,1850-03-16,279.6166,278.3472,278.8024,278.6327,278.6327,278.08994,276.4657,278.98282,277.63617,275.97046
3,1850-04-16,281.53366,281.53485,281.4849,281.03314,281.03314,279.9183,280.30405,280.80225,280.72815,278.24686
4,1850-05-16,283.054,284.1495,283.75885,283.1682,283.1682,282.00784,284.6634,283.16257,282.8911,283.06042
5,1850-06-16,286.19986,286.50433,286.58893,287.68063,287.68063,285.3776,287.0083,285.3815,285.9992,285.90726
6,1850-07-16,289.49387,289.30334,288.99973,290.2151,290.2151,288.3716,288.25504,288.33643,288.81738,288.19437
7,1850-08-16,288.7134,290.04706,289.7498,289.71942,289.71942,291.3898,290.18375,289.20428,288.19904,287.70966
8,1850-09-16,286.8902,286.7799,288.3845,286.84586,286.84586,287.09375,285.33868,284.59814,287.0692,285.95242
9,1850-10-16,282.93,283.6368,283.7181,284.42117,284.42117,281.92896,283.80826,283.11386,284.05826,282.80316
10,1850-11-16,281.20776,280.14447,281.82477,280.24426,280.24426,282.11618,280.70538,278.93585,279.64856,277.63406
11,1850-12-16,278.02075,278.1807,281.23535,278.27747,278.27747,276.7145,278.46683,277.94254,278.5223,275.8031
12,1851-01-16,276.6726,277.85297,277.05652,277.35156,277.35156,275.7915,274.691,275.75912,275.58762,277.10446
13,1851-02-15,276.13736,277.15454,276.33017,276.43927,276.43927,277.23947,276.37784,278.12033,277.26633,275.22647
14,1851-03-16,279.02194,278.00098,278.47305,278.12582,278.12582,278.4457,277.9548,278.5828,277.1658,276.93384
15,1851-04-16,279.56244,280.55573,281.32413,281.01724,281.01724,280.01993,280.83966,281.07434,280.8524,280.62717
16,1851-05-16,283.6409,284.00345,283.92133,283.57388,283.57388,282.94897,285.0188,283.195,283.35196,282.4963
17,1851-06-16,287.62808,286.17874,286.02423,285.6892,285.6892,285.86826,285.76175,286.70374,286.12112,286.35397
18,1851-07-16,288.71805,288.8286,288.7207,289.76508,289.76508,288.2443,288.18652,290.35474,287.3413,289.2021
19,1851-08-16,289.3093,289.53052,288.23782,290.2258,290.2258,288.10162,288.18094,289.85364,290.4465,289.7949
20,1851-09-16,287.92505,285.77805,287.30374,287.51123,287.51123,285.94135,286.63663,288.11865,287.58173,285.9422
21,1851-10-16,282.41348,283.9077,283.635,284.59045,284.59045,283.4764,282.1686,281.87006,283.37335,283.55045
22,1851-11-16,279.4089,280.84537,283.26187,279.13037,279.13037,280.22025,279.69876,279.84628,280.78204,281.28854
23,1851-12-16,277.9356,279.4616,279.09384,279.05353,279.05353,277.93625,276.66977,280.38376,278.63644,278.8796
24,1852-01-16,275.50906,277.00684,277.75925,271.994,271.994,277.1316,278.09808,278.1036,275.76736,276.6972
25,1852-02-15,277.08026,275.88046,274.6572,271.05948,271.05948,277.2552,277.57104,276.8138,276.84662,275.09628
26,1852-03-16,277.06573,278.0026,273.21808,277.62814,277.62814,277.3692,277.44614,278.92862,278.0801,277.23526
27,1852-04-16,278.6963,280.58832,279.33386,279.96185,279.96185,279.84067,281.01517,279.83856,280.66107,280.34158
28,1852-05-16,281.96558,282.6148,283.68066,282.09723,282.09723,283.3885,284.01343,284.25195,282.45236,284.00024
29,1852-06-16,285.98196,288.37903,286.33804,286.16,286.16,287.3741,288.86417,286.55002,286.627,286.63406
30,1852-07-16,288.7853,290.39703,290.13657,288.15863,288.15863,287.7291,288.46136,288.28345,289.86957,289.01117
31,1852-08-16,289.54688,291.4943,289.26205,291.37927,291.37927,288.05588,289.3122,288.42538,289.1053,288.44238
32,1852-09-16,285.345,287.27338,287.03326,285.934,285.934,285.78165,286.7792,288.3263,286.14426,286.31656
33,1852-10-16,282.8856,285.0456,283.43832,283.94342,283.94342,284.3042,282.62888,282.38486,284.992,282.19193
34,1852-11-16,278.51462,282.15695,279.54355,280.2765,280.2765,281.13156,280.82578,279.45694,279.94592,278.53183
35,1852-12-16,278.34674,275.87296,279.5027,276.7451,276.7451,278.33023,275.9553,277.5868,277.87958,279.32788
36,1853-01-16,274.57483,278.15924,277.45255,275.8584,275.8584,275.9998,272.64236,276.73218,277.7003,277.5855
37,1853-02-15,276.33868,277.9752,274.781,277.72357,277.72357,276.376,275.53583,274.9128,278.14587,275.0894
38,1853-03-16,276.7931,277.05753,279.76913,280.35318,280.35318,275.45068,276.9784,278.70978,278.0501,278.6827
39,1853-04-16,280.0894,281.13486,281.68692,280.6095,280.6095,279.53,279.76743,280.05823,280.77246,280.50958
40,1853-05-16,282.38287,283.2273,284.5944,283.8742,283.8742,282.2292,282.47388,283.42517,281.44525,283.501
41,1853-06-16,285.55905,286.63107,288.01184,288.59818,288.59818,285.0877,286.74307,285.136,286.5272,285.67722
42,1853-07-16,288.74402,290.67038,289.2218,288.45123,288.45123,287.12112,288.83087,290.39825,288.88547,288.36124
43,1853-08-16,288.07214,289.9734,290.09036,289.57193,289.57193,288.90384,288.7966,287.75482,289.1677,289.10498
44,1853-09-16,285.22504,287.34525,286.20407,287.36493,287.36493,287.27853,286.13577,286.6991,286.50577,286.86996
45,1853-10-16,284.00177,285.3427,281.96814,283.8175,283.8175,284.01437,283.7331,282.30106,283.9031,283.22693
46,1853-11-16,278.9969,281.2404,280.07162,281.56143,281.56143,280.64673,278.3118,278.59222,281.53784,279.87274
47,1853-12-16,277.55615,276.8591,277.92236,277.89514,277.89514,276.68088,277.2159,275.63467,277.3129,276.29718
48,1854-01-16,277.8575,277.1309,275.77896,275.9823,275.9823,278.3522,274.43124,277.4388,274.59848,276.6907
49,1854-02-15,275.66235,275.02417,276.19128,275.55408,275.55408,277.0877,274.99362,278.31757,274.7017,277.02924
50,1854-03-16,276.95233,279.04398,277.50992,276.9534,276.9534,278.39548,278.5681,277.1792,278.9299,276.52695
51,1854-04-16,278.57956,280.29807,280.9907,279.4166,279.4166,280.02557,281.59653,281.2463,280.9089,280.8322
52,1854-05-16,282.8817,283.5572,283.54193,283.62103,283.62103,284.96576,283.6566,284.25125,282.98965,283.20627
53,1854-06-16,285.86978,287.5039,284.19946,286.44617,286.44617,285.26703,286.9328,285.50903,286.04767,285.50076
54,1854-07-16,287.87653,289.89328,287.48776,289.48837,289.48837,289.47388,289.4088,288.30765,287.7992,288.49106
55,1854-08-16,287.79318,289.7605,288.67862,288.2476,288.2476,287.23218,290.87045,289.8618,289.23096,287.88675
56,1854-09-16,284.76212,286.74588,285.83728,287.23636,287.23636,287.07886,284.61276,285.73187,286.4236,287.6415
57,1854-10-16,283.15915,284.8931,281.60614,283.51294,283.51294,282.02994,283.02365,282.81393,284.26404,283.04337
58,1854-11-16,280.26807,282.5913,280.09995,280.3312,280.3312,280.37512,280.725,280.01904,281.08148,278.71002
59,1854-12-16,278.65314,279.51898,277.6684,277.56207,277.56207,276.95456,276.54688,277.6236,277.93747,278.32462
60,1855-01-16,274.6674,278.5353,277.71045,272.53973,272.53973,276.9771,277.26877,275.45184,275.88766,277.00876
61,1855-02-15,275.80008,278.27234,274.72864,272.90796,272.90796,276.77594,275.4864,276.85715,277.33774,275.44595
62,1855-03-16,279.09225,278.0788,276.8589,275.46457,275.46457,277.7965,278.9942,278.5985,277.97928,276.26953
63,1855-04-16,280.31546,281.14102,279.49167,279.47968,279.47968,281.7007,280.18936,279.3214,281.04272,280.19553
64,1855-05-16,283.62314,283.4186,282.77286,282.4105,282.4105,285.98517,282.62766,282.38205,284.3922,282.19873
65,1855-06-16,287.01123,285.12436,285.7036,286.48224,286.48224,286.56216,287.6889,288.26752,285.1673,286.85022
66,1855-07-16,289.88,286.65656,286.9971,289.83435,289.83435,287.32697,289.74966,289.12305,288.6654,289.0213
67,1855-08-16,289.31418,286.8505,287.8808,288.1996,288.1996,289.03406,288.4061,289.22372,288.75735,288.11725
68,1855-09-16,286.97516,286.79343,286.42728,286.95834,286.95834,286.8222,286.02872,285.3894,286.9365,285.79312
69,1855-10-16,284.5905,283.07114,283.6751,284.41165,284.41165,284.1468,283.12817,283.00586,285.17694,283.91946
70,1855-11-16,281.1404,280.68677,281.25677,281.0523,281.0523,279.02792,280.78806,279.0944,281.42676,281.33597
71,1855-12-16,277.78098,278.12863,276.9147,278.97638,278.97638,275.93372,277.92844,276.95496,279.38574,278.7722
72,1856-01-16,273.9781,277.98816,276.89633,275.3978,275.3978,277.02353,272.9368,276.19302,276.15616,277.37604
73,1856-02-15,275.55362,275.57162,278.42383,276.49335,276.49335,277.57483,275.27878,276.0917,276.1587,277.90582
74,1856-03-16,277.91504,279.9846,277.90616,277.99515,277.99515,278.7865,277.34137,278.86624,276.90167,279.35812
75,1856-04-16,281.17825,281.71387,279.58325,281.8021,281.8021,279.1492,280.4612,281.71472,281.41656,281.74908
