,time,r1i1p1f1,r2i1p1f1,r32i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,1850-01-16,273.5194,275.71777,275.78064,276.24075,278.3515,277.44928,277.30478,276.8352,276.96774,275.5516
1,1850-02-15,276.57697,278.74374,277.13266,276.7757,277.09494,278.46515,276.23465,277.19342,276.6003,276.7694
2,1850-03-16,277.4871,277.8697,277.67444,276.21646,276.0304,276.7588,274.71317,276.02264,275.03098,274.1447
3,1850-04-16,280.58606,280.14722,280.65768,277.5634,278.67294,280.17035,279.80222,279.54126,278.06995,279.44998
4,1850-05-16,281.5856,282.18558,284.37802,282.75082,282.16232,283.0406,283.9253,286.02237,281.80652,282.01282
5,1850-06-16,285.177,286.5026,286.6241,286.0899,283.5603,285.67682,287.8706,289.05405,284.1451,287.05078
6,1850-07-16,288.1052,290.52042,289.46692,289.50568,289.26736,288.21286,293.34302,291.99905,289.3992,292.95587
7,1850-08-16,289.07925,288.14548,290.90817,290.82843,288.06924,288.76376,292.8818,291.83975,289.52914,291.86005
8,1850-09-16,288.09518,287.0045,287.80878,288.42905,287.21457,286.83075,289.82178,291.12714,288.587,288.96378
9,1850-10-16,286.04846,283.4604,284.57736,284.73404,284.61835,283.61685,284.6588,286.1642,285.9028,286.18643
10,1850-11-16,281.6074,282.60602,282.07892,280.56976,279.95602,280.9448,281.0129,281.22128,282.7295,279.5173
11,1850-12-16,278.88553,278.64978,277.58585,278.8757,276.64587,277.29465,280.39517,277.2153,279.3146,275.53925
12,1851-01-16,277.9616,278.5882,275.13507,274.80646,275.10803,275.87894,278.74997,276.8602,277.63428,272.1923
13,1851-02-15,278.99765,278.9016,275.39902,277.5251,276.76245,273.92676,277.8528,276.2538,277.234,276.19247
14,1851-03-16,277.85648,279.207,278.91287,277.47583,277.94757,278.16547,279.6469,278.13293,278.0127,279.45087
15,1851-04-16,279.97836,280.3385,278.9058,279.76254,281.21802,279.29758,282.19205,280.11542,279.7261,279.36932
16,1851-05-16,283.57996,283.848,282.24887,284.11676,283.17493,281.50778,284.10947,283.56104,283.07425,281.9535
17,1851-06-16,287.3986,289.72452,287.64966,287.16916,286.83984,286.2316,289.25317,287.17667,286.2518,287.24704
18,1851-07-16,291.36224,289.43942,291.37845,290.8334,288.14008,289.8816,291.95825,290.97964,288.77963,288.72314
19,1851-08-16,291.6461,290.20862,291.83423,290.71567,291.01904,290.8008,291.22827,291.31665,289.67795,291.28024
20,1851-09-16,288.63312,288.5571,288.6773,288.1341,288.81586,286.67987,289.13943,287.66992,287.07812,288.55597
21,1851-10-16,286.42783,284.91147,286.704,287.28235,284.53723,284.26642,285.37173,285.68967,284.3267,284.82764
