,time,r10i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r6i1p1f2,r7i1p1f2,r8i1p1f2,r9i1p1f2
0,1850-01-16,277.7802,274.48026,277.7899,277.96262,279.2454,279.72644,278.5034,276.91272,275.66022,275.32193
1,1850-02-15,279.31198,279.79654,276.67648,275.1822,279.03485,277.77103,277.80133,275.96524,279.5368,278.52646
2,1850-03-16,279.7244,281.30283,277.14557,280.49704,279.31433,279.24695,277.37784,277.93683,278.5193,278.7875
3,1850-04-16,284.75156,281.77863,282.75845,282.53815,282.1006,283.49036,280.91235,280.48212,280.92038,280.99176
4,1850-05-16,287.18225,284.75357,285.7893,285.55368,285.38177,284.54932,284.87143,283.24207,284.29834,283.87216
5,1850-06-16,288.52258,288.40482,287.76257,287.631,287.51804,288.41043,288.25168,286.71426,287.56656,289.12433
6,1850-07-16,291.23322,290.7303,290.94635,290.6061,291.1627,292.53522,292.8291,291.17474,291.09866,292.05576
7,1850-08-16,293.54254,291.2868,291.8326,290.36514,291.718,292.14758,294.61267,291.44894,291.504,290.26968
8,1850-09-16,287.70923,289.0279,290.55902,288.13354,288.3692,288.80215,289.1781,287.4941,288.77792,288.4662
9,1850-10-16,285.59955,285.99237,285.64413,284.76678,285.50366,285.561,284.06784,285.00916,284.13644,284.5655
10,1850-11-16,280.9937,283.02292,281.02615,281.8419,279.22644,282.35803,282.19815,279.83002,282.32175,279.4848
11,1850-12-16,279.02893,281.73132,279.58102,280.2678,279.10483,279.2969,278.43417,276.45392,277.55496,278.70547
12,1851-01-16,276.6385,278.76706,279.10968,278.5146,274.6287,275.96454,278.12573,278.58554,275.39792,274.5874
13,1851-02-15,278.19836,279.12552,279.2674,277.84607,278.54828,278.70273,276.0668,280.9154,276.51898,278.93674
14,1851-03-16,277.34143,277.96518,280.72223,279.89926,278.01694,278.25333,279.1214,280.66016,278.714,280.83258
15,1851-04-16,282.31613,284.538,281.5215,282.58444,282.12143,280.90503,282.54272,282.21326,280.5133,280.98383
16,1851-05-16,283.88513,286.20334,285.1316,287.33185,285.00623,285.2647,284.64886,286.37234,283.8403,282.9473
17,1851-06-16,286.7445,288.18457,287.6551,289.05966,289.4092,288.593,289.15213,289.8113,286.2346,287.7814
18,1851-07-16,289.87155,292.39636,291.09656,292.7765,292.75497,291.2011,291.373,292.82574,289.96207,291.2069
19,1851-08-16,290.65604,292.17612,292.44302,291.9755,291.2324,290.3925,292.3041,291.81473,290.16376,292.21448
20,1851-09-16,288.5245,288.01837,290.50165,289.30347,287.97437,289.01898,289.17413,288.9786,287.26962,287.81387
21,1851-10-16,285.10983,284.2059,285.5458,286.34232,284.93396,284.4359,285.636,284.76007,285.9046,283.79974
22,1851-11-16,281.156,279.4374,279.85986,280.67432,281.98013,280.87408,280.88385,280.32413,280.52936,281.22025
23,1851-12-16,279.27463,280.03476,277.10413,279.08798,277.81186,279.01746,280.8855,276.76447,279.52927,277.87537
24,1852-01-16,277.7068,276.14096,277.3954,276.52917,277.71,277.35696,277.4776,278.03726,277.94705,276.9311
25,1852-02-15,278.31238,279.2604,276.95987,275.54108,275.0446,280.20422,280.14377,277.50403,278.74905,278.52478
26,1852-03-16,278.95563,278.86438,280.01346,278.90353,278.15933,280.34628,278.19995,278.5122,280.69943,277.75113
27,1852-04-16,281.89084,281.77316,281.2308,280.41336,282.35638,281.8955,282.4736,282.88614,280.23795,282.84045
28,1852-05-16,284.90298,284.56833,285.99454,287.35318,285.13757,285.14655,283.60376,285.15872,283.2453,284.96777
29,1852-06-16,288.56885,288.61642,288.00397,290.79788,288.1622,288.70612,287.4157,288.51028,289.37332,287.92496
30,1852-07-16,291.00906,291.29813,291.2217,291.9814,290.68982,292.32538,292.3239,293.04602,292.01645,289.7612
31,1852-08-16,291.13867,292.09808,291.92645,291.82892,290.52365,293.57938,292.23206,293.23663,291.85413,290.36182
32,1852-09-16,287.95306,288.97586,289.7359,288.01385,288.39655,288.90952,289.5197,290.07468,289.91803,288.20102
33,1852-10-16,285.1161,284.6604,284.01593,285.22107,286.97903,284.7114,285.80542,285.17953,285.02386,285.0486
34,1852-11-16,280.86462,280.44693,279.60147,282.30902,280.10187,281.01038,281.3103,280.04987,279.7404,279.77652
35,1852-12-16,279.5892,278.19,277.842,280.6869,277.10956,279.2261,278.62247,278.85965,278.21176,278.0458
36,1853-01-16,278.31796,278.8654,276.7973,277.06567,278.09048,274.30338,278.1243,278.72015,278.47864,278.65707
37,1853-02-15,278.9962,277.96985,274.93256,278.17706,276.508,277.26108,276.1144,276.2219,276.90433,277.4611
38,1853-03-16,280.64346,277.43063,278.667,279.5162,278.59283,281.2664,278.19702,279.73276,280.05682,279.3768
39,1853-04-16,282.1208,282.9073,281.17334,280.4773,282.616,280.88095,281.65726,282.3942,282.2634,281.6322
40,1853-05-16,285.76767,285.2108,284.65207,284.88065,286.58942,284.40228,285.55264,285.4018,285.68533,284.7226
41,1853-06-16,289.6905,288.1879,287.9822,287.21228,289.58478,287.91406,289.24158,287.91748,288.1152,288.16888
42,1853-07-16,290.86945,291.60764,290.54276,292.64468,293.8045,291.66675,291.63446,290.65823,290.50735,291.9478
43,1853-08-16,290.11374,292.67813,289.9554,292.38428,293.44513,293.29953,292.38046,291.6325,292.28494,291.6458
44,1853-09-16,288.32184,288.49115,288.06085,288.68512,288.3906,289.68387,288.7999,288.1694,289.66724,288.53757
45,1853-10-16,284.94373,285.2162,283.6875,283.987,285.56882,283.4393,286.54587,284.6135,284.2096,285.0755
46,1853-11-16,281.0481,280.2402,280.0822,279.81235,279.82895,281.51254,281.42734,280.14877,282.54306,281.31384
47,1853-12-16,277.12064,277.5798,278.12192,277.88565,277.35043,277.4858,278.27432,280.3709,277.92514,280.0802
48,1854-01-16,278.0728,276.23395,279.112,278.92377,279.18906,278.62256,280.09564,279.0321,274.84204,278.8429
49,1854-02-15,276.44333,279.2864,277.1297,276.61362,276.00034,276.42944,277.31467,279.988,275.08002,278.99088
