,time,r10i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,1850-01-16,280.9228,279.05188,278.82275,278.868,280.1742,278.19482,278.95953,277.3942,279.89435,280.26453
1,1850-02-15,280.6152,277.31024,281.47665,280.07944,278.845,279.18954,277.78122,277.7748,280.02557,279.10352
2,1850-03-16,282.07217,278.5446,280.9883,281.20074,281.20575,280.59805,280.69772,279.69116,280.86594,280.0925
3,1850-04-16,281.7536,282.4263,282.33188,284.2787,283.33862,282.16705,281.57986,281.74207,282.39917,281.73404
4,1850-05-16,286.21588,286.07788,285.18143,285.21262,286.31973,285.3348,284.03302,285.92847,285.7293,284.93243
5,1850-06-16,288.97964,288.2322,290.0664,287.6997,289.41907,289.3428,289.05963,287.4885,287.6893,288.9545
6,1850-07-16,292.84607,292.21014,292.5976,290.59717,292.84042,291.11157,292.3339,290.31522,290.3754,293.203
7,1850-08-16,292.14398,294.6587,290.88135,291.5243,292.64536,291.60535,292.5612,292.03888,291.20163,291.5436
8,1850-09-16,288.6202,289.61658,289.26093,288.72614,290.7386,289.90686,290.6366,288.87875,289.03775,290.77908
9,1850-10-16,286.4476,285.80148,286.0775,285.83383,286.33505,285.81116,286.95474,286.55518,285.85406,285.8035
10,1850-11-16,284.0867,280.77792,282.8623,283.51447,282.74173,282.95825,283.17035,281.5772,283.19073,282.55313
11,1850-12-16,280.7592,279.97763,281.6079,279.06357,281.8054,280.60947,280.31125,280.08585,277.5136,278.7033
12,1851-01-16,279.87946,279.23822,279.11743,278.82785,280.31494,278.2439,279.9652,279.1072,279.8612,279.93228
13,1851-02-15,278.32352,279.02194,277.5045,279.5626,281.00827,278.56677,279.85178,277.75113,279.13498,280.47903
14,1851-03-16,279.87558,280.31757,279.41757,280.1758,280.96945,281.4378,279.71097,278.72943,282.37134,279.98013
15,1851-04-16,282.52222,282.66034,282.5396,283.67917,281.4945,283.1396,282.31213,281.80594,283.0445,282.5681
16,1851-05-16,285.14987,285.56256,284.85886,285.44342,284.85492,284.8367,286.69397,284.19492,287.1115,285.7869
17,1851-06-16,289.18356,287.4725,288.0919,288.3672,288.0344,287.57312,290.32336,287.50034,289.7922,288.5519
18,1851-07-16,292.00577,290.31656,290.97482,290.84033,290.4267,291.0313,293.23193,290.20126,291.1434,292.0425
19,1851-08-16,293.0854,291.54874,291.90027,292.15424,291.27264,290.06448,292.8501,290.2288,292.02115,292.65973
20,1851-09-16,288.95953,289.08392,289.37775,289.313,289.57883,289.6903,289.60657,288.064,290.3898,289.97827
21,1851-10-16,284.8381,286.20062,286.02902,285.80768,287.05832,287.11542,288.73517,284.10992,286.5796,286.07617
22,1851-11-16,281.26706,282.6718,281.88266,282.63235,283.27518,283.22162,284.02774,280.09106,283.32712,282.69553
23,1851-12-16,279.98654,281.8891,282.2474,279.64264,281.59927,282.33792,279.7468,279.4353,281.24997,279.97525
24,1852-01-16,281.64365,279.88763,280.43866,281.4047,280.27664,280.75418,277.8741,277.91022,278.56332,279.71405
25,1852-02-15,280.10968,279.39938,279.8003,280.98392,279.54535,281.0357,280.54242,276.28195,279.73553,279.73413
26,1852-03-16,280.90915,280.60123,280.51108,280.93588,280.82742,280.87216,280.83698,280.4335,280.23795,282.26724
27,1852-04-16,283.3614,283.5015,283.1146,283.62955,281.77066,282.1479,281.73178,281.66855,280.67517,283.21014
28,1852-05-16,284.7889,286.09433,287.20996,286.62085,285.37354,286.356,284.8891,284.8719,284.05774,285.48856
29,1852-06-16,288.56207,288.0767,288.51163,289.07025,288.94867,289.34003,291.01022,288.2833,290.35443,288.56763
30,1852-07-16,291.6122,290.97183,290.9675,291.24078,290.64407,291.6187,293.1557,289.84363,291.90164,291.90802
31,1852-08-16,291.77737,291.26703,292.73438,293.40497,292.51636,292.66296,293.93918,293.32715,292.60385,291.8339
32,1852-09-16,291.19925,289.21167,291.76666,289.99622,289.75485,290.05273,290.5828,289.31348,289.16226,289.24887
33,1852-10-16,285.27652,286.0709,287.96506,285.91006,286.24152,284.8603,287.85913,285.30783,288.48596,285.2639
34,1852-11-16,281.19864,280.9262,283.2887,282.08313,281.47235,282.75082,283.135,282.48602,283.1972,282.00388
35,1852-12-16,279.8116,281.07697,281.34592,281.93625,280.70386,281.11786,280.52313,278.94662,279.63956,281.84024
36,1853-01-16,280.1753,280.14615,280.21524,279.89383,278.9944,277.81525,280.32053,278.14386,281.64957,278.7753
37,1853-02-15,279.85162,280.18954,281.34015,281.04413,279.3096,278.53165,279.62723,279.59476,280.7769,278.91125
38,1853-03-16,279.3333,281.9223,281.1435,280.22607,280.65723,278.9655,280.46313,279.0092,280.66232,280.19452
39,1853-04-16,281.291,282.85883,282.5755,282.71072,284.1585,281.6018,283.58878,281.14774,283.71622,281.1845
40,1853-05-16,284.44553,287.03314,287.83505,286.24823,286.3405,285.133,285.69046,283.55154,286.3392,286.8552
41,1853-06-16,287.07632,290.43256,288.19687,288.54453,288.3459,288.72598,290.3294,288.4302,290.0972,289.39755
42,1853-07-16,289.55508,290.5931,290.91623,290.9098,292.04953,292.92682,292.52426,290.79752,291.81772,291.3206
43,1853-08-16,292.40463,291.77487,291.8408,290.86655,291.94205,292.1253,293.01578,291.329,291.84293,292.01614
44,1853-09-16,289.84262,290.0008,290.02484,288.87003,290.09018,289.9949,289.81927,289.07236,289.00638,289.7568
45,1853-10-16,285.87274,287.09988,285.28967,285.4894,285.87347,286.14862,287.2984,285.5196,285.60666,286.47546
46,1853-11-16,282.39206,283.301,282.45602,282.53882,282.58093,281.8983,283.28867,282.2059,280.9689,281.33618
47,1853-12-16,282.0037,281.97488,281.883,282.3727,278.85474,280.3662,281.0247,279.3719,278.69708,281.76605
48,1854-01-16,281.3745,281.33887,279.43436,279.70572,279.6699,278.2533,280.4268,281.19965,279.43396,279.4232
49,1854-02-15,282.23187,281.27557,279.3737,279.8943,278.7383,280.3329,279.84143,280.40723,277.77524,277.42953
50,1854-03-16,281.64243,280.68735,281.57245,280.82532,280.40732,279.17633,279.8686,280.9431,278.9616,280.7649
51,1854-04-16,283.6755,282.60614,282.8947,281.26715,282.89194,281.86282,281.83768,282.50455,282.6085,282.4208
52,1854-05-16,286.7259,286.29517,285.41815,284.2559,286.62543,285.0492,284.92178,286.66266,285.51846,285.53528
53,1854-06-16,290.448,290.6096,289.41138,288.77255,289.83044,289.9952,287.7469,289.0132,289.46906,289.7311
54,1854-07-16,294.59222,291.33722,293.78424,290.5278,293.31552,292.12848,289.8757,291.62402,292.8743,293.28976
55,1854-08-16,294.1202,292.52582,292.6419,292.4549,292.89435,291.65747,291.37726,291.97144,291.0967,293.6258
56,1854-09-16,290.45352,290.3772,289.17145,289.84976,289.3045,289.60208,289.2809,289.97775,290.28214,290.3189
57,1854-10-16,286.91452,286.2629,286.56262,286.4144,285.23755,286.36322,285.89835,287.03372,287.20654,287.30612
58,1854-11-16,284.05338,282.78323,280.55292,281.5912,282.42975,281.14294,281.2966,282.9267,281.1183,283.47894
59,1854-12-16,280.50455,281.14966,279.7738,280.25565,280.2512,279.83835,280.09662,282.04407,281.75143,280.53064
60,1855-01-16,281.34476,278.59644,278.08545,280.07373,278.41553,280.47134,276.48526,279.40762,280.56516,277.22937
61,1855-02-15,280.16672,278.8382,277.13797,279.43274,279.44543,279.98392,276.67627,280.11847,279.01035,278.751
62,1855-03-16,281.53403,279.0554,279.5267,281.43402,280.58273,280.13254,279.50662,278.86798,281.44214,281.36163
63,1855-04-16,282.65112,284.45663,282.0015,282.90375,281.8113,283.92413,280.82648,281.9077,285.57883,282.39966
64,1855-05-16,286.03326,287.1107,285.6885,285.94662,287.49036,287.20557,285.83008,285.91397,285.51352,286.17917
65,1855-06-16,289.12646,290.1175,288.5831,289.74445,288.59494,290.86893,286.71423,286.9451,290.3994,290.07538
