,time,r10i1p1f2,r11i1p1f2,r12i1p1f2,r16i1p1f2,r17i1p1f2,r18i1p1f2,r19i1p1f2,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f3,r6i1p1f3,r7i1p1f3,r8i1p1f2,r9i1p1f2
0,1850-01-16,277.36432,277.32162,278.78116,278.72125,278.2665,277.8398,277.8607,276.61896,277.27097,279.07028,277.11804,278.9633,278.1856,278.7139,273.2257,279.42426
1,1850-02-16,272.1478,274.61697,278.0851,278.03882,276.18842,278.1447,278.90698,275.12888,277.4787,278.68094,276.66727,277.5135,278.6333,277.822,277.14014,277.01566
2,1850-03-16,276.76175,276.884,279.31793,276.5465,275.62427,277.26343,278.61298,278.66284,278.0723,279.81403,279.35736,277.78452,279.0189,279.97885,277.28937,276.58783
3,1850-04-16,278.40656,279.79514,281.77982,280.0316,279.5992,279.73215,280.43927,279.9679,279.76547,281.3084,279.73477,279.49353,280.2034,280.16116,278.40012,279.71762
4,1850-05-16,282.318,283.12085,284.60153,283.0147,282.40463,282.17377,284.58228,282.51898,282.97586,283.17795,282.5658,281.70346,282.53992,282.28796,281.5468,281.89365
5,1850-06-16,286.08252,284.25528,288.82187,287.51035,285.74213,288.057,285.6417,287.32446,286.12802,284.90976,288.7233,286.07913,287.0212,287.17075,286.21097,285.6344
6,1850-07-16,288.20212,287.6315,291.9507,289.03162,286.63507,289.92062,289.31213,287.83163,287.0642,287.06146,288.62,288.0161,288.19998,290.80566,289.89032,287.42062
7,1850-08-16,289.3374,290.18472,290.74234,289.289,287.9908,288.8787,290.42987,289.99347,288.4589,288.6515,289.67023,288.51257,289.3218,290.611,288.63986,287.22623
8,1850-09-16,288.58786,287.33994,288.71515,289.5738,287.15863,288.0185,287.16168,288.6764,286.88492,288.55017,289.24753,286.34308,287.38058,289.31287,288.52692,286.68665
9,1850-10-16,285.18695,284.73596,283.99698,282.8827,285.293,283.2979,283.41687,285.1683,285.03046,284.02295,283.50644,283.17932,283.82175,284.2827,284.03162,283.34225
10,1850-11-16,282.02402,281.43304,283.49902,281.73166,281.7403,282.12704,281.80286,282.09204,280.9183,278.77222,280.77304,281.47476,281.71918,281.31622,280.94653,283.03238
11,1850-12-16,278.4038,275.89285,280.73587,278.49905,278.3981,278.45493,280.5272,277.8437,277.86102,276.18832,278.67746,276.85028,279.13327,280.52734,279.06232,279.79614
12,1851-01-16,271.86206,276.913,279.913,276.50427,278.80768,277.78076,280.0211,276.50104,276.97012,278.1654,278.26938,275.53345,276.17712,275.66788,278.16495,279.62726
13,1851-02-16,276.56522,277.0643,277.63162,277.1665,278.71222,273.23505,278.6076,277.04205,276.68503,277.91412,277.65915,277.27887,277.601,277.15512,275.54272,278.24078
14,1851-03-16,277.75247,276.37946,279.80847,277.97958,278.35504,277.14453,278.05658,277.8015,278.87613,278.01364,276.57324,278.83694,277.94376,279.06665,277.16705,274.89224
15,1851-04-16,280.5488,280.15863,280.35895,279.3114,278.65347,279.03986,281.07758,279.44418,280.5487,279.76413,280.36258,279.52963,280.5743,279.2041,278.6387,280.28073
16,1851-05-16,282.89865,282.06656,282.2557,282.5088,283.15424,281.695,282.35306,283.11566,284.09058,282.13864,281.63885,283.3725,282.0856,282.869,280.72867,283.11942
17,1851-06-16,286.80283,285.98712,287.36832,286.86108,286.00504,285.61203,286.55862,286.22055,287.4039,286.48712,285.7403,286.83893,287.38617,287.54562,285.34164,284.52573
18,1851-07-16,290.04022,287.63297,290.55777,287.66977,286.93622,286.9538,288.6957,291.22522,288.81555,290.04816,290.3868,288.71893,288.169,289.06723,288.76895,288.80792
19,1851-08-16,289.23923,286.61206,288.4215,288.4421,287.76215,289.1765,291.28165,289.8485,290.51352,288.6197,289.87488,289.9409,289.4632,289.72186,287.99738,289.55142
20,1851-09-16,288.90503,286.1097,286.93466,288.79977,288.2639,289.51822,288.65182,288.3747,288.55188,286.89246,289.22833,288.24664,288.0975,288.46774,288.31317,289.4328
21,1851-10-16,285.9214,283.01428,283.3751,285.4351,284.44077,287.6027,285.2324,284.34106,286.7211,284.06244,287.43787,284.4388,283.3112,287.1788,287.05875,286.206
22,1851-11-16,282.33752,281.35596,279.3277,280.8927,282.85474,282.52228,281.9606,282.6924,282.83234,280.87866,282.6682,281.82245,281.4377,281.76144,279.9152,284.45242
23,1851-12-16,278.80157,279.80057,278.48218,278.90045,280.50818,280.40738,278.93518,280.62262,279.98877,277.6348,280.49133,276.82413,278.78256,279.9381,278.8916,281.24945
24,1852-01-16,273.40656,277.168,277.66238,278.16644,276.72946,274.81638,278.7674,276.5813,278.5898,277.97467,279.46384,280.4686,276.2278,279.31924,276.92072,279.6886
25,1852-02-16,276.3506,279.06207,274.55118,276.25436,277.68488,277.9951,277.09277,278.22354,278.8058,278.23605,277.37918,276.56473,276.2971,278.89984,275.84546,275.1461
26,1852-03-16,277.3296,277.65048,277.13086,277.8086,278.24734,277.93118,278.69016,277.8686,280.63058,277.71152,279.59485,276.43878,278.24005,279.68396,275.77432,277.57224
27,1852-04-16,279.46323,279.4575,279.7542,279.6136,280.41953,279.75653,278.69333,279.15854,280.63043,278.6776,279.91364,281.3163,279.71222,281.49222,278.7335,279.79965
28,1852-05-16,283.57538,281.82922,282.96997,283.54578,283.13367,283.3396,282.67984,282.1187,284.19775,281.47858,283.10742,284.50653,282.34317,284.67435,282.218,282.14825
29,1852-06-16,289.05484,284.16373,285.83813,284.5241,288.3024,286.02948,285.43823,284.9731,287.24768,284.5918,288.15714,287.39618,286.21677,288.03528,286.03732,285.363
30,1852-07-16,289.32648,287.5669,287.74442,289.08206,288.06866,288.88107,288.3015,289.18704,288.72217,286.745,288.43195,288.85464,290.22153,289.39343,290.35684,288.34326
31,1852-08-16,288.9976,287.9591,287.5971,287.74854,289.56534,290.46512,289.89236,287.89197,290.88702,289.06158,289.16605,288.4262,288.51736,291.0124,289.17035,290.76587
32,1852-09-16,288.0636,288.1677,287.74298,289.16257,286.87698,288.34158,287.4602,287.3634,289.822,288.43637,287.91754,288.09116,288.5976,287.65405,289.94275,291.11972
33,1852-10-16,286.205,284.90997,285.1969,285.45157,282.9332,284.7092,285.21194,282.32028,288.00095,285.89856,283.27356,285.26093,286.43347,285.38397,285.23422,286.97568
34,1852-11-16,284.1006,280.8256,283.01636,282.0101,281.73953,281.826,280.41205,281.65353,283.6002,282.05902,281.43515,280.23654,281.1296,282.60425,281.86932,281.66263
35,1852-12-16,279.6882,279.01904,279.6704,279.47083,278.9223,278.97876,279.35886,278.29437,280.71634,276.13843,279.90384,276.07217,276.50488,278.3037,277.9845,278.66214
36,1853-01-16,276.88904,277.60806,279.3747,278.42285,279.19528,276.80646,280.36447,274.9306,276.91028,276.30685,279.61542,275.62106,275.92386,279.08884,278.20035,279.4592
37,1853-02-16,277.81393,275.76663,278.9106,277.6965,278.1099,278.54126,280.4675,277.22415,275.1462,278.28992,279.8086,275.16275,276.6173,280.07227,278.3902,278.0409
38,1853-03-16,279.1035,277.41653,278.57474,278.6962,278.31253,279.2753,280.08392,278.98056,272.66602,278.63348,281.7189,277.04794,276.739,277.4879,278.26184,277.47256
39,1853-04-16,278.92084,279.76605,278.63644,279.335,281.4602,280.54175,280.09763,281.106,277.5728,279.36826,281.44635,277.23285,277.93448,278.28766,279.50748,281.83096
40,1853-05-16,281.9617,282.38446,283.87576,282.90845,283.9928,282.8369,282.43408,282.3325,282.57785,281.85168,284.49207,281.82883,283.1377,282.697,282.66052,284.26187
41,1853-06-16,285.216,286.80792,286.28403,287.2511,287.1076,286.01947,287.42654,287.3123,287.00006,285.27615,286.97644,283.90768,286.18033,286.28638,286.14163,287.58502
42,1853-07-16,289.2457,289.19525,288.31433,287.5882,289.71124,289.02283,288.05075,290.14236,289.64938,288.78687,290.53296,286.22498,288.0596,288.08487,288.08054,289.06247
43,1853-08-16,288.03876,290.3079,287.9092,288.40973,290.77985,288.733,288.6786,290.37762,288.54874,288.464,290.92178,288.16806,288.90332,289.1187,290.11163,290.91354
44,1853-09-16,288.49988,288.46722,287.7222,285.9033,287.92993,287.19522,288.4122,289.2472,287.44797,288.10846,288.46014,286.965,286.94473,289.15997,288.18976,287.95255
