,time,r10i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,1850-01-16,278.49902,278.09143,278.70404,275.8842,277.0024,274.45444,275.6089,274.10065,273.87228,275.8732
1,1850-02-15,279.6492,277.2378,280.34692,278.4465,275.18503,273.40677,274.60544,275.76843,274.9507,275.1532
2,1850-03-16,279.56088,278.96466,280.78046,274.83676,277.18253,276.92624,276.11337,275.92386,276.6452,276.48703
3,1850-04-16,281.82922,280.35202,280.76816,278.41006,278.13162,279.4681,278.37494,279.529,279.00726,281.1228
4,1850-05-16,283.73486,284.16507,283.20908,283.6141,282.68372,282.83304,282.07614,283.83905,283.08987,282.48917
5,1850-06-16,288.82947,286.85406,286.3102,287.47937,287.94156,286.66602,286.59467,287.337,285.62936,287.63306
6,1850-07-16,290.5397,288.8781,290.83466,288.08624,290.12555,288.38815,289.25504,289.51508,288.01422,291.1165
7,1850-08-16,290.67798,289.7836,289.88544,288.8781,289.32773,290.42917,289.94028,289.91562,287.3981,290.09845
8,1850-09-16,291.75443,287.73495,287.7546,289.92697,289.55768,287.2716,287.82483,288.6705,287.46063,288.90192
9,1850-10-16,289.014,284.0134,285.09668,283.91425,284.41232,284.45984,286.23532,284.0653,285.161,286.33157
10,1850-11-16,283.79984,281.24384,280.85892,280.72998,281.14786,281.8349,281.4415,280.1536,281.31116,283.55307
11,1850-12-16,279.23697,277.8186,279.96176,280.2059,279.25854,279.36847,281.0083,279.933,278.05554,278.00278
12,1851-01-16,278.1867,276.47522,278.22552,276.39813,277.78793,275.83926,279.02014,278.7139,277.62906,275.87402
13,1851-02-15,279.48538,275.285,280.21732,272.21814,276.5701,277.04617,278.17444,275.87265,277.95322,275.11737
14,1851-03-16,279.2352,277.48172,279.78537,277.751,274.0801,275.63068,279.55423,276.07886,275.93307,277.62335
15,1851-04-16,280.75488,280.39368,281.03198,281.3579,277.4708,279.24942,280.6061,278.49908,279.98953,280.744
16,1851-05-16,283.69156,284.76855,284.74246,281.6346,281.94617,283.48325,284.13327,281.8875,283.1761,283.43088
17,1851-06-16,287.72595,288.2137,287.58932,285.95343,285.82523,285.58124,287.4738,287.28455,285.84262,286.49326
18,1851-07-16,288.79788,289.5513,290.85855,289.9913,288.49054,289.37082,290.06046,288.6351,288.1418,288.73917
19,1851-08-16,290.3905,289.86334,289.39267,290.45944,288.0455,288.4589,290.8847,289.056,287.88364,288.9353
20,1851-09-16,288.858,289.03027,286.91678,288.48184,287.6904,286.90533,289.0385,287.69705,287.84183,286.49854
21,1851-10-16,287.8032,286.78436,284.01175,283.6372,282.68292,282.74936,284.5857,284.21335,284.64966,283.62418
22,1851-11-16,281.1878,281.01978,280.18137,280.48532,279.93857,279.65878,281.0823,281.8382,280.98853,277.41577
23,1851-12-16,277.8249,279.61362,275.28305,278.6412,278.4428,276.98804,280.48334,280.3041,279.11136,276.28244
24,1852-01-16,278.68628,274.89035,273.75134,276.4362,272.86612,274.07645,275.7434,279.6834,276.36523,274.1016
25,1852-02-15,277.86905,276.9099,272.12067,275.96664,272.1691,276.90332,277.78287,277.88443,276.59064,272.25543
