,time,r10i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,1850-01-16,276.77612,278.50146,277.47778,278.12555,275.29935,278.29218,278.55527,275.77643,279.12814,278.29474
1,1850-02-15,277.77164,278.07794,277.6379,272.91556,276.28043,275.1922,275.65454,276.0555,278.7352,276.42245
2,1850-03-16,278.95163,280.03333,279.3699,277.42142,276.52524,276.95837,277.0027,279.61493,279.24878,279.0823
3,1850-04-16,280.27792,280.55624,279.86548,280.1619,279.80344,277.9467,280.54553,281.5312,281.48172,280.89304
4,1850-05-16,282.73517,285.544,282.23975,284.55298,282.9593,281.68265,282.93854,283.40515,283.7741,285.23926
5,1850-06-16,287.26654,286.7545,286.1282,287.71658,287.28217,286.7704,288.0359,285.20975,286.6133,287.1034
6,1850-07-16,289.8943,287.60587,287.925,289.30325,289.8444,287.91058,289.07565,289.19946,288.60403,289.9667
7,1850-08-16,288.44803,289.23694,288.3592,289.59143,290.34756,287.71146,289.3884,288.42877,287.02634,288.86404
8,1850-09-16,286.9035,288.42026,287.4449,288.8791,288.01996,286.51694,289.0902,287.05847,286.80472,288.44116
9,1850-10-16,284.60757,287.00082,283.44894,286.25165,285.5807,283.9502,285.28516,285.6845,284.88455,285.1012
10,1850-11-16,278.95386,282.21695,280.53412,282.40256,283.59256,279.3931,281.48428,282.9396,282.5044,280.84134
11,1850-12-16,276.17947,277.35657,278.62463,280.38446,281.38138,277.7515,275.78836,279.7833,278.31924,279.35425
12,1851-01-16,276.4151,278.01373,278.9379,279.08582,276.5532,273.40967,277.20404,277.0099,278.08453,278.63263
13,1851-02-15,278.87326,278.04492,275.83118,280.33978,276.22382,273.7214,278.4663,276.8439,277.64014,277.3766
14,1851-03-16,278.86063,276.44803,276.48685,278.62558,279.7179,276.39902,278.1885,279.22717,279.64413,280.29742
15,1851-04-16,282.02765,278.4635,279.218,281.76675,280.10345,278.19122,278.95306,279.30478,281.61453,280.8855
16,1851-05-16,283.85938,283.2373,283.31525,284.43176,283.92758,281.3797,282.45078,283.91788,284.8954,283.45956
17,1851-06-16,286.13242,285.82626,286.1532,286.51297,287.8307,285.2494,286.48822,288.24442,286.4907,288.08887
18,1851-07-16,288.12158,288.08102,287.86365,288.8483,289.21307,288.1773,288.27985,289.33118,288.90964,288.98624
19,1851-08-16,288.6477,288.15677,288.6088,289.6153,289.5784,289.16956,288.98035,289.61368,290.1534,289.59778
20,1851-09-16,287.4914,288.31168,286.53198,288.12607,288.02048,289.25986,286.20023,288.28845,287.56918,289.35663
21,1851-10-16,284.5456,285.38177,283.56653,284.27237,284.82407,285.63544,283.97858,284.77603,283.04675,285.5261
22,1851-11-16,280.10754,283.01282,278.76392,282.7481,281.89798,281.12228,282.9245,281.96783,281.74948,282.30606
23,1851-12-16,279.0928,281.37756,277.57718,277.6112,280.38858,278.8859,279.2026,277.80444,280.22684,279.60336
24,1852-01-16,279.3686,276.4818,278.77316,276.20306,278.94876,277.94406,273.59964,276.44568,279.18457,274.21005
25,1852-02-15,276.51385,274.239,279.31085,275.20514,278.52048,274.55917,274.69205,276.08182,276.8191,278.1626
26,1852-03-16,279.41156,277.0154,278.01532,279.53918,280.1686,276.09665,276.89093,277.19424,277.00653,277.19867
27,1852-04-16,280.50854,279.89716,280.51132,280.9056,280.1046,280.58002,279.29175,280.7481,280.96066,281.3823
28,1852-05-16,284.49033,283.44492,284.9388,283.34265,284.6493,284.06317,284.17795,282.9286,283.89267,284.37653
29,1852-06-16,287.2585,286.47537,287.948,286.24506,288.37314,287.68347,289.70636,286.24274,286.98047,287.8101
30,1852-07-16,288.02588,289.74396,288.44992,289.8113,288.56873,291.5444,291.99832,289.10602,289.72055,291.2241
31,1852-08-16,288.50314,288.41467,289.08597,289.22052,287.998,289.11258,290.30048,289.1174,291.5679,289.64694
32,1852-09-16,287.76645,289.24622,287.5212,286.51895,289.1803,287.73944,287.29288,287.2264,287.72726,288.48438
33,1852-10-16,282.7761,285.6998,284.39832,283.35498,286.2343,285.5405,286.08917,284.34677,284.49106,283.72232
34,1852-11-16,280.10098,283.67145,280.91125,280.82242,280.67978,282.33237,282.36072,282.33508,282.08508,280.10107
35,1852-12-16,280.99295,279.99796,276.18787,279.2256,279.09476,280.5338,275.51376,279.18298,280.4507,277.15604
36,1853-01-16,276.63303,277.90933,273.23657,274.08914,277.5396,278.9327,275.7673,279.17633,278.16357,277.50558
37,1853-02-15,277.0866,276.9073,274.75485,277.35022,278.4933,279.25183,278.73724,279.33356,278.6039,277.47702
38,1853-03-16,277.7811,277.38068,276.57935,277.86276,278.9801,280.1528,278.31616,279.63538,279.22647,278.32245
39,1853-04-16,280.62927,280.97787,278.6765,279.04913,280.94943,280.9012,278.56577,281.4946,280.99692,280.2699
40,1853-05-16,282.98407,282.98026,281.3716,284.36627,283.0956,285.39365,283.38266,283.81436,283.3466,283.8017
41,1853-06-16,286.56958,286.8772,287.09766,287.70004,287.89343,287.3878,289.0918,287.48352,285.98212,286.77658
42,1853-07-16,288.65634,289.32132,289.60507,289.2404,289.5429,288.82523,289.12756,290.79785,288.36923,288.1336
43,1853-08-16,288.07416,289.6036,290.41647,291.1815,289.25696,289.9064,288.33484,289.86627,288.89334,290.23093
44,1853-09-16,287.32135,289.07397,286.8772,288.054,287.8387,288.30225,286.85492,287.5322,287.51852,289.59006
45,1853-10-16,284.85437,284.45392,284.7225,284.9444,283.63135,284.39914,283.5064,284.36835,283.83865,285.81458
46,1853-11-16,283.17148,280.41745,282.6985,280.65598,281.8952,280.87854,281.69452,280.99066,281.84604,281.5456
47,1853-12-16,279.913,277.03192,278.47397,277.18375,280.4813,276.0168,278.92932,280.93512,277.2432,279.20984
48,1854-01-16,275.70245,276.54224,275.1315,276.97382,279.2075,278.66113,277.07608,279.417,276.0797,277.72192
49,1854-02-15,276.2084,277.1316,275.98413,277.6667,276.74796,278.26248,279.16565,277.5408,276.29,276.6319
50,1854-03-16,278.85974,276.78568,276.63156,277.17276,278.22125,278.33176,277.68372,277.71884,278.65784,278.3988
51,1854-04-16,280.21375,281.58044,280.32053,279.95676,281.71286,281.7107,279.52286,279.78796,281.6589,280.77997
52,1854-05-16,283.84457,284.0832,283.31976,284.0736,284.61346,284.02203,282.98007,284.8828,284.79288,283.00543
53,1854-06-16,286.7725,287.63522,286.3962,286.92102,289.14813,286.57513,286.3776,287.15015,288.17773,286.68912
54,1854-07-16,289.17004,288.53656,288.24118,289.7435,289.87845,288.15405,288.93668,288.233,291.12497,289.6883
55,1854-08-16,290.49347,287.95773,289.66586,290.04578,289.40042,289.63287,288.92365,289.1339,291.6056,289.64996
56,1854-09-16,287.4779,286.70526,286.9355,287.2856,287.3524,286.85037,287.18594,288.9835,288.5834,287.62357
57,1854-10-16,283.25534,283.90277,285.39322,286.74615,286.16354,284.96085,284.9324,285.29886,284.6023,283.52655
58,1854-11-16,278.92938,280.28726,279.73138,279.5801,282.51996,278.10544,281.80872,280.61212,281.49228,279.2155
59,1854-12-16,278.78568,279.50714,279.17017,279.29254,277.63037,275.2739,279.56616,278.33313,280.16986,278.55798
60,1855-01-16,275.6931,278.28683,279.17892,276.06244,278.01147,272.4538,277.40158,276.7832,276.84354,276.86627
61,1855-02-15,277.89813,278.26175,276.80237,277.71423,275.49777,275.01294,279.09186,277.28918,276.3936,277.7689
62,1855-03-16,278.81348,277.96384,278.61215,278.5244,273.9131,274.2831,279.54407,279.2246,276.87622,277.64453
63,1855-04-16,280.63382,278.2824,280.1465,278.71692,276.55905,278.94516,280.81546,281.05225,279.3282,280.70712
64,1855-05-16,283.8755,284.6772,283.79214,283.57822,281.0644,281.1753,282.62073,284.44138,283.67233,282.6035
65,1855-06-16,287.35825,287.31137,287.13007,285.59933,285.27533,287.0168,286.4195,287.85944,286.66,285.8966
66,1855-07-16,288.6479,289.59235,290.839,287.71713,288.82755,288.29675,290.92252,288.89175,287.51627,289.55765
67,1855-08-16,289.56525,288.81155,291.49054,288.12506,290.60425,288.21054,290.0078,290.354,289.16327,291.17938
68,1855-09-16,286.9057,286.676,288.97086,289.65714,287.7664,286.4967,288.27963,286.0617,286.8355,288.37234
69,1855-10-16,283.72818,284.6863,285.14996,287.11502,285.67465,283.9606,285.37408,284.93835,284.0894,285.33035
70,1855-11-16,281.93066,281.8853,281.9925,282.2934,281.5949,282.7732,277.9362,280.59122,281.77582,282.61594
71,1855-12-16,281.41016,278.96646,279.27335,280.6637,278.93613,279.187,277.3546,277.50348,279.58185,280.61136
72,1856-01-16,279.80368,275.82202,279.20187,278.0126,277.31808,278.06177,278.2738,274.36108,276.0493,276.59335
73,1856-02-15,278.75732,277.66714,278.4631,279.16708,277.99188,273.7664,276.64413,276.94016,278.021,276.62256
74,1856-03-16,279.15063,277.57483,278.0594,278.43665,278.93784,276.39258,278.05066,275.90662,277.21826,279.47812
75,1856-04-16,281.54303,280.29135,279.52118,281.60727,279.83157,278.41504,278.4826,279.62665,280.68936,279.916
76,1856-05-16,283.1355,282.84818,283.65027,283.2161,283.03403,283.17783,283.6113,282.5448,283.06314,283.80374
77,1856-06-16,286.21738,286.3089,288.70453,285.60037,286.88727,286.91156,288.1671,289.08975,285.8232,287.85144
78,1856-07-16,288.68298,288.12604,290.43448,289.90933,289.68588,287.816,289.39374,291.13507,287.97357,290.85403
79,1856-08-16,289.65518,288.45728,290.42624,290.2826,288.7636,287.56305,289.53586,289.51505,288.14618,289.68512
80,1856-09-16,286.86325,286.35135,288.7584,289.55884,287.80606,286.2319,286.03854,286.72852,289.00842,288.50662
81,1856-10-16,284.35446,285.5083,284.68152,287.2411,283.16595,284.14413,286.48987,283.31787,285.20374,284.97827
82,1856-11-16,282.20587,282.21268,280.99615,281.4861,278.68173,280.38794,281.0743,281.67148,280.4487,280.9854
83,1856-12-16,274.50143,277.57385,278.47443,278.86923,279.60803,276.84143,279.34116,277.25085,277.12592,278.9925
