,time,r101i1p1f1,r102i1p1f1,r10i1p1f1,r10i1p1f2,r10i1p3f1,r1i1p1f1,r1i1p1f2,r1i1p1f3,r1i1p3f1,r1i1p5f1,r2i1p1f1,r2i1p1f2,r2i1p1f3,r2i1p3f1,r2i1p5f1,r3i1p1f1,r3i1p1f2,r3i1p1f3,r3i1p3f1,r3i1p5f1,r4i1p1f1,r4i1p1f2,r4i1p1f3,r4i1p3f1,r4i1p5f1,r5i1p1f1,r5i1p1f2,r5i1p1f3,r5i1p3f1,r6i1p1f1,r6i1p1f2,r6i1p3f1,r7i1p1f1,r7i1p1f2,r8i1p1f1,r8i1p1f2,r8i1p3f1,r9i1p1f1,r9i1p1f2,r9i1p3f1
0,1850-01-16,279.18298,279.22168,277.87515,275.9659,275.711,278.04825,276.4562,274.4468,276.54495,278.83804,276.27426,276.98642,276.91406,278.90485,276.89417,278.09225,275.87335,274.5705,280.31924,279.21002,276.80872,276.99973,275.50262,278.54184,277.05273,276.7033,279.6317,279.75558,279.4057,274.8675,277.76892,278.53772,277.55234,277.3013,280.80508,277.97934,278.2846,279.80652,278.52136,279.94122
1,1850-02-15,277.59595,277.3196,277.8165,276.9661,276.92334,270.17316,278.2938,277.17084,279.31644,276.176,277.4279,276.38092,276.15088,278.7216,278.1571,274.42023,277.83173,275.34244,279.0365,278.54718,277.6217,274.95154,274.20874,277.9513,277.89438,274.00885,279.61496,279.2102,277.69647,275.40445,277.1517,276.55063,277.30502,277.13498,278.93185,279.32724,279.04443,276.96967,276.85403,278.90094
2,1850-03-16,277.96106,278.85114,277.8692,278.31363,277.64212,277.32513,278.71854,275.45816,276.9939,277.90543,276.1809,276.63345,275.5353,277.77924,277.82172,278.72107,277.11658,275.01257,278.53827,276.34784,278.47037,274.70657,275.6106,278.93082,275.34427,276.05496,275.5191,277.9281,277.06848,277.56516,278.8309,276.9188,277.14172,276.56146,279.17917,278.96002,275.41675,280.59195,278.62753,279.64615
3,1850-04-16,279.30313,278.85187,277.57938,278.1929,278.51205,281.01898,281.73016,277.12997,280.62897,281.10416,279.59863,277.18665,280.19406,279.94553,279.87064,278.7753,279.03375,279.2075,280.9638,279.53833,279.3031,279.59903,280.11575,280.1665,278.8201,280.4844,279.48694,280.45764,278.4259,280.1764,277.26703,277.9145,280.10352,280.77295,280.47437,280.90448,279.23456,279.01022,280.45728,281.92392
4,1850-05-16,283.17358,282.98865,281.85626,282.28564,282.842,282.0503,283.13882,282.13974,283.93433,282.94412,282.41888,280.94046,282.26752,281.339,282.3894,283.6317,281.8082,282.64896,283.30316,280.94797,281.73737,280.75446,281.18765,283.48743,283.2055,282.7403,282.93323,283.07224,280.8132,281.97122,282.51187,281.173,281.80316,283.88132,282.972,283.0686,282.73987,282.67358,283.04346,282.19415
5,1850-06-16,286.7912,285.8336,284.3817,285.71133,286.8977,285.55396,286.4057,285.27823,284.6976,286.36566,285.06516,284.27042,284.93384,284.70135,286.51898,285.40088,284.5724,285.05438,287.04672,285.32556,284.3932,284.45807,285.33698,285.47018,284.9669,285.04126,285.07184,285.82788,286.18762,285.8025,285.4595,285.91727,287.3962,284.85065,284.9762,287.37082,287.19974,287.759,287.26254,286.507
6,1850-07-16,286.53168,288.026,287.0167,287.20718,289.1597,287.15906,291.5116,286.601,288.9134,288.72067,291.1173,285.8309,287.5605,287.76886,287.12885,286.4537,286.61456,286.886,288.85855,288.37762,288.38855,286.86993,288.12546,288.7149,288.86758,287.3267,290.36014,288.30334,288.08417,288.95422,287.91245,288.86655,288.27704,286.4098,287.72482,289.5736,288.33807,288.64316,287.4759,289.55103
7,1850-08-16,288.71106,287.6918,288.51932,287.99466,289.96442,286.79678,290.54895,288.3978,289.03482,288.49597,290.23108,287.84805,289.50253,288.65256,289.12582,288.5724,287.94162,287.38086,288.84183,288.35046,287.2769,288.23697,288.40924,288.7764,287.12573,288.51416,289.8204,288.69434,289.85626,287.0813,289.0384,288.24686,288.87653,287.85074,287.86926,287.24857,290.00046,287.91235,286.6569,288.7623
8,1850-09-16,287.11584,287.27057,287.6785,286.4904,287.57166,287.10245,288.10382,286.08392,284.92642,286.73404,286.9775,285.71512,288.1088,286.64047,286.75076,285.66376,286.54944,286.66687,287.1891,287.34656,286.27942,284.23718,287.27005,286.32153,286.74847,286.07584,290.0622,287.28357,288.29147,286.35635,286.74203,288.58548,286.43005,287.00565,285.0477,286.62964,287.91403,285.85782,286.80316,287.31055
9,1850-10-16,284.05682,282.97888,282.2984,281.2299,286.20023,282.91562,286.34198,283.1282,285.09137,280.6713,283.5675,284.57175,283.0554,283.53745,284.28162,284.07358,283.29803,282.64432,284.01602,281.15292,282.70465,282.79547,283.4629,284.43445,279.99997,283.5927,281.64926,282.12674,284.02908,285.67368,285.28662,282.68265,283.26334,282.07953,282.99573,284.3899,284.42712,283.7643,280.8836,285.36472
