,time,r10i1p1f1,r1i1p1f1,r1i1p1f2,r1i1p3f1,r1i1p5f1,r2i1p1f1,r2i1p1f2,r2i1p3f1,r2i1p5f1,r3i1p1f1,r3i1p1f2,r3i1p3f1,r3i1p5f1,r4i1p1f1,r4i1p1f2,r4i1p3f1,r5i1p1f1,r5i1p1f2,r5i1p3f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,1850-01-16,276.49634,276.69516,277.24277,276.60895,278.08282,274.77237,276.64844,278.42343,279.71414,279.23404,278.81113,273.4197,280.5513,279.98877,279.36484,277.27438,278.9208,273.6745,279.73257,276.8784,277.73096,275.98462,278.8779
1,1850-02-15,277.66647,278.13654,278.72348,277.65005,279.4501,278.1961,274.91263,279.99606,278.59387,278.1195,279.5234,274.87805,280.39758,279.63284,279.4386,278.4775,278.71045,274.37082,279.83322,277.6651,277.64008,275.36966,278.46487
2,1850-03-16,276.61484,277.24725,278.32584,276.48068,278.7861,274.7055,274.74307,280.7854,280.104,277.5099,277.59015,276.81787,280.74982,280.50534,281.68582,278.56567,276.64062,276.84323,277.486,278.0591,279.85297,276.32413,278.36295
3,1850-04-16,278.67694,280.87427,280.77484,279.53253,280.0283,277.1792,278.72913,280.68094,280.38116,280.01984,281.30417,279.23553,281.0735,281.20834,283.54663,281.32584,279.66153,277.24924,278.75412,279.5483,281.7153,280.74503,279.71127
4,1850-05-16,280.97736,282.5468,284.58105,282.47867,281.93002,281.11826,281.10968,284.20975,283.17996,285.20612,281.55338,281.67337,284.9669,282.60138,286.2449,284.13577,281.79617,281.16412,283.9728,283.27383,284.1721,283.9588,283.0161
5,1850-06-16,286.18362,285.616,287.3999,285.11014,286.2874,284.94342,286.01117,289.55606,286.42368,288.20834,285.67264,285.71054,288.77298,285.7455,288.76678,287.8668,284.6135,286.53223,287.25073,285.0428,286.83597,287.61978,286.44797
6,1850-07-16,288.1771,288.74774,288.8157,290.0566,289.94443,288.04858,288.29764,291.62097,290.8619,290.81293,286.95703,288.2892,290.49918,290.43033,290.96783,290.42514,290.33362,288.61868,289.18753,287.04404,291.6328,290.68262,290.26147
7,1850-08-16,288.97534,287.78958,289.8268,289.6636,290.39313,288.1024,291.72455,289.3387,290.99857,291.37845,290.13852,288.98816,292.1599,289.6874,290.76132,289.88953,290.77237,290.38733,289.88647,289.8714,290.32422,290.36127,289.62317
8,1850-09-16,287.6344,288.7317,287.73065,286.76968,289.46478,285.55994,289.1019,289.0274,287.54425,289.85938,284.956,287.4296,290.4044,289.18515,288.8241,288.06635,289.39246,287.16678,286.49512,289.7497,286.7407,287.40414,286.42953
9,1850-10-16,282.3609,284.7914,286.79178,283.80606,284.97058,283.77225,285.60364,285.08902,284.4747,286.7156,284.5708,284.55664,286.83228,283.88123,284.45587,284.18982,288.15515,286.8639,285.5243,288.02417,282.4832,285.6953,285.34216
10,1850-11-16,280.55807,279.4831,283.5449,280.14456,280.67023,280.83005,279.02148,282.18747,277.94156,281.97598,280.88498,281.3684,283.67862,282.2273,281.148,281.72668,282.9574,281.32983,284.16843,280.32455,279.25745,281.1684,279.54886
11,1850-12-16,278.35397,280.3193,278.38022,276.9249,277.54364,278.11868,278.21014,281.12225,280.49844,281.15613,279.98376,281.25253,280.65482,281.69327,279.5971,279.76004,280.35898,278.973,280.25903,275.4895,280.0873,275.84756,278.33673
12,1851-01-16,273.6473,277.608,277.1539,277.86832,277.09897,275.39227,277.5468,278.73615,278.19788,278.86945,278.96036,276.8839,279.75546,279.73367,279.2297,277.37787,277.89307,277.83185,279.34012,276.4357,278.72495,275.6235,274.6772
13,1851-02-15,276.0422,278.8789,280.58463,277.12415,276.23123,279.52313,275.9812,279.66742,278.7096,275.32236,278.09586,277.60443,275.0758,281.1035,279.43726,276.28088,279.56116,278.11823,280.33386,275.6161,277.24374,277.58597,277.70813
14,1851-03-16,276.8224,278.64044,280.277,280.47375,278.68063,277.18008,276.2588,278.27286,278.2708,276.77917,277.43082,279.26303,278.72662,280.72266,279.34357,278.173,278.90085,277.6874,280.20868,278.2311,277.97708,276.3802,278.19507
15,1851-04-16,279.33035,280.8414,282.80722,281.97073,281.63443,280.2958,279.48285,279.30203,279.9964,280.3801,278.7199,281.68747,280.34116,283.8573,279.8706,280.2199,282.25574,280.12708,280.0083,280.81223,280.30154,279.9884,281.03278
16,1851-05-16,282.68964,284.5031,285.04095,286.27353,284.01462,282.90677,284.1135,283.39838,283.6141,281.83215,283.49683,282.07678,285.32394,285.24796,283.89902,283.25558,285.70813,283.6858,282.53885,283.1708,283.77246,284.59286,284.6131
17,1851-06-16,287.7332,286.15738,287.8411,286.95688,287.14285,285.9617,286.7467,287.05823,287.1106,287.0486,287.09274,285.97784,288.71194,286.1401,286.11633,287.07196,289.6289,285.8777,286.30084,285.61646,287.1396,285.59634,285.66864
18,1851-07-16,288.90298,289.3014,291.1473,289.75986,290.12314,287.61838,288.45764,289.6971,289.27612,289.0338,289.6486,288.688,289.6014,289.72116,289.3673,291.05023,292.29276,288.7297,288.83377,288.99417,288.02982,288.27155,288.98026
19,1851-08-16,289.1892,288.1019,292.87656,290.45255,290.39313,291.2761,287.3492,290.9811,289.98636,290.32336,290.9795,289.55273,291.97592,289.40704,289.5294,292.03705,292.09686,289.03714,290.1117,288.19458,289.68448,289.59888,289.21823
20,1851-09-16,289.81165,289.5231,287.11343,286.6395,287.057,289.60892,285.70377,289.2912,288.67682,285.58,288.22028,286.7263,289.68765,288.19617,286.54166,289.51517,289.0555,286.59332,287.71204,287.4926,287.89664,287.8846,286.8601
21,1851-10-16,284.43893,287.335,284.47156,285.0408,285.32065,285.1581,285.35333,284.9574,285.73746,284.07114,284.4785,285.15472,287.45023,284.057,281.2125,285.0728,283.85632,284.0589,284.20764,285.71466,285.9877,287.08624,284.6221
22,1851-11-16,282.46024,280.47363,282.9467,280.15677,280.4434,281.0964,282.17352,282.99673,281.93326,279.65854,280.2657,277.87195,281.69458,281.36295,280.21225,281.87714,280.95932,281.18842,282.88745,281.39368,282.71613,281.57678,280.13788
23,1851-12-16,281.56107,279.47327,279.67224,278.87164,280.834,276.71805,278.10138,280.68564,281.45175,280.0402,277.27304,278.64377,279.22372,279.99747,273.87683,280.45047,276.35696,280.51437,278.6933,278.70694,279.90652,278.42194,279.60486
24,1852-01-16,279.13248,275.5069,278.72482,276.48285,275.28662,278.6685,276.9858,279.32712,279.28723,280.3615,278.96344,277.36218,279.1307,279.65488,274.91364,279.04434,279.23282,275.88815,278.0346,275.7047,277.87033,275.67618,278.80875
25,1852-02-15,275.42252,277.6049,278.77042,278.93243,277.24292,277.0946,277.44687,280.6635,278.57382,277.70645,278.59662,276.4878,280.55573,279.88696,279.1935,277.80795,279.51923,278.51004,278.61093,277.5453,276.1481,278.16745,276.76553
26,1852-03-16,276.19556,278.7257,278.07538,277.22125,280.7029,279.44452,277.02533,278.48428,279.82138,278.82446,277.57602,276.40656,281.07242,280.09598,276.88596,276.02338,279.67242,276.01178,278.95465,279.8966,278.1895,279.80032,274.59637
27,1852-04-16,277.7872,281.20596,281.58478,278.00546,281.82062,279.77963,280.805,280.58282,281.75378,282.047,280.93848,277.07916,282.96127,282.47345,279.7,280.22693,283.5344,278.84354,280.0949,280.3097,279.62338,281.2618,278.31372
28,1852-05-16,282.83453,281.16403,283.23187,284.70477,285.70383,283.12204,284.37677,285.733,284.34528,282.7391,284.64072,281.04547,286.36285,284.32242,281.63882,285.19684,285.37476,279.76273,284.46817,283.90262,283.05298,281.7893,282.97253
29,1852-06-16,287.2982,285.8136,286.2046,287.4849,288.8502,287.8236,286.90292,287.4638,287.57764,285.51672,286.46036,286.21344,288.79068,286.1105,286.3678,286.48886,289.13367,286.50906,288.8191,287.8274,286.54657,284.5129,287.04462
30,1852-07-16,288.56375,289.04337,291.01456,289.74384,289.28638,288.78128,289.45792,290.20132,289.87384,289.65564,288.9784,290.02127,292.19717,289.90607,287.07565,288.61545,290.19186,289.89758,291.58173,288.28143,288.31497,287.1535,289.06143
