,time,r10i1p1f1,r11i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,1850-01-15,281.45883,277.46637,277.73822,278.11237,279.25626,281.95172,280.49765,279.61926,280.66394,279.90625,280.99573
1,1850-02-14,280.6903,279.10773,279.88083,279.65674,276.01624,281.31436,280.08127,281.68625,280.00882,279.88312,282.33994
2,1850-03-15,280.548,279.61023,280.51022,278.9694,280.40536,280.6951,281.2064,282.06744,279.38837,279.06027,281.0774
3,1850-04-15,281.62125,282.0547,281.73074,280.30316,282.9464,282.01355,282.15952,282.23627,282.1243,280.8113,282.7697
4,1850-05-15,286.17038,284.45288,285.7519,285.76382,285.37857,284.8103,284.65353,287.25287,285.00705,285.97913,285.25278
5,1850-06-15,287.65002,288.5346,288.8254,287.50058,289.34454,287.0162,289.74548,288.76617,288.34348,287.5404,289.18484
6,1850-07-15,290.85284,288.7428,290.08212,288.5765,289.56195,290.01892,289.61618,293.10043,291.7119,289.144,290.1474
7,1850-08-15,291.07898,290.13052,290.27524,290.21985,289.39767,289.52948,291.15637,290.562,290.36456,290.6256,291.57028
8,1850-09-15,290.2123,289.54044,289.01498,288.45285,288.81335,289.4936,288.27814,289.18613,288.7494,289.98126,289.66733
9,1850-10-15,287.24994,288.06143,285.16293,284.25378,286.306,285.52808,288.1877,287.96252,285.09152,286.43115,286.35242
10,1850-11-15,283.0473,283.87717,283.29276,281.68372,281.93192,282.106,283.24167,282.62048,281.7772,284.33795,282.6185
11,1850-12-15,282.324,280.11517,279.2574,280.9033,278.56076,278.78577,281.52496,279.61642,279.1655,282.52737,280.34097
12,1851-01-15,280.47253,278.66086,281.30685,280.70248,279.97266,278.32965,280.03058,278.2561,281.2411,281.2543,274.33118
13,1851-02-14,278.78674,279.6511,280.56662,280.65347,277.91327,278.7341,280.98712,280.2387,280.24615,279.5266,276.84674
14,1851-03-15,277.96414,280.89258,279.45383,281.0205,279.49615,280.54343,281.15155,280.2015,278.42123,279.3411,280.3373
15,1851-04-15,279.59705,282.6508,282.2929,283.2852,280.98837,281.33612,282.09277,281.6018,283.44925,283.22272,280.49213
16,1851-05-15,284.48743,285.28912,284.5922,285.85452,283.0495,284.90765,284.8213,283.18805,284.3791,285.92194,285.1029
17,1851-06-15,289.66278,288.21497,287.8548,289.11258,285.86685,288.4228,288.61395,286.41013,287.3492,290.5214,288.57986
18,1851-07-15,289.79022,289.97308,289.97812,289.7635,289.28363,290.05185,290.43823,290.42606,289.42612,290.61713,289.69858
19,1851-08-15,289.59958,289.59833,291.24612,290.45197,290.72104,289.8277,291.6711,292.43924,291.1626,290.57797,290.45782
20,1851-09-15,288.47653,288.52686,289.26224,289.3537,289.0887,289.71484,289.12677,290.1395,289.5035,288.62238,288.5281
21,1851-10-15,285.6928,287.27023,286.95776,286.0187,285.50604,285.88522,288.0336,286.83292,285.39478,286.2145,285.14197
22,1851-11-15,281.47842,283.32214,283.6388,282.57602,282.2292,281.2008,284.2355,283.20825,284.1846,283.60754,283.215
23,1851-12-15,281.00253,281.85587,281.43436,279.61282,280.61588,282.52325,278.58646,282.50928,281.35495,279.76166,282.19357
24,1852-01-15,278.55933,276.77728,281.20856,279.56744,279.27847,280.6572,278.18066,277.9434,279.99704,280.30246,281.46747
25,1852-02-14,280.09198,276.2101,281.95438,278.46603,278.00354,278.42493,279.37415,279.398,281.63382,278.05515,281.0083
26,1852-03-15,280.36978,278.77536,281.5015,279.71973,280.46558,281.9086,279.86404,280.54807,282.33765,279.51804,281.3817
