,time,r10i1p1f1,r11i1p1f1,r12i1p1f1,r13i1p1f1,r14i1p1f1,r15i1p1f1,r16i1p1f1,r17i1p1f1,r18i1p1f1,r19i1p1f1,r1i1p1f1,r20i1p1f1,r21i1p1f1,r22i1p1f1,r23i1p1f1,r24i1p1f1,r25i1p1f1,r26i1p1f1,r27i1p1f1,r28i1p1f1,r29i1p1f1,r2i1p1f1,r30i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
0,1850-01-16,280.86096,280.43347,279.41525,280.3167,280.0924,281.24536,280.447,280.60016,280.75485,281.12793,279.88196,280.65134,280.30798,281.08026,280.9642,280.32584,281.04398,280.29102,281.34827,280.6216,281.15222,280.76068,280.50916,280.64105,282.15897,280.78583,279.99496,279.84137,280.924,280.2954
1,1850-02-15,279.84,279.17197,279.4654,280.91354,280.6184,279.52188,279.94672,277.38947,279.8558,277.52353,277.56744,280.18118,279.12534,280.63065,279.74118,279.2495,279.1429,280.4054,281.2865,277.73184,279.9208,279.0917,280.37936,280.42795,279.6791,279.08762,279.18698,277.9654,280.85764,279.51724
2,1850-03-16,280.05887,280.21866,279.5988,281.33493,279.39053,279.3999,281.09802,279.88577,281.52118,277.56824,278.09705,280.43298,279.79453,279.7869,280.51785,281.8874,281.61865,279.3411,281.96558,277.92023,281.4163,281.1629,280.7901,280.31967,281.63458,279.77908,281.40372,279.73376,280.17105,281.08487
3,1850-04-16,282.82327,280.28265,280.89246,283.3844,282.1955,281.92255,281.0079,280.17383,283.58746,281.7563,281.17773,281.60324,281.16757,281.7538,284.91144,281.64343,283.67575,281.21234,284.57474,282.19485,280.64783,283.7594,282.19763,282.09494,282.16724,280.45328,281.61813,280.86035,282.67896,282.34186
4,1850-05-16,285.3522,284.2537,284.7065,284.16882,284.7392,284.19598,285.13812,285.3322,287.0545,283.838,285.42343,284.5281,286.9687,284.73517,286.46616,286.1745,284.197,285.5759,286.88696,284.21246,285.0492,286.39978,285.60864,285.30396,285.47818,283.85062,283.37317,283.64224,285.32764,284.37604
5,1850-06-16,286.54788,286.56778,289.1194,287.65933,286.99808,286.7141,286.62842,287.43448,288.74356,287.40292,287.3215,287.15808,290.50943,289.32504,287.62964,290.00198,285.86658,287.72726,289.65076,288.5078,288.19986,288.2305,290.39392,286.43427,289.0,286.80518,286.6424,286.6223,288.18323,287.83353
6,1850-07-16,288.14014,288.01782,288.52045,291.5429,288.81128,289.29538,288.92502,289.04034,290.57776,288.83212,289.72946,289.961,290.2234,291.01633,288.2786,292.34863,288.19284,289.78354,289.94397,289.16788,290.27695,289.5104,292.2459,289.62198,288.88794,288.39938,290.6707,289.85077,289.79657,290.3664
7,1850-08-16,289.97488,288.77338,289.17456,289.21585,288.51605,289.56805,289.6892,287.99323,290.12527,289.6723,289.14755,289.1074,291.72684,289.1974,288.92273,289.8337,288.26642,288.60178,289.3263,289.39874,289.5499,289.2789,291.35892,288.21628,291.15823,289.9802,290.50726,288.99313,288.5758,290.26813
8,1850-09-16,287.21564,286.62665,288.98993,286.6459,288.1479,288.06656,288.32993,286.58597,286.94183,287.7358,287.38248,288.93805,288.346,287.37534,288.3041,287.45523,287.10013,288.11267,288.46042,286.69193,287.6562,287.02414,289.2863,287.28268,290.83395,288.49554,287.89603,287.57712,288.32434,287.94232
9,1850-10-16,284.94846,283.65445,284.49857,284.52417,285.38736,286.717,285.4679,285.9778,284.48004,283.8193,285.2196,284.3041,285.58713,285.15857,283.9959,284.74826,284.42465,285.74863,284.73395,284.1298,284.80667,285.564,284.24362,284.62473,286.4217,285.39023,283.99088,286.63947,283.7697,284.93118
10,1850-11-16,282.48798,281.5572,281.36172,282.64154,282.58914,281.04257,279.63367,282.68362,282.51526,282.85962,282.0197,280.54535,282.43622,281.65787,280.36432,280.8752,281.80136,282.5537,280.2782,281.686,281.40628,281.50244,281.15613,282.79407,282.25436,281.62924,283.26382,282.38437,282.91577,280.6949
11,1850-12-16,279.81784,280.23523,280.5958,282.5133,280.39194,278.7766,280.89423,281.25134,279.86157,281.71313,279.68036,279.33157,280.2892,280.18597,281.08594,281.2194,280.27036,279.52884,280.1322,278.369,278.6052,279.3012,278.64273,280.97098,279.46106,279.89905,279.2789,281.0956,281.84854,279.97925
12,1851-01-16,279.25433,277.85608,279.97696,280.03854,280.93018,278.78473,280.8475,276.4248,279.17447,279.1697,277.2123,279.83594,280.89728,277.996,280.53088,275.866,281.14258,280.8961,277.57495,278.3229,280.39578,278.1938,279.55048,279.8832,279.41867,279.97253,280.03387,279.0873,279.06586,278.71225
13,1851-02-15,279.73953,276.73718,279.70102,277.50864,279.93668,280.59457,280.06625,280.2703,275.8415,278.86285,277.04672,279.08398,280.89536,276.97513,279.7456,279.03522,281.1699,277.9756,276.33582,277.22287,276.40228,279.658,279.22327,278.7248,279.4229,280.07138,279.3345,274.75076,278.21017,280.76996
14,1851-03-16,280.13947,279.73773,278.2265,276.42413,280.3987,279.91895,280.71823,279.74634,279.8116,282.54462,280.59006,279.55862,282.5054,277.94635,280.30847,280.55487,278.19223,280.03918,278.72012,276.6688,276.3261,279.3015,278.797,280.93927,280.15533,280.45953,279.019,278.52124,277.4475,281.19644
15,1851-04-16,282.3416,280.99127,282.10364,280.293,281.52225,281.12018,282.26404,284.24734,280.8395,282.7397,280.13968,283.60187,283.8381,281.72452,281.00687,279.3859,281.19995,281.00195,282.29764,277.97858,280.05536,281.96683,281.07666,281.9868,280.4721,282.12686,278.58234,280.5861,280.17465,283.80374
16,1851-05-16,284.15997,284.0037,284.02347,282.9835,284.78275,283.66754,284.86978,285.66757,284.4674,286.96402,284.53952,286.6667,286.542,283.90228,283.7779,283.84814,285.4774,282.5926,283.59317,284.45758,284.32373,283.82297,284.8245,285.41306,285.65256,286.0778,283.89868,283.82556,282.48718,285.7352
17,1851-06-16,289.10233,289.22415,288.01416,287.28195,286.48547,289.2988,287.1509,287.14948,290.31628,287.8157,287.35312,289.03845,290.71912,288.7813,286.67908,286.7745,287.91208,288.01227,287.46033,286.7301,288.87897,286.71432,289.08893,286.78876,287.85648,288.3982,289.9294,287.34113,287.04648,287.3511
18,1851-07-16,288.4118,288.071,288.23404,289.1392,288.41824,288.92667,287.99362,289.7229,291.55182,288.75702,290.2828,289.0443,290.12207,290.60532,288.83148,288.64902,290.47336,290.63474,289.1846,288.49353,290.63293,289.37115,288.5728,288.50766,288.59348,289.5152,288.32138,291.33606,288.13214,290.25388
19,1851-08-16,288.94724,289.17825,288.5483,290.04205,289.7076,288.65045,288.03174,290.40247,291.37286,288.60358,289.22775,287.30243,288.65015,288.84335,289.3028,290.28415,288.31396,290.01144,288.10803,288.12122,288.823,288.99396,288.4838,289.7471,289.90936,288.8535,289.45502,289.321,288.68942,289.6547
20,1851-09-16,288.1848,287.52237,287.20935,286.565,288.3211,288.07184,286.52377,288.9775,287.3383,287.8551,287.6185,287.06778,288.2288,287.28906,288.8143,287.41208,288.44107,286.58612,287.18875,286.0044,287.21536,288.09543,288.3337,288.0248,287.73093,288.79428,287.6688,287.53375,286.8155,288.77307
